Orthogroup	Homo_sapiens	Neovison_vison
OG0000001	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A8C7AMK9|A0A8C7AMK9_NEOVI, tr|A0A8C7AMK0|A0A8C7AMK0_NEOVI, tr|A0A8C7AUW6|A0A8C7AUW6_NEOVI
OG0000001	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A8C7AMF5|A0A8C7AMF5_NEOVI
OG0000001	sp|A6NMZ5|O4C45_HUMAN	tr|A0A8C7ASJ7|A0A8C7ASJ7_NEOVI, tr|A0A8C7END5|A0A8C7END5_NEOVI, tr|A0A8C7AXW8|A0A8C7AXW8_NEOVI, tr|A0A8C7AMX0|A0A8C7AMX0_NEOVI, tr|A0A8C7EN75|A0A8C7EN75_NEOVI, tr|A0A8C7AQG8|A0A8C7AQG8_NEOVI
OG0000001	sp|Q96R67|OR4CC_HUMAN	tr|A0A8C7ALJ7|A0A8C7ALJ7_NEOVI, tr|A0A8C7EY26|A0A8C7EY26_NEOVI, tr|A0A8C7C9L6|A0A8C7C9L6_NEOVI, tr|A0A8C7C5T3|A0A8C7C5T3_NEOVI, tr|A0A8C7CF97|A0A8C7CF97_NEOVI, tr|A0A8C7C714|A0A8C7C714_NEOVI, tr|A0A8C7AQF8|A0A8C7AQF8_NEOVI, tr|A0A8C7B0C6|A0A8C7B0C6_NEOVI, tr|A0A8C7ARM7|A0A8C7ARM7_NEOVI
OG0000001	sp|Q8NH49|OR4X1_HUMAN	tr|A0A8C7AV62|A0A8C7AV62_NEOVI, tr|A0A8C7AUV5|A0A8C7AUV5_NEOVI
OG0000001	sp|Q8NH73|OR4S2_HUMAN	tr|A0A8C7C391|A0A8C7C391_NEOVI
OG0000001	sp|Q8NGL7|OR4P4_HUMAN	tr|A0A8C7EN18|A0A8C7EN18_NEOVI, tr|A0A8C7EN23|A0A8C7EN23_NEOVI, tr|A0A8C7ENA7|A0A8C7ENA7_NEOVI, tr|A0A8C7EYC5|A0A8C7EYC5_NEOVI, tr|A0A8C7C5M3|A0A8C7C5M3_NEOVI, tr|A0A8C7C021|A0A8C7C021_NEOVI, tr|A0A8C7CHE5|A0A8C7CHE5_NEOVI
OG0000002	sp|Q9H346|O52D1_HUMAN	tr|A0A8C7BEZ8|A0A8C7BEZ8_NEOVI, tr|A0A8C7BHM4|A0A8C7BHM4_NEOVI
OG0000002	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A8C7AGI7|A0A8C7AGI7_NEOVI, tr|A0A8C7BL87|A0A8C7BL87_NEOVI
OG0000002	sp|Q8NH55|O52E5_HUMAN	tr|A0A8C7A404|A0A8C7A404_NEOVI
OG0000002	sp|Q8NGJ3|O52E1_HUMAN	tr|A0A8C7AKU5|A0A8C7AKU5_NEOVI, tr|A0A8C7EUL2|A0A8C7EUL2_NEOVI
OG0000002	sp|Q8NGH9|O52E4_HUMAN	tr|A0A8C7ELZ4|A0A8C7ELZ4_NEOVI, tr|A0A8C7A987|A0A8C7A987_NEOVI
OG0000002	sp|Q8NH60|O52J3_HUMAN	tr|A0A8C7BL66|A0A8C7BL66_NEOVI, tr|A0A8C7BR24|A0A8C7BR24_NEOVI, tr|A0A8C7EUL0|A0A8C7EUL0_NEOVI
OG0000002	sp|P0C646|O52Z1_HUMAN	tr|A0A8C7AUJ2|A0A8C7AUJ2_NEOVI
OG0000002	sp|Q96RD2|O52B2_HUMAN	tr|A0A8C7A467|A0A8C7A467_NEOVI
OG0000002	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A8C7BL18|A0A8C7BL18_NEOVI, tr|A0A8C7ETR4|A0A8C7ETR4_NEOVI, tr|A0A8C7A2W1|A0A8C7A2W1_NEOVI, tr|A0A8C7BEG7|A0A8C7BEG7_NEOVI
OG0000003	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A8C7BLA6|A0A8C7BLA6_NEOVI
OG0000003	sp|Q9H2C8|O51V1_HUMAN	tr|A0A8C7AUR0|A0A8C7AUR0_NEOVI, tr|A0A8C7EKJ7|A0A8C7EKJ7_NEOVI
OG0000003	sp|Q8NH59|O51Q1_HUMAN	tr|A0A8C7AGB4|A0A8C7AGB4_NEOVI, tr|A0A8C7A351|A0A8C7A351_NEOVI, tr|A0A8C7A8M8|A0A8C7A8M8_NEOVI
