Orthogroup	Mus_musculus	Diceros_bicornis_minor
OG0000000	tr|A0A1D5RMC2|A0A1D5RMC2_MOUSE	tr|A0A7J7EUN4|A0A7J7EUN4_DICBM
OG0000000	sp|Q61751|Z354A_MOUSE	tr|A0A7J7EXQ1|A0A7J7EXQ1_DICBM
OG0000000	sp|Q8BI99|ZN879_MOUSE	tr|A0A7J7EXZ1|A0A7J7EXZ1_DICBM, tr|A0A7J7EYG8|A0A7J7EYG8_DICBM
OG0000000	sp|Q8BIQ3|ZNF2_MOUSE	tr|A0A7J7FDK8|A0A7J7FDK8_DICBM
OG0000000	tr|Q6PCX8|Q6PCX8_MOUSE	tr|A0A7J7F1Y7|A0A7J7F1Y7_DICBM
OG0000000	tr|Q3TFZ4|Q3TFZ4_MOUSE	tr|A0A7J7F1W5|A0A7J7F1W5_DICBM
OG0000000	sp|Q3V080|ZN583_MOUSE	tr|A0A7J7FN83|A0A7J7FN83_DICBM
OG0000000	sp|P10078|ZFP28_MOUSE	tr|A0A7J7F8L4|A0A7J7F8L4_DICBM, tr|A0A7J7FPD5|A0A7J7FPD5_DICBM, tr|A0A7J7FN75|A0A7J7FN75_DICBM, tr|A0A7J7FNG7|A0A7J7FNG7_DICBM
OG0000000	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A7J7EMT6|A0A7J7EMT6_DICBM, tr|A0A7J7EN64|A0A7J7EN64_DICBM, tr|A0A7J7ENP3|A0A7J7ENP3_DICBM, tr|A0A7J7EMV7|A0A7J7EMV7_DICBM, tr|A0A7J7EMZ2|A0A7J7EMZ2_DICBM, tr|A0A7J7EN81|A0A7J7EN81_DICBM, tr|A0A7J7F8S6|A0A7J7F8S6_DICBM, tr|A0A7J7F9I8|A0A7J7F9I8_DICBM, tr|A0A7J7FN38|A0A7J7FN38_DICBM, tr|A0A7J7F8L9|A0A7J7F8L9_DICBM, tr|A0A7J7F8E0|A0A7J7F8E0_DICBM
OG0000000	sp|Q60585|ZFP30_MOUSE	tr|A0A7J7EIV8|A0A7J7EIV8_DICBM, tr|A0A7J7EIM4|A0A7J7EIM4_DICBM, tr|A0A7J7F8D0|A0A7J7F8D0_DICBM, tr|A0A7J7F8A9|A0A7J7F8A9_DICBM, tr|A0A7J7E780|A0A7J7E780_DICBM, tr|A0A7J7EFQ0|A0A7J7EFQ0_DICBM, tr|A0A7J7FNK3|A0A7J7FNK3_DICBM, tr|A0A7J7F8N3|A0A7J7F8N3_DICBM, tr|A0A7J7F8L0|A0A7J7F8L0_DICBM, tr|A0A7J7F7X4|A0A7J7F7X4_DICBM
OG0000000	sp|Q2TL60|ZN667_MOUSE	tr|A0A7J7F8J0|A0A7J7F8J0_DICBM, tr|A0A7J7FNS7|A0A7J7FNS7_DICBM
OG0000000	tr|Q923D1|Q923D1_MOUSE	tr|A0A7J7EZU6|A0A7J7EZU6_DICBM, tr|A0A7J7F002|A0A7J7F002_DICBM, tr|A0A7J7F0S0|A0A7J7F0S0_DICBM
OG0000000	sp|G3X9G7|ZN809_MOUSE	tr|A0A7J7F6R8|A0A7J7F6R8_DICBM
OG0000000	sp|Q8BI67|ZN473_MOUSE	tr|A0A7J7EB77|A0A7J7EB77_DICBM, tr|A0A7J7F8G7|A0A7J7F8G7_DICBM, tr|A0A7J7ETL8|A0A7J7ETL8_DICBM, tr|A0A7J7F245|A0A7J7F245_DICBM, tr|A0A7J7F1R8|A0A7J7F1R8_DICBM
