Orthogroup	Homo_sapiens	Ursus_maritimus
OG0000000	sp|Q8NGA0|OR7G1_HUMAN	tr|A0A384D9H9|A0A384D9H9_URSMA, tr|A0A384D9P3|A0A384D9P3_URSMA, tr|A0A384DA71|A0A384DA71_URSMA, tr|A0A384DA78|A0A384DA78_URSMA
OG0000000	sp|Q8NG95|OR7G3_HUMAN	tr|A0A384D9G4|A0A384D9G4_URSMA, tr|A0A384DT60|A0A384DT60_URSMA, tr|A0A384DSK3|A0A384DSK3_URSMA, tr|A0A384DC94|A0A384DC94_URSMA, tr|A0A384DQQ2|A0A384DQQ2_URSMA, tr|A0A384DQQ0|A0A384DQQ0_URSMA, tr|A0A384DRM6|A0A384DRM6_URSMA, tr|A0A384BIR7|A0A384BIR7_URSMA, tr|A0A384DTZ6|A0A384DTZ6_URSMA, tr|A0A384DT67|A0A384DT67_URSMA, tr|A0A384BIQ2|A0A384BIQ2_URSMA, tr|A0A384BJI5|A0A384BJI5_URSMA, tr|A0A384DR05|A0A384DR05_URSMA, tr|A0A384BIP6|A0A384BIP6_URSMA, tr|A0A384DRL9|A0A384DRL9_URSMA, tr|A0A384BIR4|A0A384BIR4_URSMA, tr|A0A384DTX7|A0A384DTX7_URSMA, tr|A0A384DRI9|A0A384DRI9_URSMA, tr|A0A384BJZ3|A0A384BJZ3_URSMA, tr|A0A384BJZ8|A0A384BJZ8_URSMA, tr|A0A384DT66|A0A384DT66_URSMA, tr|A0A384BIQ6|A0A384BIQ6_URSMA, tr|A0A384DQZ7|A0A384DQZ7_URSMA, tr|A0A384DQQ7|A0A384DQQ7_URSMA, tr|A0A384DRK0|A0A384DRK0_URSMA, tr|A0A384DT72|A0A384DT72_URSMA, tr|A0A384BIS6|A0A384BIS6_URSMA, tr|A0A384DCE1|A0A384DCE1_URSMA, tr|A0A384DQR6|A0A384DQR6_URSMA, tr|A0A384DQY2|A0A384DQY2_URSMA, tr|A0A384DQR2|A0A384DQR2_URSMA, tr|A0A384DRL6|A0A384DRL6_URSMA, tr|A0A384DCU6|A0A384DCU6_URSMA, tr|A0A384DRJ9|A0A384DRJ9_URSMA, tr|A0A384DQY7|A0A384DQY7_URSMA, tr|A0A384DT74|A0A384DT74_URSMA, tr|A0A384DQP3|A0A384DQP3_URSMA, tr|A0A8M1FL53|A0A8M1FL53_URSMA, tr|A0A384DRJ5|A0A384DRJ5_URSMA, tr|A0A384DT71|A0A384DT71_URSMA, tr|A0A384DRL0|A0A384DRL0_URSMA, tr|A0A384DRL1|A0A384DRL1_URSMA, tr|A0A384DQR9|A0A384DQR9_URSMA, tr|A0A384BIL9|A0A384BIL9_URSMA, tr|A0A384BJI9|A0A384BJI9_URSMA, tr|A0A384BIN6|A0A384BIN6_URSMA, tr|A0A384BIM4|A0A384BIM4_URSMA, tr|A0A384DT82|A0A384DT82_URSMA, tr|A0A384BJJ5|A0A384BJJ5_URSMA, tr|A0A384BIS9|A0A384BIS9_URSMA, tr|A0A384BJY7|A0A384BJY7_URSMA, tr|A0A384DRI8|A0A384DRI8_URSMA, tr|A0A384DQP7|A0A384DQP7_URSMA, tr|A0A384DTZ0|A0A384DTZ0_URSMA, tr|A0A384BJI1|A0A384BJI1_URSMA, tr|A0A384DRJ4|A0A384DRJ4_URSMA, tr|A0A8M1F420|A0A8M1F420_URSMA, tr|A0A8M1F7T0|A0A8M1F7T0_URSMA, tr|A0A8M1FPA7|A0A8M1FPA7_URSMA, tr|A0A8M1F4S5|A0A8M1F4S5_URSMA, tr|A0A384DSG3|A0A384DSG3_URSMA, tr|A0A8M1FNZ7|A0A8M1FNZ7_URSMA, tr|A0A384DT14|A0A384DT14_URSMA, tr|A0A384DT87|A0A384DT87_URSMA, tr|A0A384DSK8|A0A384DSK8_URSMA, tr|A0A384DT80|A0A384DT80_URSMA, tr|A0A384DSF8|A0A384DSF8_URSMA, tr|A0A384D9I7|A0A384D9I7_URSMA, tr|A0A384DAA1|A0A384DAA1_URSMA, tr|A0A384DQQ9|A0A384DQQ9_URSMA, tr|A0A384DRK6|A0A384DRK6_URSMA, tr|A0A384DD13|A0A384DD13_URSMA, tr|A0A384D9T6|A0A384D9T6_URSMA, tr|A0A384D9R7|A0A384D9R7_URSMA, tr|A0A384D9R2|A0A384D9R2_URSMA, tr|A0A384DAC2|A0A384DAC2_URSMA, tr|A0A384D9M4|A0A384D9M4_URSMA, tr|A0A384DA83|A0A384DA83_URSMA
OG0000000	sp|Q8NG99|OR7G2_HUMAN	tr|A0A384DA94|A0A384DA94_URSMA, tr|A0A384D9N8|A0A384D9N8_URSMA, tr|A0A384DA87|A0A384DA87_URSMA, tr|A0A384D9H4|A0A384D9H4_URSMA
OG0000003	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A384DLE6|A0A384DLE6_URSMA
OG0000003	sp|Q8NHA6|OR2W6_HUMAN	tr|A0A384C934|A0A384C934_URSMA
OG0000003	sp|Q7Z3T1|OR2W3_HUMAN	tr|A0A384DU00|A0A384DU00_URSMA, tr|A0A384C8T0|A0A384C8T0_URSMA, tr|A0A384C9V2|A0A384C9V2_URSMA, tr|A0A384DMY9|A0A384DMY9_URSMA, tr|A0A384DMV6|A0A384DMV6_URSMA
OG0000003	sp|Q8NGZ4|OR2G3_HUMAN	tr|A0A384DU12|A0A384DU12_URSMA
OG0000003	sp|Q8N628|OR2C3_HUMAN	tr|A0A384DU08|A0A384DU08_URSMA
OG0000003	sp|Q5TZ20|OR2G6_HUMAN	tr|A0A384BHC0|A0A384BHC0_URSMA
OG0000003	sp|Q8NGZ5|OR2G2_HUMAN	tr|A0A384DTE3|A0A384DTE3_URSMA, tr|A0A384DU04|A0A384DU04_URSMA
