Orthogroup	Homo_sapiens	Jaculus_jaculus
OG0000000	sp|Q8NH50|OR8K5_HUMAN	tr|A0A8C5KAC1|A0A8C5KAC1_JACJA
OG0000000	sp|Q8NH18|OR5J2_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN	tr|A0A8C5KMJ6|A0A8C5KMJ6_JACJA
OG0000000	sp|Q8NGC0|O5AU1_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q8NH48|OR5B3_HUMAN	tr|A0A8C5NUV2|A0A8C5NUV2_JACJA
OG0000000	sp|Q8NGI8|O5AN1_HUMAN	tr|A0A8C5P2W1|A0A8C5P2W1_JACJA
OG0000000	sp|Q8NGI9|OR5A2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN	tr|A0A8C5KJQ7|A0A8C5KJQ7_JACJA
OG0000000	sp|O95221|OR5F1_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN	tr|A0A8C5KKZ8|A0A8C5KKZ8_JACJA
OG0000002	sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|Q15116|PDCD1_HUMAN, sp|P06315|KV502_HUMAN	tr|A0A8C5KXI3|A0A8C5KXI3_JACJA
OG0000002	sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P06312|KV401_HUMAN	tr|A0A8C5KWI4|A0A8C5KWI4_JACJA
OG0000003	sp|P12018|VPREB_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|P01732|CD8A_HUMAN, sp|P01715|LV301_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|P80748|LV321_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01701|LV151_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01721|LV657_HUMAN, sp|P01709|LV208_HUMAN, sp|P01706|LV211_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I9|LV746_HUMAN	tr|A0A8C5KEV7|A0A8C5KEV7_JACJA
OG0000004	sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN	tr|A0A8C5K597|A0A8C5K597_JACJA
