Orthogroup	Homo_sapiens	Pteropus_vampyrus
OG0000002	sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|P01615|KVD28_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P06312|KV401_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01602|KV105_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN	tr|A0A6P6BMM2|A0A6P6BMM2_PTEVA
OG0000003	sp|Q8NGF1|O52R1_HUMAN	tr|A0A6P3RTI2|A0A6P3RTI2_PTEVA
OG0000003	sp|Q8NGJ4|O52E2_HUMAN	tr|A0A6P3RF78|A0A6P3RF78_PTEVA
OG0000003	sp|Q8NH55|O52E5_HUMAN	tr|A0A6P3S0E1|A0A6P3S0E1_PTEVA, tr|A0A6P6C669|A0A6P6C669_PTEVA, tr|A0A6P3S2K1|A0A6P3S2K1_PTEVA
OG0000003	sp|Q8NGH9|O52E4_HUMAN	tr|A0A6P3RD02|A0A6P3RD02_PTEVA, tr|A0A6P6BX07|A0A6P6BX07_PTEVA, tr|A0A6P3RQ27|A0A6P3RQ27_PTEVA
OG0000003	sp|Q8NH60|O52J3_HUMAN	tr|A0A6P3RTH3|A0A6P3RTH3_PTEVA
OG0000003	sp|Q8NGF0|O52B6_HUMAN	tr|A0A6P3RHA7|A0A6P3RHA7_PTEVA
OG0000003	sp|P0C646|O52Z1_HUMAN	tr|A0A6P3RLI5|A0A6P3RLI5_PTEVA, tr|A0A6P3RNG8|A0A6P3RNG8_PTEVA, tr|A0A6P3RH79|A0A6P3RH79_PTEVA
OG0000003	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A6P3RHB6|A0A6P3RHB6_PTEVA, tr|A0A6P3RXQ0|A0A6P3RXQ0_PTEVA, tr|A0A6P3RH93|A0A6P3RH93_PTEVA, tr|A0A6P3RXN4|A0A6P3RXN4_PTEVA
OG0000003	sp|Q96RD2|O52B2_HUMAN	tr|A0A6P3RUY9|A0A6P3RUY9_PTEVA, tr|A0A6P3RLD1|A0A6P3RLD1_PTEVA
OG0000003	sp|Q8NGK2|O52B4_HUMAN	tr|A0A6P3R7E3|A0A6P3R7E3_PTEVA, tr|A0A6P6BX03|A0A6P6BX03_PTEVA, tr|A0A6P3RE75|A0A6P3RE75_PTEVA, tr|A0A6P3S0T6|A0A6P3S0T6_PTEVA
OG0000005	sp|Q8NGK1|O51G1_HUMAN	tr|A0A6P3RCY3|A0A6P3RCY3_PTEVA
OG0000005	sp|Q8NH61|O51F2_HUMAN	tr|A0A6P3RF94|A0A6P3RF94_PTEVA
OG0000005	sp|A6NGY5|O51F1_HUMAN	tr|A0A6P3RLI3|A0A6P3RLI3_PTEVA
OG0000005	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6P3RFD1|A0A6P3RFD1_PTEVA, tr|A0A6P3RLK3|A0A6P3RLK3_PTEVA, tr|A0A6P3RPL7|A0A6P3RPL7_PTEVA, tr|A0A6P3RD11|A0A6P3RD11_PTEVA, tr|A0A6P3RD82|A0A6P3RD82_PTEVA, tr|A0A6P3RTL0|A0A6P3RTL0_PTEVA
OG0000005	sp|Q8NH59|O51Q1_HUMAN	tr|A0A6P3RCZ1|A0A6P3RCZ1_PTEVA, tr|A0A6P3RLK6|A0A6P3RLK6_PTEVA, tr|A0A6P3RHB8|A0A6P3RHB8_PTEVA
OG0000005	sp|Q9H344|O51I2_HUMAN	tr|A0A6P3RH95|A0A6P3RH95_PTEVA
OG0000005	sp|Q9H343|O51I1_HUMAN	tr|A0A6P3RJQ8|A0A6P3RJQ8_PTEVA, tr|A0A6P3RXN0|A0A6P3RXN0_PTEVA, tr|A0A6P3RH83|A0A6P3RH83_PTEVA
OG0000005	sp|Q8NH63|O51H1_HUMAN	tr|A0A6P3RLH9|A0A6P3RLH9_PTEVA, tr|A0A6P3RD07|A0A6P3RD07_PTEVA, tr|A0A6P3RFC5|A0A6P3RFC5_PTEVA
OG0000005	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A6P3RLH4|A0A6P3RLH4_PTEVA, tr|A0A6P3RD46|A0A6P3RD46_PTEVA
OG0000007	sp|A0A0A6YYD4|TVB13_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A576|TVB31_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|P04435|TVB79_HUMAN	tr|A0A6P3RPY1|A0A6P3RPY1_PTEVA
OG0000010	sp|Q8NGS0|OR1N1_HUMAN	tr|A0A6P6CHX6|A0A6P6CHX6_PTEVA
OG0000010	sp|Q8NH06|OR1P1_HUMAN	tr|A0A6P3QCT9|A0A6P3QCT9_PTEVA
OG0000010	sp|Q8NGR9|OR1N2_HUMAN	tr|A0A6P3Q9S4|A0A6P3Q9S4_PTEVA, tr|A0A6P3RPQ5|A0A6P3RPQ5_PTEVA, tr|A0A6P3QJD3|A0A6P3QJD3_PTEVA, tr|A0A6P3R5Q0|A0A6P3R5Q0_PTEVA, tr|A0A6P3QI08|A0A6P3QI08_PTEVA, tr|A0A6P3RQW8|A0A6P3RQW8_PTEVA, tr|A0A6P3QEH3|A0A6P3QEH3_PTEVA, tr|A0A6P3RSE3|A0A6P3RSE3_PTEVA, tr|A0A6P3S0I4|A0A6P3S0I4_PTEVA, tr|A0A6P3Q7J3|A0A6P3Q7J3_PTEVA, tr|A0A6P3QK93|A0A6P3QK93_PTEVA, tr|A0A6P3QNL2|A0A6P3QNL2_PTEVA, tr|A0A6P3QI95|A0A6P3QI95_PTEVA, tr|A0A6P6CH78|A0A6P6CH78_PTEVA, tr|A0A6P3QK88|A0A6P3QK88_PTEVA, tr|A0A6P6CHP9|A0A6P6CHP9_PTEVA, tr|A0A6P3S2X1|A0A6P3S2X1_PTEVA, tr|A0A6P3RN01|A0A6P3RN01_PTEVA, tr|A0A6P3Q9R9|A0A6P3Q9R9_PTEVA, tr|A0A6P6CHF7|A0A6P6CHF7_PTEVA, tr|A0A6P3QDA6|A0A6P3QDA6_PTEVA, tr|A0A6P3QHZ3|A0A6P3QHZ3_PTEVA, tr|A0A6P3Q4Y2|A0A6P3Q4Y2_PTEVA, tr|A0A6P3QM14|A0A6P3QM14_PTEVA, tr|A0A6P3QSX3|A0A6P3QSX3_PTEVA, tr|A0A6P3QGB9|A0A6P3QGB9_PTEVA, tr|A0A6P3Q553|A0A6P3Q553_PTEVA
