Orthogroup	Mus_musculus	Mustela_putorius_furo
OG0000004	tr|Q7TQU8|Q7TQU8_MOUSE	tr|M3Z7J4|M3Z7J4_MUSPF, tr|M3Z7J6|M3Z7J6_MUSPF, tr|M3Z7J0|M3Z7J0_MUSPF, tr|A0A8U0STR5|A0A8U0STR5_MUSPF, tr|A0A8U0MPC0|A0A8U0MPC0_MUSPF, tr|A0A8U0S043|A0A8U0S043_MUSPF, tr|A0A8U0T833|A0A8U0T833_MUSPF, tr|A0A8U0N048|A0A8U0N048_MUSPF, tr|M3Z8V4|M3Z8V4_MUSPF, tr|A0A8U0NIQ4|A0A8U0NIQ4_MUSPF, tr|A0A8U0T7W1|A0A8U0T7W1_MUSPF, tr|A0A8U0NGG1|A0A8U0NGG1_MUSPF, tr|A0A8U0NHP1|A0A8U0NHP1_MUSPF, tr|A0A8U0NHQ0|A0A8U0NHQ0_MUSPF, tr|M3Z4R9|M3Z4R9_MUSPF, tr|A0A8U0NH87|A0A8U0NH87_MUSPF, tr|A0A8U0SZL5|A0A8U0SZL5_MUSPF, tr|A0A8U0STW3|A0A8U0STW3_MUSPF, tr|A0A8U0T8H8|A0A8U0T8H8_MUSPF, tr|A0A8U0SMB1|A0A8U0SMB1_MUSPF, tr|A0A8U0NIF1|A0A8U0NIF1_MUSPF, tr|A0A8U0T814|A0A8U0T814_MUSPF, tr|A0A8U0SZ48|A0A8U0SZ48_MUSPF, tr|A0A8U0NI04|A0A8U0NI04_MUSPF, tr|A0A8U0MZK2|A0A8U0MZK2_MUSPF, tr|A0A8U0T7D3|A0A8U0T7D3_MUSPF, tr|A0A8U0NFU8|A0A8U0NFU8_MUSPF, tr|A0A8U0MZ75|A0A8U0MZ75_MUSPF, tr|A0A8U0SZC6|A0A8U0SZC6_MUSPF, tr|A0A8U0NGT8|A0A8U0NGT8_MUSPF, tr|A0A8U0NFV4|A0A8U0NFV4_MUSPF, tr|A0A8U0NGX5|A0A8U0NGX5_MUSPF, tr|A0A8U0NGN3|A0A8U0NGN3_MUSPF, tr|A0A8U0MZR8|A0A8U0MZR8_MUSPF, tr|A0A8U0SZB4|A0A8U0SZB4_MUSPF, tr|A0A8U0MZJ1|A0A8U0MZJ1_MUSPF, tr|A0A8U0NHZ0|A0A8U0NHZ0_MUSPF, tr|A0A8U0NHW6|A0A8U0NHW6_MUSPF, tr|A0A8U0NGY4|A0A8U0NGY4_MUSPF, tr|A0A8U0RZ18|A0A8U0RZ18_MUSPF, tr|A0A8U0S006|A0A8U0S006_MUSPF, tr|A0A8U0NW08|A0A8U0NW08_MUSPF, tr|A0A8U0RZB6|A0A8U0RZB6_MUSPF, tr|A0A8U0N8Z2|A0A8U0N8Z2_MUSPF, tr|A0A8U0SD02|A0A8U0SD02_MUSPF, tr|A0A8U0S1R2|A0A8U0S1R2_MUSPF, tr|A0A8U0S2Y3|A0A8U0S2Y3_MUSPF, tr|A0A8U0N8A0|A0A8U0N8A0_MUSPF, tr|A0A8U0S266|A0A8U0S266_MUSPF, tr|A0A8U0NNA1|A0A8U0NNA1_MUSPF, tr|A0A8U0NH23|A0A8U0NH23_MUSPF, tr|A0A8U0T8E2|A0A8U0T8E2_MUSPF, tr|A0A8U0V5C1|A0A8U0V5C1_MUSPF, tr|A0A8U0NIG1|A0A8U0NIG1_MUSPF, tr|A0A8U0N7L8|A0A8U0N7L8_MUSPF, tr|A0A8U0SG42|A0A8U0SG42_MUSPF, tr|M3Z7M8|M3Z7M8_MUSPF, tr|A0A8U0T422|A0A8U0T422_MUSPF, tr|A0A8U0N8J9|A0A8U0N8J9_MUSPF, tr|A0A8U0N881|A0A8U0N881_MUSPF, tr|A0A8U0T3T9|A0A8U0T3T9_MUSPF, tr|M3Z7M1|M3Z7M1_MUSPF, tr|A0A8U0T3Z8|A0A8U0T3Z8_MUSPF, tr|A0A8U0N8L8|A0A8U0N8L8_MUSPF, tr|A0A8U0N7L0|A0A8U0N7L0_MUSPF, tr|A0A8U0N9J6|A0A8U0N9J6_MUSPF, tr|A0A8U0NJR7|A0A8U0NJR7_MUSPF
OG0000005	tr|A0A075B5R0|A0A075B5R0_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, sp|P18530|HVM59_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, sp|P18524|HVM53_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, sp|P18526|HVM55_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01810|HVM40_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01809|HVM39_MOUSE, sp|P01811|HVM41_MOUSE, sp|P01806|HVM36_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE, tr|A0A075B5S5|A0A075B5S5_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, sp|P01786|HVM17_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, sp|P01795|HVM26_MOUSE, sp|P01794|HVM25_MOUSE, sp|P01791|HVM22_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01789|HVM20_MOUSE, sp|P01793|HVM24_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, tr|J3QK03|J3QK03_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, sp|P01804|HVM35_MOUSE, sp|P01803|HVM34_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01801|HVM32_MOUSE, sp|P01799|HVM30_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01796|HVM27_MOUSE	tr|A0A8U0V1R9|A0A8U0V1R9_MUSPF
OG0000006	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A8U0VAH4|A0A8U0VAH4_MUSPF
OG0000006	tr|Q6NXM6|Q6NXM6_MOUSE	tr|M3Z1M5|M3Z1M5_MUSPF
OG0000006	tr|Q640N4|Q640N4_MOUSE	tr|A0A8U0VA27|A0A8U0VA27_MUSPF, tr|A0A8U0NKV1|A0A8U0NKV1_MUSPF, tr|M3XST1|M3XST1_MUSPF, tr|A0A8U0V6P1|A0A8U0V6P1_MUSPF, tr|A0A8U0RRS8|A0A8U0RRS8_MUSPF
OG0000006	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8U0RVG5|A0A8U0RVG5_MUSPF
OG0000006	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8U0UYJ4|A0A8U0UYJ4_MUSPF
OG0000006	sp|B2RXC5|ZN382_MOUSE	tr|A0A8U0N2K3|A0A8U0N2K3_MUSPF
OG0000006	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A8U0UZF3|A0A8U0UZF3_MUSPF
OG0000006	sp|Q80W31|ZN569_MOUSE	tr|A0A8U0SQ03|A0A8U0SQ03_MUSPF, tr|M3YYU4|M3YYU4_MUSPF, tr|M3Y261|M3Y261_MUSPF
