Orthogroup	Homo_sapiens	Panthera_tigris_altaica
OG0000001	sp|Q8NGI8|O5AN1_HUMAN	tr|A0A8C9J2H6|A0A8C9J2H6_PANTA
OG0000001	sp|Q8NGI9|OR5A2_HUMAN	tr|A0A8C9JI50|A0A8C9JI50_PANTA, tr|A0A8C9JCJ7|A0A8C9JCJ7_PANTA
OG0000001	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A8C9JN97|A0A8C9JN97_PANTA, tr|A0A8C9K260|A0A8C9K260_PANTA
OG0000001	sp|Q8NH18|OR5J2_HUMAN	tr|A0A8C9M8A7|A0A8C9M8A7_PANTA, tr|A0A8C9JKJ7|A0A8C9JKJ7_PANTA, tr|A0A8C9JIJ8|A0A8C9JIJ8_PANTA
OG0000001	sp|Q8NH50|OR8K5_HUMAN	tr|A0A8C9JNW2|A0A8C9JNW2_PANTA
OG0000001	sp|Q8NH51|OR8K3_HUMAN	tr|A0A8C9MA73|A0A8C9MA73_PANTA, tr|A0A8C9JKU0|A0A8C9JKU0_PANTA, tr|A0A8C9JNU6|A0A8C9JNU6_PANTA, tr|A0A8C9JII0|A0A8C9JII0_PANTA
OG0000001	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A8C9JSE3|A0A8C9JSE3_PANTA
OG0000001	sp|P0C617|O5AL1_HUMAN	tr|A0A8C9JVV8|A0A8C9JVV8_PANTA, tr|A0A8C9JLW7|A0A8C9JLW7_PANTA
OG0000001	sp|Q8NGP4|OR5M3_HUMAN	tr|A0A8C9JP43|A0A8C9JP43_PANTA
OG0000001	sp|Q8NGP3|OR5M9_HUMAN	tr|A0A8C9JSK6|A0A8C9JSK6_PANTA
OG0000001	sp|Q8NGP6|OR5M8_HUMAN	tr|A0A8C9K219|A0A8C9K219_PANTA
OG0000001	sp|P0C626|OR5G3_HUMAN	tr|A0A8C9JKB5|A0A8C9JKB5_PANTA, tr|A0A8C9JLH9|A0A8C9JLH9_PANTA, tr|A0A8C9JM91|A0A8C9JM91_PANTA, tr|A0A8C9KSE5|A0A8C9KSE5_PANTA, tr|A0A8C9JLG5|A0A8C9JLG5_PANTA
OG0000003	tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P0DTE1|HV383_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|P01780|HV307_HUMAN, sp|P01766|HV313_HUMAN, sp|P01763|HV348_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN	tr|A0A8C9JUX5|A0A8C9JUX5_PANTA
OG0000005	sp|A0A1B0GX78|TVBL5_HUMAN, sp|A0A0B4J2E0|TVBL4_HUMAN, sp|P01733|TVBL3_HUMAN, sp|A0A0K0K1C0|TVBK1_HUMAN, sp|A0A584|TVBK2_HUMAN, sp|A0A5A6|TVBK3_HUMAN, sp|A0A1B0GX51|TVB78_HUMAN, sp|A0A1B0GX95|TVB74_HUMAN, sp|A0A1B0GX31|TVB76_HUMAN, sp|A0A0K0K1E9|TVB77_HUMAN, sp|P04435|TVB79_HUMAN, sp|A0A075B6L6|TVB73_HUMAN, sp|A0A1B0GXF2|TVB72_HUMAN, sp|A0A0A6YYK4|TVB71_HUMAN, sp|A0A5B0|TVB14_HUMAN, sp|A0A1B0GX68|TVB2_HUMAN, sp|A0A087X0K7|TVB17_HUMAN, sp|A0A087X0M5|TVB18_HUMAN, sp|A0A0A0MS03|TVB53_HUMAN, sp|A0A599|TVB56_HUMAN, sp|A0A0A0MS05|TVB57_HUMAN, sp|A0A597|TVB55_HUMAN, sp|A0A0C4DH59|TVB54_HUMAN, sp|A0A5A2|TVB58_HUMAN, sp|A0A578|TVB51_HUMAN, sp|A0A0B4J1U6|TVB9_HUMAN, sp|A0A0A6YYD4|TVB13_HUMAN, tr|A0A087WZ39|A0A087WZ39_HUMAN, sp|A0A539|TVB42_HUMAN, sp|A0A589|TVB43_HUMAN, sp|A0A577|TVB41_HUMAN, sp|A0A576|TVB31_HUMAN, sp|A0A0A0MS06|TVB23_HUMAN, sp|A0A087WV62|TVB16_HUMAN	tr|A0A8C9JMB0|A0A8C9JMB0_PANTA
OG0000006	sp|A6NMZ5|O4C45_HUMAN	tr|A0A8C9JHL7|A0A8C9JHL7_PANTA
OG0000006	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A8C9M642|A0A8C9M642_PANTA
OG0000006	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A8C9JC61|A0A8C9JC61_PANTA
OG0000006	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A8C9JAW3|A0A8C9JAW3_PANTA
OG0000006	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A8C9JJR7|A0A8C9JJR7_PANTA
OG0000006	sp|Q8NH73|OR4S2_HUMAN	tr|A0A8C9JFE7|A0A8C9JFE7_PANTA
OG0000006	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A8C9JKA8|A0A8C9JKA8_PANTA, tr|A0A8C9JK98|A0A8C9JK98_PANTA
OG0000006	sp|Q96R67|OR4CC_HUMAN	tr|A0A8C9JRY8|A0A8C9JRY8_PANTA, tr|A0A8C9JAZ0|A0A8C9JAZ0_PANTA, tr|A0A8C9JGW6|A0A8C9JGW6_PANTA, tr|A0A8C9M680|A0A8C9M680_PANTA, tr|A0A8C9M513|A0A8C9M513_PANTA
OG0000007	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A8C9JE59|A0A8C9JE59_PANTA
OG0000007	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8C9JF41|A0A8C9JF41_PANTA
OG0000007	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8C9JE81|A0A8C9JE81_PANTA
OG0000007	sp|Q8NH59|O51Q1_HUMAN	tr|A0A8C9JHC4|A0A8C9JHC4_PANTA, tr|A0A8C9KAC6|A0A8C9KAC6_PANTA, tr|A0A8C9J4Q1|A0A8C9J4Q1_PANTA
OG0000007	sp|Q9H2C8|O51V1_HUMAN	tr|A0A8C9JEB4|A0A8C9JEB4_PANTA, tr|A0A8C9M278|A0A8C9M278_PANTA
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|A0A8C9J8L9|A0A8C9J8L9_PANTA, tr|A0A8C9M387|A0A8C9M387_PANTA
OG0000007	sp|Q9H343|O51I1_HUMAN	tr|A0A8C9JZ76|A0A8C9JZ76_PANTA
OG0000007	sp|Q9H342|O51J1_HUMAN	tr|A0A8C9K2S7|A0A8C9K2S7_PANTA, tr|A0A8C9K5H7|A0A8C9K5H7_PANTA, tr|A0A8C9JAY0|A0A8C9JAY0_PANTA, tr|A0A8C9J556|A0A8C9J556_PANTA
OG0000007	sp|Q8NH63|O51H1_HUMAN	tr|A0A8C9M486|A0A8C9M486_PANTA, tr|A0A8C9M5E2|A0A8C9M5E2_PANTA, tr|A0A8C9JG71|A0A8C9JG71_PANTA, tr|A0A8C9M5C6|A0A8C9M5C6_PANTA
OG0000008	sp|O95222|OR6A2_HUMAN	tr|A0A8C9IZE6|A0A8C9IZE6_PANTA
OG0000008	sp|O95007|OR6B1_HUMAN	tr|A0A8C9JPM0|A0A8C9JPM0_PANTA
OG0000008	sp|Q8NGX8|OR6Y1_HUMAN	tr|A0A8C9J5B2|A0A8C9J5B2_PANTA
OG0000008	sp|Q8NGX9|OR6P1_HUMAN	tr|A0A8C9JFH2|A0A8C9JFH2_PANTA
OG0000008	sp|P58181|O10A3_HUMAN, sp|Q8NH74|O10A6_HUMAN	tr|A0A8C9J561|A0A8C9J561_PANTA, tr|A0A8C9J2I3|A0A8C9J2I3_PANTA, tr|A0A8C9IZV6|A0A8C9IZV6_PANTA
OG0000008	sp|Q8NH19|O10AG_HUMAN	tr|A0A8C9K9T2|A0A8C9K9T2_PANTA, tr|A0A8C9K1H3|A0A8C9K1H3_PANTA, tr|A0A8C9K145|A0A8C9K145_PANTA, tr|A0A8C9KAC0|A0A8C9KAC0_PANTA, tr|A0A8C9M684|A0A8C9M684_PANTA
OG0000008	sp|Q8NGX0|O11L1_HUMAN	tr|A0A8C9J248|A0A8C9J248_PANTA, tr|A0A8C9J4U9|A0A8C9J4U9_PANTA, tr|A0A8C9J437|A0A8C9J437_PANTA
OG0000009	sp|Q8NG99|OR7G2_HUMAN	tr|A0A8C9MB93|A0A8C9MB93_PANTA
OG0000009	sp|Q8NGA0|OR7G1_HUMAN	tr|A0A8C9KBD4|A0A8C9KBD4_PANTA, tr|A0A8C9J814|A0A8C9J814_PANTA
OG0000009	sp|Q8NG95|OR7G3_HUMAN	tr|A0A8C9J9A8|A0A8C9J9A8_PANTA
OG0000009	sp|Q6IFN5|O7E24_HUMAN	tr|A0A8C9JG14|A0A8C9JG14_PANTA, tr|A0A8C9M6P4|A0A8C9M6P4_PANTA, tr|A0A8C9JT79|A0A8C9JT79_PANTA, tr|A0A8C9JB98|A0A8C9JB98_PANTA, tr|A0A8C9JEE5|A0A8C9JEE5_PANTA, tr|A0A8C9M3L9|A0A8C9M3L9_PANTA, tr|A0A8C9JIJ9|A0A8C9JIJ9_PANTA, tr|A0A8C9JBF2|A0A8C9JBF2_PANTA, tr|A0A8C9J8I0|A0A8C9J8I0_PANTA, tr|A0A8C9JAS1|A0A8C9JAS1_PANTA, tr|A0A8C9JJH7|A0A8C9JJH7_PANTA, tr|A0A8C9JS98|A0A8C9JS98_PANTA, tr|A0A8C9JCS9|A0A8C9JCS9_PANTA, tr|A0A8C9IXY4|A0A8C9IXY4_PANTA, tr|A0A8C9JC34|A0A8C9JC34_PANTA, tr|A0A8C9KN08|A0A8C9KN08_PANTA, tr|A0A8C9JJE2|A0A8C9JJE2_PANTA, tr|A0A8C9KN98|A0A8C9KN98_PANTA, tr|A0A8C9JWJ9|A0A8C9JWJ9_PANTA, tr|A0A8C9JAP6|A0A8C9JAP6_PANTA, tr|A0A8C9K8Q5|A0A8C9K8Q5_PANTA, tr|A0A8C9JDT9|A0A8C9JDT9_PANTA, tr|A0A8C9KHP1|A0A8C9KHP1_PANTA, tr|A0A8C9K4N9|A0A8C9K4N9_PANTA
OG0000010	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN	tr|A0A8C9JZD4|A0A8C9JZD4_PANTA
OG0000014	sp|Q96RC9|OR8B4_HUMAN	tr|A0A8C9IZT8|A0A8C9IZT8_PANTA
OG0000014	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A8C9J0C7|A0A8C9J0C7_PANTA
OG0000014	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A8C9IZG4|A0A8C9IZG4_PANTA
OG0000014	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A8C9K5X6|A0A8C9K5X6_PANTA, tr|A0A8C9JA03|A0A8C9JA03_PANTA, tr|A0A8C9J9Z2|A0A8C9J9Z2_PANTA
OG0000016	sp|Q9H346|O52D1_HUMAN	tr|A0A8C9J755|A0A8C9J755_PANTA, tr|A0A8C9M375|A0A8C9M375_PANTA
OG0000016	sp|Q8NH56|O52N5_HUMAN	tr|A0A8C9M556|A0A8C9M556_PANTA
OG0000016	sp|Q8NGI0|O52N2_HUMAN	tr|A0A8C9JJK6|A0A8C9JJK6_PANTA
OG0000016	sp|Q8NH53|O52N1_HUMAN	tr|A0A8C9JRX6|A0A8C9JRX6_PANTA
