Orthogroup	Mus_musculus	Jaculus_jaculus
OG0000000	tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE	tr|A0A8C5KLK5|A0A8C5KLK5_JACJA
OG0000000	tr|Q80ZX9|Q80ZX9_MOUSE	tr|A0A8C5KDZ6|A0A8C5KDZ6_JACJA
OG0000000	tr|Q7TS19|Q7TS19_MOUSE	tr|A0A8C5KLN3|A0A8C5KLN3_JACJA
OG0000000	tr|Q9QZ19|Q9QZ19_MOUSE, tr|Q9QZ22|Q9QZ22_MOUSE, tr|Q9QZ20|Q9QZ20_MOUSE, tr|Q8VGA9|Q8VGA9_MOUSE, tr|Q8VGA0|Q8VGA0_MOUSE, tr|Q8VG87|Q8VG87_MOUSE, tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|A0A8C5KLM3|A0A8C5KLM3_JACJA
OG0000000	tr|Q8VEV0|Q8VEV0_MOUSE, tr|K9J725|K9J725_MOUSE, tr|Q8VFS5|Q8VFS5_MOUSE, tr|Q8VFS6|Q8VFS6_MOUSE, tr|Q8VES9|Q8VES9_MOUSE, tr|Q8VF17|Q8VF17_MOUSE, tr|Q8VF18|Q8VF18_MOUSE, tr|Q8VFS3|Q8VFS3_MOUSE, tr|Q8VEV1|Q8VEV1_MOUSE, sp|P34984|OLF13_MOUSE, tr|Q8VGP6|Q8VGP6_MOUSE, tr|Q7TQV3|Q7TQV3_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|E9PZS7|E9PZS7_MOUSE, tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE, tr|A2ASV3|A2ASV3_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|Q9EP55|Q9EP55_MOUSE, tr|Q9EPG6|Q9EPG6_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE	tr|A0A8C5P3E8|A0A8C5P3E8_JACJA
OG0000001	tr|Q7TR20|Q7TR20_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|Q7TR16|Q7TR16_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, sp|Q7TQQ0|O1509_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY3|A3KGY3_MOUSE	tr|A0A8C5LHB9|A0A8C5LHB9_JACJA
OG0000002	tr|A0A087WNP5|A0A087WNP5_MOUSE, tr|A0A0J9YUD4|A0A0J9YUD4_MOUSE, tr|A0A1W2P6H7|A0A1W2P6H7_MOUSE, tr|A0A1B0GT64|A0A1B0GT64_MOUSE, tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE, tr|Q0P5U5|Q0P5U5_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|L7N208|L7N208_MOUSE, tr|K7N769|K7N769_MOUSE, tr|Q9D308|Q9D308_MOUSE, tr|J3QPX0|J3QPX0_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|L7N248|L7N248_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|L7N267|L7N267_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|F7D043|F7D043_MOUSE, tr|A2ARR8|A2ARR8_MOUSE, tr|Q9CXH3|Q9CXH3_MOUSE, tr|D3Z288|D3Z288_MOUSE, tr|F6T2D2|F6T2D2_MOUSE, tr|A0A571BEN2|A0A571BEN2_MOUSE, tr|A2ANU7|A2ANU7_MOUSE, sp|Q8BZW4|ZN120_MOUSE, tr|F6ZS36|F6ZS36_MOUSE, tr|A2AU83|A2AU83_MOUSE, tr|A2AQA1|A2AQA1_MOUSE, tr|A2AQA0|A2AQA0_MOUSE, tr|A2ARW3|A2ARW3_MOUSE, tr|F7CWA7|F7CWA7_MOUSE, tr|A2AW65|A2AW65_MOUSE, tr|A2ARX0|A2ARX0_MOUSE, tr|A2ARR7|A2ARR7_MOUSE, tr|A2ARV7|A2ARV7_MOUSE, tr|A2BFU4|A2BFU4_MOUSE, tr|A2BFG8|A2BFG8_MOUSE, tr|A2ART2|A2ART2_MOUSE, tr|A2BE20|A2BE20_MOUSE, tr|Q08BU3|Q08BU3_MOUSE, tr|E9Q9W0|E9Q9W0_MOUSE, tr|A2AHM2|A2AHM2_MOUSE, tr|A2BG91|A2BG91_MOUSE, tr|A2ARW8|A2ARW8_MOUSE, tr|A2ART0|A2ART0_MOUSE, tr|A2ART4|A2ART4_MOUSE, tr|A2AW67|A2AW67_MOUSE, tr|A2ARR6|A2ARR6_MOUSE, tr|A2AW66|A2AW66_MOUSE	tr|A0A8C5K329|A0A8C5K329_JACJA
OG0000005	tr|B9EHE6|B9EHE6_MOUSE	tr|A0A8C5L004|A0A8C5L004_JACJA
OG0000005	tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|Q7TRR2|Q7TRR2_MOUSE, tr|L7N224|L7N224_MOUSE, tr|Q8VG01|Q8VG01_MOUSE, tr|E9PV96|E9PV96_MOUSE, tr|K7N6B2|K7N6B2_MOUSE, tr|E9PYY2|E9PYY2_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGU9|Q8VGU9_MOUSE, tr|Q8VGV6|Q8VGV6_MOUSE, tr|Q8VGV5|Q8VGV5_MOUSE, tr|Q7TRU8|Q7TRU8_MOUSE, tr|Q7TRP5|Q7TRP5_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q8VH00|Q8VH00_MOUSE, tr|Q7TRP4|Q7TRP4_MOUSE, tr|Q8VG79|Q8VG79_MOUSE, tr|Q8VGX3|Q8VGX3_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q8VF03|Q8VF03_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|E9Q549|E9Q549_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VG26|Q8VG26_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A8C5KD56|A0A8C5KD56_JACJA
OG0000006	tr|Q8VGI8|Q8VGI8_MOUSE	tr|A0A8C5KCV9|A0A8C5KCV9_JACJA
