Orthogroup	Mus_musculus	Propithecus_coquereli
OG0000003	sp|Q8VFK7|O1020_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|Q7TR95|Q7TR95_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VFC4|Q8VFC4_MOUSE, sp|Q60894|OLF12_MOUSE, tr|Q8VGU3|Q8VGU3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|Q8VFU4|Q8VFU4_MOUSE, tr|Q7TRH2|Q7TRH2_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE, tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VEV5|Q8VEV5_MOUSE, tr|Q8VG66|Q8VG66_MOUSE, tr|Q7TQQ2|Q7TQQ2_MOUSE, tr|Q8VG65|Q8VG65_MOUSE, tr|Q8VFQ3|Q8VFQ3_MOUSE, tr|Q8VFQ4|Q8VFQ4_MOUSE, tr|Q7TQQ3|Q7TQQ3_MOUSE, tr|Q8VG11|Q8VG11_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, sp|Q8VF76|OL998_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE	tr|A0A2K6GIW9|A0A2K6GIW9_PROCO
OG0000007	tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE	tr|A0A2K6GMU7|A0A2K6GMU7_PROCO
OG0000007	tr|Q5SZS9|Q5SZS9_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, sp|P23275|OLF15_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A2K6GQ21|A0A2K6GQ21_PROCO
OG0000008	tr|E9Q3R6|E9Q3R6_MOUSE	tr|A0A2K6EIP6|A0A2K6EIP6_PROCO
OG0000008	sp|P17141|ZFP37_MOUSE	tr|A0A2K6H007|A0A2K6H007_PROCO
OG0000008	sp|Q80W31|ZN569_MOUSE	tr|A0A2K6GQ32|A0A2K6GQ32_PROCO, tr|A0A2K6F7Q8|A0A2K6F7Q8_PROCO, tr|A0A2K6G8W3|A0A2K6G8W3_PROCO, tr|A0A2K6EWD0|A0A2K6EWD0_PROCO
OG0000008	tr|Q640N4|Q640N4_MOUSE	tr|A0A2K6EE67|A0A2K6EE67_PROCO, tr|A0A2K6EJZ3|A0A2K6EJZ3_PROCO, tr|A0A2K6ELG8|A0A2K6ELG8_PROCO, tr|A0A2K6F4V7|A0A2K6F4V7_PROCO
OG0000008	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2K6GX81|A0A2K6GX81_PROCO, tr|A0A2K6GW25|A0A2K6GW25_PROCO
OG0000008	sp|B2RXC5|ZN382_MOUSE	tr|A0A2K6GGT7|A0A2K6GGT7_PROCO, tr|A0A2K6G540|A0A2K6G540_PROCO
OG0000008	sp|G3X9G7|ZN809_MOUSE	tr|A0A2K6F7V2|A0A2K6F7V2_PROCO, tr|A0A2K6FM08|A0A2K6FM08_PROCO, tr|A0A2K6GD34|A0A2K6GD34_PROCO
