Orthogroup	Mus_musculus	Theropithecus_gelada
OG0000000	sp|Q9CQ90|CI085_MOUSE	tr|A0A8D2G2T4|A0A8D2G2T4_THEGE
OG0000000	sp|Q8BUE7|MUC20_MOUSE	tr|A0A8D2E4H4|A0A8D2E4H4_THEGE, tr|A0A8D2FCM2|A0A8D2FCM2_THEGE, tr|A0A8D2EZH9|A0A8D2EZH9_THEGE, tr|A0A8D2K2B2|A0A8D2K2B2_THEGE, tr|A0A8D2FCD7|A0A8D2FCD7_THEGE, tr|A0A8D2F9Z8|A0A8D2F9Z8_THEGE, tr|A0A8D2GDX3|A0A8D2GDX3_THEGE, tr|A0A8D2F2C0|A0A8D2F2C0_THEGE, tr|A0A8D2F7Y8|A0A8D2F7Y8_THEGE, tr|A0A8D2ETC9|A0A8D2ETC9_THEGE, tr|A0A8D2JZ78|A0A8D2JZ78_THEGE, tr|A0A8D2FW87|A0A8D2FW87_THEGE, tr|A0A8D2K9F5|A0A8D2K9F5_THEGE
OG0000000	sp|D3KU66|ASMT_MOUSE	tr|A0A8D2FQQ5|A0A8D2FQQ5_THEGE, tr|A0A8D2ETD7|A0A8D2ETD7_THEGE, tr|A0A8D2GJX2|A0A8D2GJX2_THEGE, tr|A0A8D2EKU8|A0A8D2EKU8_THEGE, tr|A0A8D2K8P6|A0A8D2K8P6_THEGE, tr|A0A8D2E7K6|A0A8D2E7K6_THEGE, tr|A0A8D2K7M2|A0A8D2K7M2_THEGE, tr|A0A8D2FI88|A0A8D2FI88_THEGE, tr|A0A8D2GCP9|A0A8D2GCP9_THEGE, tr|A0A8D2E872|A0A8D2E872_THEGE, tr|A0A8D2FQK5|A0A8D2FQK5_THEGE, tr|A0A8D2GCT8|A0A8D2GCT8_THEGE, tr|A0A8D2E6J0|A0A8D2E6J0_THEGE, tr|A0A8D2G554|A0A8D2G554_THEGE, tr|A0A8D2JXN2|A0A8D2JXN2_THEGE, tr|A0A8D2K153|A0A8D2K153_THEGE, tr|A0A8D2FN06|A0A8D2FN06_THEGE, tr|A0A8D2E9P7|A0A8D2E9P7_THEGE, tr|A0A8D2K0K1|A0A8D2K0K1_THEGE, tr|A0A8D2F1X5|A0A8D2F1X5_THEGE, tr|A0A8D2FZ06|A0A8D2FZ06_THEGE, tr|A0A8D2EGA4|A0A8D2EGA4_THEGE, tr|A0A8D2GEH4|A0A8D2GEH4_THEGE, tr|A0A8D2JXV0|A0A8D2JXV0_THEGE, tr|A0A8D2GFG0|A0A8D2GFG0_THEGE, tr|A0A8D2EZG3|A0A8D2EZG3_THEGE, tr|A0A8D2F993|A0A8D2F993_THEGE, tr|A0A8D2K2C7|A0A8D2K2C7_THEGE, tr|A0A8D2FYR0|A0A8D2FYR0_THEGE, tr|A0A8D2FUT3|A0A8D2FUT3_THEGE, tr|A0A8D2FX59|A0A8D2FX59_THEGE, tr|A0A8D2EUH3|A0A8D2EUH3_THEGE, tr|A0A8D2G4M0|A0A8D2G4M0_THEGE, tr|A0A8D2EGM6|A0A8D2EGM6_THEGE, tr|A0A8D2E6Q4|A0A8D2E6Q4_THEGE, tr|A0A8D2GMH5|A0A8D2GMH5_THEGE, tr|A0A8D2EFJ3|A0A8D2EFJ3_THEGE, tr|A0A8D2GFC4|A0A8D2GFC4_THEGE, tr|A0A8D2G9M6|A0A8D2G9M6_THEGE, tr|A0A8D2F217|A0A8D2F217_THEGE, tr|A0A8D2JZY7|A0A8D2JZY7_THEGE, tr|A0A8D2JWV8|A0A8D2JWV8_THEGE, tr|A0A8D2K1F1|A0A8D2K1F1_THEGE, tr|A0A8D2K4B3|A0A8D2K4B3_THEGE, tr|A0A8D2FTQ3|A0A8D2FTQ3_THEGE, tr|A0A8D2E8T1|A0A8D2E8T1_THEGE, tr|A0A8D2GBD2|A0A8D2GBD2_THEGE, tr|A0A8D2GEH8|A0A8D2GEH8_THEGE, tr|A0A8D2DYY8|A0A8D2DYY8_THEGE, tr|A0A8D2FUG7|A0A8D2FUG7_THEGE, tr|A0A8D2JVZ6|A0A8D2JVZ6_THEGE, tr|A0A8D2EYD0|A0A8D2EYD0_THEGE, tr|A0A8D2E4L5|A0A8D2E4L5_THEGE, tr|A0A8D2EEQ1|A0A8D2EEQ1_THEGE, tr|A0A8D2EJP7|A0A8D2EJP7_THEGE, tr|A0A8D2JY64|A0A8D2JY64_THEGE, tr|A0A8D2K895|A0A8D2K895_THEGE, tr|A0A8D2GIT8|A0A8D2GIT8_THEGE, tr|A0A8D2F4B6|A0A8D2F4B6_THEGE, tr|A0A8D2F232|A0A8D2F232_THEGE, tr|A0A8D2F4R9|A0A8D2F4R9_THEGE
OG0000003	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A8D2FKU9|A0A8D2FKU9_THEGE
OG0000003	sp|B2RXC5|ZN382_MOUSE	tr|A0A8D2ENE1|A0A8D2ENE1_THEGE
OG0000003	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8D2K2N0|A0A8D2K2N0_THEGE
OG0000003	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8D2E8B3|A0A8D2E8B3_THEGE
OG0000003	sp|Q80W31|ZN569_MOUSE	tr|A0A8D2ENZ3|A0A8D2ENZ3_THEGE
OG0000003	sp|E9PYI1|ZN568_MOUSE	tr|A0A8D2EP66|A0A8D2EP66_THEGE
OG0000003	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A8D2JW66|A0A8D2JW66_THEGE, tr|A0A8D2EA16|A0A8D2EA16_THEGE, tr|A0A8D2EFF3|A0A8D2EFF3_THEGE, tr|A0A8D2EER2|A0A8D2EER2_THEGE, tr|A0A8D2JW76|A0A8D2JW76_THEGE, tr|A0A8D2JVV0|A0A8D2JVV0_THEGE, tr|A0A8D2E8S0|A0A8D2E8S0_THEGE, tr|A0A8D2E5C3|A0A8D2E5C3_THEGE, tr|A0A8D2E8P9|A0A8D2E8P9_THEGE, tr|A0A8D2EGM0|A0A8D2EGM0_THEGE, tr|A0A8D2G1T3|A0A8D2G1T3_THEGE, tr|A0A8D2EYV5|A0A8D2EYV5_THEGE
OG0000003	sp|Q3URU2|PEG3_MOUSE	tr|A0A8D2EQY3|A0A8D2EQY3_THEGE, tr|A0A8D2JXJ9|A0A8D2JXJ9_THEGE, tr|A0A8D2JWH6|A0A8D2JWH6_THEGE, tr|A0A8D2EYY5|A0A8D2EYY5_THEGE, tr|A0A8D2EYT7|A0A8D2EYT7_THEGE, tr|A0A8D2EY80|A0A8D2EY80_THEGE, tr|A0A8D2F093|A0A8D2F093_THEGE, tr|A0A8D2F9K3|A0A8D2F9K3_THEGE
OG0000003	tr|Q640N4|Q640N4_MOUSE	tr|A0A8D2KA62|A0A8D2KA62_THEGE, tr|A0A8D2F3G1|A0A8D2F3G1_THEGE
OG0000004	sp|Q7TSH9|ZN184_MOUSE	tr|A0A8D2JUZ0|A0A8D2JUZ0_THEGE
OG0000004	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8D2JXH9|A0A8D2JXH9_THEGE, tr|A0A8D2F8E3|A0A8D2F8E3_THEGE, tr|A0A8D2JXU2|A0A8D2JXU2_THEGE
OG0000004	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8D2EMP4|A0A8D2EMP4_THEGE, tr|A0A8D2ENF7|A0A8D2ENF7_THEGE
OG0000004	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8D2ERR9|A0A8D2ERR9_THEGE
OG0000004	sp|Q60585|ZFP30_MOUSE	tr|A0A8D2EN10|A0A8D2EN10_THEGE
OG0000004	tr|Q5U406|Q5U406_MOUSE	tr|A0A8D2F8S2|A0A8D2F8S2_THEGE
OG0000004	sp|Q3V080|ZN583_MOUSE	tr|A0A8D2F9Y9|A0A8D2F9Y9_THEGE, tr|A0A8D2EG84|A0A8D2EG84_THEGE, tr|A0A8D2FB85|A0A8D2FB85_THEGE
OG0000004	sp|P10078|ZFP28_MOUSE	tr|A0A8D2K1N1|A0A8D2K1N1_THEGE
OG0000011	tr|L7N213|L7N213_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|Q8R255|Q8R255_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q8R296|Q8R296_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|K7N608|K7N608_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|Q8R290|Q8R290_MOUSE	tr|A0A8D2JX27|A0A8D2JX27_THEGE
