Orthogroup	Mus_musculus	Octodon_degus
OG0000001	tr|L7N267|L7N267_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|A2ARR8|A2ARR8_MOUSE, tr|Q08BU3|Q08BU3_MOUSE, tr|A2BE20|A2BE20_MOUSE, tr|A2ART2|A2ART2_MOUSE, tr|E9Q9W0|E9Q9W0_MOUSE, tr|A2BFG8|A2BFG8_MOUSE, tr|A2AHM2|A2AHM2_MOUSE, tr|A2BFU4|A2BFU4_MOUSE, tr|A2AW67|A2AW67_MOUSE, tr|A2ARW8|A2ARW8_MOUSE, tr|A2BG91|A2BG91_MOUSE, tr|A2ART0|A2ART0_MOUSE, tr|A2ART4|A2ART4_MOUSE, tr|A2ARR7|A2ARR7_MOUSE, tr|A2AW66|A2AW66_MOUSE, tr|A2ARR6|A2ARR6_MOUSE, tr|A2ARV7|A2ARV7_MOUSE, tr|A2ARX0|A2ARX0_MOUSE, tr|A2AW65|A2AW65_MOUSE, tr|F7CWA7|F7CWA7_MOUSE, tr|A2ARW3|A2ARW3_MOUSE, sp|Q8BZW4|ZN120_MOUSE, tr|A2AQA1|A2AQA1_MOUSE, tr|F6ZS36|F6ZS36_MOUSE, tr|A2AU83|A2AU83_MOUSE, tr|A2AQA0|A2AQA0_MOUSE, tr|Q9CXH3|Q9CXH3_MOUSE, tr|A2ANU7|A2ANU7_MOUSE, tr|A0A571BEN2|A0A571BEN2_MOUSE, tr|F6T2D2|F6T2D2_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|L7N208|L7N208_MOUSE, tr|K7N769|K7N769_MOUSE, tr|Q9D308|Q9D308_MOUSE, tr|J3QPX0|J3QPX0_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|L7N248|L7N248_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|Q9JIC0|Q9JIC0_MOUSE, tr|Q91VM8|Q91VM8_MOUSE, tr|Q8K0G9|Q8K0G9_MOUSE, tr|E9Q9G3|E9Q9G3_MOUSE, tr|A0A1B0GR71|A0A1B0GR71_MOUSE, tr|A0A087WNP5|A0A087WNP5_MOUSE, tr|A0A1B0GT64|A0A1B0GT64_MOUSE, tr|A0A1W2P6H7|A0A1W2P6H7_MOUSE, tr|A0A0J9YUD4|A0A0J9YUD4_MOUSE, tr|A0A0J9YVH3|A0A0J9YVH3_MOUSE, tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE, tr|F7D043|F7D043_MOUSE	tr|A0A6P6DKN4|A0A6P6DKN4_OCTDE
OG0000014	tr|Q8VEY9|Q8VEY9_MOUSE	tr|A0A6P3EW14|A0A6P3EW14_OCTDE, tr|A0A6P3F6M5|A0A6P3F6M5_OCTDE
OG0000014	tr|E9PVX1|E9PVX1_MOUSE	tr|A0A6P3F989|A0A6P3F989_OCTDE, tr|A0A6P3EW03|A0A6P3EW03_OCTDE
OG0000014	sp|Q7TRF3|OL867_MOUSE	tr|A0A6P3F900|A0A6P3F900_OCTDE, tr|A0A6P3EW09|A0A6P3EW09_OCTDE, tr|A0A6P3V9R6|A0A6P3V9R6_OCTDE, tr|A0A6P3G0Q5|A0A6P3G0Q5_OCTDE, tr|A0A6P3FFP4|A0A6P3FFP4_OCTDE, tr|A0A6P3FE53|A0A6P3FE53_OCTDE, tr|A0A6P3VEJ7|A0A6P3VEJ7_OCTDE, tr|A0A6P3F995|A0A6P3F995_OCTDE, tr|A0A6P3EW41|A0A6P3EW41_OCTDE, tr|A0A6P3FAK3|A0A6P3FAK3_OCTDE, tr|A0A6P3F6N0|A0A6P3F6N0_OCTDE, tr|A0A6P6DLD0|A0A6P6DLD0_OCTDE, tr|A0A6P3F9A5|A0A6P3F9A5_OCTDE, tr|A0A6P6DLD4|A0A6P6DLD4_OCTDE, tr|A0A6P3EW21|A0A6P3EW21_OCTDE, tr|A0A6P3F6E5|A0A6P3F6E5_OCTDE, tr|A0A6P3FTC2|A0A6P3FTC2_OCTDE, tr|A0A6P3VDS2|A0A6P3VDS2_OCTDE, tr|A0A6P6DMJ3|A0A6P6DMJ3_OCTDE, tr|A0A6P3EW37|A0A6P3EW37_OCTDE, tr|A0A6P6EU82|A0A6P6EU82_OCTDE, tr|A0A6P3FAB9|A0A6P3FAB9_OCTDE, tr|A0A6P3VDQ9|A0A6P3VDQ9_OCTDE, tr|A0A6P3EVR4|A0A6P3EVR4_OCTDE, tr|A0A6P3EVW2|A0A6P3EVW2_OCTDE, tr|A0A6P3F908|A0A6P3F908_OCTDE, tr|A0A6P3EVZ4|A0A6P3EVZ4_OCTDE, tr|A0A6P3EZX4|A0A6P3EZX4_OCTDE, tr|A0A6P6EK13|A0A6P6EK13_OCTDE, tr|A0A6P6EKQ7|A0A6P6EKQ7_OCTDE, tr|A0A6P6EKS7|A0A6P6EKS7_OCTDE, tr|A0A6P3F9A0|A0A6P3F9A0_OCTDE, tr|A0A6P3F982|A0A6P3F982_OCTDE, tr|A0A6P3F6M0|A0A6P3F6M0_OCTDE, tr|A0A6P3FAJ3|A0A6P3FAJ3_OCTDE
OG0000015	sp|Q45VN2|DFA20_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|P28311|DEFA4_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|K9J724|K9J724_MOUSE, tr|D3YX02|D3YX02_MOUSE, sp|P28312|DEFA5_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, tr|Q9D848|Q9D848_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, tr|D3YX03|D3YX03_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50716|DAR12_MOUSE, sp|P50715|DFA31_MOUSE, sp|P17534|DFAR2_MOUSE, tr|Q5ERI8|Q5ERI8_MOUSE, sp|Q3L180|DFA26_MOUSE, tr|L7N231|L7N231_MOUSE, sp|P28310|DEFA3_MOUSE, sp|P50709|DFA11_MOUSE, sp|P11477|DEFA1_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE, sp|Q5G865|DFA24_MOUSE, sp|P50704|DEFA6_MOUSE, sp|P50714|DFA16_MOUSE, sp|P50708|DFA10_MOUSE, tr|F2Z403|F2Z403_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, sp|Q5G864|DFA25_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|P28309|DEFA2_MOUSE, sp|P50706|DEFA8_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50712|DFA14_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P50711|DFA13_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE	tr|A0A6P6DE79|A0A6P6DE79_OCTDE
OG0000021	tr|Q640N4|Q640N4_MOUSE	tr|A0A6P6EXE2|A0A6P6EXE2_OCTDE
OG0000021	sp|Q61967|ZFP90_MOUSE	tr|A0A6P6DLY0|A0A6P6DLY0_OCTDE, tr|A0A6P3V988|A0A6P3V988_OCTDE, tr|A0A6P6DW91|A0A6P6DW91_OCTDE, tr|A0A6P6DLU1|A0A6P6DLU1_OCTDE, tr|A0A6P6EYL8|A0A6P6EYL8_OCTDE, tr|A0A6P6EYE3|A0A6P6EYE3_OCTDE, tr|A0A6P3EWT9|A0A6P3EWT9_OCTDE, tr|A0A6P6DW21|A0A6P6DW21_OCTDE, tr|A0A6P6DW68|A0A6P6DW68_OCTDE, tr|A0A6P6EYQ8|A0A6P6EYQ8_OCTDE, tr|A0A6P3FTH6|A0A6P3FTH6_OCTDE, tr|A0A6P3FPW8|A0A6P3FPW8_OCTDE, tr|A0A6P6EMT4|A0A6P6EMT4_OCTDE, tr|A0A6P6EVJ9|A0A6P6EVJ9_OCTDE, tr|A0A6P6EDH6|A0A6P6EDH6_OCTDE, tr|A0A6P3VA41|A0A6P3VA41_OCTDE, tr|A0A6P3EXA5|A0A6P3EXA5_OCTDE
OG0000021	sp|P10077|ZFP27_MOUSE	tr|A0A6P6EFJ3|A0A6P6EFJ3_OCTDE, tr|A0A6P6DJ50|A0A6P6DJ50_OCTDE, tr|A0A6P6EMP1|A0A6P6EMP1_OCTDE, tr|A0A6P6EYG4|A0A6P6EYG4_OCTDE
OG0000021	sp|Q7TSI0|ZNF12_MOUSE, sp|Q8BQC8|RBAK_MOUSE	tr|A0A6P6EAR9|A0A6P6EAR9_OCTDE
OG0000021	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A6P6EX04|A0A6P6EX04_OCTDE
