Orthogroup	Mus_musculus	Equus_caballus
OG0000000	sp|Q9CQC3|CFA95_MOUSE	tr|A0A3Q2HR29|A0A3Q2HR29_HORSE, tr|A0A3Q2KXJ5|A0A3Q2KXJ5_HORSE, tr|A0A3Q2HPG9|A0A3Q2HPG9_HORSE, tr|A0A3Q2I374|A0A3Q2I374_HORSE, tr|A0A3Q2KZS4|A0A3Q2KZS4_HORSE, tr|F7DC66|F7DC66_HORSE, tr|F6SHW4|F6SHW4_HORSE, tr|A0A3Q2HAT4|A0A3Q2HAT4_HORSE, tr|A0A3Q2I0L9|A0A3Q2I0L9_HORSE, tr|A0A3Q2HFA6|A0A3Q2HFA6_HORSE, tr|F7B7Q6|F7B7Q6_HORSE, tr|F7DTK9|F7DTK9_HORSE, tr|A0A3Q2HQ94|A0A3Q2HQ94_HORSE, tr|F6TG79|F6TG79_HORSE, tr|A0A3Q2ICU7|A0A3Q2ICU7_HORSE, tr|A0A3Q2HXQ0|A0A3Q2HXQ0_HORSE, tr|A0A3Q2L6X9|A0A3Q2L6X9_HORSE, tr|A0A5F5PZB2|A0A5F5PZB2_HORSE, tr|A0A3Q2HS90|A0A3Q2HS90_HORSE, tr|A0A3Q2HTP3|A0A3Q2HTP3_HORSE, tr|F7AVM9|F7AVM9_HORSE, tr|F7AFN3|F7AFN3_HORSE, tr|A0A5F5PLW9|A0A5F5PLW9_HORSE, tr|F6T7N1|F6T7N1_HORSE, tr|A0A3Q2H3X3|A0A3Q2H3X3_HORSE, tr|F6VET6|F6VET6_HORSE, tr|A0A3Q2HUW8|A0A3Q2HUW8_HORSE, tr|A0A3Q2HTV3|A0A3Q2HTV3_HORSE, tr|A0A3Q2HD79|A0A3Q2HD79_HORSE, tr|A0A5F5Q4V5|A0A5F5Q4V5_HORSE, tr|F6TY99|F6TY99_HORSE, tr|A0A3Q2HB72|A0A3Q2HB72_HORSE, tr|F6WIJ9|F6WIJ9_HORSE, tr|F7DJU7|F7DJU7_HORSE, tr|A0A3Q2L5W7|A0A3Q2L5W7_HORSE, tr|A0A3Q2HPX2|A0A3Q2HPX2_HORSE, tr|F6SGR0|F6SGR0_HORSE, tr|A0A3Q2H4G2|A0A3Q2H4G2_HORSE, tr|A0A5F5PY61|A0A5F5PY61_HORSE, tr|A0A3Q2GVU1|A0A3Q2GVU1_HORSE, tr|F6QQY5|F6QQY5_HORSE, tr|F6Q085|F6Q085_HORSE, tr|F6TAW9|F6TAW9_HORSE, tr|A0A3Q2ILC0|A0A3Q2ILC0_HORSE, tr|A0A3Q2HLS5|A0A3Q2HLS5_HORSE, tr|F7B4S0|F7B4S0_HORSE, tr|F6QFX1|F6QFX1_HORSE, tr|A0A3Q2H3W5|A0A3Q2H3W5_HORSE, tr|A0A5F5PTT9|A0A5F5PTT9_HORSE, tr|A0A5F5PKQ0|A0A5F5PKQ0_HORSE, tr|A0A3Q2HGC1|A0A3Q2HGC1_HORSE, tr|F7DWS3|F7DWS3_HORSE, tr|F6QTB2|F6QTB2_HORSE, tr|A0A3Q2LN13|A0A3Q2LN13_HORSE, tr|A0A5F5PM26|A0A5F5PM26_HORSE, tr|A0A3Q2LEF1|A0A3Q2LEF1_HORSE, tr|A0A3Q2HE40|A0A3Q2HE40_HORSE, tr|A0A3Q2LN06|A0A3Q2LN06_HORSE, tr|A0A3Q2LQ44|A0A3Q2LQ44_HORSE, tr|A0A3Q2L826|A0A3Q2L826_HORSE, tr|A0A3Q2I9H3|A0A3Q2I9H3_HORSE, tr|F6TQA5|F6TQA5_HORSE, tr|A0A3Q2HRD8|A0A3Q2HRD8_HORSE, tr|A0A3Q2KVF9|A0A3Q2KVF9_HORSE, tr|F7DFZ3|F7DFZ3_HORSE, tr|A0A3Q2HYN9|A0A3Q2HYN9_HORSE, tr|A0A3Q2H8A0|A0A3Q2H8A0_HORSE, tr|F7BHW7|F7BHW7_HORSE, tr|A0A3Q2I6W8|A0A3Q2I6W8_HORSE, tr|A0A3Q2IDF1|A0A3Q2IDF1_HORSE, tr|A0A3Q2I7A8|A0A3Q2I7A8_HORSE, tr|A0A5F5Q3J3|A0A5F5Q3J3_HORSE, tr|A0A3Q2H083|A0A3Q2H083_HORSE, tr|F6YRL6|F6YRL6_HORSE, tr|A0A5F5PH84|A0A5F5PH84_HORSE, tr|A0A3Q2HA84|A0A3Q2HA84_HORSE, tr|A0A3Q2L638|A0A3Q2L638_HORSE, tr|A0A3Q2H1X1|A0A3Q2H1X1_HORSE, tr|A0A5F5PQM9|A0A5F5PQM9_HORSE, tr|A0A3Q2GSS7|A0A3Q2GSS7_HORSE, tr|A0A3Q2HTX0|A0A3Q2HTX0_HORSE, tr|A0A3Q2HEB1|A0A3Q2HEB1_HORSE, tr|A0A5F5PX79|A0A5F5PX79_HORSE, tr|A0A3Q2HMK0|A0A3Q2HMK0_HORSE, tr|A0A3Q2H1K8|A0A3Q2H1K8_HORSE, tr|F6VJ65|F6VJ65_HORSE, tr|A0A3Q2GWF3|A0A3Q2GWF3_HORSE, tr|A0A3Q2HS45|A0A3Q2HS45_HORSE, tr|A0A3Q2HUS6|A0A3Q2HUS6_HORSE, tr|A0A3Q2LTK3|A0A3Q2LTK3_HORSE, tr|A0A3Q2I8W9|A0A3Q2I8W9_HORSE, tr|A0A3Q2H683|A0A3Q2H683_HORSE, tr|F6UQL2|F6UQL2_HORSE, tr|A0A3Q2IAL7|A0A3Q2IAL7_HORSE, tr|A0A3Q2H009|A0A3Q2H009_HORSE, tr|A0A5F5PMG4|A0A5F5PMG4_HORSE, tr|F6QZT9|F6QZT9_HORSE, tr|A0A3Q2HRE1|A0A3Q2HRE1_HORSE, tr|F7BA00|F7BA00_HORSE, tr|A0A3Q2HNK8|A0A3Q2HNK8_HORSE, tr|A0A3Q2HNB1|A0A3Q2HNB1_HORSE, tr|A0A3Q2H9D8|A0A3Q2H9D8_HORSE, tr|A0A3Q2HAI1|A0A3Q2HAI1_HORSE, tr|F7C182|F7C182_HORSE, tr|F7BRP4|F7BRP4_HORSE, tr|A0A5F5PXM7|A0A5F5PXM7_HORSE, tr|A0A3Q2GUD6|A0A3Q2GUD6_HORSE, tr|A0A3Q2HU16|A0A3Q2HU16_HORSE, tr|A0A3Q2HIJ1|A0A3Q2HIJ1_HORSE, tr|A0A3Q2L5I4|A0A3Q2L5I4_HORSE, tr|A0A3Q2GTL3|A0A3Q2GTL3_HORSE, tr|A0A3Q2HRA8|A0A3Q2HRA8_HORSE, tr|F6U135|F6U135_HORSE, tr|A0A3Q2H418|A0A3Q2H418_HORSE, tr|A0A3Q2KZR2|A0A3Q2KZR2_HORSE, tr|F6YX12|F6YX12_HORSE, tr|A0A3Q2HQ39|A0A3Q2HQ39_HORSE, tr|A0A3Q2HAL3|A0A3Q2HAL3_HORSE, tr|A0A3Q2HI88|A0A3Q2HI88_HORSE, tr|A0A3Q2IA22|A0A3Q2IA22_HORSE, tr|A0A5F5PM89|A0A5F5PM89_HORSE, tr|F6RGW1|F6RGW1_HORSE, tr|F7E1D8|F7E1D8_HORSE, tr|F6RPI2|F6RPI2_HORSE, tr|A0A3Q2HTB1|A0A3Q2HTB1_HORSE, tr|A0A3Q2LRK4|A0A3Q2LRK4_HORSE, tr|A0A3Q2LFS2|A0A3Q2LFS2_HORSE, tr|A0A3Q2LM72|A0A3Q2LM72_HORSE, tr|F6QQV5|F6QQV5_HORSE, tr|F7DG42|F7DG42_HORSE, tr|A0A3Q2GY72|A0A3Q2GY72_HORSE, tr|A0A3Q2GUJ0|A0A3Q2GUJ0_HORSE, tr|A0A3Q2HM38|A0A3Q2HM38_HORSE, tr|F6U0C1|F6U0C1_HORSE, tr|A0A5F5Q3L9|A0A5F5Q3L9_HORSE, tr|A0A3Q2IEF0|A0A3Q2IEF0_HORSE, tr|A0A3Q2HC11|A0A3Q2HC11_HORSE, tr|A0A3Q2HNW1|A0A3Q2HNW1_HORSE, tr|A0A3Q2I8K5|A0A3Q2I8K5_HORSE, tr|F6UG21|F6UG21_HORSE, tr|A0A3Q2HTE2|A0A3Q2HTE2_HORSE, tr|A0A3Q2GTK9|A0A3Q2GTK9_HORSE, tr|F7AP15|F7AP15_HORSE, tr|A0A3Q2H0B0|A0A3Q2H0B0_HORSE, tr|F6ZWN8|F6ZWN8_HORSE, tr|F6XFF2|F6XFF2_HORSE, tr|F6W3J8|F6W3J8_HORSE, tr|A0A3Q2GU54|A0A3Q2GU54_HORSE, tr|A0A3Q2H6F9|A0A3Q2H6F9_HORSE, tr|F6Z175|F6Z175_HORSE, tr|A0A3Q2GWX1|A0A3Q2GWX1_HORSE, tr|A0A3Q2H8K9|A0A3Q2H8K9_HORSE, tr|A0A3Q2HHT2|A0A3Q2HHT2_HORSE, tr|A0A3Q2IGV5|A0A3Q2IGV5_HORSE, tr|A0A3Q2GUL9|A0A3Q2GUL9_HORSE, tr|A0A3Q2LQL7|A0A3Q2LQL7_HORSE, tr|A0A3Q2GVR5|A0A3Q2GVR5_HORSE, tr|A0A5F5PKB6|A0A5F5PKB6_HORSE, tr|A0A3Q2HCB9|A0A3Q2HCB9_HORSE, tr|A0A3Q2I7C4|A0A3Q2I7C4_HORSE, tr|A0A5F5PG91|A0A5F5PG91_HORSE, tr|A0A3Q2HAY8|A0A3Q2HAY8_HORSE, tr|F7DNJ0|F7DNJ0_HORSE, tr|A0A3Q2GXA4|A0A3Q2GXA4_HORSE, tr|A0A5F5PSX3|A0A5F5PSX3_HORSE, tr|A0A3Q2HJB3|A0A3Q2HJB3_HORSE, tr|A0A3Q2H0G7|A0A3Q2H0G7_HORSE, tr|A0A3Q2HCB6|A0A3Q2HCB6_HORSE, tr|A0A5F5PN46|A0A5F5PN46_HORSE, tr|A0A3Q2HSP1|A0A3Q2HSP1_HORSE, tr|A0A5F5PUC9|A0A5F5PUC9_HORSE, tr|F7CV26|F7CV26_HORSE, tr|A0A3Q2I9J8|A0A3Q2I9J8_HORSE, tr|F7DIT0|F7DIT0_HORSE, tr|A0A3Q2HJ68|A0A3Q2HJ68_HORSE, tr|A0A3Q2ICD0|A0A3Q2ICD0_HORSE, tr|A0A3Q2H7W8|A0A3Q2H7W8_HORSE, tr|F6QX99|F6QX99_HORSE, tr|A0A3Q2GZE5|A0A3Q2GZE5_HORSE, tr|A0A5F5PGP1|A0A5F5PGP1_HORSE, tr|F6YTV9|F6YTV9_HORSE, tr|F6RFQ5|F6RFQ5_HORSE, tr|A0A3Q2LHP4|A0A3Q2LHP4_HORSE, tr|F6T1F3|F6T1F3_HORSE, tr|A0A3Q2GU04|A0A3Q2GU04_HORSE, tr|F6XZB3|F6XZB3_HORSE, tr|F7DVC9|F7DVC9_HORSE, tr|A0A3Q2LEY5|A0A3Q2LEY5_HORSE, tr|A0A3Q2GUR2|A0A3Q2GUR2_HORSE, tr|F7CTE3|F7CTE3_HORSE, tr|A0A5F5PX24|A0A5F5PX24_HORSE, tr|F7D8Z1|F7D8Z1_HORSE, tr|A0A3Q2H691|A0A3Q2H691_HORSE, tr|F7AFQ0|F7AFQ0_HORSE, tr|A0A5F5Q1H1|A0A5F5Q1H1_HORSE, tr|F7ACT6|F7ACT6_HORSE, tr|A0A5F5Q442|A0A5F5Q442_HORSE, tr|F6U5G8|F6U5G8_HORSE, tr|A0A3Q2IAW1|A0A3Q2IAW1_HORSE, tr|A0A3Q2ILR4|A0A3Q2ILR4_HORSE, tr|A0A3Q2IFB2|A0A3Q2IFB2_HORSE, tr|A0A5F5Q1M3|A0A5F5Q1M3_HORSE, tr|F6WS95|F6WS95_HORSE, tr|A0A3Q2HKU3|A0A3Q2HKU3_HORSE, tr|A0A5F5PFS6|A0A5F5PFS6_HORSE, tr|A0A3Q2HRC8|A0A3Q2HRC8_HORSE, tr|A0A5F5PGW3|A0A5F5PGW3_HORSE, tr|A0A3Q2IM48|A0A3Q2IM48_HORSE, tr|A0A3Q2H314|A0A3Q2H314_HORSE, tr|F6Q567|F6Q567_HORSE, tr|F6SST9|F6SST9_HORSE, tr|A0A3Q2HC38|A0A3Q2HC38_HORSE, tr|A0A3Q2GVL9|A0A3Q2GVL9_HORSE, tr|A0A3Q2HNI8|A0A3Q2HNI8_HORSE, tr|F7BR62|F7BR62_HORSE, tr|A0A3Q2HS58|A0A3Q2HS58_HORSE, tr|F6YB19|F6YB19_HORSE, tr|A0A5F5PM59|A0A5F5PM59_HORSE, tr|F6U5A5|F6U5A5_HORSE, tr|A0A5F5PNQ4|A0A5F5PNQ4_HORSE, tr|F6RDV9|F6RDV9_HORSE, tr|F6U965|F6U965_HORSE, tr|A0A3Q2GY96|A0A3Q2GY96_HORSE, tr|A0A5F5PZ91|A0A5F5PZ91_HORSE, tr|A0A3Q2GWD5|A0A3Q2GWD5_HORSE, tr|F6VIE6|F6VIE6_HORSE, tr|A0A3Q2IA72|A0A3Q2IA72_HORSE, tr|A0A3Q2I8Q7|A0A3Q2I8Q7_HORSE, tr|F7CXR6|F7CXR6_HORSE, tr|A0A3Q2LK03|A0A3Q2LK03_HORSE, tr|F6YR11|F6YR11_HORSE, tr|A0A3Q2HSY1|A0A3Q2HSY1_HORSE, tr|A0A3Q2IDE2|A0A3Q2IDE2_HORSE, tr|F7E3C3|F7E3C3_HORSE, tr|A0A3Q2LL52|A0A3Q2LL52_HORSE, tr|F7A933|F7A933_HORSE, tr|A0A3Q2LLR8|A0A3Q2LLR8_HORSE, tr|F6SDD0|F6SDD0_HORSE, tr|A0A5F5PZ78|A0A5F5PZ78_HORSE, tr|A0A3Q2KP51|A0A3Q2KP51_HORSE, tr|F6V3V7|F6V3V7_HORSE, tr|A0A3Q2HRU7|A0A3Q2HRU7_HORSE, tr|A0A3Q2HW38|A0A3Q2HW38_HORSE, tr|F6SNS8|F6SNS8_HORSE, tr|A0A5F5Q271|A0A5F5Q271_HORSE, tr|A0A5F5Q3Z4|A0A5F5Q3Z4_HORSE, tr|A0A3Q2I5K0|A0A3Q2I5K0_HORSE, tr|F7DPS1|F7DPS1_HORSE, tr|A0A3Q2KRQ3|A0A3Q2KRQ3_HORSE, tr|A0A3Q2GST9|A0A3Q2GST9_HORSE, tr|A0A3Q2HK43|A0A3Q2HK43_HORSE, tr|A0A3Q2GV16|A0A3Q2GV16_HORSE, tr|A0A5F5PN89|A0A5F5PN89_HORSE, tr|A0A3Q2LKF8|A0A3Q2LKF8_HORSE, tr|A0A3Q2LSB0|A0A3Q2LSB0_HORSE, tr|A0A3Q2HM11|A0A3Q2HM11_HORSE, tr|A0A3Q2ICR2|A0A3Q2ICR2_HORSE, tr|A0A5F5Q0C7|A0A5F5Q0C7_HORSE, tr|A0A3Q2H797|A0A3Q2H797_HORSE, tr|F6XLV5|F6XLV5_HORSE, tr|F7DKZ5|F7DKZ5_HORSE, tr|A0A3Q2KN25|A0A3Q2KN25_HORSE, tr|A0A3Q2I617|A0A3Q2I617_HORSE, tr|A0A3Q2LHN4|A0A3Q2LHN4_HORSE, tr|A0A3Q2I6K7|A0A3Q2I6K7_HORSE, tr|F6Q826|F6Q826_HORSE, tr|A0A5F5Q394|A0A5F5Q394_HORSE, tr|F6TTH7|F6TTH7_HORSE, tr|A0A3Q2LAD1|A0A3Q2LAD1_HORSE, tr|F7AFZ4|F7AFZ4_HORSE, tr|A0A5F5PTX9|A0A5F5PTX9_HORSE, tr|F6S6K4|F6S6K4_HORSE, tr|A0A3Q2LB93|A0A3Q2LB93_HORSE, tr|F6UM91|F6UM91_HORSE, tr|A0A3Q2H3D7|A0A3Q2H3D7_HORSE, tr|F6YCD9|F6YCD9_HORSE, tr|F6RAU3|F6RAU3_HORSE, tr|A0A5F5PKK5|A0A5F5PKK5_HORSE, tr|A0A5F5PN12|A0A5F5PN12_HORSE, tr|F6UIS4|F6UIS4_HORSE, tr|A0A3Q2HPR8|A0A3Q2HPR8_HORSE, tr|F7CI04|F7CI04_HORSE, tr|A0A3Q2H826|A0A3Q2H826_HORSE, tr|F6Z088|F6Z088_HORSE, tr|F6T8L0|F6T8L0_HORSE, tr|F6Y926|F6Y926_HORSE, tr|A0A5F5PSE1|A0A5F5PSE1_HORSE, tr|A0A3Q2HW27|A0A3Q2HW27_HORSE, tr|F6QKX5|F6QKX5_HORSE, tr|A0A3Q2HYK5|A0A3Q2HYK5_HORSE, tr|A0A5F5PRT6|A0A5F5PRT6_HORSE, tr|F6STL2|F6STL2_HORSE, tr|A0A3Q2GU76|A0A3Q2GU76_HORSE, tr|A0A3Q2I3X6|A0A3Q2I3X6_HORSE, tr|F7AI45|F7AI45_HORSE, tr|A0A3Q2H6V3|A0A3Q2H6V3_HORSE, tr|F6R4Z0|F6R4Z0_HORSE, tr|F6UW96|F6UW96_HORSE, tr|A0A3Q2ICG9|A0A3Q2ICG9_HORSE, tr|A0A3Q2I7S1|A0A3Q2I7S1_HORSE, tr|F6TNB7|F6TNB7_HORSE, tr|A0A3Q2H287|A0A3Q2H287_HORSE, tr|A0A5F5PPF4|A0A5F5PPF4_HORSE, tr|A0A3Q2L923|A0A3Q2L923_HORSE, tr|F6X3F1|F6X3F1_HORSE, tr|F6S3P1|F6S3P1_HORSE, tr|A0A3Q2KNL7|A0A3Q2KNL7_HORSE, tr|A0A3Q2I5U3|A0A3Q2I5U3_HORSE, tr|F6Y970|F6Y970_HORSE, tr|A0A5F5PSC7|A0A5F5PSC7_HORSE, tr|F6TEM4|F6TEM4_HORSE, tr|F6ZGF6|F6ZGF6_HORSE, tr|A0A5F5PGF4|A0A5F5PGF4_HORSE, tr|A0A3Q2LIT5|A0A3Q2LIT5_HORSE, tr|F7DNU1|F7DNU1_HORSE, tr|F7AJW8|F7AJW8_HORSE, tr|F6ZY24|F6ZY24_HORSE, tr|F7DTV9|F7DTV9_HORSE, tr|A0A5F5PLZ2|A0A5F5PLZ2_HORSE, tr|A0A5F5PV54|A0A5F5PV54_HORSE, tr|A0A3Q2GX21|A0A3Q2GX21_HORSE, tr|A0A3Q2LN37|A0A3Q2LN37_HORSE, tr|A0A3Q2H031|A0A3Q2H031_HORSE, tr|A0A3Q2HR73|A0A3Q2HR73_HORSE, tr|A0A3Q2I513|A0A3Q2I513_HORSE, tr|F6ZST4|F6ZST4_HORSE, tr|A0A3Q2H653|A0A3Q2H653_HORSE, tr|F7BDW4|F7BDW4_HORSE, tr|A0A3Q2GVG8|A0A3Q2GVG8_HORSE, tr|A0A3Q2I1E8|A0A3Q2I1E8_HORSE, tr|A0A3Q2H8K8|A0A3Q2H8K8_HORSE, tr|F6QT81|F6QT81_HORSE, tr|F6SCI6|F6SCI6_HORSE, tr|A0A5F5PQS9|A0A5F5PQS9_HORSE, tr|A0A3Q2KWV8|A0A3Q2KWV8_HORSE, tr|A0A3Q2I4W4|A0A3Q2I4W4_HORSE, tr|A0A3Q2GXB9|A0A3Q2GXB9_HORSE, tr|A0A3Q2H5M9|A0A3Q2H5M9_HORSE, tr|A0A3Q2HW87|A0A3Q2HW87_HORSE, tr|A0A3Q2I825|A0A3Q2I825_HORSE, tr|F6T4Q3|F6T4Q3_HORSE, tr|A0A3Q2HQ63|A0A3Q2HQ63_HORSE, tr|A0A3Q2I5B8|A0A3Q2I5B8_HORSE, tr|A0A5F5PIZ0|A0A5F5PIZ0_HORSE, tr|A0A3Q2ICV0|A0A3Q2ICV0_HORSE, tr|A0A3Q2I716|A0A3Q2I716_HORSE, tr|A0A3Q2I7U8|A0A3Q2I7U8_HORSE, tr|A0A3Q2IGW5|A0A3Q2IGW5_HORSE, tr|A0A3Q2H4R2|A0A3Q2H4R2_HORSE, tr|A0A3Q2GWU7|A0A3Q2GWU7_HORSE, tr|A0A3Q2IHA9|A0A3Q2IHA9_HORSE, tr|A0A3Q2LBL8|A0A3Q2LBL8_HORSE, tr|F6SHP3|F6SHP3_HORSE, tr|A0A3Q2ICQ6|A0A3Q2ICQ6_HORSE, tr|A0A3Q2I4D4|A0A3Q2I4D4_HORSE, tr|A0A3Q2HXB4|A0A3Q2HXB4_HORSE, tr|F7DIW7|F7DIW7_HORSE, tr|A0A3Q2I8W2|A0A3Q2I8W2_HORSE, tr|A0A3Q2H7M0|A0A3Q2H7M0_HORSE, tr|A0A3Q2HK98|A0A3Q2HK98_HORSE, tr|A0A5F5PHV1|A0A5F5PHV1_HORSE, tr|A0A3Q2GW02|A0A3Q2GW02_HORSE, tr|F6ZIR8|F6ZIR8_HORSE, tr|A0A3Q2HTN0|A0A3Q2HTN0_HORSE, tr|F6ZXB9|F6ZXB9_HORSE, tr|A0A3Q2HVP1|A0A3Q2HVP1_HORSE, tr|A0A3Q2HC24|A0A3Q2HC24_HORSE, tr|A0A3Q2GXE8|A0A3Q2GXE8_HORSE, tr|A0A3Q2H1G6|A0A3Q2H1G6_HORSE, tr|F7BZ06|F7BZ06_HORSE, tr|A0A3Q2H0Z1|A0A3Q2H0Z1_HORSE, tr|F6XIU7|F6XIU7_HORSE, tr|A0A3Q2I2Z1|A0A3Q2I2Z1_HORSE, tr|F7CCY0|F7CCY0_HORSE, tr|F6SCV2|F6SCV2_HORSE, tr|A0A3Q2I088|A0A3Q2I088_HORSE, tr|A0A3Q2HYE1|A0A3Q2HYE1_HORSE, tr|F7CRI0|F7CRI0_HORSE, tr|F7CAE7|F7CAE7_HORSE, tr|A0A3Q2HSA8|A0A3Q2HSA8_HORSE, tr|A0A3Q2LBQ6|A0A3Q2LBQ6_HORSE, tr|A0A3Q2I2I9|A0A3Q2I2I9_HORSE, tr|A0A3Q2I546|A0A3Q2I546_HORSE, tr|A0A3Q2H184|A0A3Q2H184_HORSE, tr|F6ZPB1|F6ZPB1_HORSE, tr|A0A3Q2HFN2|A0A3Q2HFN2_HORSE, tr|A0A3Q2L087|A0A3Q2L087_HORSE, tr|A0A5F5PJE2|A0A5F5PJE2_HORSE, tr|A0A3Q2H4E0|A0A3Q2H4E0_HORSE, tr|A0A3Q2HWB4|A0A3Q2HWB4_HORSE, tr|F7C1N4|F7C1N4_HORSE, tr|A0A3Q2H3S1|A0A3Q2H3S1_HORSE, tr|A0A3Q2H9T1|A0A3Q2H9T1_HORSE, tr|A0A3Q2I641|A0A3Q2I641_HORSE, tr|F6ZKI4|F6ZKI4_HORSE, tr|A0A3Q2H010|A0A3Q2H010_HORSE, tr|F7DDK2|F7DDK2_HORSE, tr|A0A3Q2HVR4|A0A3Q2HVR4_HORSE, tr|A0A3Q2HGD2|A0A3Q2HGD2_HORSE, tr|A0A5F5PW15|A0A5F5PW15_HORSE, tr|F6WXL0|F6WXL0_HORSE, tr|A0A3Q2H1L2|A0A3Q2H1L2_HORSE, tr|F6YF65|F6YF65_HORSE, tr|A0A5F5Q0Q2|A0A5F5Q0Q2_HORSE, tr|A0A5F5PK04|A0A5F5PK04_HORSE, tr|F6WPQ6|F6WPQ6_HORSE, tr|A0A3Q2KZS1|A0A3Q2KZS1_HORSE, tr|A0A3Q2GRV1|A0A3Q2GRV1_HORSE, tr|A0A3Q2I178|A0A3Q2I178_HORSE, tr|F6Z4R1|F6Z4R1_HORSE, tr|A0A3Q2H3T7|A0A3Q2H3T7_HORSE, tr|A0A3Q2LIN0|A0A3Q2LIN0_HORSE, tr|A0A3Q2KL08|A0A3Q2KL08_HORSE, tr|F6ZGP5|F6ZGP5_HORSE, tr|A0A3Q2L1Z8|A0A3Q2L1Z8_HORSE, tr|F6PW53|F6PW53_HORSE, tr|A0A3Q2LHB1|A0A3Q2LHB1_HORSE, tr|A0A3Q2HDH4|A0A3Q2HDH4_HORSE, tr|F6ZYL7|F6ZYL7_HORSE, tr|A0A5F5PL13|A0A5F5PL13_HORSE, tr|F7CDC4|F7CDC4_HORSE, tr|A0A5F5PTS3|A0A5F5PTS3_HORSE, tr|F6YXP9|F6YXP9_HORSE, tr|A0A3Q2H9F3|A0A3Q2H9F3_HORSE, tr|A0A5F5PJK7|A0A5F5PJK7_HORSE, tr|A0A3Q2H782|A0A3Q2H782_HORSE, tr|A0A3Q2HCA1|A0A3Q2HCA1_HORSE, tr|A0A5F5PWT9|A0A5F5PWT9_HORSE, tr|F7D3F0|F7D3F0_HORSE, tr|A0A3Q2I2U2|A0A3Q2I2U2_HORSE, tr|A0A3Q2H731|A0A3Q2H731_HORSE, tr|F6SWI8|F6SWI8_HORSE, tr|A0A5F5PXW5|A0A5F5PXW5_HORSE, tr|A0A5F5PKA8|A0A5F5PKA8_HORSE, tr|A0A3Q2IAZ6|A0A3Q2IAZ6_HORSE, tr|A0A3Q2L7W7|A0A3Q2L7W7_HORSE, tr|A0A3Q2IBV3|A0A3Q2IBV3_HORSE, tr|A0A3Q2HNM9|A0A3Q2HNM9_HORSE, tr|A0A3Q2I5M7|A0A3Q2I5M7_HORSE, tr|A0A3Q2HEH9|A0A3Q2HEH9_HORSE, tr|A0A5F5PGB4|A0A5F5PGB4_HORSE, tr|A0A5F5PGA1|A0A5F5PGA1_HORSE, tr|A0A3Q2IDB5|A0A3Q2IDB5_HORSE, tr|A0A5F5PZT5|A0A5F5PZT5_HORSE, tr|A0A3Q2I297|A0A3Q2I297_HORSE, tr|A0A5F5PM30|A0A5F5PM30_HORSE, tr|A0A3Q2HCW9|A0A3Q2HCW9_HORSE, tr|F7C2G5|F7C2G5_HORSE, tr|A0A5F5PS37|A0A5F5PS37_HORSE, tr|A0A3Q2HDH3|A0A3Q2HDH3_HORSE, tr|A0A5F5PSA1|A0A5F5PSA1_HORSE, tr|F6S2Z1|F6S2Z1_HORSE, tr|A0A3Q2I410|A0A3Q2I410_HORSE, tr|A0A3Q2HQJ3|A0A3Q2HQJ3_HORSE, tr|F7D130|F7D130_HORSE, tr|A0A3Q2L6D0|A0A3Q2L6D0_HORSE, tr|A0A3Q2HYR8|A0A3Q2HYR8_HORSE
OG0000003	tr|Q640N4|Q640N4_MOUSE	tr|F6W4D4|F6W4D4_HORSE
OG0000003	sp|G3X9G7|ZN809_MOUSE	tr|F6SNR9|F6SNR9_HORSE
OG0000003	sp|P17141|ZFP37_MOUSE	tr|F6WKD7|F6WKD7_HORSE, tr|F7AP74|F7AP74_HORSE
OG0000003	tr|E9QAH2|E9QAH2_MOUSE	tr|F6ZRJ9|F6ZRJ9_HORSE, tr|F6X588|F6X588_HORSE, tr|F6SJX9|F6SJX9_HORSE, tr|A0A5F5PXQ2|A0A5F5PXQ2_HORSE, tr|A0A3Q2IFH2|A0A3Q2IFH2_HORSE, tr|F6Y7P8|F6Y7P8_HORSE, tr|A0A5F5PRZ0|A0A5F5PRZ0_HORSE, tr|F7A5G6|F7A5G6_HORSE, tr|F6SCM2|F6SCM2_HORSE, tr|F7CUP4|F7CUP4_HORSE, tr|F6YHP3|F6YHP3_HORSE, tr|A0A3Q2IA03|A0A3Q2IA03_HORSE, tr|F6U5I6|F6U5I6_HORSE, tr|F6VR86|F6VR86_HORSE, tr|F7D546|F7D546_HORSE, tr|A0A5F5Q1X5|A0A5F5Q1X5_HORSE, tr|A0A5F5PJP8|A0A5F5PJP8_HORSE, tr|F6VIX0|F6VIX0_HORSE, tr|A0A3Q2HWK2|A0A3Q2HWK2_HORSE, tr|F6VJ35|F6VJ35_HORSE, tr|A0A5F5PYW4|A0A5F5PYW4_HORSE
OG0000003	tr|Q8BIS1|Q8BIS1_MOUSE	tr|F6U4K7|F6U4K7_HORSE, tr|F7B3X5|F7B3X5_HORSE
OG0000003	sp|B2RXC5|ZN382_MOUSE	tr|A0A5F5PU80|A0A5F5PU80_HORSE, tr|A0A5F5PS29|A0A5F5PS29_HORSE
OG0000004	tr|E9Q3R6|E9Q3R6_MOUSE	tr|F6ZUE6|F6ZUE6_HORSE
OG0000004	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|F7B8W3|F7B8W3_HORSE
OG0000004	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A3Q2III1|A0A3Q2III1_HORSE
