Orthogroup	Homo_sapiens	Aotus_nancymaae
OG0000000	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A2K5CNQ7|A0A2K5CNQ7_AOTNA
OG0000000	sp|P0C7N8|OR9G9_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NGC0|O5AU1_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN	tr|A0A2K5BY41|A0A2K5BY41_AOTNA
OG0000000	sp|Q8NGP9|O5AR1_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN	tr|A0A2K5CYE4|A0A2K5CYE4_AOTNA
OG0000000	sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q96RB7|OR5MB_HUMAN	tr|A0A2K5EZL3|A0A2K5EZL3_AOTNA
OG0000000	sp|P0C617|O5AL1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN	tr|A0A2K5E0A9|A0A2K5E0A9_AOTNA
OG0000002	sp|Q9H340|O51B6_HUMAN	tr|A0A2K5D5S4|A0A2K5D5S4_AOTNA
OG0000002	sp|Q8NGI2|O52N4_HUMAN	tr|A0A2K5BZU3|A0A2K5BZU3_AOTNA
OG0000002	sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI0|O52N2_HUMAN	tr|A0A2K5BZH6|A0A2K5BZH6_AOTNA
OG0000002	sp|Q8NH56|O52N5_HUMAN	tr|A0A2K5DG08|A0A2K5DG08_AOTNA
OG0000002	sp|Q8TCB6|O51E1_HUMAN, sp|Q8NGF3|O51D1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A2K5BWH4|A0A2K5BWH4_AOTNA
