Orthogroup	Homo_sapiens	Physeter_macrocephalus
OG0000000	sp|P0C626|OR5G3_HUMAN	tr|A0A2Y9TF27|A0A2Y9TF27_PHYMC
OG0000000	sp|Q8NGC0|O5AU1_HUMAN	tr|A0A2Y9SD51|A0A2Y9SD51_PHYMC
OG0000000	sp|Q8NGM9|OR8D4_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NGG7|OR8A1_HUMAN	tr|A0A2Y9TBP8|A0A2Y9TBP8_PHYMC
OG0000000	sp|A6NL26|OR5BL_HUMAN	tr|A0A2Y9TG57|A0A2Y9TG57_PHYMC
OG0000000	sp|Q96R09|OR5B2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN	tr|A0A2Y9TJF9|A0A2Y9TJF9_PHYMC
OG0000001	sp|Q8NGJ2|O52H1_HUMAN	tr|A0A455CBQ6|A0A455CBQ6_PHYMC
OG0000001	sp|Q8NH53|O52N1_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q8NGH7|O52L1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q6IF63|O52W1_HUMAN, sp|Q8NH57|O52P1_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|Q8NH61|O51F2_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|Q8NH54|O56A3_HUMAN, sp|Q8NGH8|O56A4_HUMAN, sp|P0C7T3|O56A5_HUMAN, sp|Q8NGH5|O56A1_HUMAN, sp|Q8NGI3|O56B1_HUMAN, sp|Q8NGI1|O56B2_HUMAN, sp|Q8NH76|O56B4_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8TCB6|O51E1_HUMAN, sp|Q9H255|O51E2_HUMAN, sp|Q8NGK4|O52K1_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK5|O52M1_HUMAN	tr|A0A2Y9SDX9|A0A2Y9SDX9_PHYMC
OG0000001	sp|Q8NH60|O52J3_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NH55|O52E5_HUMAN	tr|A0A2Y9SAE8|A0A2Y9SAE8_PHYMC
OG0000003	sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06312|KV401_HUMAN, sp|P06315|KV502_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN	tr|A0A2Y9T7X5|A0A2Y9T7X5_PHYMC
OG0000006	sp|P52740|ZN132_HUMAN	tr|A0A2Y9FIL0|A0A2Y9FIL0_PHYMC
