Orthogroup	Mus_musculus	Puma_concolor
OG0000005	sp|P17141|ZFP37_MOUSE	tr|A0A6P6H132|A0A6P6H132_PUMCO
OG0000005	tr|Q640N4|Q640N4_MOUSE	tr|A0A6P6HE66|A0A6P6HE66_PUMCO, tr|A0A6P6IGT2|A0A6P6IGT2_PUMCO, tr|A0A6P6IK75|A0A6P6IK75_PUMCO, tr|A0A6P6IK70|A0A6P6IK70_PUMCO, tr|A0A6P6H607|A0A6P6H607_PUMCO, tr|A0A6P6H523|A0A6P6H523_PUMCO
OG0000005	sp|Q8BQC8|RBAK_MOUSE, sp|Q7TSI0|ZNF12_MOUSE	tr|A0A6P6HTM8|A0A6P6HTM8_PUMCO
OG0000005	sp|B2RXC5|ZN382_MOUSE	tr|A0A6P6H3H7|A0A6P6H3H7_PUMCO, tr|A0A6P6H3J8|A0A6P6H3J8_PUMCO
OG0000005	sp|Q61967|ZFP90_MOUSE	tr|A0A6P6IRG1|A0A6P6IRG1_PUMCO, tr|A0A6P6HWN2|A0A6P6HWN2_PUMCO, tr|A0A6P6H1C6|A0A6P6H1C6_PUMCO, tr|A0A6P6H564|A0A6P6H564_PUMCO, tr|A0A6P6H3K6|A0A6P6H3K6_PUMCO, tr|A0A6P6IMZ6|A0A6P6IMZ6_PUMCO, tr|A0A6P6IKF4|A0A6P6IKF4_PUMCO, tr|A0A6P6H4N6|A0A6P6H4N6_PUMCO, tr|A0A6P6H3L3|A0A6P6H3L3_PUMCO, tr|A0A6P6HKH7|A0A6P6HKH7_PUMCO
OG0000005	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A6P6H4Q3|A0A6P6H4Q3_PUMCO, tr|A0A6P6H4F4|A0A6P6H4F4_PUMCO, tr|A0A6P6H3Q0|A0A6P6H3Q0_PUMCO, tr|A0A6P6H369|A0A6P6H369_PUMCO, tr|A0A6P6H570|A0A6P6H570_PUMCO, tr|A0A6P6H479|A0A6P6H479_PUMCO, tr|A0A6P6HJ09|A0A6P6HJ09_PUMCO, tr|A0A6P6HGI1|A0A6P6HGI1_PUMCO, tr|A0A6P6HKI2|A0A6P6HKI2_PUMCO
OG0000006	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A6P6H9G3|A0A6P6H9G3_PUMCO, tr|A0A6P6H878|A0A6P6H878_PUMCO
OG0000006	tr|Q8VGB8|Q8VGB8_MOUSE	tr|A0A6P6H870|A0A6P6H870_PUMCO, tr|A0A6P6H946|A0A6P6H946_PUMCO, tr|A0A6P6H7C1|A0A6P6H7C1_PUMCO, tr|A0A6P6H8D0|A0A6P6H8D0_PUMCO, tr|A0A6P6H893|A0A6P6H893_PUMCO, tr|A0A6P6H7B0|A0A6P6H7B0_PUMCO, tr|A0A6P6H8P9|A0A6P6H8P9_PUMCO, tr|A0A6P6H7U0|A0A6P6H7U0_PUMCO, tr|A0A6P6H8A7|A0A6P6H8A7_PUMCO, tr|A0A6P6H860|A0A6P6H860_PUMCO, tr|A0A6P6H9P9|A0A6P6H9P9_PUMCO, tr|A0A6P6H9B3|A0A6P6H9B3_PUMCO, tr|A0A6P6H873|A0A6P6H873_PUMCO, tr|A0A6P6H8J4|A0A6P6H8J4_PUMCO, tr|A0A6P6H942|A0A6P6H942_PUMCO, tr|A0A6P6H885|A0A6P6H885_PUMCO, tr|A0A6P6H861|A0A6P6H861_PUMCO, tr|A0A6P6H8U8|A0A6P6H8U8_PUMCO, tr|A0A6P6H7J1|A0A6P6H7J1_PUMCO, tr|A0A6P6H7I6|A0A6P6H7I6_PUMCO, tr|A0A6P6H7S9|A0A6P6H7S9_PUMCO, tr|A0A6P6H898|A0A6P6H898_PUMCO, tr|A0A6P6H7T4|A0A6P6H7T4_PUMCO, tr|A0A6P6H7A5|A0A6P6H7A5_PUMCO, tr|A0A6P6H7I0|A0A6P6H7I0_PUMCO, tr|A0A6P6H4S1|A0A6P6H4S1_PUMCO, tr|A0A6P6H7B7|A0A6P6H7B7_PUMCO, tr|A0A6P6H7H5|A0A6P6H7H5_PUMCO, tr|A0A6P6H868|A0A6P6H868_PUMCO, tr|A0A6P6H7S4|A0A6P6H7S4_PUMCO, tr|A0A6P6H9E0|A0A6P6H9E0_PUMCO, tr|A0A6P6H796|A0A6P6H796_PUMCO, tr|A0A6P6H7K3|A0A6P6H7K3_PUMCO, tr|A0A6P6H8J1|A0A6P6H8J1_PUMCO, tr|A0A6P6H9H7|A0A6P6H9H7_PUMCO, tr|A0A6P6H8F8|A0A6P6H8F8_PUMCO, tr|A0A6P6H8B8|A0A6P6H8B8_PUMCO, tr|A0A6P6H328|A0A6P6H328_PUMCO, tr|A0A6P6H809|A0A6P6H809_PUMCO, tr|A0A6P6H854|A0A6P6H854_PUMCO, tr|A0A6P6H833|A0A6P6H833_PUMCO, tr|A0A6P6H7Z5|A0A6P6H7Z5_PUMCO, tr|A0A6P6H8C4|A0A6P6H8C4_PUMCO, tr|A0A6P6H822|A0A6P6H822_PUMCO, tr|A0A6P6H951|A0A6P6H951_PUMCO, tr|A0A6P6H864|A0A6P6H864_PUMCO, tr|A0A6P6H717|A0A6P6H717_PUMCO, tr|A0A6P6HAU8|A0A6P6HAU8_PUMCO, tr|A0A6P6H9K3|A0A6P6H9K3_PUMCO, tr|A0A6P6H722|A0A6P6H722_PUMCO, tr|A0A6P6H8W9|A0A6P6H8W9_PUMCO, tr|A0A6P6H739|A0A6P6H739_PUMCO, tr|A0A6P6H886|A0A6P6H886_PUMCO
OG0000013	sp|P23275|OLF15_MOUSE	tr|A0A6P6HAL7|A0A6P6HAL7_PUMCO
OG0000013	tr|Q8VGC8|Q8VGC8_MOUSE	tr|A0A6P6HB91|A0A6P6HB91_PUMCO
