Orthogroup	Mus_musculus	Chlorocebus_sabaeus
OG0000004	sp|A2A761|ZFP69_MOUSE	tr|A0A0D9S7M6|A0A0D9S7M6_CHLSB
OG0000004	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A0D9RQN7|A0A0D9RQN7_CHLSB
OG0000004	tr|Q640N4|Q640N4_MOUSE	tr|A0A0D9RFV9|A0A0D9RFV9_CHLSB, tr|A0A0D9RFM4|A0A0D9RFM4_CHLSB, tr|A0A0D9R367|A0A0D9R367_CHLSB, tr|A0A0D9R3Q4|A0A0D9R3Q4_CHLSB, tr|A0A0D9RFJ9|A0A0D9RFJ9_CHLSB, tr|A0A0D9REW1|A0A0D9REW1_CHLSB, tr|A0A0D9S906|A0A0D9S906_CHLSB, tr|A0A0D9RFJ4|A0A0D9RFJ4_CHLSB
OG0000004	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A0D9RYL4|A0A0D9RYL4_CHLSB
OG0000004	sp|Q8BQC8|RBAK_MOUSE	tr|A0A0D9RYI8|A0A0D9RYI8_CHLSB
OG0000004	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A0D9S7M5|A0A0D9S7M5_CHLSB, tr|A0A0D9S586|A0A0D9S586_CHLSB, tr|A0A0D9S587|A0A0D9S587_CHLSB, tr|A0A0D9S598|A0A0D9S598_CHLSB, tr|A0A0D9S591|A0A0D9S591_CHLSB, tr|A0A0D9S596|A0A0D9S596_CHLSB, tr|A0A0D9S599|A0A0D9S599_CHLSB, tr|A0A0D9S588|A0A0D9S588_CHLSB, tr|A0A0D9S5S4|A0A0D9S5S4_CHLSB, tr|A0A0D9S5S2|A0A0D9S5S2_CHLSB, tr|A0A0D9S5T2|A0A0D9S5T2_CHLSB, tr|A0A0D9S5S1|A0A0D9S5S1_CHLSB
OG0000007	tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VG26|Q8VG26_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|A0A1L1SVG7|A0A1L1SVG7_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|Q8VH18|Q8VH18_MOUSE	tr|A0A0D9SDC0|A0A0D9SDC0_CHLSB
OG0000010	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A0D9S666|A0A0D9S666_CHLSB
OG0000010	tr|Q8R2Q3|Q8R2Q3_MOUSE, tr|Q80ZX2|Q80ZX2_MOUSE	tr|A0A0D9QW05|A0A0D9QW05_CHLSB
OG0000010	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A0D9S667|A0A0D9S667_CHLSB
