Orthogroup	Mus_musculus	Pteropus_alecto
OG0000000	sp|Q8BGV5|ZNF8_MOUSE	tr|L5L5W0|L5L5W0_PTEAL
OG0000000	sp|P10078|ZFP28_MOUSE	tr|L5KTS9|L5KTS9_PTEAL, tr|L5KC64|L5KC64_PTEAL, tr|L5KBS4|L5KBS4_PTEAL
OG0000000	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|L5L4L4|L5L4L4_PTEAL, tr|L5L1F7|L5L1F7_PTEAL, tr|L5L2B7|L5L2B7_PTEAL
OG0000000	tr|Q3TFZ4|Q3TFZ4_MOUSE	tr|L5L1R0|L5L1R0_PTEAL, tr|L5KEW6|L5KEW6_PTEAL, tr|L5KJM0|L5KJM0_PTEAL
OG0000000	tr|Q8C0Q5|Q8C0Q5_MOUSE	tr|L5KEC2|L5KEC2_PTEAL, tr|L5L520|L5L520_PTEAL, tr|L5KZP1|L5KZP1_PTEAL, tr|L5KX32|L5KX32_PTEAL, tr|L5KCR4|L5KCR4_PTEAL, tr|L5KYK2|L5KYK2_PTEAL, tr|L5KV38|L5KV38_PTEAL, tr|L5KH29|L5KH29_PTEAL, tr|L5L7F9|L5L7F9_PTEAL, tr|L5L769|L5L769_PTEAL, tr|L5KQL1|L5KQL1_PTEAL
OG0000000	tr|E9Q3R6|E9Q3R6_MOUSE	tr|L5KC45|L5KC45_PTEAL, tr|L5KCQ4|L5KCQ4_PTEAL, tr|L5KBR2|L5KBR2_PTEAL, tr|L5KBQ2|L5KBQ2_PTEAL, tr|L5JP62|L5JP62_PTEAL, tr|L5JWY5|L5JWY5_PTEAL, tr|L5JTA4|L5JTA4_PTEAL
OG0000000	sp|Q80W31|ZN569_MOUSE	tr|L5KP52|L5KP52_PTEAL, tr|L5KME5|L5KME5_PTEAL, tr|L5L6D3|L5L6D3_PTEAL, tr|L5JQ10|L5JQ10_PTEAL, tr|L5KC60|L5KC60_PTEAL, tr|L5KJ84|L5KJ84_PTEAL, tr|L5K5K0|L5K5K0_PTEAL, tr|L5KSZ6|L5KSZ6_PTEAL, tr|L5KS26|L5KS26_PTEAL, tr|L5KSK0|L5KSK0_PTEAL, tr|L5KRZ0|L5KRZ0_PTEAL, tr|L5KTE5|L5KTE5_PTEAL, tr|L5L5C0|L5L5C0_PTEAL, tr|L5L4A7|L5L4A7_PTEAL, tr|L5L5D0|L5L5D0_PTEAL, tr|L5JVC5|L5JVC5_PTEAL, tr|L5JWN2|L5JWN2_PTEAL, tr|L5L1W3|L5L1W3_PTEAL, tr|L5JY73|L5JY73_PTEAL, tr|L5L2K2|L5L2K2_PTEAL, tr|L5L176|L5L176_PTEAL, tr|L5L1D9|L5L1D9_PTEAL, tr|L5K834|L5K834_PTEAL, tr|L5L0U9|L5L0U9_PTEAL, tr|L5K1Z2|L5K1Z2_PTEAL, tr|L5K5M9|L5K5M9_PTEAL, tr|L5JPS0|L5JPS0_PTEAL, tr|L5L2T3|L5L2T3_PTEAL
OG0000000	sp|A2A761|ZFP69_MOUSE	tr|L5JVX5|L5JVX5_PTEAL, tr|L5JY44|L5JY44_PTEAL, tr|L5JVX1|L5JVX1_PTEAL, tr|L5KTN4|L5KTN4_PTEAL, tr|L5L8X3|L5L8X3_PTEAL, tr|L5L703|L5L703_PTEAL
OG0000004	tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, tr|A0A075B5S5|A0A075B5S5_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE, sp|P01786|HVM17_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, sp|P01793|HVM24_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01791|HVM22_MOUSE, sp|P01789|HVM20_MOUSE, sp|P01794|HVM25_MOUSE, sp|P01795|HVM26_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, sp|P01803|HVM34_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01796|HVM27_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01799|HVM30_MOUSE, sp|P01801|HVM32_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01804|HVM35_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, tr|J3QK03|J3QK03_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, sp|P18530|HVM59_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, sp|P18524|HVM53_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, sp|P18526|HVM55_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, sp|P01806|HVM36_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, sp|P01811|HVM41_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01810|HVM40_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01809|HVM39_MOUSE	tr|L5KS87|L5KS87_PTEAL
OG0000006	tr|Q7TQU8|Q7TQU8_MOUSE	tr|L5JUD8|L5JUD8_PTEAL, tr|L5K9C4|L5K9C4_PTEAL
