Orthogroup	Mus_musculus	Vicugna_pacos
OG0000004	sp|P18530|HVM59_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, sp|P18524|HVM53_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, sp|P18526|HVM55_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, sp|P84751|HVM63_MOUSE, sp|P01794|HVM25_MOUSE, sp|P01793|HVM24_MOUSE, sp|P01789|HVM20_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01791|HVM22_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01795|HVM26_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, tr|A0A075B5S5|A0A075B5S5_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE, sp|P01786|HVM17_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01799|HVM30_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|J3QK03|J3QK03_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, sp|P01804|HVM35_MOUSE, sp|P01803|HVM34_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01796|HVM27_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01801|HVM32_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, sp|P01806|HVM36_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, sp|P01811|HVM41_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01809|HVM39_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01810|HVM40_MOUSE	tr|A0A6J3A6K7|A0A6J3A6K7_VICPA
OG0000006	sp|E9PYI1|ZN568_MOUSE	tr|A0A6J3A4N7|A0A6J3A4N7_VICPA
OG0000006	sp|P10077|ZFP27_MOUSE	tr|A0A6J0AUT1|A0A6J0AUT1_VICPA, tr|A0A6J0AQ60|A0A6J0AQ60_VICPA, tr|A0A6I9ILP5|A0A6I9ILP5_VICPA, tr|A0A6J0AWG9|A0A6J0AWG9_VICPA, tr|A0A6I9IFM6|A0A6I9IFM6_VICPA, tr|A0A6J3ASL2|A0A6J3ASL2_VICPA
OG0000006	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A6J3AUP1|A0A6J3AUP1_VICPA, tr|A0A6J3AE28|A0A6J3AE28_VICPA, tr|A0A6J3AW49|A0A6J3AW49_VICPA, tr|A0A6J3AXW0|A0A6J3AXW0_VICPA, tr|A0A6J0ANW2|A0A6J0ANW2_VICPA, tr|A0A6J0ARD7|A0A6J0ARD7_VICPA, tr|A0A6J0AP76|A0A6J0AP76_VICPA, tr|A0A6J3A1T1|A0A6J3A1T1_VICPA, tr|A0A6J2ZY81|A0A6J2ZY81_VICPA, tr|A0A6I9IDX8|A0A6I9IDX8_VICPA, tr|A0A6J3AXV8|A0A6J3AXV8_VICPA, tr|A0A6J0AMW9|A0A6J0AMW9_VICPA, tr|A0A6J2ZXM0|A0A6J2ZXM0_VICPA, tr|A0A6J0AQL9|A0A6J0AQL9_VICPA
OG0000006	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A6J3A7X5|A0A6J3A7X5_VICPA, tr|A0A6I9I7Y5|A0A6I9I7Y5_VICPA, tr|A0A6J3AU59|A0A6J3AU59_VICPA, tr|A0A6J0B1L9|A0A6J0B1L9_VICPA
OG0000006	sp|Q8BQC8|RBAK_MOUSE	tr|A0A6J0AR80|A0A6J0AR80_VICPA
OG0000006	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A6J3AFY0|A0A6J3AFY0_VICPA
OG0000006	sp|B2RXC5|ZN382_MOUSE	tr|A0A6J3AHY9|A0A6J3AHY9_VICPA, tr|A0A6J3A7Z0|A0A6J3A7Z0_VICPA
OG0000006	tr|Q640N4|Q640N4_MOUSE	tr|A0A6J0B401|A0A6J0B401_VICPA, tr|A0A6J3A5Z3|A0A6J3A5Z3_VICPA, tr|A0A6J3ADI2|A0A6J3ADI2_VICPA, tr|A0A6J0B1C5|A0A6J0B1C5_VICPA, tr|A0A6J0ASL0|A0A6J0ASL0_VICPA, tr|A0A6J3AJ18|A0A6J3AJ18_VICPA, tr|A0A6J0B5P5|A0A6J0B5P5_VICPA
OG0000009	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A6J0AZQ5|A0A6J0AZQ5_VICPA
OG0000009	tr|Q8VET0|Q8VET0_MOUSE	tr|A0A6I9I3N1|A0A6I9I3N1_VICPA
OG0000009	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A6I9IT38|A0A6I9IT38_VICPA
OG0000009	tr|A2AVW3|A2AVW3_MOUSE	tr|A0A6J0B2E5|A0A6J0B2E5_VICPA
OG0000009	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A6I9IQ30|A0A6I9IQ30_VICPA
OG0000009	tr|Q7TQY0|Q7TQY0_MOUSE	tr|A0A6J3A6T5|A0A6J3A6T5_VICPA, tr|A0A6I9IP57|A0A6I9IP57_VICPA, tr|A0A6I9IQ34|A0A6I9IQ34_VICPA, tr|A0A6J0B3Z6|A0A6J0B3Z6_VICPA, tr|A0A6I9IT65|A0A6I9IT65_VICPA
OG0000009	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A6J0B403|A0A6J0B403_VICPA
OG0000009	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A6I9IT71|A0A6I9IT71_VICPA
OG0000009	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A6I9IP87|A0A6I9IP87_VICPA, tr|A0A6J0B2G1|A0A6J0B2G1_VICPA
OG0000012	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A6J3A524|A0A6J3A524_VICPA
OG0000012	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A6J0B1S3|A0A6J0B1S3_VICPA
OG0000012	sp|Q60585|ZFP30_MOUSE	tr|A0A6J0AY63|A0A6J0AY63_VICPA
OG0000012	tr|Q5U406|Q5U406_MOUSE	tr|A0A6J3ASK8|A0A6J3ASK8_VICPA, tr|A0A6J0AXY3|A0A6J0AXY3_VICPA
OG0000012	sp|Q3V080|ZN583_MOUSE	tr|A0A6I9IP20|A0A6I9IP20_VICPA, tr|A0A6J3AYB7|A0A6J3AYB7_VICPA
OG0000012	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A6J3A3E4|A0A6J3A3E4_VICPA, tr|A0A6J0B060|A0A6J0B060_VICPA, tr|A0A6J0AZW3|A0A6J0AZW3_VICPA
OG0000013	tr|Q7TQZ8|Q7TQZ8_MOUSE	tr|A0A6J3A5B5|A0A6J3A5B5_VICPA, tr|A0A6J0B1G6|A0A6J0B1G6_VICPA, tr|A0A6I9IQS1|A0A6I9IQS1_VICPA, tr|A0A6I9IUQ5|A0A6I9IUQ5_VICPA, tr|A0A6J0B1G0|A0A6J0B1G0_VICPA, tr|A0A6I9IQS6|A0A6I9IQS6_VICPA, tr|A0A6I9IUI6|A0A6I9IUI6_VICPA, tr|A0A6I9IRL8|A0A6I9IRL8_VICPA, tr|A0A6I9IUJ1|A0A6I9IUJ1_VICPA, tr|A0A6I9IUU2|A0A6I9IUU2_VICPA, tr|A0A6J0B5X7|A0A6J0B5X7_VICPA, tr|A0A6J0AWK2|A0A6J0AWK2_VICPA
OG0000013	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A6J0ATC7|A0A6J0ATC7_VICPA
OG0000013	sp|Q60878|OL140_MOUSE	tr|A0A6J0AUC8|A0A6J0AUC8_VICPA
OG0000013	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A6I9IS78|A0A6I9IS78_VICPA, tr|A0A6J3BL16|A0A6J3BL16_VICPA, tr|A0A6J3A9I4|A0A6J3A9I4_VICPA, tr|A0A6I9IUB7|A0A6I9IUB7_VICPA, tr|A0A6J3A9I9|A0A6J3A9I9_VICPA, tr|A0A6I9IRM9|A0A6I9IRM9_VICPA, tr|A0A6J0B1K1|A0A6J0B1K1_VICPA, tr|A0A6I9IRM3|A0A6I9IRM3_VICPA, tr|A0A6I9IJR4|A0A6I9IJR4_VICPA, tr|A0A6J3BH49|A0A6J3BH49_VICPA, tr|A0A6I9IJW8|A0A6I9IJW8_VICPA, tr|A0A6I9IQT1|A0A6I9IQT1_VICPA, tr|A0A6I9IGD1|A0A6I9IGD1_VICPA, tr|A0A6J0B1T0|A0A6J0B1T0_VICPA, tr|A0A6I9IS74|A0A6I9IS74_VICPA, tr|A0A6J0B5W7|A0A6J0B5W7_VICPA, tr|A0A6I9IHU2|A0A6I9IHU2_VICPA
OG0000014	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A6I9ILR7|A0A6I9ILR7_VICPA
OG0000014	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|A0A6I9IPJ2|A0A6I9IPJ2_VICPA, tr|A0A6I9IKN2|A0A6I9IKN2_VICPA
OG0000014	tr|Q7TRI8|Q7TRI8_MOUSE	tr|A0A6J0AWY6|A0A6J0AWY6_VICPA, tr|A0A6J3A3U1|A0A6J3A3U1_VICPA, tr|A0A6J3AFM3|A0A6J3AFM3_VICPA, tr|A0A6I9IP85|A0A6I9IP85_VICPA, tr|A0A6J0AW41|A0A6J0AW41_VICPA, tr|A0A6I9IPG6|A0A6I9IPG6_VICPA
OG0000014	tr|Q8VFG4|Q8VFG4_MOUSE	tr|A0A6I9ILS2|A0A6I9ILS2_VICPA
