Orthogroup	Homo_sapiens	Marmota_marmota_marmota
OG0000002	sp|Q8NGE2|O2AP1_HUMAN	tr|A0A8C6EU76|A0A8C6EU76_MARMA, tr|A0A8C5ZKT8|A0A8C5ZKT8_MARMA, tr|A0A8C5ZMY0|A0A8C5ZMY0_MARMA, tr|A0A8C6EUM7|A0A8C6EUM7_MARMA, tr|A0A8C6EQG2|A0A8C6EQG2_MARMA, tr|A0A8C5YT13|A0A8C5YT13_MARMA, tr|A0A8C6EP67|A0A8C6EP67_MARMA, tr|A0A8C6A1M1|A0A8C6A1M1_MARMA, tr|A0A8C5ZZT2|A0A8C5ZZT2_MARMA, tr|A0A8C5ZN93|A0A8C5ZN93_MARMA, tr|A0A8C6ETW1|A0A8C6ETW1_MARMA, tr|A0A8C5ZKI1|A0A8C5ZKI1_MARMA, tr|A0A8C5YVM1|A0A8C5YVM1_MARMA, tr|A0A8C5YVK2|A0A8C5YVK2_MARMA, tr|A0A8C5YX21|A0A8C5YX21_MARMA, tr|A0A8C5YVZ4|A0A8C5YVZ4_MARMA, tr|A0A8C5ZMI4|A0A8C5ZMI4_MARMA, tr|A0A8C5ZKL6|A0A8C5ZKL6_MARMA, tr|A0A8C5YU36|A0A8C5YU36_MARMA, tr|A0A8C5YX75|A0A8C5YX75_MARMA, tr|A0A8C5YVV7|A0A8C5YVV7_MARMA, tr|A0A8C5ZPX3|A0A8C5ZPX3_MARMA, tr|A0A8C5ZP92|A0A8C5ZP92_MARMA, tr|A0A8C5ZM99|A0A8C5ZM99_MARMA, tr|A0A8C5ZPA4|A0A8C5ZPA4_MARMA, tr|A0A8C6EPC1|A0A8C6EPC1_MARMA, tr|A0A8C6EU80|A0A8C6EU80_MARMA, tr|A0A8C5ZMY9|A0A8C5ZMY9_MARMA, tr|A0A8C5YVG3|A0A8C5YVG3_MARMA, tr|A0A8C6EP73|A0A8C6EP73_MARMA, tr|A0A8C5ZK03|A0A8C5ZK03_MARMA, tr|A0A8C5YU27|A0A8C5YU27_MARMA, tr|A0A8C6ENV2|A0A8C6ENV2_MARMA, tr|A0A8C5YV50|A0A8C5YV50_MARMA, tr|A0A8C5YUJ6|A0A8C5YUJ6_MARMA, tr|A0A8C5YTU7|A0A8C5YTU7_MARMA, tr|A0A8C5ZJW6|A0A8C5ZJW6_MARMA, tr|A0A8C5ZPF9|A0A8C5ZPF9_MARMA, tr|A0A8C5ZK23|A0A8C5ZK23_MARMA, tr|A0A8C5ZL19|A0A8C5ZL19_MARMA, tr|A0A8C5YXC7|A0A8C5YXC7_MARMA, tr|A0A8C5ZL07|A0A8C5ZL07_MARMA, tr|A0A8C5YVB3|A0A8C5YVB3_MARMA, tr|A0A8C5YTN6|A0A8C5YTN6_MARMA, tr|A0A8C5Z3Y2|A0A8C5Z3Y2_MARMA, tr|A0A8C5YWX9|A0A8C5YWX9_MARMA, tr|A0A8C6ENV0|A0A8C6ENV0_MARMA, tr|A0A8C5ZN70|A0A8C5ZN70_MARMA, tr|A0A8C5YV99|A0A8C5YV99_MARMA, tr|A0A8C5YV80|A0A8C5YV80_MARMA, tr|A0A8C5YSQ1|A0A8C5YSQ1_MARMA, tr|A0A8C5YTQ6|A0A8C5YTQ6_MARMA, tr|A0A8C5YUS3|A0A8C5YUS3_MARMA, tr|A0A8C5ZMG6|A0A8C5ZMG6_MARMA
OG0000003	sp|Q99676|ZN184_HUMAN	tr|A0A8C5YNM6|A0A8C5YNM6_MARMA
OG0000003	sp|P52738|ZN140_HUMAN	tr|A0A8C5YVV0|A0A8C5YVV0_MARMA
OG0000003	sp|P17097|ZNF7_HUMAN	tr|A0A8C5Z2R4|A0A8C5Z2R4_MARMA, tr|A0A8C5Z4P9|A0A8C5Z4P9_MARMA
OG0000003	sp|Q8NC26|ZN114_HUMAN	tr|A0A8C5YJK1|A0A8C5YJK1_MARMA, tr|A0A8C5ZBP1|A0A8C5ZBP1_MARMA, tr|A0A8C5ZPY6|A0A8C5ZPY6_MARMA, tr|A0A8C5YVZ9|A0A8C5YVZ9_MARMA, tr|A0A8C5ZM39|A0A8C5ZM39_MARMA, tr|A0A8C5YVS0|A0A8C5YVS0_MARMA, tr|A0A8C6EYZ6|A0A8C6EYZ6_MARMA, tr|A0A8C5ZW52|A0A8C5ZW52_MARMA, tr|A0A8C5YU79|A0A8C5YU79_MARMA, tr|A0A8C5Z3T7|A0A8C5Z3T7_MARMA, tr|A0A8C5ZG20|A0A8C5ZG20_MARMA, tr|A0A8C6EMY9|A0A8C6EMY9_MARMA, tr|A0A8C5YPD1|A0A8C5YPD1_MARMA, tr|A0A8C5YV11|A0A8C5YV11_MARMA, tr|A0A8C5YWG9|A0A8C5YWG9_MARMA, tr|A0A8C6ER27|A0A8C6ER27_MARMA, tr|A0A8C5Z815|A0A8C5Z815_MARMA, tr|A0A8C5Z7W9|A0A8C5Z7W9_MARMA, tr|A0A8C5ZCI4|A0A8C5ZCI4_MARMA, tr|A0A8C5Z2J6|A0A8C5Z2J6_MARMA, tr|A0A8C6ES47|A0A8C6ES47_MARMA, tr|A0A8C5Z9Z5|A0A8C5Z9Z5_MARMA, tr|A0A8C5YXJ7|A0A8C5YXJ7_MARMA, tr|A0A8C5Z468|A0A8C5Z468_MARMA, tr|A0A8C6A3S0|A0A8C6A3S0_MARMA, tr|A0A8C5YUG4|A0A8C5YUG4_MARMA, tr|A0A8C6A3M8|A0A8C6A3M8_MARMA, tr|A0A8C5YWF1|A0A8C5YWF1_MARMA, tr|A0A8C5YSE0|A0A8C5YSE0_MARMA, tr|A0A8C5ZDX0|A0A8C5ZDX0_MARMA, tr|A0A8C5ZI40|A0A8C5ZI40_MARMA
OG0000003	sp|Q9Y2G7|ZFP30_HUMAN	tr|A0A8C5YW27|A0A8C5YW27_MARMA, tr|A0A8C5YWQ7|A0A8C5YWQ7_MARMA, tr|A0A8C5YTQ8|A0A8C5YTQ8_MARMA, tr|A0A8C5YV39|A0A8C5YV39_MARMA, tr|A0A8C6EXM7|A0A8C6EXM7_MARMA, tr|A0A8C5Z4M6|A0A8C5Z4M6_MARMA
OG0000004	sp|O95013|O4F21_HUMAN, sp|Q6IEY1|OR4F3_HUMAN	tr|A0A8C5YJI4|A0A8C5YJI4_MARMA
OG0000004	sp|Q8NGB8|O4F15_HUMAN	tr|A0A8C6EMC4|A0A8C6EMC4_MARMA
OG0000004	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A8C6ELZ5|A0A8C6ELZ5_MARMA
OG0000007	sp|Q9H341|O51M1_HUMAN	tr|A0A8C5ZGA3|A0A8C5ZGA3_MARMA
