Orthogroup	Mus_musculus	Cavia_porcellus
OG0000002	tr|Q9D2F1|Q9D2F1_MOUSE, sp|Q99MW3|PRAL1_MOUSE, tr|B1ARV6|B1ARV6_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|J3QK78|J3QK78_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|J3QN52|J3QN52_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|Q8C6S1|Q8C6S1_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|L7N277|L7N277_MOUSE, tr|L7N456|L7N456_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, tr|A2ASJ0|A2ASJ0_MOUSE, tr|B1ARV5|B1ARV5_MOUSE, tr|Q4FZF9|Q4FZF9_MOUSE, tr|Q66JY9|Q66JY9_MOUSE, tr|A2ASI9|A2ASI9_MOUSE, tr|Q8CE24|Q8CE24_MOUSE, tr|L7MTS5|L7MTS5_MOUSE, tr|B1AUV4|B1AUV4_MOUSE, tr|Q3UTC0|Q3UTC0_MOUSE, tr|B1AUV7|B1AUV7_MOUSE, tr|A2ASJ1|A2ASJ1_MOUSE, tr|L7MU96|L7MU96_MOUSE, sp|Q810Y8|PRAL7_MOUSE, tr|Q8C4L8|Q8C4L8_MOUSE, tr|B1AUV6|B1AUV6_MOUSE, tr|A2ASJ3|A2ASJ3_MOUSE, tr|Q7TPY4|Q7TPY4_MOUSE, tr|A2AGW8|A2AGW8_MOUSE, tr|A2AGW5|A2AGW5_MOUSE, tr|A2A8M8|A2A8M8_MOUSE, tr|Q810Y9|Q810Y9_MOUSE, tr|Q3UX49|Q3UX49_MOUSE, tr|Q4G0C7|Q4G0C7_MOUSE, tr|A2A8N2|A2A8N2_MOUSE, tr|A2A958|A2A958_MOUSE, tr|L7N1Y3|L7N1Y3_MOUSE, sp|E9Q5G7|OOG1_MOUSE, sp|Q3UWY1|OOG3_MOUSE, tr|A2AGW6|A2AGW6_MOUSE, tr|Q4VAD2|Q4VAD2_MOUSE, tr|A2AGW7|A2AGW7_MOUSE, sp|Q7TPX8|OOG2_MOUSE, tr|A2A8N0|A2A8N0_MOUSE	tr|A0A286XLP9|A0A286XLP9_CAVPO
OG0000006	tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE	tr|A0A286Y2Q5|A0A286Y2Q5_CAVPO
OG0000006	tr|F7D043|F7D043_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|L7N267|L7N267_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|K7N769|K7N769_MOUSE, tr|L7N208|L7N208_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|L7N248|L7N248_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE	tr|A0A286XL62|A0A286XL62_CAVPO
OG0000021	tr|L7N205|L7N205_MOUSE, tr|L7N1Y8|L7N1Y8_MOUSE	tr|A0A286XZ87|A0A286XZ87_CAVPO
OG0000021	sp|Q7TS48|OL180_MOUSE, tr|E9Q9T3|E9Q9T3_MOUSE, sp|Q8VGQ7|OL181_MOUSE, tr|A0A140T8K4|A0A140T8K4_MOUSE, tr|E9Q7W1|E9Q7W1_MOUSE, tr|Q8VGQ6|Q8VGQ6_MOUSE	tr|A0A286X7N1|A0A286X7N1_CAVPO
OG0000021	tr|E9QAT7|E9QAT7_MOUSE, tr|E9Q8F6|E9Q8F6_MOUSE	tr|A0A286XCE5|A0A286XCE5_CAVPO
OG0000022	tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|E9Q8M3|E9Q8M3_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE	tr|H0V5G0|H0V5G0_CAVPO
OG0000028	sp|Q02956|KPCZ_MOUSE	tr|H0VPP7|H0VPP7_CAVPO
OG0000028	sp|Q62074|KPCI_MOUSE	tr|H0VUM6|H0VUM6_CAVPO, tr|A0A286XXA0|A0A286XXA0_CAVPO, tr|A0A286XSL5|A0A286XSL5_CAVPO, tr|A0A286XJE7|A0A286XJE7_CAVPO, tr|A0A286Y4Q0|A0A286Y4Q0_CAVPO, tr|A0A286Y3D2|A0A286Y3D2_CAVPO, tr|H0W0B4|H0W0B4_CAVPO, tr|H0VVE5|H0VVE5_CAVPO, tr|H0W9K9|H0W9K9_CAVPO, tr|H0W1P6|H0W1P6_CAVPO, tr|H0VXT9|H0VXT9_CAVPO, tr|H0VWH7|H0VWH7_CAVPO, tr|H0W3Y7|H0W3Y7_CAVPO, tr|H0W5D4|H0W5D4_CAVPO, tr|A0A286XRI4|A0A286XRI4_CAVPO, tr|A0A286XBH8|A0A286XBH8_CAVPO, tr|H0WD09|H0WD09_CAVPO, tr|H0VYG8|H0VYG8_CAVPO, tr|A0A286X9M8|A0A286X9M8_CAVPO, tr|A0A286XRH0|A0A286XRH0_CAVPO, tr|H0VSU5|H0VSU5_CAVPO
OG0000029	tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE	tr|H0W9K7|H0W9K7_CAVPO
