Orthogroup	Mus_musculus	Rhinolophus_ferrumequinum
OG0000000	tr|Q8R2B9|Q8R2B9_MOUSE, tr|A0A494BA35|A0A494BA35_MOUSE, tr|W4VSP5|W4VSP5_MOUSE, tr|Q9EPT1|Q9EPT1_MOUSE, tr|Q8R2C0|Q8R2C0_MOUSE, tr|G3X9U3|G3X9U3_MOUSE, tr|K7N731|K7N731_MOUSE, tr|Q9EPS9|Q9EPS9_MOUSE, tr|E9Q8I6|E9Q8I6_MOUSE, tr|Q8R2B8|Q8R2B8_MOUSE, tr|Q9EPS7|Q9EPS7_MOUSE, tr|L7N275|L7N275_MOUSE, tr|G3UW31|G3UW31_MOUSE, tr|Q9EPS6|Q9EPS6_MOUSE, tr|K7N6W9|K7N6W9_MOUSE, tr|K7N6T9|K7N6T9_MOUSE, tr|G3UW71|G3UW71_MOUSE, tr|K7N6B6|K7N6B6_MOUSE, tr|E9PXM3|E9PXM3_MOUSE, tr|A0A087WR36|A0A087WR36_MOUSE, tr|E9PYW5|E9PYW5_MOUSE, tr|Q9EPS4|Q9EPS4_MOUSE, tr|E9Q8V7|E9Q8V7_MOUSE, tr|K7N6J4|K7N6J4_MOUSE, tr|K7N6B7|K7N6B7_MOUSE, tr|L7N2C8|L7N2C8_MOUSE, tr|D3YTW8|D3YTW8_MOUSE, tr|L7N226|L7N226_MOUSE, tr|K7N6B8|K7N6B8_MOUSE, tr|Q8K3N5|Q8K3N5_MOUSE, tr|Q8R2B6|Q8R2B6_MOUSE, tr|B9EK86|B9EK86_MOUSE, tr|Q3KNP5|Q3KNP5_MOUSE, tr|Q0P547|Q0P547_MOUSE, tr|Q8R2B4|Q8R2B4_MOUSE, tr|K7N6X3|K7N6X3_MOUSE, tr|K7N726|K7N726_MOUSE, tr|E9QA94|E9QA94_MOUSE, tr|K9J7F4|K9J7F4_MOUSE, tr|K9J7G9|K9J7G9_MOUSE, tr|K9J7G2|K9J7G2_MOUSE, tr|L7N2C9|L7N2C9_MOUSE, tr|G3UY92|G3UY92_MOUSE, tr|E9PWL6|E9PWL6_MOUSE, tr|E9Q365|E9Q365_MOUSE, tr|G3UWI8|G3UWI8_MOUSE, tr|D3YZG3|D3YZG3_MOUSE, tr|E9Q4H3|E9Q4H3_MOUSE, tr|K9J7G6|K9J7G6_MOUSE, tr|K7N701|K7N701_MOUSE, tr|K7N6X7|K7N6X7_MOUSE, tr|L7N288|L7N288_MOUSE, tr|K7N6Y3|K7N6Y3_MOUSE, tr|K7N6J2|K7N6J2_MOUSE, tr|K7N6J6|K7N6J6_MOUSE, tr|K7N6J5|K7N6J5_MOUSE, tr|D3YTX5|D3YTX5_MOUSE, tr|K7N6U0|K7N6U0_MOUSE, tr|E9Q346|E9Q346_MOUSE, tr|L7N270|L7N270_MOUSE, tr|L7N227|L7N227_MOUSE, tr|E9PUW9|E9PUW9_MOUSE, tr|L7N2A6|L7N2A6_MOUSE, tr|E9Q8L6|E9Q8L6_MOUSE, tr|G3UY48|G3UY48_MOUSE, tr|E9Q069|E9Q069_MOUSE, tr|K9J7G0|K9J7G0_MOUSE, tr|L7N2B4|L7N2B4_MOUSE, tr|E9Q9N3|E9Q9N3_MOUSE, tr|L7N293|L7N293_MOUSE, tr|D3YTY1|D3YTY1_MOUSE, tr|Q9EPS5|Q9EPS5_MOUSE, tr|E9PZR7|E9PZR7_MOUSE, tr|K9J7H2|K9J7H2_MOUSE, tr|L7N273|L7N273_MOUSE, tr|K9J7G4|K9J7G4_MOUSE, tr|D3YTY2|D3YTY2_MOUSE, tr|E9PW18|E9PW18_MOUSE, tr|D3YTX4|D3YTX4_MOUSE	tr|A0A671FVB3|A0A671FVB3_RHIFE
OG0000001	sp|P08042|ZFP1_MOUSE	tr|A0A671F6E7|A0A671F6E7_RHIFE
OG0000001	sp|B2RXC5|ZN382_MOUSE	tr|A0A671EBN3|A0A671EBN3_RHIFE
OG0000001	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A671EUY8|A0A671EUY8_RHIFE, tr|A0A671EV13|A0A671EV13_RHIFE
OG0000001	tr|Q640N4|Q640N4_MOUSE	tr|A0A671F4P3|A0A671F4P3_RHIFE, tr|A0A671FRP6|A0A671FRP6_RHIFE, tr|A0A671FSF7|A0A671FSF7_RHIFE, tr|A0A671FFX9|A0A671FFX9_RHIFE, tr|A0A671FRZ9|A0A671FRZ9_RHIFE, tr|A0A671EI39|A0A671EI39_RHIFE, tr|A0A671FEB3|A0A671FEB3_RHIFE, tr|A0A671EMN3|A0A671EMN3_RHIFE, tr|A0A671F3K9|A0A671F3K9_RHIFE
OG0000007	tr|L7N203|L7N203_MOUSE, tr|L7N2B2|L7N2B2_MOUSE, tr|A0A3B2W842|A0A3B2W842_MOUSE, tr|G5E8Z7|G5E8Z7_MOUSE, tr|G3XA45|G3XA45_MOUSE, tr|L7N2D8|L7N2D8_MOUSE, tr|K7N702|K7N702_MOUSE, tr|E9PW21|E9PW21_MOUSE, tr|D3Z7M3|D3Z7M3_MOUSE, tr|D3Z4N8|D3Z4N8_MOUSE, tr|L7N2B3|L7N2B3_MOUSE, tr|K7N6T2|K7N6T2_MOUSE, tr|L7N2B7|L7N2B7_MOUSE, tr|E9Q067|E9Q067_MOUSE, tr|K7N6U5|K7N6U5_MOUSE, tr|E9Q3F5|E9Q3F5_MOUSE, tr|G3X931|G3X931_MOUSE, sp|E9Q6I0|V2116_MOUSE, tr|E9Q0E7|E9Q0E7_MOUSE, tr|K7N6V1|K7N6V1_MOUSE, tr|E9Q281|E9Q281_MOUSE, tr|L7N221|L7N221_MOUSE, tr|K7N674|K7N674_MOUSE, tr|A0A140T8U3|A0A140T8U3_MOUSE, tr|E9PZA6|E9PZA6_MOUSE, tr|L7N2D4|L7N2D4_MOUSE, tr|F8VQD3|F8VQD3_MOUSE, tr|E9PVI0|E9PVI0_MOUSE, tr|L7N2B5|L7N2B5_MOUSE, tr|K7N741|K7N741_MOUSE, tr|E9Q5C7|E9Q5C7_MOUSE, tr|F6W043|F6W043_MOUSE, tr|E9Q5D8|E9Q5D8_MOUSE, tr|L7N215|L7N215_MOUSE, tr|K7N709|K7N709_MOUSE, tr|K7N5W1|K7N5W1_MOUSE, tr|O35192|O35192_MOUSE, tr|D3Z6L3|D3Z6L3_MOUSE, tr|K7N686|K7N686_MOUSE, tr|K7N705|K7N705_MOUSE, tr|G3UYA8|G3UYA8_MOUSE, tr|L7N2E1|L7N2E1_MOUSE, tr|L7N1Z4|L7N1Z4_MOUSE, tr|E9Q7U8|E9Q7U8_MOUSE, tr|E9PW61|E9PW61_MOUSE, tr|Q80Z08|Q80Z08_MOUSE, tr|L7N2E5|L7N2E5_MOUSE	tr|A0A671EJD9|A0A671EJD9_RHIFE
OG0000008	tr|Q5U406|Q5U406_MOUSE	tr|A0A671ED35|A0A671ED35_RHIFE
OG0000008	sp|Q3V080|ZN583_MOUSE	tr|A0A671E4S6|A0A671E4S6_RHIFE
OG0000008	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A671F811|A0A671F811_RHIFE
OG0000008	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A671FJK0|A0A671FJK0_RHIFE, tr|A0A671G6X0|A0A671G6X0_RHIFE, tr|A0A671E4W6|A0A671E4W6_RHIFE, tr|A0A671ECK4|A0A671ECK4_RHIFE, tr|A0A671EBU9|A0A671EBU9_RHIFE
