Orthogroup	Mus_musculus	Tupaia_chinensis
OG0000000	sp|P47911|RL6_MOUSE	tr|L8Y7V0|L8Y7V0_TUPCH, tr|L9KZL3|L9KZL3_TUPCH, tr|L9KFM2|L9KFM2_TUPCH, tr|L9KYP1|L9KYP1_TUPCH, tr|L9L9M3|L9L9M3_TUPCH, tr|L9KVB0|L9KVB0_TUPCH, tr|L9KGZ1|L9KGZ1_TUPCH, tr|L9KPN1|L9KPN1_TUPCH, tr|L9KYI9|L9KYI9_TUPCH, tr|L9LF60|L9LF60_TUPCH, tr|L9KS88|L9KS88_TUPCH, tr|L9KKP4|L9KKP4_TUPCH, tr|L9L894|L9L894_TUPCH, tr|L9KMA6|L9KMA6_TUPCH, tr|L9JEL8|L9JEL8_TUPCH, tr|L9KNI5|L9KNI5_TUPCH, tr|L9L926|L9L926_TUPCH, tr|L9JU28|L9JU28_TUPCH, tr|L9L2E8|L9L2E8_TUPCH, tr|L9LDM7|L9LDM7_TUPCH, tr|L9KTR1|L9KTR1_TUPCH, tr|L9KKL5|L9KKL5_TUPCH, tr|L9KL95|L9KL95_TUPCH, tr|L9L2H5|L9L2H5_TUPCH, tr|L9LD11|L9LD11_TUPCH, tr|L9JFW2|L9JFW2_TUPCH, tr|L9JEI4|L9JEI4_TUPCH, tr|L9KS64|L9KS64_TUPCH, tr|L9JKB8|L9JKB8_TUPCH, tr|L9JDT6|L9JDT6_TUPCH, tr|L9L180|L9L180_TUPCH, tr|L9JFR6|L9JFR6_TUPCH, tr|L9KN48|L9KN48_TUPCH, tr|L9L8R9|L9L8R9_TUPCH, tr|L9L8M7|L9L8M7_TUPCH, tr|L9KHL6|L9KHL6_TUPCH, tr|L9KVT0|L9KVT0_TUPCH, tr|L9L2Q7|L9L2Q7_TUPCH, tr|L9KQT9|L9KQT9_TUPCH, tr|L9L6L0|L9L6L0_TUPCH, tr|L9LCQ5|L9LCQ5_TUPCH, tr|L9L4G5|L9L4G5_TUPCH, tr|L9KJE6|L9KJE6_TUPCH, tr|L9KUS2|L9KUS2_TUPCH, tr|L9KJM4|L9KJM4_TUPCH, tr|L9JB63|L9JB63_TUPCH, tr|L9KXW5|L9KXW5_TUPCH, tr|L9KRN1|L9KRN1_TUPCH, tr|L9L8B6|L9L8B6_TUPCH, tr|L9JFX3|L9JFX3_TUPCH, tr|L9KMK6|L9KMK6_TUPCH, tr|L9L137|L9L137_TUPCH, tr|L9KRX9|L9KRX9_TUPCH, tr|L9L3D6|L9L3D6_TUPCH, tr|L9KI31|L9KI31_TUPCH, tr|L9L6C3|L9L6C3_TUPCH, tr|L9LAZ0|L9LAZ0_TUPCH, tr|L9L7Y2|L9L7Y2_TUPCH, tr|L9LCX2|L9LCX2_TUPCH, tr|L9KZ58|L9KZ58_TUPCH, tr|L9JIE7|L9JIE7_TUPCH, tr|L9L042|L9L042_TUPCH, tr|L9KT71|L9KT71_TUPCH, tr|L9KMC1|L9KMC1_TUPCH, tr|L9KYQ0|L9KYQ0_TUPCH, tr|L9KSE8|L9KSE8_TUPCH, tr|L9LAJ5|L9LAJ5_TUPCH, tr|L9KMS1|L9KMS1_TUPCH, tr|L9L8V7|L9L8V7_TUPCH, tr|L9K376|L9K376_TUPCH, tr|L9KZ62|L9KZ62_TUPCH, tr|L9KYX7|L9KYX7_TUPCH, tr|L9L3Z4|L9L3Z4_TUPCH, tr|L9KIS6|L9KIS6_TUPCH, tr|L9KTS8|L9KTS8_TUPCH, tr|L9LDD6|L9LDD6_TUPCH, tr|L9L8Z3|L9L8Z3_TUPCH, tr|L9L641|L9L641_TUPCH, tr|L9KX09|L9KX09_TUPCH, tr|L9JIH8|L9JIH8_TUPCH, tr|L9L634|L9L634_TUPCH, tr|L9JCE3|L9JCE3_TUPCH, tr|L9L7P9|L9L7P9_TUPCH, tr|L9JGW7|L9JGW7_TUPCH, tr|L9K651|L9K651_TUPCH, tr|L9J9L5|L9J9L5_TUPCH, tr|L9L1D9|L9L1D9_TUPCH, tr|L9KTJ2|L9KTJ2_TUPCH, tr|L9JGW8|L9JGW8_TUPCH, tr|L9L0N9|L9L0N9_TUPCH, tr|L9KU42|L9KU42_TUPCH, tr|L9KQ75|L9KQ75_TUPCH, tr|L9KMN9|L9KMN9_TUPCH, tr|L9KQX3|L9KQX3_TUPCH, tr|L9L0E9|L9L0E9_TUPCH, tr|L9L2K0|L9L2K0_TUPCH, tr|L9LBC0|L9LBC0_TUPCH, tr|L9L6L9|L9L6L9_TUPCH, tr|L9L5M2|L9L5M2_TUPCH, tr|L9L5V9|L9L5V9_TUPCH, tr|L9KJ01|L9KJ01_TUPCH, tr|L9JD55|L9JD55_TUPCH, tr|L9KJN9|L9KJN9_TUPCH, tr|L9KUU8|L9KUU8_TUPCH, tr|L9KPN2|L9KPN2_TUPCH, tr|L9JC42|L9JC42_TUPCH, tr|L9KW92|L9KW92_TUPCH, tr|L9JGW3|L9JGW3_TUPCH, tr|L9KND3|L9KND3_TUPCH, tr|L9JFT4|L9JFT4_TUPCH, tr|L9JA02|L9JA02_TUPCH, tr|L9LD12|L9LD12_TUPCH, tr|L9JC76|L9JC76_TUPCH, tr|L9JWF3|L9JWF3_TUPCH, tr|L9KRL9|L9KRL9_TUPCH, tr|L9L9G0|L9L9G0_TUPCH, tr|L9KY44|L9KY44_TUPCH, tr|L9LD30|L9LD30_TUPCH, tr|L9KMD0|L9KMD0_TUPCH, tr|L9JJ06|L9JJ06_TUPCH, tr|L9L5S3|L9L5S3_TUPCH, tr|L9JAH4|L9JAH4_TUPCH, tr|L9L9Y5|L9L9Y5_TUPCH, tr|L9JAZ2|L9JAZ2_TUPCH, tr|L9KPI7|L9KPI7_TUPCH, tr|L9L502|L9L502_TUPCH, tr|L9JD92|L9JD92_TUPCH, tr|L9JWH1|L9JWH1_TUPCH, tr|L9L2L1|L9L2L1_TUPCH, tr|L9KXQ8|L9KXQ8_TUPCH, tr|L9KPP7|L9KPP7_TUPCH, tr|L9K7Z0|L9K7Z0_TUPCH, tr|L9KTK7|L9KTK7_TUPCH, tr|L9JIM8|L9JIM8_TUPCH, tr|L9L9S9|L9L9S9_TUPCH, tr|L9KZF3|L9KZF3_TUPCH, tr|L9KRC8|L9KRC8_TUPCH, tr|L9JUP3|L9JUP3_TUPCH, tr|L9L5B0|L9L5B0_TUPCH, tr|L9L169|L9L169_TUPCH, tr|L9LES4|L9LES4_TUPCH, tr|L9KIV6|L9KIV6_TUPCH, tr|L9KJF0|L9KJF0_TUPCH, tr|L9L8S2|L9L8S2_TUPCH, tr|L9KS36|L9KS36_TUPCH, tr|L9KX90|L9KX90_TUPCH, tr|L9L3G5|L9L3G5_TUPCH, tr|L9JB97|L9JB97_TUPCH, tr|L9KXP6|L9KXP6_TUPCH, tr|L9KLD9|L9KLD9_TUPCH, tr|L9K9X0|L9K9X0_TUPCH, tr|L9L8A5|L9L8A5_TUPCH, tr|L9KVS6|L9KVS6_TUPCH, tr|L9K6M5|L9K6M5_TUPCH, tr|L9L3D9|L9L3D9_TUPCH, tr|L9KKA1|L9KKA1_TUPCH, tr|L9KRV6|L9KRV6_TUPCH, tr|L9KER9|L9KER9_TUPCH, tr|L9KZ45|L9KZ45_TUPCH, tr|L9KI94|L9KI94_TUPCH, tr|L9KN60|L9KN60_TUPCH, tr|L9JDU9|L9JDU9_TUPCH, tr|L9KIF0|L9KIF0_TUPCH, tr|L9JIF5|L9JIF5_TUPCH, tr|L9KRS3|L9KRS3_TUPCH, tr|L9L6T5|L9L6T5_TUPCH, tr|L9JV54|L9JV54_TUPCH, tr|L9K0N0|L9K0N0_TUPCH, tr|L9KSS2|L9KSS2_TUPCH, tr|L9KLD0|L9KLD0_TUPCH, tr|L9JD07|L9JD07_TUPCH, tr|L9L4Z0|L9L4Z0_TUPCH, tr|L9L101|L9L101_TUPCH, tr|L9KQ00|L9KQ00_TUPCH, tr|L9KGR4|L9KGR4_TUPCH, tr|L9LG89|L9LG89_TUPCH, tr|L9JCK0|L9JCK0_TUPCH, tr|L9JSH3|L9JSH3_TUPCH, tr|L9L0U7|L9L0U7_TUPCH, tr|L9L701|L9L701_TUPCH, tr|L9JAN0|L9JAN0_TUPCH, tr|L9L3N5|L9L3N5_TUPCH, tr|L9JIB3|L9JIB3_TUPCH, tr|L9JA95|L9JA95_TUPCH, tr|L9JCK9|L9JCK9_TUPCH, tr|L9JPY4|L9JPY4_TUPCH, tr|L9KU96|L9KU96_TUPCH, tr|L9KKN2|L9KKN2_TUPCH, tr|L9KRS1|L9KRS1_TUPCH, tr|L9L2D4|L9L2D4_TUPCH, tr|L9JQZ3|L9JQZ3_TUPCH, tr|L9KX32|L9KX32_TUPCH, tr|L9JD08|L9JD08_TUPCH, tr|L9L2N4|L9L2N4_TUPCH
OG0000001	sp|Q9JHB2|OLF19_MOUSE	tr|L9KVS8|L9KVS8_TUPCH, tr|L8YDK4|L8YDK4_TUPCH, tr|L9KT47|L9KT47_TUPCH, tr|L8Y628|L8Y628_TUPCH, tr|L8YDK1|L8YDK1_TUPCH, tr|L8YDM4|L8YDM4_TUPCH, tr|L8Y5Q5|L8Y5Q5_TUPCH
OG0000001	tr|Q7TQU8|Q7TQU8_MOUSE	tr|L8Y0G3|L8Y0G3_TUPCH, tr|L8YGU4|L8YGU4_TUPCH, tr|L8YDV7|L8YDV7_TUPCH
OG0000001	tr|Q8VGB8|Q8VGB8_MOUSE	tr|L8YCW0|L8YCW0_TUPCH
OG0000001	tr|E9PVX1|E9PVX1_MOUSE	tr|L9JUC8|L9JUC8_TUPCH, tr|L9JUD3|L9JUD3_TUPCH, tr|L9JUS4|L9JUS4_TUPCH, tr|L8YCD1|L8YCD1_TUPCH, tr|L9JY91|L9JY91_TUPCH, tr|L9JUA3|L9JUA3_TUPCH, tr|L9JVA5|L9JVA5_TUPCH, tr|L8YCW5|L8YCW5_TUPCH, tr|L9JUS0|L9JUS0_TUPCH, tr|L9JVA9|L9JVA9_TUPCH, tr|L9JU98|L9JU98_TUPCH
OG0000001	tr|Q8VGG6|Q8VGG6_MOUSE	tr|L9JUA9|L9JUA9_TUPCH, tr|L9JVB9|L9JVB9_TUPCH, tr|L9JUB7|L9JUB7_TUPCH, tr|L9JYA3|L9JYA3_TUPCH, tr|L9JUE2|L9JUE2_TUPCH, tr|L9JVB5|L9JVB5_TUPCH, tr|L9JUT6|L9JUT6_TUPCH, tr|L9KW09|L9KW09_TUPCH, tr|L9JUS7|L9JUS7_TUPCH, tr|L9JUB2|L9JUB2_TUPCH, tr|L9JUT2|L9JUT2_TUPCH, tr|L9JUD9|L9JUD9_TUPCH, tr|L9JY99|L9JY99_TUPCH, tr|L9JUE7|L9JUE7_TUPCH
OG0000002	sp|Q99KJ0|UBX2A_MOUSE	tr|L9L7M7|L9L7M7_TUPCH, tr|L9KPV5|L9KPV5_TUPCH, tr|L9KRU6|L9KRU6_TUPCH, tr|L9KKB5|L9KKB5_TUPCH, tr|L9KH24|L9KH24_TUPCH, tr|L9KSH4|L9KSH4_TUPCH, tr|L9KMP6|L9KMP6_TUPCH, tr|L9KY49|L9KY49_TUPCH, tr|L9L2N1|L9L2N1_TUPCH, tr|L9JRI4|L9JRI4_TUPCH, tr|L9KBX0|L9KBX0_TUPCH, tr|L9KKL9|L9KKL9_TUPCH, tr|L9L2T2|L9L2T2_TUPCH, tr|L8YEI1|L8YEI1_TUPCH, tr|L9L8I2|L9L8I2_TUPCH, tr|L9L5B6|L9L5B6_TUPCH, tr|L9L9Q4|L9L9Q4_TUPCH, tr|L9KVA4|L9KVA4_TUPCH, tr|L9KZ36|L9KZ36_TUPCH, tr|L9KY71|L9KY71_TUPCH, tr|L9KNX8|L9KNX8_TUPCH, tr|L9LCT0|L9LCT0_TUPCH, tr|L9L2S2|L9L2S2_TUPCH, tr|L9JFT1|L9JFT1_TUPCH, tr|L9L4X2|L9L4X2_TUPCH, tr|L9L560|L9L560_TUPCH, tr|L9LDF3|L9LDF3_TUPCH, tr|L9KVY2|L9KVY2_TUPCH, tr|L9JED6|L9JED6_TUPCH, tr|L9KY64|L9KY64_TUPCH, tr|L8Y8W3|L8Y8W3_TUPCH, tr|L9KZE2|L9KZE2_TUPCH, tr|L9L586|L9L586_TUPCH, tr|L9LAW6|L9LAW6_TUPCH, tr|L9L7P2|L9L7P2_TUPCH, tr|L9K212|L9K212_TUPCH, tr|L9L438|L9L438_TUPCH, tr|L9LC53|L9LC53_TUPCH, tr|L9KPB1|L9KPB1_TUPCH, tr|L9KJ12|L9KJ12_TUPCH, tr|L9KB10|L9KB10_TUPCH, tr|L8YBS1|L8YBS1_TUPCH, tr|L9L9V4|L9L9V4_TUPCH, tr|L9KFB7|L9KFB7_TUPCH, tr|L9KJQ8|L9KJQ8_TUPCH, tr|L9KLY6|L9KLY6_TUPCH, tr|L9KV24|L9KV24_TUPCH, tr|L9L8M5|L9L8M5_TUPCH, tr|L9KS22|L9KS22_TUPCH, tr|L9JRG4|L9JRG4_TUPCH, tr|L9KN39|L9KN39_TUPCH, tr|L9LCT1|L9LCT1_TUPCH, tr|L9KQH6|L9KQH6_TUPCH, tr|L9LBE2|L9LBE2_TUPCH, tr|L9L5P9|L9L5P9_TUPCH, tr|L9JN28|L9JN28_TUPCH, tr|L9KSX6|L9KSX6_TUPCH, tr|L9KFU0|L9KFU0_TUPCH, tr|L9JBF3|L9JBF3_TUPCH, tr|L9KVH0|L9KVH0_TUPCH, tr|L9KT92|L9KT92_TUPCH, tr|L9KBD5|L9KBD5_TUPCH, tr|L8Y0I8|L8Y0I8_TUPCH, tr|L9KFN7|L9KFN7_TUPCH, tr|L9KRI0|L9KRI0_TUPCH, tr|L9JDI1|L9JDI1_TUPCH, tr|L9LB17|L9LB17_TUPCH, tr|L9KNX3|L9KNX3_TUPCH, tr|L8Y3F5|L8Y3F5_TUPCH, tr|L9JYV8|L9JYV8_TUPCH, tr|L8Y2K3|L8Y2K3_TUPCH, tr|L9KUV0|L9KUV0_TUPCH, tr|L9L6Y3|L9L6Y3_TUPCH, tr|L9KI35|L9KI35_TUPCH, tr|L9K2P8|L9K2P8_TUPCH, tr|L9KK32|L9KK32_TUPCH, tr|L9KFZ3|L9KFZ3_TUPCH, tr|L9JB66|L9JB66_TUPCH, tr|L9KZW9|L9KZW9_TUPCH, tr|L9KJE4|L9KJE4_TUPCH, tr|L9LAQ6|L9LAQ6_TUPCH, tr|L9KMN7|L9KMN7_TUPCH, tr|L9KT70|L9KT70_TUPCH, tr|L9KBH7|L9KBH7_TUPCH, tr|L9KZY1|L9KZY1_TUPCH, tr|L9KW59|L9KW59_TUPCH, tr|L9JAT2|L9JAT2_TUPCH, tr|L9JP73|L9JP73_TUPCH, tr|L9LA13|L9LA13_TUPCH, tr|L9L2K6|L9L2K6_TUPCH
OG0000003	sp|P14148|RL7_MOUSE	tr|L8Y6R9|L8Y6R9_TUPCH, tr|L9L1E0|L9L1E0_TUPCH, tr|L9KMU0|L9KMU0_TUPCH, tr|L9L7P8|L9L7P8_TUPCH, tr|L9KKV9|L9KKV9_TUPCH, tr|L9L7E2|L9L7E2_TUPCH, tr|L9KLU5|L9KLU5_TUPCH, tr|L9L6Z3|L9L6Z3_TUPCH, tr|L9L868|L9L868_TUPCH, tr|L9KHM7|L9KHM7_TUPCH, tr|L9KMC3|L9KMC3_TUPCH, tr|L9KSV3|L9KSV3_TUPCH, tr|L9L7U5|L9L7U5_TUPCH, tr|L9L2A7|L9L2A7_TUPCH, tr|L9LDB8|L9LDB8_TUPCH, tr|L9L8G2|L9L8G2_TUPCH, tr|L9JP43|L9JP43_TUPCH, tr|L9KT50|L9KT50_TUPCH, tr|L9JK42|L9JK42_TUPCH, tr|L9KMV0|L9KMV0_TUPCH, tr|L9JBD1|L9JBD1_TUPCH, tr|L9L4I6|L9L4I6_TUPCH, tr|L9KTV5|L9KTV5_TUPCH, tr|L9LAA2|L9LAA2_TUPCH
OG0000003	sp|Q9DA21|SMCO2_MOUSE	tr|L8YGC8|L8YGC8_TUPCH, tr|L8Y8I2|L8Y8I2_TUPCH, tr|L9JK44|L9JK44_TUPCH, tr|L9LBV2|L9LBV2_TUPCH, tr|L9KHA5|L9KHA5_TUPCH, tr|L9KPG3|L9KPG3_TUPCH, tr|L9LCI0|L9LCI0_TUPCH, tr|L8Y0L8|L8Y0L8_TUPCH, tr|L9K638|L9K638_TUPCH, tr|L9KSJ9|L9KSJ9_TUPCH, tr|L9KLG6|L9KLG6_TUPCH, tr|L9LGI0|L9LGI0_TUPCH, tr|L9KLW1|L9KLW1_TUPCH, tr|L9JDW4|L9JDW4_TUPCH, tr|L9JEP4|L9JEP4_TUPCH, tr|L9KK62|L9KK62_TUPCH, tr|L9JCH3|L9JCH3_TUPCH, tr|L8Y1R7|L8Y1R7_TUPCH, tr|L9KS39|L9KS39_TUPCH, tr|L9LA63|L9LA63_TUPCH, tr|L9L8J4|L9L8J4_TUPCH, tr|L9L6U1|L9L6U1_TUPCH, tr|L9L427|L9L427_TUPCH, tr|L9JZX5|L9JZX5_TUPCH, tr|L9JDQ4|L9JDQ4_TUPCH, tr|L9JDI7|L9JDI7_TUPCH, tr|L9JH54|L9JH54_TUPCH, tr|L9KNG4|L9KNG4_TUPCH, tr|L9LCT6|L9LCT6_TUPCH, tr|L9KZ15|L9KZ15_TUPCH, tr|L9KN31|L9KN31_TUPCH, tr|L9L4P2|L9L4P2_TUPCH, tr|L9JCQ3|L9JCQ3_TUPCH, tr|L9JDG9|L9JDG9_TUPCH, tr|L9KFF7|L9KFF7_TUPCH, tr|L9L2F1|L9L2F1_TUPCH, tr|L9JKJ8|L9JKJ8_TUPCH, tr|L9KSB8|L9KSB8_TUPCH, tr|L9KMW2|L9KMW2_TUPCH, tr|L9JG54|L9JG54_TUPCH, tr|L9KMY4|L9KMY4_TUPCH, tr|L9KUW5|L9KUW5_TUPCH, tr|L9JYB3|L9JYB3_TUPCH, tr|L9K6F2|L9K6F2_TUPCH, tr|L9LCX6|L9LCX6_TUPCH, tr|L9L6Q8|L9L6Q8_TUPCH, tr|L9JC50|L9JC50_TUPCH, tr|L9LA93|L9LA93_TUPCH, tr|L9KN63|L9KN63_TUPCH, tr|M0QT54|M0QT54_TUPCH, tr|L9JIW9|L9JIW9_TUPCH, tr|L9L154|L9L154_TUPCH, tr|L9LCZ8|L9LCZ8_TUPCH, tr|L9L1Z0|L9L1Z0_TUPCH, tr|L9LB58|L9LB58_TUPCH, tr|L9KX23|L9KX23_TUPCH, tr|L9LCA5|L9LCA5_TUPCH, tr|L9KSJ6|L9KSJ6_TUPCH, tr|L9JAX5|L9JAX5_TUPCH
OG0000004	tr|A0A3B2WB67|A0A3B2WB67_MOUSE	tr|L9KGV1|L9KGV1_TUPCH, tr|L9KTF6|L9KTF6_TUPCH, tr|L9KI49|L9KI49_TUPCH, tr|L9J9N9|L9J9N9_TUPCH, tr|L9JAD0|L9JAD0_TUPCH, tr|L9JUF1|L9JUF1_TUPCH, tr|L9JCA0|L9JCA0_TUPCH, tr|L9KWU8|L9KWU8_TUPCH, tr|L9LC49|L9LC49_TUPCH, tr|L8YC03|L8YC03_TUPCH, tr|L8Y4I5|L8Y4I5_TUPCH, tr|L8YC25|L8YC25_TUPCH, tr|L8Y8F2|L8Y8F2_TUPCH, tr|L8Y140|L8Y140_TUPCH, tr|L8YC28|L8YC28_TUPCH, tr|L8YAB3|L8YAB3_TUPCH, tr|L8Y9Q9|L8Y9Q9_TUPCH, tr|L8Y9I8|L8Y9I8_TUPCH, tr|L9J8I0|L9J8I0_TUPCH, tr|L8YAA4|L8YAA4_TUPCH, tr|L8YDC1|L8YDC1_TUPCH, tr|L9KNF3|L9KNF3_TUPCH, tr|L9JXD6|L9JXD6_TUPCH, tr|L8YCN7|L8YCN7_TUPCH, tr|L8YC35|L8YC35_TUPCH, tr|L8Y1A2|L8Y1A2_TUPCH, tr|L9JEG6|L9JEG6_TUPCH, tr|L9JA69|L9JA69_TUPCH, tr|L9JE42|L9JE42_TUPCH, tr|L8YED0|L8YED0_TUPCH, tr|L8Y890|L8Y890_TUPCH, tr|L8YD63|L8YD63_TUPCH, tr|L9J9I1|L9J9I1_TUPCH, tr|L8YBG1|L8YBG1_TUPCH, tr|L8YEB8|L8YEB8_TUPCH, tr|L9KP10|L9KP10_TUPCH, tr|L8Y4N3|L8Y4N3_TUPCH, tr|L8Y5Z0|L8Y5Z0_TUPCH, tr|L8Y9M9|L8Y9M9_TUPCH, tr|L9L1V5|L9L1V5_TUPCH, tr|L9KC64|L9KC64_TUPCH, tr|L9KNB8|L9KNB8_TUPCH, tr|L8Y7E5|L8Y7E5_TUPCH, tr|L8YCE9|L8YCE9_TUPCH, tr|L8Y2P1|L8Y2P1_TUPCH, tr|L8Y1K1|L8Y1K1_TUPCH, tr|L8Y9R9|L8Y9R9_TUPCH, tr|L8Y1F1|L8Y1F1_TUPCH, tr|L8Y5E1|L8Y5E1_TUPCH, tr|L8Y3L1|L8Y3L1_TUPCH, tr|L9KMR4|L9KMR4_TUPCH, tr|L8Y9D2|L8Y9D2_TUPCH, tr|L8Y7H8|L8Y7H8_TUPCH, tr|L8Y6E1|L8Y6E1_TUPCH, tr|L8XZB7|L8XZB7_TUPCH, tr|L8Y4F1|L8Y4F1_TUPCH, tr|L8Y6F8|L8Y6F8_TUPCH, tr|L9KSV5|L9KSV5_TUPCH, tr|L8Y874|L8Y874_TUPCH, tr|L9KLK8|L9KLK8_TUPCH, tr|L9KLC7|L9KLC7_TUPCH, tr|L9JN39|L9JN39_TUPCH, tr|L9L1A2|L9L1A2_TUPCH, tr|L8YA81|L8YA81_TUPCH, tr|L8Y8K8|L8Y8K8_TUPCH, tr|L8XYW5|L8XYW5_TUPCH, tr|L8Y7V5|L8Y7V5_TUPCH, tr|L8YFJ2|L8YFJ2_TUPCH, tr|L9KPQ2|L9KPQ2_TUPCH, tr|L8YH15|L8YH15_TUPCH, tr|L8YD31|L8YD31_TUPCH, tr|L9KK94|L9KK94_TUPCH, tr|L8Y8I6|L8Y8I6_TUPCH, tr|L8Y4V2|L8Y4V2_TUPCH, tr|L9JAT4|L9JAT4_TUPCH, tr|L9LC72|L9LC72_TUPCH, tr|L9JH45|L9JH45_TUPCH, tr|L8YES4|L8YES4_TUPCH, tr|L9JMR6|L9JMR6_TUPCH, tr|L9JEW9|L9JEW9_TUPCH, tr|L9KP87|L9KP87_TUPCH, tr|L9KMV6|L9KMV6_TUPCH
