Orthogroup	Mus_musculus	Vulpes_vulpes
OG0000004	tr|A0A075B5S5|A0A075B5S5_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, sp|P01786|HVM17_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, sp|P01795|HVM26_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01794|HVM25_MOUSE, sp|P01793|HVM24_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01791|HVM22_MOUSE, sp|P01789|HVM20_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, sp|P01799|HVM30_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01796|HVM27_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01801|HVM32_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01803|HVM34_MOUSE, sp|P01804|HVM35_MOUSE, tr|J3QK03|J3QK03_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, sp|P01806|HVM36_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01810|HVM40_MOUSE, sp|P01809|HVM39_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01811|HVM41_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, sp|P18530|HVM59_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, sp|P18526|HVM55_MOUSE, sp|P18524|HVM53_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, sp|P18527|HVM56_MOUSE, sp|P18528|HVM57_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE	tr|A0A3Q7RHI1|A0A3Q7RHI1_VULVU
OG0000005	tr|B1ARV6|B1ARV6_MOUSE, sp|Q99MW3|PRAL1_MOUSE, tr|Q9D2F1|Q9D2F1_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|J3QK78|J3QK78_MOUSE, tr|J3QN52|J3QN52_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|Q8C6S1|Q8C6S1_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|L7N456|L7N456_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|L7N277|L7N277_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, tr|Q8CE24|Q8CE24_MOUSE, tr|Q66JY9|Q66JY9_MOUSE, tr|Q4FZF9|Q4FZF9_MOUSE, tr|A2ASJ0|A2ASJ0_MOUSE, tr|B1ARV5|B1ARV5_MOUSE, tr|A2ASI9|A2ASI9_MOUSE, tr|B1AUV7|B1AUV7_MOUSE, tr|L7MTS5|L7MTS5_MOUSE, tr|B1AUV4|B1AUV4_MOUSE, tr|Q3UTC0|Q3UTC0_MOUSE, tr|L7MU96|L7MU96_MOUSE, tr|A2ASJ1|A2ASJ1_MOUSE, sp|Q810Y8|PRAL7_MOUSE, tr|B1AUV6|B1AUV6_MOUSE, tr|Q8C4L8|Q8C4L8_MOUSE, tr|Q7TPY4|Q7TPY4_MOUSE, tr|A2ASJ3|A2ASJ3_MOUSE, tr|A2AGW8|A2AGW8_MOUSE, tr|A2AGW5|A2AGW5_MOUSE, tr|A2A8M8|A2A8M8_MOUSE, tr|Q810Y9|Q810Y9_MOUSE, tr|Q3UX49|Q3UX49_MOUSE, tr|Q4G0C7|Q4G0C7_MOUSE, tr|A2A958|A2A958_MOUSE, tr|A2A8N2|A2A8N2_MOUSE, tr|L7N1Y3|L7N1Y3_MOUSE, sp|E9Q5G7|OOG1_MOUSE, tr|A2AGW6|A2AGW6_MOUSE, tr|Q4VAD2|Q4VAD2_MOUSE, sp|Q3UWY1|OOG3_MOUSE, tr|A2AGW7|A2AGW7_MOUSE, sp|Q7TPX8|OOG2_MOUSE, tr|A2A8N0|A2A8N0_MOUSE	tr|A0A3Q7SRK6|A0A3Q7SRK6_VULVU
OG0000007	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A3Q7STI4|A0A3Q7STI4_VULVU, tr|A0A3Q7RIL7|A0A3Q7RIL7_VULVU, tr|A0A3Q7RIT8|A0A3Q7RIT8_VULVU
OG0000007	tr|Q8VGB8|Q8VGB8_MOUSE	tr|A0A3Q7RJ63|A0A3Q7RJ63_VULVU, tr|A0A3Q7R7Q9|A0A3Q7R7Q9_VULVU, tr|A0A3Q7RHA6|A0A3Q7RHA6_VULVU, tr|A0A3Q7R5R7|A0A3Q7R5R7_VULVU, tr|A0A3Q7R5M9|A0A3Q7R5M9_VULVU, tr|A0A3Q7R7U7|A0A3Q7R7U7_VULVU, tr|A0A3Q7R820|A0A3Q7R820_VULVU, tr|A0A3Q7R7Q4|A0A3Q7R7Q4_VULVU, tr|A0A3Q7SID9|A0A3Q7SID9_VULVU, tr|A0A3Q7R5Z9|A0A3Q7R5Z9_VULVU, tr|A0A3Q7RHB1|A0A3Q7RHB1_VULVU, tr|A0A3Q7R7Y9|A0A3Q7R7Y9_VULVU, tr|A0A3Q7R7W8|A0A3Q7R7W8_VULVU, tr|A0A3Q7RH30|A0A3Q7RH30_VULVU, tr|A0A3Q7SI83|A0A3Q7SI83_VULVU, tr|A0A3Q7R5Y3|A0A3Q7R5Y3_VULVU, tr|A0A3Q7SIC7|A0A3Q7SIC7_VULVU, tr|A0A3Q7R7V2|A0A3Q7R7V2_VULVU, tr|A0A3Q7RIL3|A0A3Q7RIL3_VULVU, tr|A0A3Q7RK60|A0A3Q7RK60_VULVU, tr|A0A3Q7RBB1|A0A3Q7RBB1_VULVU, tr|A0A3Q7RJ03|A0A3Q7RJ03_VULVU, tr|A0A3Q7RIH4|A0A3Q7RIH4_VULVU, tr|A0A3Q7STI8|A0A3Q7STI8_VULVU, tr|A0A3Q7RUB8|A0A3Q7RUB8_VULVU, tr|A0A3Q7RIK8|A0A3Q7RIK8_VULVU, tr|A0A3Q7RK65|A0A3Q7RK65_VULVU, tr|A0A3Q7R1F6|A0A3Q7R1F6_VULVU, tr|A0A3Q7STJ5|A0A3Q7STJ5_VULVU, tr|A0A3Q7RIT3|A0A3Q7RIT3_VULVU, tr|A0A3Q7STJ2|A0A3Q7STJ2_VULVU, tr|A0A3Q7RIR8|A0A3Q7RIR8_VULVU, tr|A0A3Q7QYS9|A0A3Q7QYS9_VULVU, tr|A0A3Q7R1W7|A0A3Q7R1W7_VULVU, tr|A0A3Q7RB20|A0A3Q7RB20_VULVU, tr|A0A3Q7RB23|A0A3Q7RB23_VULVU, tr|A0A3Q7RIU4|A0A3Q7RIU4_VULVU, tr|A0A3Q7SCU0|A0A3Q7SCU0_VULVU, tr|A0A3Q7R1X2|A0A3Q7R1X2_VULVU, tr|A0A3Q7RU65|A0A3Q7RU65_VULVU, tr|A0A3Q7R1F1|A0A3Q7R1F1_VULVU, tr|A0A3Q7QYS5|A0A3Q7QYS5_VULVU, tr|A0A3Q7RK70|A0A3Q7RK70_VULVU, tr|A0A3Q7RU46|A0A3Q7RU46_VULVU
OG0000011	sp|P10077|ZFP27_MOUSE	tr|A0A3Q7TL20|A0A3Q7TL20_VULVU
OG0000011	sp|B2RXC5|ZN382_MOUSE	tr|A0A3Q7UF68|A0A3Q7UF68_VULVU
OG0000011	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A3Q7SSG9|A0A3Q7SSG9_VULVU
OG0000011	sp|Q8BQC8|RBAK_MOUSE	tr|A0A3Q7SUJ3|A0A3Q7SUJ3_VULVU
OG0000011	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A3Q7R775|A0A3Q7R775_VULVU
OG0000011	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A3Q7REB5|A0A3Q7REB5_VULVU, tr|A0A3Q7U9I0|A0A3Q7U9I0_VULVU, tr|A0A3Q7TXB9|A0A3Q7TXB9_VULVU, tr|A0A3Q7SZU2|A0A3Q7SZU2_VULVU, tr|A0A3Q7TXB5|A0A3Q7TXB5_VULVU, tr|A0A3Q7RDR9|A0A3Q7RDR9_VULVU
