Orthogroup	Homo_sapiens	Vombatus_ursinus
OG0000000	sp|Q15940|ZNF67_HUMAN	tr|A0A4X2LDZ8|A0A4X2LDZ8_VOMUR
OG0000000	sp|Q9NSJ1|Z355P_HUMAN	tr|A0A4X2L3H5|A0A4X2L3H5_VOMUR, tr|A0A4X2L5R2|A0A4X2L5R2_VOMUR, tr|A0A4X2LB54|A0A4X2LB54_VOMUR, tr|A0A4X2LZJ9|A0A4X2LZJ9_VOMUR, tr|A0A4X2LZK4|A0A4X2LZK4_VOMUR, tr|A0A4X2M3P3|A0A4X2M3P3_VOMUR, tr|A0A4X2LEN3|A0A4X2LEN3_VOMUR, tr|A0A4X2M7Y9|A0A4X2M7Y9_VOMUR, tr|A0A4X2LC69|A0A4X2LC69_VOMUR, tr|A0A4X2LCS3|A0A4X2LCS3_VOMUR, tr|A0A4X2LNS8|A0A4X2LNS8_VOMUR, tr|A0A4X2MB68|A0A4X2MB68_VOMUR, tr|A0A4X2LNS0|A0A4X2LNS0_VOMUR, tr|A0A4X2LNR7|A0A4X2LNR7_VOMUR, tr|A0A4X2M616|A0A4X2M616_VOMUR, tr|A0A4X2LB39|A0A4X2LB39_VOMUR, tr|A0A4X2L5P4|A0A4X2L5P4_VOMUR, tr|A0A4X2LAQ8|A0A4X2LAQ8_VOMUR, tr|A0A4X2L5V2|A0A4X2L5V2_VOMUR, tr|A0A4X2L5N7|A0A4X2L5N7_VOMUR, tr|A0A4X2LVD4|A0A4X2LVD4_VOMUR, tr|A0A4X2LA32|A0A4X2LA32_VOMUR, tr|A0A4X2LZ12|A0A4X2LZ12_VOMUR, tr|A0A4X2LGJ8|A0A4X2LGJ8_VOMUR, tr|A0A4X2LF28|A0A4X2LF28_VOMUR, tr|A0A4X2L394|A0A4X2L394_VOMUR, tr|A0A4X2KXB7|A0A4X2KXB7_VOMUR, tr|A0A4X2L3Q7|A0A4X2L3Q7_VOMUR, tr|A0A4X2LE08|A0A4X2LE08_VOMUR, tr|A0A4X2LCB3|A0A4X2LCB3_VOMUR, tr|A0A4X2LDY3|A0A4X2LDY3_VOMUR, tr|A0A4X2LC84|A0A4X2LC84_VOMUR, tr|A0A4X2LC89|A0A4X2LC89_VOMUR, tr|A0A4X2L5Q7|A0A4X2L5Q7_VOMUR, tr|A0A4X2L3G3|A0A4X2L3G3_VOMUR, tr|A0A4X2L5E9|A0A4X2L5E9_VOMUR, tr|A0A4X2LC26|A0A4X2LC26_VOMUR, tr|A0A4X2L5L5|A0A4X2L5L5_VOMUR, tr|A0A4X2LAW8|A0A4X2LAW8_VOMUR, tr|A0A4X2LE77|A0A4X2LE77_VOMUR, tr|A0A4X2LE72|A0A4X2LE72_VOMUR, tr|A0A4X2L5N0|A0A4X2L5N0_VOMUR, tr|A0A4X2KJ05|A0A4X2KJ05_VOMUR, tr|A0A4X2L5H9|A0A4X2L5H9_VOMUR, tr|A0A4X2LE30|A0A4X2LE30_VOMUR, tr|A0A4X2LE52|A0A4X2LE52_VOMUR, tr|A0A4X2L763|A0A4X2L763_VOMUR, tr|A0A4X2L583|A0A4X2L583_VOMUR, tr|A0A4X2LH67|A0A4X2LH67_VOMUR, tr|A0A4X2LED8|A0A4X2LED8_VOMUR, tr|A0A4X2LZR3|A0A4X2LZR3_VOMUR, tr|A0A4X2LZS3|A0A4X2LZS3_VOMUR, tr|A0A4X2K6W5|A0A4X2K6W5_VOMUR, tr|A0A4X2L3G0|A0A4X2L3G0_VOMUR, tr|A0A4X2KBL7|A0A4X2KBL7_VOMUR, tr|A0A4X2KBQ4|A0A4X2KBQ4_VOMUR, tr|A0A4X2JTK3|A0A4X2JTK3_VOMUR, tr|A0A4X2LEA9|A0A4X2LEA9_VOMUR, tr|A0A4X2K5G9|A0A4X2K5G9_VOMUR, tr|A0A4X2KVF7|A0A4X2KVF7_VOMUR, tr|A0A4X2JXN7|A0A4X2JXN7_VOMUR, tr|A0A4X2KUZ3|A0A4X2KUZ3_VOMUR, tr|A0A4X2JVW7|A0A4X2JVW7_VOMUR, tr|A0A4X2LBV2|A0A4X2LBV2_VOMUR, tr|A0A4X2MAQ7|A0A4X2MAQ7_VOMUR, tr|A0A4X2M1W0|A0A4X2M1W0_VOMUR, tr|A0A4X2M1V6|A0A4X2M1V6_VOMUR, tr|A0A4X2M1W4|A0A4X2M1W4_VOMUR, tr|A0A4X2KA43|A0A4X2KA43_VOMUR, tr|A0A4X2MAQ5|A0A4X2MAQ5_VOMUR, tr|A0A4X2M3G1|A0A4X2M3G1_VOMUR, tr|A0A4X2KFD3|A0A4X2KFD3_VOMUR, tr|A0A4X2K7X3|A0A4X2K7X3_VOMUR, tr|A0A4X2KEU5|A0A4X2KEU5_VOMUR, tr|A0A4X2KFG2|A0A4X2KFG2_VOMUR, tr|A0A4X2KEX9|A0A4X2KEX9_VOMUR, tr|A0A4X2KD34|A0A4X2KD34_VOMUR, tr|A0A4X2L4R2|A0A4X2L4R2_VOMUR, tr|A0A4X2LZ19|A0A4X2LZ19_VOMUR, tr|A0A4X2LE60|A0A4X2LE60_VOMUR, tr|A0A4X2KUN7|A0A4X2KUN7_VOMUR, tr|A0A4X2K5S1|A0A4X2K5S1_VOMUR, tr|A0A4X2JV59|A0A4X2JV59_VOMUR, tr|A0A4X2JTZ2|A0A4X2JTZ2_VOMUR, tr|A0A4X2JN30|A0A4X2JN30_VOMUR, tr|A0A4X2JMA3|A0A4X2JMA3_VOMUR, tr|A0A4X2LJK9|A0A4X2LJK9_VOMUR, tr|A0A4X2LI23|A0A4X2LI23_VOMUR, tr|A0A4X2LCT4|A0A4X2LCT4_VOMUR, tr|A0A4X2LA62|A0A4X2LA62_VOMUR, tr|A0A4X2KFL3|A0A4X2KFL3_VOMUR, tr|A0A4X2KKU2|A0A4X2KKU2_VOMUR, tr|A0A4X2LA88|A0A4X2LA88_VOMUR, tr|A0A4X2L6I6|A0A4X2L6I6_VOMUR, tr|A0A4X2KFI3|A0A4X2KFI3_VOMUR, tr|A0A4X2LA72|A0A4X2LA72_VOMUR, tr|A0A4X2L6L2|A0A4X2L6L2_VOMUR, tr|A0A4X2LJA4|A0A4X2LJA4_VOMUR, tr|A0A4X2K1Q2|A0A4X2K1Q2_VOMUR, tr|A0A4X2LAI9|A0A4X2LAI9_VOMUR, tr|A0A4X2LLL7|A0A4X2LLL7_VOMUR, tr|A0A4X2JMU0|A0A4X2JMU0_VOMUR, tr|A0A4X2JTW4|A0A4X2JTW4_VOMUR, tr|A0A4X2KYY5|A0A4X2KYY5_VOMUR, tr|A0A4X2L3E4|A0A4X2L3E4_VOMUR, tr|A0A4X2KWQ6|A0A4X2KWQ6_VOMUR, tr|A0A4X2LSS7|A0A4X2LSS7_VOMUR, tr|A0A4X2L9X1|A0A4X2L9X1_VOMUR, tr|A0A4X2LIZ1|A0A4X2LIZ1_VOMUR, tr|A0A4X2L0Q3|A0A4X2L0Q3_VOMUR, tr|A0A4X2L738|A0A4X2L738_VOMUR, tr|A0A4X2KYT9|A0A4X2KYT9_VOMUR, tr|A0A4X2M6V8|A0A4X2M6V8_VOMUR, tr|A0A4X2M6X2|A0A4X2M6X2_VOMUR, tr|A0A4X2KS83|A0A4X2KS83_VOMUR, tr|A0A4X2KFE0|A0A4X2KFE0_VOMUR, tr|A0A4X2LJ00|A0A4X2LJ00_VOMUR, tr|A0A4X2LBM1|A0A4X2LBM1_VOMUR, tr|A0A4X2L8Y4|A0A4X2L8Y4_VOMUR, tr|A0A4X2LJT1|A0A4X2LJT1_VOMUR, tr|A0A4X2LA08|A0A4X2LA08_VOMUR, tr|A0A4X2LUS1|A0A4X2LUS1_VOMUR, tr|A0A4X2M5C3|A0A4X2M5C3_VOMUR, tr|A0A4X2M6V0|A0A4X2M6V0_VOMUR, tr|A0A4X2L3P1|A0A4X2L3P1_VOMUR, tr|A0A4X2M6W8|A0A4X2M6W8_VOMUR, tr|A0A4X2L951|A0A4X2L951_VOMUR, tr|A0A4X2K3B0|A0A4X2K3B0_VOMUR, tr|A0A4X2M6U8|A0A4X2M6U8_VOMUR, tr|A0A4X2M5D2|A0A4X2M5D2_VOMUR, tr|A0A4X2M6V9|A0A4X2M6V9_VOMUR, tr|A0A4X2LY59|A0A4X2LY59_VOMUR, tr|A0A4X2L3D9|A0A4X2L3D9_VOMUR, tr|A0A4X2L5F7|A0A4X2L5F7_VOMUR, tr|A0A4X2LUD9|A0A4X2LUD9_VOMUR, tr|A0A4X2L3A6|A0A4X2L3A6_VOMUR, tr|A0A4X2L747|A0A4X2L747_VOMUR
OG0000001	sp|Q9BSG1|ZNF2_HUMAN	tr|A0A4X2LE64|A0A4X2LE64_VOMUR
OG0000001	sp|P10075|GLI4_HUMAN	tr|A0A4X2JYJ4|A0A4X2JYJ4_VOMUR
OG0000001	sp|Q8N720|ZN655_HUMAN	tr|A0A4X2K9E6|A0A4X2K9E6_VOMUR, tr|A0A4X2LN51|A0A4X2LN51_VOMUR, tr|A0A4X2LYW7|A0A4X2LYW7_VOMUR, tr|A0A4X2MEA5|A0A4X2MEA5_VOMUR
OG0000001	sp|P17020|ZNF16_HUMAN	tr|A0A4X2JM25|A0A4X2JM25_VOMUR
OG0000001	sp|P17041|ZNF32_HUMAN	tr|A0A4X2M9F7|A0A4X2M9F7_VOMUR
OG0000001	sp|Q5T5D7|ZN684_HUMAN	tr|A0A4X2KKR2|A0A4X2KKR2_VOMUR, tr|A0A4X2LFL8|A0A4X2LFL8_VOMUR, tr|A0A4X2LCD1|A0A4X2LCD1_VOMUR
OG0000001	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|A0A4X2LPN7|A0A4X2LPN7_VOMUR
OG0000003	sp|Q9UL58|ZN215_HUMAN	tr|A0A4X2KMZ8|A0A4X2KMZ8_VOMUR
