Orthogroup	Mus_musculus	Cervus_elaphus_hippelaphus
OG0000000	tr|G3X9T1|G3X9T1_MOUSE	tr|A0A212BZY5|A0A212BZY5_CEREH
OG0000000	sp|E9PYI1|ZN568_MOUSE	tr|A0A212DBF5|A0A212DBF5_CEREH
OG0000000	sp|Q80W31|ZN569_MOUSE	tr|A0A212DCP5|A0A212DCP5_CEREH
OG0000000	sp|Q8BQC8|RBAK_MOUSE	tr|A0A212DDU8|A0A212DDU8_CEREH, tr|A0A212CYQ3|A0A212CYQ3_CEREH, tr|A0A212CYN9|A0A212CYN9_CEREH
OG0000000	sp|Q6PGE4|ZF316_MOUSE	tr|A0A212CZI8|A0A212CZI8_CEREH
OG0000000	sp|Q8BI67|ZN473_MOUSE	tr|A0A212CP67|A0A212CP67_CEREH
OG0000000	sp|Q61967|ZFP90_MOUSE	tr|A0A212CPX5|A0A212CPX5_CEREH, tr|A0A212CNY6|A0A212CNY6_CEREH, tr|A0A212D6N5|A0A212D6N5_CEREH, tr|A0A212DBY4|A0A212DBY4_CEREH
OG0000000	sp|Q80YP6|ZIK1_MOUSE	tr|A0A212DCB8|A0A212DCB8_CEREH, tr|A0A212DD71|A0A212DD71_CEREH, tr|A0A212DBW0|A0A212DBW0_CEREH, tr|A0A212DD50|A0A212DD50_CEREH, tr|A0A212DEC1|A0A212DEC1_CEREH, tr|A0A212DBF8|A0A212DBF8_CEREH, tr|A0A212DCK8|A0A212DCK8_CEREH, tr|A0A212DD11|A0A212DD11_CEREH, tr|A0A212DBT0|A0A212DBT0_CEREH, tr|A0A212DEB4|A0A212DEB4_CEREH, tr|A0A212DDE8|A0A212DDE8_CEREH
OG0000000	tr|Q78F42|Q78F42_MOUSE	tr|A0A212DDI0|A0A212DDI0_CEREH, tr|A0A212DDM3|A0A212DDM3_CEREH, tr|A0A212DBC5|A0A212DBC5_CEREH, tr|A0A212DC23|A0A212DC23_CEREH
OG0000000	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A212DE75|A0A212DE75_CEREH
