Orthogroup	Homo_sapiens	Bos_taurus
OG0000001	sp|Q9H606|PRORY_HUMAN	tr|A0A3Q1LZ04|A0A3Q1LZ04_BOVIN
OG0000001	sp|O00370|LORF2_HUMAN	tr|A0A3Q1LXM4|A0A3Q1LXM4_BOVIN, tr|A0A3Q1LLY2|A0A3Q1LLY2_BOVIN, tr|A0A3Q1NKM9|A0A3Q1NKM9_BOVIN, tr|A0A3Q1LNQ2|A0A3Q1LNQ2_BOVIN, tr|A0A3Q1LLL3|A0A3Q1LLL3_BOVIN, tr|A0A3Q1MLL5|A0A3Q1MLL5_BOVIN, tr|A0A3Q1NJZ9|A0A3Q1NJZ9_BOVIN, tr|A0A3Q1LY67|A0A3Q1LY67_BOVIN, tr|A0A3Q1M631|A0A3Q1M631_BOVIN, tr|A0A3Q1LMS4|A0A3Q1LMS4_BOVIN, tr|A0A3Q1MF79|A0A3Q1MF79_BOVIN, tr|A0A3Q1MIQ2|A0A3Q1MIQ2_BOVIN, tr|A0A3Q1M6T7|A0A3Q1M6T7_BOVIN, tr|A0A3Q1M0I6|A0A3Q1M0I6_BOVIN, tr|A0A3Q1MI11|A0A3Q1MI11_BOVIN, tr|A0A3Q1MNS8|A0A3Q1MNS8_BOVIN, tr|A0A3Q1LUD5|A0A3Q1LUD5_BOVIN, tr|A0A3Q1MC81|A0A3Q1MC81_BOVIN, tr|A0A3Q1MJK9|A0A3Q1MJK9_BOVIN, tr|A0A3Q1N3N3|A0A3Q1N3N3_BOVIN, tr|A0A3Q1LU05|A0A3Q1LU05_BOVIN, tr|A0A3Q1N100|A0A3Q1N100_BOVIN, tr|A0A3Q1LSL1|A0A3Q1LSL1_BOVIN, tr|A0A3Q1MZC2|A0A3Q1MZC2_BOVIN, tr|A0A3Q1MP32|A0A3Q1MP32_BOVIN, tr|A0A3Q1LT14|A0A3Q1LT14_BOVIN, tr|A0A3Q1MD30|A0A3Q1MD30_BOVIN, tr|A0A3Q1LMA5|A0A3Q1LMA5_BOVIN, tr|A0A3Q1LN14|A0A3Q1LN14_BOVIN, tr|A0A3Q1MDD6|A0A3Q1MDD6_BOVIN, tr|A0A3Q1LRH4|A0A3Q1LRH4_BOVIN, tr|A0A3Q1MAJ9|A0A3Q1MAJ9_BOVIN, tr|A0A3Q1LQQ8|A0A3Q1LQQ8_BOVIN, tr|A0A3Q1MB52|A0A3Q1MB52_BOVIN, tr|A0A3Q1LTC9|A0A3Q1LTC9_BOVIN, tr|A0A3Q1N154|A0A3Q1N154_BOVIN, tr|A0A3Q1MNR1|A0A3Q1MNR1_BOVIN, tr|A0A3Q1LZV5|A0A3Q1LZV5_BOVIN, tr|A0A3Q1MFU1|A0A3Q1MFU1_BOVIN, tr|A0A3Q1MY86|A0A3Q1MY86_BOVIN, tr|A0A3Q1MJK2|A0A3Q1MJK2_BOVIN, tr|A0A3Q1LP68|A0A3Q1LP68_BOVIN, tr|A0A3Q1MK70|A0A3Q1MK70_BOVIN, tr|A0A3Q1MIT0|A0A3Q1MIT0_BOVIN, tr|A0A3Q1MGK8|A0A3Q1MGK8_BOVIN, tr|A0A3Q1MJP3|A0A3Q1MJP3_BOVIN, tr|A0A3Q1LYB2|A0A3Q1LYB2_BOVIN, tr|A0A3Q1M7I2|A0A3Q1M7I2_BOVIN, tr|A0A3Q1LMA8|A0A3Q1LMA8_BOVIN, tr|A0A3Q1N172|A0A3Q1N172_BOVIN, tr|A0A3Q1LYH9|A0A3Q1LYH9_BOVIN, tr|A0A3Q1LS10|A0A3Q1LS10_BOVIN, tr|A0A3Q1NLY6|A0A3Q1NLY6_BOVIN, tr|A0A3Q1LTL3|A0A3Q1LTL3_BOVIN, tr|A0A3Q1MQU8|A0A3Q1MQU8_BOVIN, tr|A0A3Q1LX51|A0A3Q1LX51_BOVIN, tr|A0A3Q1N938|A0A3Q1N938_BOVIN, tr|A0A3Q1LUC7|A0A3Q1LUC7_BOVIN, tr|A0A3Q1MNN4|A0A3Q1MNN4_BOVIN, tr|A0A3Q1NIG4|A0A3Q1NIG4_BOVIN, tr|A0A3Q1N4T9|A0A3Q1N4T9_BOVIN, tr|A0A3Q1MW07|A0A3Q1MW07_BOVIN, tr|A0A3Q1M1C4|A0A3Q1M1C4_BOVIN, tr|A0A3Q1LT65|A0A3Q1LT65_BOVIN, tr|A0A3Q1LG01|A0A3Q1LG01_BOVIN, tr|A0A3Q1LRA3|A0A3Q1LRA3_BOVIN, tr|A0A3Q1LFF6|A0A3Q1LFF6_BOVIN, tr|A0A3Q1M2L0|A0A3Q1M2L0_BOVIN, tr|A0A3Q1MFW0|A0A3Q1MFW0_BOVIN
OG0000004	sp|Q14586|ZN267_HUMAN, sp|Q7Z2F6|KRBX5_HUMAN	tr|F1MNP3|F1MNP3_BOVIN, tr|A0A3Q1ML53|A0A3Q1ML53_BOVIN, tr|A0A3Q1MWH2|A0A3Q1MWH2_BOVIN, tr|A0A3Q1LXQ4|A0A3Q1LXQ4_BOVIN, tr|F1MJ74|F1MJ74_BOVIN, tr|A0A3Q1LZ52|A0A3Q1LZ52_BOVIN, tr|F1N3X9|F1N3X9_BOVIN, tr|G3N3R0|G3N3R0_BOVIN, tr|A0A3Q1LSP1|A0A3Q1LSP1_BOVIN, tr|A0A3Q1M9T1|A0A3Q1M9T1_BOVIN, tr|A0A3Q1LYX4|A0A3Q1LYX4_BOVIN, tr|A0A3Q1LHS1|A0A3Q1LHS1_BOVIN, tr|A0A3Q1LYK2|A0A3Q1LYK2_BOVIN, tr|F1MIK2|F1MIK2_BOVIN, tr|A0A3Q1MPG0|A0A3Q1MPG0_BOVIN, tr|A0A3Q1LXL2|A0A3Q1LXL2_BOVIN, tr|A0A3Q1MCJ0|A0A3Q1MCJ0_BOVIN, tr|A0A3Q1M4F7|A0A3Q1M4F7_BOVIN, tr|A0A3Q1MD65|A0A3Q1MD65_BOVIN, tr|A0A3Q1M2P5|A0A3Q1M2P5_BOVIN, tr|A0A3Q1MUA1|A0A3Q1MUA1_BOVIN, tr|A6QNY8|A6QNY8_BOVIN, tr|F1ME68|F1ME68_BOVIN, tr|A0A3Q1LQF9|A0A3Q1LQF9_BOVIN, tr|A0A3Q1MHI3|A0A3Q1MHI3_BOVIN, tr|A0A3Q1N069|A0A3Q1N069_BOVIN, tr|A0A3Q1LPC3|A0A3Q1LPC3_BOVIN, tr|A0A3Q1LXZ5|A0A3Q1LXZ5_BOVIN, tr|A0A3Q1M6T8|A0A3Q1M6T8_BOVIN, tr|A0A3Q1MDA7|A0A3Q1MDA7_BOVIN, tr|A0A3Q1M947|A0A3Q1M947_BOVIN, tr|A0A3Q1NNE5|A0A3Q1NNE5_BOVIN, tr|G3MY17|G3MY17_BOVIN, tr|F1MHG2|F1MHG2_BOVIN, tr|A0A3Q1NCK2|A0A3Q1NCK2_BOVIN, tr|A0A3Q1MGS8|A0A3Q1MGS8_BOVIN, tr|A0A3Q1LN17|A0A3Q1LN17_BOVIN, tr|A0A3Q1LUS9|A0A3Q1LUS9_BOVIN
OG0000005	sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P06312|KV401_HUMAN	tr|G3N033|G3N033_BOVIN
OG0000005	sp|P06315|KV502_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN	tr|A0A3Q1LZD5|A0A3Q1LZD5_BOVIN
OG0000008	sp|P60709|ACTB_HUMAN	sp|P60712|ACTB_BOVIN
OG0000008	sp|P63261|ACTG_HUMAN	sp|P63258|ACTG_BOVIN
OG0000008	sp|P68133|ACTS_HUMAN	sp|P68138|ACTS_BOVIN
OG0000008	sp|P68032|ACTC_HUMAN	sp|Q3ZC07|ACTC_BOVIN
OG0000008	sp|P62736|ACTA_HUMAN	sp|P62739|ACTA_BOVIN
