Orthogroup	Homo_sapiens	Tupaia_chinensis
OG0000000	sp|Q02878|RL6_HUMAN	tr|L9KZL3|L9KZL3_TUPCH, tr|L8Y7V0|L8Y7V0_TUPCH, tr|L9KFM2|L9KFM2_TUPCH, tr|L9L9M3|L9L9M3_TUPCH, tr|L9KVB0|L9KVB0_TUPCH, tr|L9KYP1|L9KYP1_TUPCH, tr|L9KPN1|L9KPN1_TUPCH, tr|L9KGZ1|L9KGZ1_TUPCH, tr|L9KKP4|L9KKP4_TUPCH, tr|L9KYI9|L9KYI9_TUPCH, tr|L9JEL8|L9JEL8_TUPCH, tr|L9KS88|L9KS88_TUPCH, tr|L9KKN2|L9KKN2_TUPCH, tr|L9KU96|L9KU96_TUPCH, tr|L9JPY4|L9JPY4_TUPCH, tr|L9JCK9|L9JCK9_TUPCH, tr|L9JA95|L9JA95_TUPCH, tr|L9L2D4|L9L2D4_TUPCH, tr|L9KRS1|L9KRS1_TUPCH, tr|L9L2N4|L9L2N4_TUPCH, tr|L9JD08|L9JD08_TUPCH, tr|L9KX32|L9KX32_TUPCH, tr|L9JQZ3|L9JQZ3_TUPCH, tr|L9JAN0|L9JAN0_TUPCH, tr|L9L3N5|L9L3N5_TUPCH, tr|L9L701|L9L701_TUPCH, tr|L9JIB3|L9JIB3_TUPCH, tr|L9KNI5|L9KNI5_TUPCH, tr|L9JSH3|L9JSH3_TUPCH, tr|L9L0U7|L9L0U7_TUPCH, tr|L9JCK0|L9JCK0_TUPCH, tr|L9L8V7|L9L8V7_TUPCH, tr|L9LG89|L9LG89_TUPCH, tr|L9K376|L9K376_TUPCH, tr|L9KMS1|L9KMS1_TUPCH, tr|L9LAJ5|L9LAJ5_TUPCH, tr|L9KYX7|L9KYX7_TUPCH, tr|L9KZ62|L9KZ62_TUPCH, tr|L9L5S3|L9L5S3_TUPCH, tr|L9KQ00|L9KQ00_TUPCH, tr|L9KJ01|L9KJ01_TUPCH, tr|L9L9Y5|L9L9Y5_TUPCH, tr|L9JD55|L9JD55_TUPCH, tr|L9L0N9|L9L0N9_TUPCH, tr|L9KTJ2|L9KTJ2_TUPCH, tr|L9JGW8|L9JGW8_TUPCH, tr|L9L1D9|L9L1D9_TUPCH, tr|L9KQ75|L9KQ75_TUPCH, tr|L9KU42|L9KU42_TUPCH, tr|L9KMN9|L9KMN9_TUPCH, tr|L9L0E9|L9L0E9_TUPCH, tr|L9KQX3|L9KQX3_TUPCH, tr|L9LBC0|L9LBC0_TUPCH, tr|L9L6L9|L9L6L9_TUPCH, tr|L9L2K0|L9L2K0_TUPCH, tr|L9L5V9|L9L5V9_TUPCH, tr|L9KPN2|L9KPN2_TUPCH, tr|L9JGW3|L9JGW3_TUPCH, tr|L9LD12|L9LD12_TUPCH, tr|L9JA02|L9JA02_TUPCH, tr|L9LF60|L9LF60_TUPCH, tr|L9KND3|L9KND3_TUPCH, tr|L9KRL9|L9KRL9_TUPCH, tr|L9JC76|L9JC76_TUPCH, tr|L9JWF3|L9JWF3_TUPCH, tr|L9L9G0|L9L9G0_TUPCH, tr|L9JFT4|L9JFT4_TUPCH, tr|L9LDD6|L9LDD6_TUPCH, tr|L9K651|L9K651_TUPCH, tr|L9KW92|L9KW92_TUPCH, tr|L9JC42|L9JC42_TUPCH, tr|L9JGW7|L9JGW7_TUPCH, tr|L9L7P9|L9L7P9_TUPCH, tr|L9JCE3|L9JCE3_TUPCH, tr|L9JJ06|L9JJ06_TUPCH, tr|L9KMD0|L9KMD0_TUPCH, tr|L9LD30|L9LD30_TUPCH, tr|L9J9L5|L9J9L5_TUPCH, tr|L9KI94|L9KI94_TUPCH, tr|L9KN60|L9KN60_TUPCH, tr|L9JDU9|L9JDU9_TUPCH, tr|L9JCK2|L9JCK2_TUPCH, tr|L9KIF0|L9KIF0_TUPCH, tr|L9KRS3|L9KRS3_TUPCH, tr|L9JIF5|L9JIF5_TUPCH, tr|L9JV54|L9JV54_TUPCH, tr|L9L6T5|L9L6T5_TUPCH, tr|L9K0N0|L9K0N0_TUPCH, tr|L9KLD0|L9KLD0_TUPCH, tr|L9JD07|L9JD07_TUPCH, tr|L9KRX9|L9KRX9_TUPCH, tr|L9L137|L9L137_TUPCH, tr|L9KSS2|L9KSS2_TUPCH, tr|L9L4Z0|L9L4Z0_TUPCH, tr|L9KER9|L9KER9_TUPCH, tr|L9KY44|L9KY44_TUPCH, tr|L9L502|L9L502_TUPCH, tr|L9JD92|L9JD92_TUPCH, tr|L9L2L1|L9L2L1_TUPCH, tr|L9JWH1|L9JWH1_TUPCH, tr|L9KXQ8|L9KXQ8_TUPCH, tr|L9KPP7|L9KPP7_TUPCH, tr|L9K7Z0|L9K7Z0_TUPCH, tr|L9KTK7|L9KTK7_TUPCH, tr|L9JIM8|L9JIM8_TUPCH, tr|L9KJE6|L9KJE6_TUPCH, tr|L9KUS2|L9KUS2_TUPCH, tr|L9L4G5|L9L4G5_TUPCH, tr|L9KJM4|L9KJM4_TUPCH, tr|L9JB63|L9JB63_TUPCH, tr|L9KZF3|L9KZF3_TUPCH, tr|L9L9S9|L9L9S9_TUPCH, tr|L9KPI7|L9KPI7_TUPCH, tr|L9JAZ2|L9JAZ2_TUPCH, tr|L9KRC8|L9KRC8_TUPCH, tr|L9L3D9|L9L3D9_TUPCH, tr|L9KKA1|L9KKA1_TUPCH, tr|L9KRV6|L9KRV6_TUPCH, tr|L9LES4|L9LES4_TUPCH, tr|L9L8S2|L9L8S2_TUPCH, tr|L9KJF0|L9KJF0_TUPCH, tr|L9KZ45|L9KZ45_TUPCH, tr|L9KIV6|L9KIV6_TUPCH, tr|L9JB97|L9JB97_TUPCH, tr|L9L3G5|L9L3G5_TUPCH, tr|L9KX90|L9KX90_TUPCH, tr|L9KS36|L9KS36_TUPCH, tr|L9JUP3|L9JUP3_TUPCH, tr|L9L894|L9L894_TUPCH, tr|L9KMA6|L9KMA6_TUPCH, tr|L9KXP6|L9KXP6_TUPCH, tr|L9K9X0|L9K9X0_TUPCH, tr|L9L8A5|L9L8A5_TUPCH, tr|L9KVS6|L9KVS6_TUPCH, tr|L9K6M5|L9K6M5_TUPCH, tr|L9KLD9|L9KLD9_TUPCH, tr|L9L5B0|L9L5B0_TUPCH, tr|L9L169|L9L169_TUPCH, tr|L9L641|L9L641_TUPCH, tr|L9KTS8|L9KTS8_TUPCH, tr|L9JIH8|L9JIH8_TUPCH, tr|L9L634|L9L634_TUPCH, tr|L9KUU8|L9KUU8_TUPCH, tr|L9KGR4|L9KGR4_TUPCH, tr|L9L5M2|L9L5M2_TUPCH, tr|L9KJN9|L9KJN9_TUPCH, tr|L9KX09|L9KX09_TUPCH, tr|L9L6C3|L9L6C3_TUPCH, tr|L9L8Z3|L9L8Z3_TUPCH, tr|L9L101|L9L101_TUPCH, tr|L9L3Z4|L9L3Z4_TUPCH, tr|L9KIS6|L9KIS6_TUPCH, tr|L9KT71|L9KT71_TUPCH, tr|L9L042|L9L042_TUPCH, tr|L9JIE7|L9JIE7_TUPCH, tr|L9KYQ0|L9KYQ0_TUPCH, tr|L9KMC1|L9KMC1_TUPCH, tr|L9KQT9|L9KQT9_TUPCH, tr|L9KSE8|L9KSE8_TUPCH, tr|L9LCX2|L9LCX2_TUPCH, tr|L9L7Y2|L9L7Y2_TUPCH, tr|L9LAZ0|L9LAZ0_TUPCH, tr|L9L2H5|L9L2H5_TUPCH, tr|L9KL95|L9KL95_TUPCH, tr|L9KKL5|L9KKL5_TUPCH, tr|L9JFW2|L9JFW2_TUPCH, tr|L9LD11|L9LD11_TUPCH, tr|L9JU28|L9JU28_TUPCH, tr|L9L926|L9L926_TUPCH, tr|L9KTR1|L9KTR1_TUPCH, tr|L9L2E8|L9L2E8_TUPCH, tr|L9LDM7|L9LDM7_TUPCH, tr|L9JEI4|L9JEI4_TUPCH, tr|L9KZ58|L9KZ58_TUPCH, tr|L9KRN1|L9KRN1_TUPCH, tr|L9L8B6|L9L8B6_TUPCH, tr|L9L2Q7|L9L2Q7_TUPCH, tr|L9L3D6|L9L3D6_TUPCH, tr|L9KXW5|L9KXW5_TUPCH, tr|L9JFX3|L9JFX3_TUPCH, tr|L9KMK6|L9KMK6_TUPCH, tr|L9KI31|L9KI31_TUPCH, tr|L9JKB8|L9JKB8_TUPCH, tr|L9KS64|L9KS64_TUPCH, tr|L9JDT6|L9JDT6_TUPCH, tr|L9L6L0|L9L6L0_TUPCH, tr|L9LCQ5|L9LCQ5_TUPCH, tr|L9JFR6|L9JFR6_TUPCH, tr|L9L180|L9L180_TUPCH, tr|L9KVT0|L9KVT0_TUPCH, tr|L9KHL6|L9KHL6_TUPCH, tr|L9L8M7|L9L8M7_TUPCH, tr|L9KN48|L9KN48_TUPCH, tr|L9L8R9|L9L8R9_TUPCH
OG0000001	sp|Q6IFN5|O7E24_HUMAN	tr|L8YG15|L8YG15_TUPCH, tr|L8YGB5|L8YGB5_TUPCH, tr|L8YHT3|L8YHT3_TUPCH, tr|L8YCW0|L8YCW0_TUPCH, tr|L8YDV7|L8YDV7_TUPCH, tr|L8YGU4|L8YGU4_TUPCH, tr|L8Y1K4|L8Y1K4_TUPCH, tr|L8YD44|L8YD44_TUPCH, tr|L8YIE5|L8YIE5_TUPCH, tr|L8Y5C4|L8Y5C4_TUPCH, tr|L8Y3P1|L8Y3P1_TUPCH, tr|L8Y848|L8Y848_TUPCH, tr|L8Y9I9|L8Y9I9_TUPCH, tr|L9KP83|L9KP83_TUPCH, tr|L8Y4C4|L8Y4C4_TUPCH, tr|L8YDJ8|L8YDJ8_TUPCH, tr|L8Y3E5|L8Y3E5_TUPCH, tr|L8Y3P6|L8Y3P6_TUPCH, tr|L8Y8E5|L8Y8E5_TUPCH, tr|L8Y7Y9|L8Y7Y9_TUPCH, tr|L9KPI1|L9KPI1_TUPCH, tr|L9KG49|L9KG49_TUPCH, tr|L9JE02|L9JE02_TUPCH, tr|L9J9Y6|L9J9Y6_TUPCH, tr|L9L366|L9L366_TUPCH, tr|L8Y1U9|L8Y1U9_TUPCH, tr|L8YGY4|L8YGY4_TUPCH, tr|L9KW09|L9KW09_TUPCH, tr|L9JVB9|L9JVB9_TUPCH, tr|L8YBX6|L8YBX6_TUPCH, tr|L8Y8I3|L8Y8I3_TUPCH, tr|L8YA73|L8YA73_TUPCH, tr|L8YDK4|L8YDK4_TUPCH, tr|L9KNJ0|L9KNJ0_TUPCH, tr|L9KNN1|L9KNN1_TUPCH, tr|L8Y6S3|L8Y6S3_TUPCH, tr|L9LDG8|L9LDG8_TUPCH, tr|L9KPH5|L9KPH5_TUPCH, tr|L8Y5C9|L8Y5C9_TUPCH, tr|L8Y4D8|L8Y4D8_TUPCH, tr|L8Y7A2|L8Y7A2_TUPCH, tr|L8YAX8|L8YAX8_TUPCH, tr|L8YC24|L8YC24_TUPCH, tr|L8YF86|L8YF86_TUPCH, tr|L8Y3F0|L8Y3F0_TUPCH, tr|L8YCM9|L8YCM9_TUPCH, tr|L8Y4D4|L8Y4D4_TUPCH, tr|L8YAM0|L8YAM0_TUPCH, tr|L8Y1U6|L8Y1U6_TUPCH, tr|L8YB98|L8YB98_TUPCH, tr|L8YGR9|L8YGR9_TUPCH, tr|L8Y7N7|L8Y7N7_TUPCH, tr|L8YBR1|L8YBR1_TUPCH, tr|L8Y613|L8Y613_TUPCH, tr|L8YBV1|L8YBV1_TUPCH, tr|L8Y9V7|L8Y9V7_TUPCH, tr|L8YGX9|L8YGX9_TUPCH, tr|L8Y9G9|L8Y9G9_TUPCH, tr|L8YBL8|L8YBL8_TUPCH, tr|L8Y7F2|L8Y7F2_TUPCH, tr|L9KT55|L9KT55_TUPCH, tr|L8YD49|L8YD49_TUPCH, tr|L8Y7X4|L8Y7X4_TUPCH, tr|L8YB46|L8YB46_TUPCH, tr|L8YI63|L8YI63_TUPCH, tr|L9KNN7|L9KNN7_TUPCH, tr|L9KFM3|L9KFM3_TUPCH, tr|L8Y5Q7|L8Y5Q7_TUPCH, tr|L8YDB4|L8YDB4_TUPCH, tr|L8Y7H6|L8Y7H6_TUPCH, tr|L8XZU3|L8XZU3_TUPCH, tr|L9KN47|L9KN47_TUPCH, tr|L8Y441|L8Y441_TUPCH, tr|L9KNJ5|L9KNJ5_TUPCH, tr|L8Y8X0|L8Y8X0_TUPCH, tr|L9KWN8|L9KWN8_TUPCH, tr|L9KG59|L9KG59_TUPCH, tr|L8Y619|L8Y619_TUPCH, tr|L9L155|L9L155_TUPCH, tr|L8YE83|L8YE83_TUPCH, tr|L8YCS9|L8YCS9_TUPCH, tr|L8YFH9|L8YFH9_TUPCH, tr|L9L161|L9L161_TUPCH, tr|L9KWC9|L9KWC9_TUPCH, tr|L8XZU0|L8XZU0_TUPCH, tr|L8Y0G0|L8Y0G0_TUPCH, tr|L8YC60|L8YC60_TUPCH, tr|L8Y9S9|L8Y9S9_TUPCH, tr|L8Y4K6|L8Y4K6_TUPCH, tr|L8Y477|L8Y477_TUPCH, tr|L8Y0R9|L8Y0R9_TUPCH, tr|L8Y3K8|L8Y3K8_TUPCH, tr|L8YD99|L8YD99_TUPCH, tr|L8Y064|L8Y064_TUPCH, tr|L8Y623|L8Y623_TUPCH, tr|L8YFH4|L8YFH4_TUPCH, tr|L8YC51|L8YC51_TUPCH, tr|L8YDW0|L8YDW0_TUPCH, tr|L8Y436|L8Y436_TUPCH, tr|L8YBU3|L8YBU3_TUPCH, tr|L8Y6Z5|L8Y6Z5_TUPCH, tr|L9KVS8|L9KVS8_TUPCH, tr|L8Y628|L8Y628_TUPCH, tr|L8YDK1|L8YDK1_TUPCH, tr|L9KT47|L9KT47_TUPCH, tr|L8YDM4|L8YDM4_TUPCH, tr|L8Y5Q5|L8Y5Q5_TUPCH, tr|L8YDU9|L8YDU9_TUPCH, tr|L8YDY3|L8YDY3_TUPCH, tr|L8YC55|L8YC55_TUPCH, tr|L8Y579|L8Y579_TUPCH, tr|L8YIF5|L8YIF5_TUPCH, tr|L8Y4E5|L8Y4E5_TUPCH, tr|L8YIF1|L8YIF1_TUPCH, tr|L8YA05|L8YA05_TUPCH, tr|L8YBU6|L8YBU6_TUPCH, tr|L8YDK7|L8YDK7_TUPCH, tr|L8Y6H8|L8Y6H8_TUPCH, tr|L8YDV4|L8YDV4_TUPCH, tr|L8Y7Z7|L8Y7Z7_TUPCH, tr|L8Y2R4|L8Y2R4_TUPCH, tr|L8Y0R4|L8Y0R4_TUPCH, tr|L9KN41|L9KN41_TUPCH, tr|L8YAC0|L8YAC0_TUPCH, tr|L8Y0G8|L8Y0G8_TUPCH, tr|L8Y0S4|L8Y0S4_TUPCH, tr|L8Y7Z3|L8Y7Z3_TUPCH, tr|L8YBY3|L8YBY3_TUPCH, tr|L8Y3R5|L8Y3R5_TUPCH, tr|L8Y523|L8Y523_TUPCH, tr|L8Y8I8|L8Y8I8_TUPCH, tr|L8Y447|L8Y447_TUPCH, tr|L8YGS3|L8YGS3_TUPCH
OG0000002	sp|P18124|RL7_HUMAN	tr|L9L7P8|L9L7P8_TUPCH, tr|L9KKV9|L9KKV9_TUPCH, tr|L9L7E2|L9L7E2_TUPCH, tr|L9KLU5|L9KLU5_TUPCH, tr|L8Y6R9|L8Y6R9_TUPCH, tr|L8Y8I2|L8Y8I2_TUPCH, tr|L8YGC8|L8YGC8_TUPCH, tr|L9JDW4|L9JDW4_TUPCH, tr|L9JK44|L9JK44_TUPCH, tr|L9LBV2|L9LBV2_TUPCH, tr|L8Y0L8|L8Y0L8_TUPCH, tr|L9LCI0|L9LCI0_TUPCH, tr|L9KHA5|L9KHA5_TUPCH, tr|L9KPG3|L9KPG3_TUPCH, tr|L9KLW1|L9KLW1_TUPCH, tr|L9KSJ9|L9KSJ9_TUPCH, tr|L8Y1R7|L8Y1R7_TUPCH, tr|L9L6U1|L9L6U1_TUPCH, tr|L9L8J4|L9L8J4_TUPCH, tr|L9LA63|L9LA63_TUPCH, tr|L9JEP4|L9JEP4_TUPCH, tr|L9KK62|L9KK62_TUPCH, tr|L9JCH3|L9JCH3_TUPCH, tr|L9KS39|L9KS39_TUPCH, tr|L9JZX5|L9JZX5_TUPCH, tr|L9L427|L9L427_TUPCH, tr|L9JDQ4|L9JDQ4_TUPCH, tr|L9JH54|L9JH54_TUPCH, tr|L9JDI7|L9JDI7_TUPCH, tr|L9KNG4|L9KNG4_TUPCH, tr|L9LCT6|L9LCT6_TUPCH, tr|L9KN31|L9KN31_TUPCH, tr|L9KZ15|L9KZ15_TUPCH, tr|L9L4P2|L9L4P2_TUPCH, tr|L9JKJ8|L9JKJ8_TUPCH, tr|L9KSB8|L9KSB8_TUPCH, tr|L9JBD1|L9JBD1_TUPCH, tr|L9L868|L9L868_TUPCH, tr|L9KHM7|L9KHM7_TUPCH, tr|L9L6Z3|L9L6Z3_TUPCH, tr|L9KMC3|L9KMC3_TUPCH, tr|L9L2A7|L9L2A7_TUPCH, tr|L9LDB8|L9LDB8_TUPCH, tr|L9L7U5|L9L7U5_TUPCH, tr|L9KSV3|L9KSV3_TUPCH, tr|L9L8G2|L9L8G2_TUPCH, tr|L9KMV0|L9KMV0_TUPCH, tr|L9JP43|L9JP43_TUPCH, tr|L9JK42|L9JK42_TUPCH, tr|L9KT50|L9KT50_TUPCH, tr|L9L4I6|L9L4I6_TUPCH, tr|L9KTV5|L9KTV5_TUPCH, tr|L9KMU0|L9KMU0_TUPCH, tr|L9L1E0|L9L1E0_TUPCH, tr|L9L2F1|L9L2F1_TUPCH, tr|L9JCQ3|L9JCQ3_TUPCH, tr|L9JDG9|L9JDG9_TUPCH, tr|L9KFF7|L9KFF7_TUPCH, tr|L9KMW2|L9KMW2_TUPCH, tr|L9JC50|L9JC50_TUPCH, tr|L9K638|L9K638_TUPCH, tr|L9LGI0|L9LGI0_TUPCH, tr|L9KLG6|L9KLG6_TUPCH, tr|L9JYB3|L9JYB3_TUPCH, tr|L9KUW5|L9KUW5_TUPCH, tr|L9JG54|L9JG54_TUPCH, tr|L9L6Q8|L9L6Q8_TUPCH, tr|L9LCX6|L9LCX6_TUPCH, tr|L9K6F2|L9K6F2_TUPCH, tr|M0QT54|M0QT54_TUPCH, tr|L9KSJ6|L9KSJ6_TUPCH, tr|L9LA93|L9LA93_TUPCH, tr|L9KMY4|L9KMY4_TUPCH, tr|L9JIW9|L9JIW9_TUPCH, tr|L9KN63|L9KN63_TUPCH, tr|L9JAX5|L9JAX5_TUPCH, tr|L9LAA2|L9LAA2_TUPCH, tr|L9KX23|L9KX23_TUPCH, tr|L9L1Z0|L9L1Z0_TUPCH, tr|L9LCZ8|L9LCZ8_TUPCH, tr|L9LB58|L9LB58_TUPCH, tr|L9L154|L9L154_TUPCH
OG0000004	sp|B2RPK0|HGB1A_HUMAN	tr|L9KWP3|L9KWP3_TUPCH
OG0000004	sp|Q8TC29|ENKUR_HUMAN	tr|L9JCP7|L9JCP7_TUPCH, tr|L9L4L8|L9L4L8_TUPCH, tr|L9JHT4|L9JHT4_TUPCH, tr|L9K3D4|L9K3D4_TUPCH, tr|L9KN99|L9KN99_TUPCH, tr|L9KGD9|L9KGD9_TUPCH, tr|L9KG34|L9KG34_TUPCH, tr|L9L840|L9L840_TUPCH, tr|L9L631|L9L631_TUPCH, tr|L9L6M7|L9L6M7_TUPCH, tr|L9JL06|L9JL06_TUPCH, tr|L9L003|L9L003_TUPCH, tr|L9KT66|L9KT66_TUPCH, tr|L9JAI9|L9JAI9_TUPCH, tr|L9L8D5|L9L8D5_TUPCH
OG0000004	sp|P23497|SP100_HUMAN	tr|L9KX65|L9KX65_TUPCH, tr|L9JEM0|L9JEM0_TUPCH, tr|L9L5H2|L9L5H2_TUPCH, tr|L9L6K1|L9L6K1_TUPCH, tr|L9L0C6|L9L0C6_TUPCH, tr|L8Y4K3|L8Y4K3_TUPCH, tr|L9L3H4|L9L3H4_TUPCH, tr|L9K3A0|L9K3A0_TUPCH, tr|L9JZF5|L9JZF5_TUPCH, tr|L9KQ71|L9KQ71_TUPCH, tr|L9KW88|L9KW88_TUPCH, tr|L8Y9C9|L8Y9C9_TUPCH, tr|L9L5I0|L9L5I0_TUPCH, tr|L9L5L2|L9L5L2_TUPCH, tr|L9LEA3|L9LEA3_TUPCH, tr|L9L6X1|L9L6X1_TUPCH, tr|L9K822|L9K822_TUPCH, tr|L9L135|L9L135_TUPCH, tr|L9JFU6|L9JFU6_TUPCH
OG0000004	sp|P09429|HMGB1_HUMAN	tr|L9LE73|L9LE73_TUPCH
OG0000008	sp|P61247|RS3A_HUMAN	tr|L9L5H0|L9L5H0_TUPCH, tr|L9KXI5|L9KXI5_TUPCH, tr|L9L1K0|L9L1K0_TUPCH, tr|L9JIQ3|L9JIQ3_TUPCH, tr|L9KJA5|L9KJA5_TUPCH, tr|L8Y478|L8Y478_TUPCH, tr|L9LD38|L9LD38_TUPCH, tr|L8Y8P4|L8Y8P4_TUPCH, tr|L9JC08|L9JC08_TUPCH, tr|L9L5N9|L9L5N9_TUPCH, tr|L9L4L0|L9L4L0_TUPCH, tr|L9KD48|L9KD48_TUPCH, tr|L9JN67|L9JN67_TUPCH, tr|L9JID8|L9JID8_TUPCH, tr|L9KWX4|L9KWX4_TUPCH, tr|L9KHW0|L9KHW0_TUPCH, tr|L9L1E2|L9L1E2_TUPCH, tr|L9K7M6|L9K7M6_TUPCH, tr|L9JCR3|L9JCR3_TUPCH, tr|L9LF99|L9LF99_TUPCH, tr|L9LBV0|L9LBV0_TUPCH, tr|L9L7X8|L9L7X8_TUPCH, tr|L9L2D6|L9L2D6_TUPCH, tr|L9JN72|L9JN72_TUPCH, tr|L9KJE9|L9KJE9_TUPCH, tr|L9JAH8|L9JAH8_TUPCH, tr|L9LCB7|L9LCB7_TUPCH, tr|L9KN91|L9KN91_TUPCH, tr|L9KNK4|L9KNK4_TUPCH, tr|L9KGR8|L9KGR8_TUPCH, tr|L9KI91|L9KI91_TUPCH, tr|L9L723|L9L723_TUPCH, tr|L9JE97|L9JE97_TUPCH, tr|L9KK34|L9KK34_TUPCH, tr|L9KZQ2|L9KZQ2_TUPCH, tr|L9LAB6|L9LAB6_TUPCH, tr|L9KYD6|L9KYD6_TUPCH, tr|L9JAB2|L9JAB2_TUPCH, tr|L9L812|L9L812_TUPCH, tr|L9L5T0|L9L5T0_TUPCH, tr|L9JEC5|L9JEC5_TUPCH, tr|L9KX44|L9KX44_TUPCH, tr|L9KSX1|L9KSX1_TUPCH, tr|L9JFL6|L9JFL6_TUPCH, tr|L9JY22|L9JY22_TUPCH, tr|L9KRJ4|L9KRJ4_TUPCH, tr|L9L7C1|L9L7C1_TUPCH, tr|L9KFV7|L9KFV7_TUPCH, tr|L9KT91|L9KT91_TUPCH, tr|L9L4Q5|L9L4Q5_TUPCH, tr|L9LCP7|L9LCP7_TUPCH, tr|L9KMT4|L9KMT4_TUPCH, tr|L9KIP8|L9KIP8_TUPCH, tr|L9JAD9|L9JAD9_TUPCH
OG0000009	sp|Q8NGK1|O51G1_HUMAN	tr|L8YB73|L8YB73_TUPCH
OG0000009	sp|Q8NH63|O51H1_HUMAN	tr|L8Y9F8|L8Y9F8_TUPCH, tr|L8YBW1|L8YBW1_TUPCH, tr|L8Y5B7|L8Y5B7_TUPCH, tr|L8YBM2|L8YBM2_TUPCH, tr|L8YBA0|L8YBA0_TUPCH, tr|L8Y9H1|L8Y9H1_TUPCH, tr|L8Y969|L8Y969_TUPCH
