Orthogroup	Homo_sapiens	Myotis_brandtii
OG0000001	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|S7NT49|S7NT49_MYOBR
OG0000001	sp|Q8NH61|O51F2_HUMAN	tr|S7PCY4|S7PCY4_MYOBR
OG0000001	sp|A6NGY5|O51F1_HUMAN	tr|S7P657|S7P657_MYOBR
OG0000001	sp|Q9H341|O51M1_HUMAN	tr|S7Q9C8|S7Q9C8_MYOBR, tr|S7QFI0|S7QFI0_MYOBR
OG0000001	sp|Q9H344|O51I2_HUMAN	tr|S7P9Q1|S7P9Q1_MYOBR
OG0000001	sp|Q9H343|O51I1_HUMAN	tr|S7MJZ2|S7MJZ2_MYOBR, tr|S7P2L0|S7P2L0_MYOBR
OG0000001	sp|Q9H342|O51J1_HUMAN	tr|S7MQN4|S7MQN4_MYOBR, tr|S7NUF0|S7NUF0_MYOBR, tr|S7NGW4|S7NGW4_MYOBR, tr|S7NGE5|S7NGE5_MYOBR
OG0000001	sp|Q8NGK0|O51G2_HUMAN	tr|S7MQR2|S7MQR2_MYOBR
OG0000001	sp|Q8NGK1|O51G1_HUMAN	tr|S7MN68|S7MN68_MYOBR
OG0000001	sp|Q8NH64|O51A7_HUMAN	tr|S7P652|S7P652_MYOBR, tr|S7MNG1|S7MNG1_MYOBR, tr|S7PCY1|S7PCY1_MYOBR, tr|S7MNG3|S7MNG3_MYOBR
OG0000001	sp|Q8NGJ5|O51L1_HUMAN	tr|S7MQQ8|S7MQQ8_MYOBR
OG0000001	sp|Q9H2C8|O51V1_HUMAN	tr|S7Q6P0|S7Q6P0_MYOBR, tr|S7MQP9|S7MQP9_MYOBR, tr|S7Q6Q2|S7Q6Q2_MYOBR
OG0000001	sp|Q8NH59|O51Q1_HUMAN	tr|S7NGX3|S7NGX3_MYOBR, tr|S7NIZ2|S7NIZ2_MYOBR
OG0000001	sp|Q8NH63|O51H1_HUMAN	tr|S7MN64|S7MN64_MYOBR, tr|S7MQR7|S7MQR7_MYOBR, tr|S7MN73|S7MN73_MYOBR
OG0000003	sp|Q8N5T2|TBC19_HUMAN	tr|S7NNX0|S7NNX0_MYOBR, tr|S7MJW4|S7MJW4_MYOBR, tr|S7Q371|S7Q371_MYOBR, tr|S7PMS1|S7PMS1_MYOBR, tr|S7MKN5|S7MKN5_MYOBR, tr|S7MD86|S7MD86_MYOBR, tr|S7QGZ0|S7QGZ0_MYOBR, tr|S7NBU4|S7NBU4_MYOBR, tr|S7MUL0|S7MUL0_MYOBR, tr|S7MF64|S7MF64_MYOBR, tr|S7NDY4|S7NDY4_MYOBR, tr|S7MMF6|S7MMF6_MYOBR, tr|S7NQZ2|S7NQZ2_MYOBR, tr|S7NF64|S7NF64_MYOBR, tr|S7NGG1|S7NGG1_MYOBR, tr|S7MWH0|S7MWH0_MYOBR, tr|S7NME6|S7NME6_MYOBR, tr|S7NNW6|S7NNW6_MYOBR, tr|S7P1H8|S7P1H8_MYOBR, tr|S7P3B7|S7P3B7_MYOBR, tr|S7NXP3|S7NXP3_MYOBR, tr|S7NQF4|S7NQF4_MYOBR, tr|S7PMM9|S7PMM9_MYOBR, tr|S7NMU1|S7NMU1_MYOBR, tr|S7N9G1|S7N9G1_MYOBR, tr|S7NH65|S7NH65_MYOBR, tr|S7N936|S7N936_MYOBR, tr|S7Q1R4|S7Q1R4_MYOBR, tr|S7MGX8|S7MGX8_MYOBR, tr|S7QB54|S7QB54_MYOBR, tr|S7MG74|S7MG74_MYOBR, tr|S7PFZ0|S7PFZ0_MYOBR, tr|S7NHY1|S7NHY1_MYOBR, tr|S7MVT7|S7MVT7_MYOBR, tr|S7NQF0|S7NQF0_MYOBR, tr|S7QAS5|S7QAS5_MYOBR, tr|S7P3L5|S7P3L5_MYOBR, tr|S7NWZ7|S7NWZ7_MYOBR, tr|S7MUT3|S7MUT3_MYOBR, tr|S7MQH2|S7MQH2_MYOBR, tr|S7MCG6|S7MCG6_MYOBR, tr|S7NUN7|S7NUN7_MYOBR, tr|S7PKA1|S7PKA1_MYOBR, tr|S7Q5F2|S7Q5F2_MYOBR, tr|S7N7Q9|S7N7Q9_MYOBR, tr|S7N4N9|S7N4N9_MYOBR
OG0000004	sp|Q96PQ6|ZN317_HUMAN	tr|S7NYE5|S7NYE5_MYOBR
OG0000004	sp|Q6IFN5|O7E24_HUMAN	tr|S7N7K4|S7N7K4_MYOBR, tr|S7PWQ2|S7PWQ2_MYOBR, tr|S7PYM1|S7PYM1_MYOBR, tr|S7N419|S7N419_MYOBR, tr|S7PBU9|S7PBU9_MYOBR, tr|S7MW35|S7MW35_MYOBR, tr|S7MPZ7|S7MPZ7_MYOBR, tr|S7NCA2|S7NCA2_MYOBR, tr|S7MUT8|S7MUT8_MYOBR, tr|S7MSM1|S7MSM1_MYOBR, tr|S7Q2I6|S7Q2I6_MYOBR, tr|S7ND54|S7ND54_MYOBR, tr|S7NI03|S7NI03_MYOBR, tr|S7P3Q6|S7P3Q6_MYOBR, tr|S7NCU7|S7NCU7_MYOBR, tr|S7N9R0|S7N9R0_MYOBR, tr|S7PSY4|S7PSY4_MYOBR, tr|S7PZI9|S7PZI9_MYOBR, tr|S7NAD9|S7NAD9_MYOBR, tr|S7NC76|S7NC76_MYOBR, tr|S7NAE3|S7NAE3_MYOBR, tr|S7MY51|S7MY51_MYOBR, tr|S7PVV0|S7PVV0_MYOBR, tr|S7N0L2|S7N0L2_MYOBR, tr|S7NEP0|S7NEP0_MYOBR, tr|S7P847|S7P847_MYOBR, tr|S7P888|S7P888_MYOBR, tr|S7NLW9|S7NLW9_MYOBR, tr|S7MPU0|S7MPU0_MYOBR, tr|S7PEK5|S7PEK5_MYOBR, tr|S7PEF7|S7PEF7_MYOBR, tr|S7Q5C9|S7Q5C9_MYOBR, tr|S7QBY2|S7QBY2_MYOBR, tr|S7PCS1|S7PCS1_MYOBR, tr|S7P541|S7P541_MYOBR, tr|S7PMI6|S7PMI6_MYOBR, tr|S7N1Y9|S7N1Y9_MYOBR, tr|S7P538|S7P538_MYOBR, tr|S7N0Q4|S7N0Q4_MYOBR, tr|S7MH46|S7MH46_MYOBR, tr|S7MY92|S7MY92_MYOBR, tr|S7MY08|S7MY08_MYOBR, tr|S7PG74|S7PG74_MYOBR
OG0000005	sp|P02792|FRIL_HUMAN	tr|S7NF07|S7NF07_MYOBR, tr|S7NL74|S7NL74_MYOBR, tr|S7PKT5|S7PKT5_MYOBR, tr|S7P612|S7P612_MYOBR, tr|S7NZN9|S7NZN9_MYOBR, tr|S7PVA5|S7PVA5_MYOBR, tr|S7PVJ3|S7PVJ3_MYOBR, tr|S7NB58|S7NB58_MYOBR, tr|S7NJX0|S7NJX0_MYOBR, tr|S7Q0H8|S7Q0H8_MYOBR, tr|S7NKU4|S7NKU4_MYOBR, tr|S7MVI7|S7MVI7_MYOBR, tr|S7N392|S7N392_MYOBR, tr|S7N6P7|S7N6P7_MYOBR, tr|S7MR32|S7MR32_MYOBR, tr|S7PD23|S7PD23_MYOBR, tr|S7N7A4|S7N7A4_MYOBR, tr|S7P5I0|S7P5I0_MYOBR, tr|S7N178|S7N178_MYOBR, tr|S7MST3|S7MST3_MYOBR, tr|S7N083|S7N083_MYOBR, tr|S7N9J7|S7N9J7_MYOBR, tr|S7MGZ4|S7MGZ4_MYOBR, tr|S7MCT7|S7MCT7_MYOBR, tr|S7P370|S7P370_MYOBR, tr|S7Q6S7|S7Q6S7_MYOBR, tr|S7PRQ6|S7PRQ6_MYOBR, tr|S7N1U3|S7N1U3_MYOBR, tr|S7MJ32|S7MJ32_MYOBR, tr|S7QDH2|S7QDH2_MYOBR, tr|S7MRQ1|S7MRQ1_MYOBR, tr|S7MPB6|S7MPB6_MYOBR, tr|S7MES6|S7MES6_MYOBR, tr|S7MX52|S7MX52_MYOBR, tr|S7MIF3|S7MIF3_MYOBR, tr|S7QCW7|S7QCW7_MYOBR, tr|S7NDD4|S7NDD4_MYOBR, tr|S7MSR1|S7MSR1_MYOBR, tr|S7MR31|S7MR31_MYOBR
OG0000007	sp|P0DP02|HVC33_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P01772|HV333_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P01767|HV353_HUMAN, sp|P01764|HV323_HUMAN, sp|P01780|HV307_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01766|HV313_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01763|HV348_HUMAN	tr|S7QB81|S7QB81_MYOBR
OG0000010	sp|Q8NGP9|O5AR1_HUMAN	tr|S7NS07|S7NS07_MYOBR
OG0000010	sp|Q8NH69|OR5W2_HUMAN	tr|S7QE95|S7QE95_MYOBR, tr|S7Q7Z3|S7Q7Z3_MYOBR, tr|S7QB39|S7QB39_MYOBR, tr|S7NQI5|S7NQI5_MYOBR, tr|S7NRZ5|S7NRZ5_MYOBR
OG0000010	sp|Q8NGF4|O5AP2_HUMAN	tr|S7NP57|S7NP57_MYOBR, tr|S7NP71|S7NP71_MYOBR
OG0000010	sp|Q8NH18|OR5J2_HUMAN	tr|S7Q7Z8|S7Q7Z8_MYOBR
OG0000010	sp|P0C626|OR5G3_HUMAN	tr|S7QDH5|S7QDH5_MYOBR, tr|S7Q7A8|S7Q7A8_MYOBR, tr|S7MLD1|S7MLD1_MYOBR, tr|S7QEB4|S7QEB4_MYOBR, tr|S7NP75|S7NP75_MYOBR, tr|S7NS10|S7NS10_MYOBR, tr|S7Q819|S7Q819_MYOBR
OG0000010	sp|O95221|OR5F1_HUMAN	tr|S7NS04|S7NS04_MYOBR, tr|S7NQK3|S7NQK3_MYOBR, tr|S7QEA9|S7QEA9_MYOBR, tr|S7NP69|S7NP69_MYOBR, tr|S7PNU4|S7PNU4_MYOBR, tr|S7NQI9|S7NQI9_MYOBR, tr|S7QE97|S7QE97_MYOBR, tr|S7NRZ8|S7NRZ8_MYOBR
OG0000012	sp|P17028|ZNF24_HUMAN	tr|S7PGD0|S7PGD0_MYOBR
OG0000012	sp|P49910|ZN165_HUMAN	tr|S7N0K4|S7N0K4_MYOBR
OG0000012	sp|Q9P0L1|ZKSC7_HUMAN, sp|Q6ZMS4|ZN852_HUMAN, sp|Q8N0Y2|ZN444_HUMAN, sp|Q9NX65|ZSC32_HUMAN, sp|Q9GZW5|SCND2_HUMAN, sp|O14771|ZN213_HUMAN, sp|Q6DD87|ZN787_HUMAN, sp|Q499Z4|ZN672_HUMAN, sp|Q9NWS9|ZN446_HUMAN, sp|P28698|MZF1_HUMAN, sp|P10073|ZSC22_HUMAN, sp|Q8TBC5|ZSC18_HUMAN, sp|Q8NBB4|ZSCA1_HUMAN, sp|Q96SZ4|ZSC10_HUMAN	tr|S7MRV8|S7MRV8_MYOBR
OG0000012	sp|Q9BRR0|ZKSC3_HUMAN, sp|Q969J2|ZKSC4_HUMAN, sp|Q9Y5A6|ZSC21_HUMAN	tr|S7MXG2|S7MXG2_MYOBR
OG0000014	sp|Q8NGK2|O52B4_HUMAN	tr|S7NT60|S7NT60_MYOBR, tr|S7NQN7|S7NQN7_MYOBR
OG0000014	sp|Q96RD2|O52B2_HUMAN	tr|S7QFZ5|S7QFZ5_MYOBR
OG0000014	sp|Q8NGJ2|O52H1_HUMAN	tr|S7MWV4|S7MWV4_MYOBR, tr|S7P9B0|S7P9B0_MYOBR, tr|S7MUJ0|S7MUJ0_MYOBR, tr|S7MJY9|S7MJY9_MYOBR
OG0000014	sp|P0C646|O52Z1_HUMAN	tr|S7MNF4|S7MNF4_MYOBR, tr|S7MXY3|S7MXY3_MYOBR, tr|S7MNF7|S7MNF7_MYOBR, tr|S7NRD1|S7NRD1_MYOBR, tr|S7MQQ3|S7MQQ3_MYOBR, tr|S7PCX4|S7PCX4_MYOBR, tr|S7P648|S7P648_MYOBR, tr|S7NTL3|S7NTL3_MYOBR, tr|S7NSZ9|S7NSZ9_MYOBR, tr|S7QFY7|S7QFY7_MYOBR, tr|S7Q9Y0|S7Q9Y0_MYOBR, tr|S7Q9Y6|S7Q9Y6_MYOBR, tr|S7NRC2|S7NRC2_MYOBR, tr|S7MU55|S7MU55_MYOBR, tr|S7PCL1|S7PCL1_MYOBR, tr|S7PJ16|S7PJ16_MYOBR, tr|S7P643|S7P643_MYOBR, tr|S7NGV5|S7NGV5_MYOBR, tr|S7QGS6|S7QGS6_MYOBR
OG0000017	sp|Q08379|GOGA2_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEM1|GG6L9_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEF3|GG6L4_HUMAN	tr|S7Q1L6|S7Q1L6_MYOBR
OG0000021	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q6S8J7|POTEA_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|Q9GZN1|ARP6_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|A5A3E0|POTEF_HUMAN, sp|Q8TDG2|ACTT1_HUMAN, sp|Q8TDY3|ACTT2_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68032|ACTC_HUMAN, sp|P68133|ACTS_HUMAN	tr|S7PRD5|S7PRD5_MYOBR
OG0000022	sp|Q8IVC4|ZN584_HUMAN	tr|S7MN91|S7MN91_MYOBR, tr|S7QBB1|S7QBB1_MYOBR, tr|S7P432|S7P432_MYOBR, tr|S7NUQ2|S7NUQ2_MYOBR, tr|S7NJG9|S7NJG9_MYOBR, tr|S7MMX9|S7MMX9_MYOBR, tr|S7PAJ4|S7PAJ4_MYOBR, tr|S7P1X7|S7P1X7_MYOBR, tr|S7PAM4|S7PAM4_MYOBR, tr|S7MJX0|S7MJX0_MYOBR, tr|S7MBN5|S7MBN5_MYOBR, tr|S7MMN5|S7MMN5_MYOBR, tr|S7PTA9|S7PTA9_MYOBR, tr|S7NGU5|S7NGU5_MYOBR, tr|S7PCI1|S7PCI1_MYOBR, tr|S7MMY4|S7MMY4_MYOBR, tr|S7MN65|S7MN65_MYOBR, tr|S7NGU9|S7NGU9_MYOBR, tr|S7NJG5|S7NJG5_MYOBR, tr|S7NG08|S7NG08_MYOBR, tr|S7P5W6|S7P5W6_MYOBR, tr|S7N0Q1|S7N0Q1_MYOBR, tr|S7MY04|S7MY04_MYOBR, tr|S7MWW6|S7MWW6_MYOBR, tr|S7MY88|S7MY88_MYOBR, tr|S7MZD3|S7MZD3_MYOBR
OG0000023	sp|Q68DY9|ZN772_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN, sp|P52740|ZN132_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN	tr|S7PB41|S7PB41_MYOBR
OG0000026	sp|Q969W8|ZN566_HUMAN	tr|S7PJL3|S7PJL3_MYOBR
