Orthogroup	Homo_sapiens	Ornithorhynchus_anatinus
OG0000001	sp|O00370|LORF2_HUMAN	tr|A0A6I8P8B0|A0A6I8P8B0_ORNAN
OG0000001	sp|Q9H606|PRORY_HUMAN	tr|K7EC86|K7EC86_ORNAN, tr|A0A6I8PDJ0|A0A6I8PDJ0_ORNAN, tr|A0A6I8NHF6|A0A6I8NHF6_ORNAN, tr|A0A6I8NX98|A0A6I8NX98_ORNAN, tr|A0A6I8NMR4|A0A6I8NMR4_ORNAN, tr|A0A6I8NI07|A0A6I8NI07_ORNAN, tr|A0A6I8NDJ2|A0A6I8NDJ2_ORNAN, tr|A0A6I8PE15|A0A6I8PE15_ORNAN, tr|A0A6I8MZI6|A0A6I8MZI6_ORNAN, tr|A0A6I8PF05|A0A6I8PF05_ORNAN, tr|A0A6I8P1Y3|A0A6I8P1Y3_ORNAN, tr|A0A6I8NCE2|A0A6I8NCE2_ORNAN, tr|A0A6I8NN83|A0A6I8NN83_ORNAN, tr|A0A6I8N5D1|A0A6I8N5D1_ORNAN, tr|A0A6I8P0Z6|A0A6I8P0Z6_ORNAN, tr|A0A6I8MYG2|A0A6I8MYG2_ORNAN, tr|A0A6I8N882|A0A6I8N882_ORNAN, tr|A0A6I8P6D5|A0A6I8P6D5_ORNAN, tr|A0A6I8NYQ6|A0A6I8NYQ6_ORNAN, tr|A0A6I8PE29|A0A6I8PE29_ORNAN, tr|A0A6I8PCT2|A0A6I8PCT2_ORNAN, tr|A0A6I8NX31|A0A6I8NX31_ORNAN, tr|A0A6I8NXE7|A0A6I8NXE7_ORNAN, tr|A0A6I8NN44|A0A6I8NN44_ORNAN, tr|A0A6I8PMJ5|A0A6I8PMJ5_ORNAN, tr|A0A6I8N5W5|A0A6I8N5W5_ORNAN, tr|A0A6I8PGG0|A0A6I8PGG0_ORNAN, tr|A0A6I8N4P6|A0A6I8N4P6_ORNAN, tr|K7E6U5|K7E6U5_ORNAN, tr|A0A6I8NCK3|A0A6I8NCK3_ORNAN, tr|A0A6I8N0H4|A0A6I8N0H4_ORNAN, tr|A0A6I8PH26|A0A6I8PH26_ORNAN, tr|A0A6I8N0H1|A0A6I8N0H1_ORNAN, tr|A0A6I8NCK1|A0A6I8NCK1_ORNAN, tr|A0A6I8NIQ3|A0A6I8NIQ3_ORNAN, tr|A0A6I8N994|A0A6I8N994_ORNAN, tr|A0A6I8NCD9|A0A6I8NCD9_ORNAN, tr|A0A6I8NBL9|A0A6I8NBL9_ORNAN, tr|K7E7B6|K7E7B6_ORNAN, tr|A0A6I8PDN2|A0A6I8PDN2_ORNAN, tr|A0A6I8N0G9|A0A6I8N0G9_ORNAN, tr|A0A6I8PH69|A0A6I8PH69_ORNAN, tr|A0A6I8NMC2|A0A6I8NMC2_ORNAN, tr|A0A6I8N8L3|A0A6I8N8L3_ORNAN, tr|A0A6I8NI57|A0A6I8NI57_ORNAN, tr|A0A6I8PFK2|A0A6I8PFK2_ORNAN, tr|A0A6I8MY94|A0A6I8MY94_ORNAN, tr|A0A6I8PB27|A0A6I8PB27_ORNAN, tr|A0A6I8PDY3|A0A6I8PDY3_ORNAN, tr|A0A6I8NP60|A0A6I8NP60_ORNAN, tr|A0A6I8PPQ2|A0A6I8PPQ2_ORNAN, tr|A0A6I8NF21|A0A6I8NF21_ORNAN, tr|A0A6I8MXT4|A0A6I8MXT4_ORNAN, tr|A0A6I8PBL9|A0A6I8PBL9_ORNAN, tr|A0A6I8PHF4|A0A6I8PHF4_ORNAN, tr|A0A6I8PE18|A0A6I8PE18_ORNAN, tr|A0A6I8MZG5|A0A6I8MZG5_ORNAN, tr|A0A6I8P4G9|A0A6I8P4G9_ORNAN, tr|A0A6I8NG80|A0A6I8NG80_ORNAN, tr|A0A6I8NR32|A0A6I8NR32_ORNAN, tr|A0A6I8MXZ5|A0A6I8MXZ5_ORNAN, tr|A0A6I8PGM3|A0A6I8PGM3_ORNAN, tr|A0A6I8PH03|A0A6I8PH03_ORNAN, tr|A0A6I8NZX9|A0A6I8NZX9_ORNAN, tr|A0A6I8N6L6|A0A6I8N6L6_ORNAN, tr|A0A6I8PAR2|A0A6I8PAR2_ORNAN, tr|A0A6I8NIZ3|A0A6I8NIZ3_ORNAN, tr|A0A6I8PBL8|A0A6I8PBL8_ORNAN, tr|A0A6I8MXX4|A0A6I8MXX4_ORNAN, tr|A0A6I8PQ64|A0A6I8PQ64_ORNAN, tr|A0A6I8PFT3|A0A6I8PFT3_ORNAN, tr|A0A6I8PEG2|A0A6I8PEG2_ORNAN, tr|A0A6I8MZC4|A0A6I8MZC4_ORNAN, tr|A0A6I8N116|A0A6I8N116_ORNAN, tr|A0A6I8P9Q6|A0A6I8P9Q6_ORNAN, tr|A0A6I8N4L3|A0A6I8N4L3_ORNAN, tr|A0A6I8N0L4|A0A6I8N0L4_ORNAN, tr|A0A6I8N7B1|A0A6I8N7B1_ORNAN, tr|A0A6I8NUA6|A0A6I8NUA6_ORNAN, tr|A0A6I8N366|A0A6I8N366_ORNAN, tr|A0A6I8NIH3|A0A6I8NIH3_ORNAN, tr|A0A6I8NSW0|A0A6I8NSW0_ORNAN, tr|A0A6I8P007|A0A6I8P007_ORNAN, tr|A0A6I8PDM0|A0A6I8PDM0_ORNAN, tr|A0A6I8NGW4|A0A6I8NGW4_ORNAN, tr|A0A6I8NEZ7|A0A6I8NEZ7_ORNAN, tr|A0A6I8NN43|A0A6I8NN43_ORNAN, tr|A0A6I8PNM2|A0A6I8PNM2_ORNAN, tr|K7EGS1|K7EGS1_ORNAN, tr|A0A6I8N879|A0A6I8N879_ORNAN, tr|A0A6I8N5R5|A0A6I8N5R5_ORNAN, tr|A0A6I8P7U6|A0A6I8P7U6_ORNAN, tr|A0A6I8PG42|A0A6I8PG42_ORNAN, tr|A0A6I8PN67|A0A6I8PN67_ORNAN, tr|A0A6I8PA98|A0A6I8PA98_ORNAN
OG0000005	sp|P26718|NKG2D_HUMAN	tr|A0A6I8NKZ3|A0A6I8NKZ3_ORNAN, tr|A0A6I8NXS4|A0A6I8NXS4_ORNAN, tr|A0A6I8MXY5|A0A6I8MXY5_ORNAN, tr|A0A6I8NXX2|A0A6I8NXX2_ORNAN
OG0000005	sp|Q13241|KLRD1_HUMAN	tr|F6RRL7|F6RRL7_ORNAN, tr|F7E328|F7E328_ORNAN, tr|F6TDE9|F6TDE9_ORNAN, tr|A0A6I8NXG0|A0A6I8NXG0_ORNAN, tr|A0A6I8N4P9|A0A6I8N4P9_ORNAN, tr|A0A6I8NNZ3|A0A6I8NNZ3_ORNAN, tr|F6RYX7|F6RYX7_ORNAN, tr|A0A6I8N2E7|A0A6I8N2E7_ORNAN, tr|A0A6I8PM87|A0A6I8PM87_ORNAN, tr|A0A6I8PG19|A0A6I8PG19_ORNAN, tr|A0A6I8N5L7|A0A6I8N5L7_ORNAN, tr|F7EQL0|F7EQL0_ORNAN, tr|F6ZHW1|F6ZHW1_ORNAN, tr|F6PH29|F6PH29_ORNAN, tr|F7F8T9|F7F8T9_ORNAN, tr|F6RRQ2|F6RRQ2_ORNAN, tr|A0A6I8N8K6|A0A6I8N8K6_ORNAN, tr|A0A6I8NH30|A0A6I8NH30_ORNAN, tr|F6QZQ7|F6QZQ7_ORNAN, tr|F6SRS8|F6SRS8_ORNAN, tr|F6YT68|F6YT68_ORNAN, tr|A0A6I8N522|A0A6I8N522_ORNAN, tr|F6TLB7|F6TLB7_ORNAN, tr|F6PGB3|F6PGB3_ORNAN, tr|A0A6I8NHK6|A0A6I8NHK6_ORNAN, tr|A0A6I8PB99|A0A6I8PB99_ORNAN, tr|F6SRQ0|F6SRQ0_ORNAN, tr|A0A6I8NHX3|A0A6I8NHX3_ORNAN, tr|A0A6I8NDX2|A0A6I8NDX2_ORNAN, tr|F6SVH9|F6SVH9_ORNAN, tr|A0A6I8NSY5|A0A6I8NSY5_ORNAN, tr|F6VKX8|F6VKX8_ORNAN, tr|F6VLG7|F6VLG7_ORNAN, tr|A0A6I8NLM3|A0A6I8NLM3_ORNAN, tr|A0A6I8PHV2|A0A6I8PHV2_ORNAN, tr|F6SI08|F6SI08_ORNAN, tr|F6YMP9|F6YMP9_ORNAN, tr|A0A6I8NS14|A0A6I8NS14_ORNAN
OG0000006	sp|Q96R54|O14A2_HUMAN	tr|F6Q2J7|F6Q2J7_ORNAN, tr|F6XGG8|F6XGG8_ORNAN, tr|F6Q2K7|F6Q2K7_ORNAN, tr|A0A6I8PQK0|A0A6I8PQK0_ORNAN, tr|F7G5R3|F7G5R3_ORNAN, tr|A0A6I8N207|A0A6I8N207_ORNAN, tr|F6Q2M6|F6Q2M6_ORNAN, tr|F7CFA7|F7CFA7_ORNAN
OG0000006	sp|Q9UGF5|O14J1_HUMAN	tr|F7FD55|F7FD55_ORNAN, tr|F6TPE6|F6TPE6_ORNAN, tr|F6Q2L6|F6Q2L6_ORNAN, tr|F7F7G7|F7F7G7_ORNAN, tr|F7F7G3|F7F7G3_ORNAN, tr|F6YTL5|F6YTL5_ORNAN, tr|A0A6I8PGF5|A0A6I8PGF5_ORNAN, tr|A0A6I8PEX2|A0A6I8PEX2_ORNAN, tr|F6YSJ5|F6YSJ5_ORNAN, tr|A0A6I8PHK1|A0A6I8PHK1_ORNAN, tr|A0A6I8N0K4|A0A6I8N0K4_ORNAN, tr|F6WEQ2|F6WEQ2_ORNAN, tr|A0A6I8NL33|A0A6I8NL33_ORNAN, tr|A0A6I8NSX7|A0A6I8NSX7_ORNAN, tr|F7GD59|F7GD59_ORNAN, tr|F7AAQ7|F7AAQ7_ORNAN, tr|F7CET8|F7CET8_ORNAN, tr|F6YT53|F6YT53_ORNAN, tr|A0A6I8NUG8|A0A6I8NUG8_ORNAN, tr|F7FVS4|F7FVS4_ORNAN, tr|A0A6I8NBM5|A0A6I8NBM5_ORNAN, tr|F7ED81|F7ED81_ORNAN, tr|F7ETG5|F7ETG5_ORNAN, tr|F6S4J5|F6S4J5_ORNAN, tr|F7FSM4|F7FSM4_ORNAN, tr|A0A6I8PIT1|A0A6I8PIT1_ORNAN, tr|F7A524|F7A524_ORNAN, tr|F6UCG1|F6UCG1_ORNAN, tr|F6RHL2|F6RHL2_ORNAN, tr|F6WR58|F6WR58_ORNAN, tr|A0A6I8PIP3|A0A6I8PIP3_ORNAN, tr|A0A6I8PP87|A0A6I8PP87_ORNAN, tr|F6ZLD9|F6ZLD9_ORNAN, tr|A0A6I8N7R5|A0A6I8N7R5_ORNAN
OG0000007	sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|Q8NHB8|OR5K2_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|Q9NZP5|O5AC2_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q8NH87|OR9G1_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN, sp|Q8NGC0|O5AU1_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q8NGP9|O5AR1_HUMAN	tr|F7F6I6|F7F6I6_ORNAN
OG0000008	sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|P12018|VPREB_HUMAN, sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|A0A075B6K2|LV312_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P80748|LV321_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01714|LV319_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01721|LV657_HUMAN, sp|P01705|LV223_HUMAN, sp|P01704|LV214_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|P01703|LV140_HUMAN, sp|P01701|LV151_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01699|LV144_HUMAN, sp|P01700|LV147_HUMAN	tr|F6UJN8|F6UJN8_ORNAN
OG0000011	sp|O95221|OR5F1_HUMAN	tr|A0A6I8PNM1|A0A6I8PNM1_ORNAN
OG0000011	sp|Q8WZ94|OR5P3_HUMAN	tr|A0A6I8NP18|A0A6I8NP18_ORNAN, tr|A0A6I8NUX1|A0A6I8NUX1_ORNAN, tr|F7G4B6|F7G4B6_ORNAN
