Orthogroup	Mus_musculus	Rousettus_aegyptiacus
OG0000008	tr|Q8VF22|Q8VF22_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q8VET1|Q8VET1_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q8VF35|Q8VF35_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VGR8|O1052_MOUSE, sp|Q8VFK1|O1009_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q9QY00|OL154_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VF76|OL998_MOUSE	tr|A0A7J8IP41|A0A7J8IP41_ROUAE
OG0000009	tr|A0A1D5RMC2|A0A1D5RMC2_MOUSE	tr|A0A7J8CNR9|A0A7J8CNR9_ROUAE
OG0000009	sp|Q61967|ZFP90_MOUSE	tr|A0A7J8F0G0|A0A7J8F0G0_ROUAE, tr|A0A7J8CND5|A0A7J8CND5_ROUAE
OG0000009	sp|A2A761|ZFP69_MOUSE	tr|A0A7J8KK25|A0A7J8KK25_ROUAE, tr|A0A7J8KJW8|A0A7J8KJW8_ROUAE
OG0000009	sp|Q7TSH9|ZN184_MOUSE	tr|A0A7J8HAS0|A0A7J8HAS0_ROUAE, tr|A0A7J8CNN9|A0A7J8CNN9_ROUAE, tr|A0A7J8GJ87|A0A7J8GJ87_ROUAE, tr|A0A7J8IWT3|A0A7J8IWT3_ROUAE, tr|A0A7J8BHP3|A0A7J8BHP3_ROUAE
OG0000009	tr|Q5U406|Q5U406_MOUSE	tr|A0A7J8CNX8|A0A7J8CNX8_ROUAE, tr|A0A7J8CNK2|A0A7J8CNK2_ROUAE, tr|A0A7J8CNJ6|A0A7J8CNJ6_ROUAE
OG0000009	sp|Q3V080|ZN583_MOUSE	tr|A0A7J8CNZ2|A0A7J8CNZ2_ROUAE
OG0000009	sp|P10755|ZFP14_MOUSE	tr|A0A7J8CNG0|A0A7J8CNG0_ROUAE, tr|A0A7J8CNG4|A0A7J8CNG4_ROUAE, tr|A0A7J8CI98|A0A7J8CI98_ROUAE, tr|A0A7J8CI35|A0A7J8CI35_ROUAE
OG0000009	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A7J8CN97|A0A7J8CN97_ROUAE, tr|A0A7J8CNZ8|A0A7J8CNZ8_ROUAE, tr|A0A7J8CNQ6|A0A7J8CNQ6_ROUAE, tr|A0A7J8CNM9|A0A7J8CNM9_ROUAE, tr|A0A7J8CNK6|A0A7J8CNK6_ROUAE, tr|A0A7J8CIE5|A0A7J8CIE5_ROUAE
OG0000015	tr|E9Q235|E9Q235_MOUSE, tr|L7N213|L7N213_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|Q8R255|Q8R255_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|K7N608|K7N608_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q8R296|Q8R296_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE	tr|A0A7J8CMX0|A0A7J8CMX0_ROUAE
