Orthogroup	Mus_musculus	Microtus_ochrogaster
OG0000000	sp|Q64467|G3PT_MOUSE	tr|A0A8J6GDD3|A0A8J6GDD3_MICOH, tr|A0A8J6GX65|A0A8J6GX65_MICOH, tr|A0A8J6GKQ6|A0A8J6GKQ6_MICOH, tr|A0A8J6GYX5|A0A8J6GYX5_MICOH, tr|A0A8J6GTI0|A0A8J6GTI0_MICOH, tr|A0A8J6G4E7|A0A8J6G4E7_MICOH, tr|A0A8J6GJX8|A0A8J6GJX8_MICOH, tr|A0A8J6GLI3|A0A8J6GLI3_MICOH, tr|A0A8J6GLP0|A0A8J6GLP0_MICOH, tr|A0A8J6KYB5|A0A8J6KYB5_MICOH, tr|A0A8J6KL87|A0A8J6KL87_MICOH, tr|A0A8J6KTR7|A0A8J6KTR7_MICOH, tr|A0A8J6GJL0|A0A8J6GJL0_MICOH, tr|A0A8J6G875|A0A8J6G875_MICOH, tr|A0A8J6GC54|A0A8J6GC54_MICOH, tr|A0A8J6KX52|A0A8J6KX52_MICOH, tr|A0A8J6FY73|A0A8J6FY73_MICOH, tr|A0A8J6L1Y5|A0A8J6L1Y5_MICOH, tr|A0A8J6GS08|A0A8J6GS08_MICOH, tr|A0A8J6GSH6|A0A8J6GSH6_MICOH, tr|A0A8J6KMZ6|A0A8J6KMZ6_MICOH, tr|A0A8J6KUQ7|A0A8J6KUQ7_MICOH, tr|A0A8J6GH16|A0A8J6GH16_MICOH, tr|A0A8J6G0M2|A0A8J6G0M2_MICOH, tr|A0A8J6G7T5|A0A8J6G7T5_MICOH, tr|A0A8J6KIS9|A0A8J6KIS9_MICOH, tr|A0A8J6FXB6|A0A8J6FXB6_MICOH, tr|A0A8J6KW18|A0A8J6KW18_MICOH, tr|A0A8J6H1J8|A0A8J6H1J8_MICOH, tr|A0A8J6L5M9|A0A8J6L5M9_MICOH, tr|A0A8J6GJY6|A0A8J6GJY6_MICOH, tr|A0A8J6GV00|A0A8J6GV00_MICOH, tr|A0A8J6H1E4|A0A8J6H1E4_MICOH, tr|A0A8J6GUD4|A0A8J6GUD4_MICOH, tr|A0A8J6GSW7|A0A8J6GSW7_MICOH, tr|A0A8J6GE39|A0A8J6GE39_MICOH, tr|A0A8J6KP49|A0A8J6KP49_MICOH, tr|A0A8J6GIB8|A0A8J6GIB8_MICOH, tr|A0A8J6KSW2|A0A8J6KSW2_MICOH, tr|A0A8J6KZ60|A0A8J6KZ60_MICOH, tr|A0A8J6GXW4|A0A8J6GXW4_MICOH, tr|A0A8J6GL73|A0A8J6GL73_MICOH, tr|A0A8J6G9D0|A0A8J6G9D0_MICOH, tr|A0A8J6KZC8|A0A8J6KZC8_MICOH, tr|A0A8J6GE10|A0A8J6GE10_MICOH, tr|A0A8J6KZZ6|A0A8J6KZZ6_MICOH, tr|A0A8J6L2C7|A0A8J6L2C7_MICOH, tr|A0A8J6GGQ8|A0A8J6GGQ8_MICOH, tr|A0A8J6G342|A0A8J6G342_MICOH, tr|A0A8J6G319|A0A8J6G319_MICOH, tr|A0A8J6GSQ2|A0A8J6GSQ2_MICOH, tr|A0A8J6KU21|A0A8J6KU21_MICOH, tr|A0A8J6GBW0|A0A8J6GBW0_MICOH, tr|A0A8J6L745|A0A8J6L745_MICOH, tr|A0A8J6G620|A0A8J6G620_MICOH, tr|A0A8J6GNF3|A0A8J6GNF3_MICOH, tr|A0A8J6G0E3|A0A8J6G0E3_MICOH, tr|A0A8J6H1W1|A0A8J6H1W1_MICOH, tr|A0A8J6GFC8|A0A8J6GFC8_MICOH, tr|A0A8J6GYE1|A0A8J6GYE1_MICOH, tr|A0A8J6KTY9|A0A8J6KTY9_MICOH, tr|A0A8J6G7L1|A0A8J6G7L1_MICOH, tr|A0A8J6KR29|A0A8J6KR29_MICOH, tr|A0A8J6G262|A0A8J6G262_MICOH, tr|A0A8J6GHD5|A0A8J6GHD5_MICOH, tr|A0A8J6KPC8|A0A8J6KPC8_MICOH, tr|A0A8J6L4Y0|A0A8J6L4Y0_MICOH, tr|A0A8J6G228|A0A8J6G228_MICOH, tr|A0A8J6L651|A0A8J6L651_MICOH, tr|A0A8J6G0Q3|A0A8J6G0Q3_MICOH, tr|A0A8J6GTN5|A0A8J6GTN5_MICOH, tr|A0A8J6FW62|A0A8J6FW62_MICOH, tr|A0A8J6L384|A0A8J6L384_MICOH, tr|A0A8J6GR30|A0A8J6GR30_MICOH
OG0000002	sp|P25444|RS2_MOUSE	tr|A0A8J6L4U3|A0A8J6L4U3_MICOH, tr|A0A8J6GY35|A0A8J6GY35_MICOH, tr|A0A8J6GXF3|A0A8J6GXF3_MICOH, tr|A0A8J6KKL3|A0A8J6KKL3_MICOH, tr|A0A8J6GUF6|A0A8J6GUF6_MICOH, tr|A0A8J6KRX8|A0A8J6KRX8_MICOH, tr|A0A8J6FU71|A0A8J6FU71_MICOH, tr|A0A8J6GKK6|A0A8J6GKK6_MICOH, tr|A0A8J6GHI2|A0A8J6GHI2_MICOH, tr|A0A8J6G1Z0|A0A8J6G1Z0_MICOH, tr|A0A8J6GLA6|A0A8J6GLA6_MICOH, tr|A0A8J6L1T0|A0A8J6L1T0_MICOH, tr|A0A8J6KZT5|A0A8J6KZT5_MICOH, tr|A0A8J6L3M8|A0A8J6L3M8_MICOH, tr|A0A8J6G105|A0A8J6G105_MICOH, tr|A0A8J6G023|A0A8J6G023_MICOH, tr|A0A8J6GP99|A0A8J6GP99_MICOH, tr|A0A8J6KPJ7|A0A8J6KPJ7_MICOH, tr|A0A8J6GPP4|A0A8J6GPP4_MICOH, tr|A0A8J6GZF8|A0A8J6GZF8_MICOH, tr|A0A8J6GQM0|A0A8J6GQM0_MICOH, tr|A0A8J6G1L8|A0A8J6G1L8_MICOH, tr|A0A8J6H117|A0A8J6H117_MICOH, tr|A0A8J6L7L1|A0A8J6L7L1_MICOH, tr|A0A8J6FZI9|A0A8J6FZI9_MICOH, tr|A0A8J6FZQ9|A0A8J6FZQ9_MICOH, tr|A0A8J6GI00|A0A8J6GI00_MICOH, tr|A0A8J6GUZ9|A0A8J6GUZ9_MICOH, tr|A0A8J6H0I7|A0A8J6H0I7_MICOH, tr|A0A8J6L359|A0A8J6L359_MICOH, tr|A0A8J6KPI3|A0A8J6KPI3_MICOH, tr|A0A8J6KXU8|A0A8J6KXU8_MICOH, tr|A0A8J6GDU6|A0A8J6GDU6_MICOH, tr|A0A8J6GYL7|A0A8J6GYL7_MICOH, tr|A0A8J6KZM0|A0A8J6KZM0_MICOH, tr|A0A8J6KKW8|A0A8J6KKW8_MICOH, tr|A0A8J6GG60|A0A8J6GG60_MICOH, tr|A0A8J6L7S9|A0A8J6L7S9_MICOH, tr|A0A8J6G416|A0A8J6G416_MICOH, tr|A0A8J6KX34|A0A8J6KX34_MICOH, tr|A0A8J6FY01|A0A8J6FY01_MICOH, tr|A0A8J6GDZ8|A0A8J6GDZ8_MICOH, tr|A0A8J6KQP0|A0A8J6KQP0_MICOH, tr|A0A8J6KPL9|A0A8J6KPL9_MICOH, tr|A0A8J6FYL0|A0A8J6FYL0_MICOH, tr|A0A8J6FXN7|A0A8J6FXN7_MICOH, tr|A0A8J6L3W6|A0A8J6L3W6_MICOH, tr|A0A8J6KVT7|A0A8J6KVT7_MICOH, tr|A0A8J6GAP9|A0A8J6GAP9_MICOH, tr|A0A8J6KYN9|A0A8J6KYN9_MICOH, tr|A0A8J6KZV6|A0A8J6KZV6_MICOH, tr|A0A8J6GEI6|A0A8J6GEI6_MICOH
OG0000009	sp|P12970|RL7A_MOUSE	tr|A0A8J6GY24|A0A8J6GY24_MICOH, tr|A0A8J6GW35|A0A8J6GW35_MICOH, tr|A0A8J6KR91|A0A8J6KR91_MICOH, tr|A0A8J6H1X9|A0A8J6H1X9_MICOH, tr|A0A8J6L247|A0A8J6L247_MICOH, tr|A0A8J6H1S6|A0A8J6H1S6_MICOH, tr|A0A8J6KN83|A0A8J6KN83_MICOH, tr|A0A8J6L3I4|A0A8J6L3I4_MICOH, tr|A0A8J6GEN3|A0A8J6GEN3_MICOH, tr|A0A8J6KVG4|A0A8J6KVG4_MICOH, tr|A0A8J6L0J8|A0A8J6L0J8_MICOH, tr|A0A8J6GIN2|A0A8J6GIN2_MICOH, tr|A0A8J6L0C5|A0A8J6L0C5_MICOH, tr|A0A8J6GPC9|A0A8J6GPC9_MICOH, tr|A0A8J6KY79|A0A8J6KY79_MICOH, tr|A0A8J6KYQ2|A0A8J6KYQ2_MICOH, tr|A0A8J6H2Q7|A0A8J6H2Q7_MICOH, tr|A0A8J6KRS3|A0A8J6KRS3_MICOH, tr|A0A8J6L3H3|A0A8J6L3H3_MICOH, tr|A0A8J6L3H1|A0A8J6L3H1_MICOH, tr|A0A8J6GQ78|A0A8J6GQ78_MICOH, tr|A0A8J6GCG2|A0A8J6GCG2_MICOH, tr|A0A8J6G0S1|A0A8J6G0S1_MICOH, tr|A0A8J6GLY2|A0A8J6GLY2_MICOH, tr|A0A8J6FY43|A0A8J6FY43_MICOH, tr|A0A8J6GCJ9|A0A8J6GCJ9_MICOH, tr|A0A8J6GQX2|A0A8J6GQX2_MICOH, tr|A0A8J6GZX3|A0A8J6GZX3_MICOH, tr|A0A8J6H215|A0A8J6H215_MICOH, tr|A0A8J6GGY2|A0A8J6GGY2_MICOH, tr|A0A8J6GEM4|A0A8J6GEM4_MICOH, tr|A0A8J6KTC5|A0A8J6KTC5_MICOH, tr|A0A8J6KJC4|A0A8J6KJC4_MICOH, tr|A0A8J6KLQ7|A0A8J6KLQ7_MICOH, tr|A0A8J6KSS8|A0A8J6KSS8_MICOH, tr|A0A8J6H4B6|A0A8J6H4B6_MICOH, tr|A0A8J6KRE8|A0A8J6KRE8_MICOH, tr|A0A8J6GHB8|A0A8J6GHB8_MICOH, tr|A0A8J6FWF9|A0A8J6FWF9_MICOH, tr|A0A8J6KUJ0|A0A8J6KUJ0_MICOH, tr|A0A8J6GY49|A0A8J6GY49_MICOH, tr|A0A8J6GW27|A0A8J6GW27_MICOH
OG0000016	tr|L7MU96|L7MU96_MOUSE, tr|A2ASJ1|A2ASJ1_MOUSE, sp|Q810Y8|PRAL7_MOUSE	tr|A0A8J6G0S6|A0A8J6G0S6_MICOH
OG0000016	tr|B1ARV6|B1ARV6_MOUSE, tr|A2ASJ0|A2ASJ0_MOUSE, tr|Q4FZF9|Q4FZF9_MOUSE, tr|Q66JY9|Q66JY9_MOUSE, tr|A2ASI9|A2ASI9_MOUSE, tr|B1ARV5|B1ARV5_MOUSE, tr|B1AUV4|B1AUV4_MOUSE, tr|L7MTS5|L7MTS5_MOUSE, tr|Q3UTC0|Q3UTC0_MOUSE, tr|Q8CE24|Q8CE24_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|L7N456|L7N456_MOUSE, tr|L7N277|L7N277_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|Q8C6S1|Q8C6S1_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|J3QN52|J3QN52_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|J3QK78|J3QK78_MOUSE	tr|A0A8J6GC67|A0A8J6GC67_MICOH
OG0000018	tr|Q91Y09|Q91Y09_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, sp|O88689|PCDA4_MOUSE, sp|Q91Y13|PCDA7_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y16|Q91Y16_MOUSE	tr|A0A8J6GKN0|A0A8J6GKN0_MICOH
OG0000021	tr|Q8R266|Q8R266_MOUSE, tr|Q8R265|Q8R265_MOUSE, tr|J3JS27|J3JS27_MOUSE, tr|Q8R258|Q8R258_MOUSE, tr|I7HIK1|I7HIK1_MOUSE, tr|Q8R259|Q8R259_MOUSE, tr|Q5SSA0|Q5SSA0_MOUSE, tr|Q5SVD6|Q5SVD6_MOUSE, tr|Q8R263|Q8R263_MOUSE, tr|Q8K4C9|Q8K4C9_MOUSE, tr|Q8R264|Q8R264_MOUSE, tr|Q8R262|Q8R262_MOUSE, tr|Q8R261|Q8R261_MOUSE, tr|Q5SVD5|Q5SVD5_MOUSE, tr|Q8K3N2|Q8K3N2_MOUSE, tr|Q8R269|Q8R269_MOUSE, tr|Q8R270|Q8R270_MOUSE, tr|Q8R271|Q8R271_MOUSE, tr|Q8R272|Q8R272_MOUSE, tr|Q8R268|Q8R268_MOUSE, tr|Q8K4D0|Q8K4D0_MOUSE, tr|Q8R274|Q8R274_MOUSE, tr|Q8R275|Q8R275_MOUSE, tr|Q8R276|Q8R276_MOUSE, tr|Q8R273|Q8R273_MOUSE, tr|Q8K3N3|Q8K3N3_MOUSE, tr|A0A494B935|A0A494B935_MOUSE, tr|A0A494BA14|A0A494BA14_MOUSE, tr|Q8R277|Q8R277_MOUSE, tr|Q5NC97|Q5NC97_MOUSE, tr|Q8R281|Q8R281_MOUSE, tr|Q8R279|Q8R279_MOUSE, tr|Q8R280|Q8R280_MOUSE, tr|Q8R278|Q8R278_MOUSE	tr|A0A8J6GFX4|A0A8J6GFX4_MICOH
OG0000023	tr|A0A075B5Y8|A0A075B5Y8_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01674|KV3AM_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01655|KV3A2_MOUSE	tr|A0A8J6LA20|A0A8J6LA20_MICOH
OG0000025	sp|P56942|MCH_MOUSE	tr|A0A8J6GCK4|A0A8J6GCK4_MICOH, tr|A0A8J6H3Q8|A0A8J6H3Q8_MICOH, tr|A0A8J6GZL8|A0A8J6GZL8_MICOH, tr|A0A8J6KRS7|A0A8J6KRS7_MICOH, tr|A0A8J6KYI0|A0A8J6KYI0_MICOH, tr|A0A8J6KN57|A0A8J6KN57_MICOH, tr|A0A8J6GI04|A0A8J6GI04_MICOH, tr|A0A8J6KK35|A0A8J6KK35_MICOH, tr|A0A8J6GM51|A0A8J6GM51_MICOH, tr|A0A8J6KTC2|A0A8J6KTC2_MICOH, tr|A0A8J6L1S3|A0A8J6L1S3_MICOH, tr|A0A8J6FZI8|A0A8J6FZI8_MICOH, tr|A0A8J6KR88|A0A8J6KR88_MICOH, tr|A0A8J6GGQ1|A0A8J6GGQ1_MICOH, tr|A0A8J6GX84|A0A8J6GX84_MICOH, tr|A0A8J6GW17|A0A8J6GW17_MICOH, tr|A0A8J6H3X4|A0A8J6H3X4_MICOH, tr|A0A8J6L1D3|A0A8J6L1D3_MICOH, tr|A0A8J6KTA3|A0A8J6KTA3_MICOH, tr|A0A8J6GJW0|A0A8J6GJW0_MICOH, tr|A0A8J6GLQ3|A0A8J6GLQ3_MICOH, tr|A0A8J6GCF5|A0A8J6GCF5_MICOH, tr|A0A8J6GY13|A0A8J6GY13_MICOH, tr|A0A8J6G5M8|A0A8J6G5M8_MICOH, tr|A0A8J6GH60|A0A8J6GH60_MICOH, tr|A0A8J6H0V2|A0A8J6H0V2_MICOH, tr|A0A8J6KQB1|A0A8J6KQB1_MICOH, tr|A0A8J6GI22|A0A8J6GI22_MICOH, tr|A0A8J6G257|A0A8J6G257_MICOH, tr|A0A8J6G6F3|A0A8J6G6F3_MICOH
OG0000028	sp|O08800|SPB8_MOUSE	tr|A0A8J6G842|A0A8J6G842_MICOH
