Orthogroup	Homo_sapiens	Ovis_aries
OG0000002	sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN	tr|W5QHZ9|W5QHZ9_SHEEP
OG0000002	sp|P06315|KV502_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P06312|KV401_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P04433|KV311_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01602|KV105_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN	tr|W5QHZ8|W5QHZ8_SHEEP
OG0000003	sp|Q8N628|OR2C3_HUMAN	tr|W5Q5P6|W5Q5P6_SHEEP
OG0000003	sp|Q7Z3T1|OR2W3_HUMAN	tr|W5PH98|W5PH98_SHEEP, tr|W5PHC8|W5PHC8_SHEEP, tr|W5PH71|W5PH71_SHEEP, tr|W5PQG7|W5PQG7_SHEEP
OG0000003	sp|Q9Y3N9|OR2W1_HUMAN	tr|W5PGN4|W5PGN4_SHEEP, tr|W5Q6S2|W5Q6S2_SHEEP, tr|W5Q869|W5Q869_SHEEP
OG0000007	sp|Q8NGK0|O51G2_HUMAN	tr|W5P8M3|W5P8M3_SHEEP
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|W5PBF8|W5PBF8_SHEEP
OG0000007	sp|Q9H343|O51I1_HUMAN	tr|W5PBE2|W5PBE2_SHEEP, tr|W5QCS5|W5QCS5_SHEEP, tr|W5PBC5|W5PBC5_SHEEP, tr|W5PBH3|W5PBH3_SHEEP
OG0000007	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|W5NR52|W5NR52_SHEEP, tr|W5NRA3|W5NRA3_SHEEP, tr|W5NRE0|W5NRE0_SHEEP, tr|W5P938|W5P938_SHEEP, tr|W5P924|W5P924_SHEEP, tr|W5P902|W5P902_SHEEP, tr|W5P956|W5P956_SHEEP
OG0000007	sp|Q9H342|O51J1_HUMAN	tr|W5PCD8|W5PCD8_SHEEP, tr|W5PCF4|W5PCF4_SHEEP, tr|W5NPU4|W5NPU4_SHEEP, tr|W5PCA3|W5PCA3_SHEEP, tr|W5PC84|W5PC84_SHEEP, tr|W5PBM1|W5PBM1_SHEEP, tr|W5QD01|W5QD01_SHEEP, tr|W5PBK3|W5PBK3_SHEEP
