Orthogroup	Homo_sapiens	Otolemur_garnettii
OG0000001	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|B4USQ0|B4USQ0_OTOGA
OG0000001	sp|Q8NH61|O51F2_HUMAN	tr|H0XHH3|H0XHH3_OTOGA
OG0000001	sp|A6NGY5|O51F1_HUMAN	tr|H0XU32|H0XU32_OTOGA, tr|H0XKM6|H0XKM6_OTOGA, tr|H0WQQ9|H0WQQ9_OTOGA
OG0000001	sp|Q9H344|O51I2_HUMAN	tr|H0WX59|H0WX59_OTOGA
OG0000001	sp|Q9H343|O51I1_HUMAN	tr|H0XSB2|H0XSB2_OTOGA, tr|H0XM12|H0XM12_OTOGA, tr|H0Y012|H0Y012_OTOGA, tr|H0XJY2|H0XJY2_OTOGA, tr|H0XY05|H0XY05_OTOGA, tr|H0XVQ6|H0XVQ6_OTOGA
OG0000001	sp|Q9H342|O51J1_HUMAN	tr|H0XVL6|H0XVL6_OTOGA, tr|H0XUQ0|H0XUQ0_OTOGA, tr|H0XRA9|H0XRA9_OTOGA, tr|H0XQJ2|H0XQJ2_OTOGA, tr|B4USN5|B4USN5_OTOGA, tr|B4USN3|B4USN3_OTOGA, tr|H0XJQ3|H0XJQ3_OTOGA, tr|B4USN4|B4USN4_OTOGA
OG0000001	sp|Q8NGJ5|O51L1_HUMAN	tr|B4USL4|B4USL4_OTOGA
OG0000001	sp|Q8NH63|O51H1_HUMAN	tr|H0XKH5|H0XKH5_OTOGA, tr|H0XY20|H0XY20_OTOGA
OG0000001	sp|Q8NGK1|O51G1_HUMAN	tr|H0XMM3|H0XMM3_OTOGA
OG0000001	sp|Q8NGK0|O51G2_HUMAN	tr|B4USL0|B4USL0_OTOGA
OG0000002	sp|A6NCV1|O6C74_HUMAN	tr|H0XZI7|H0XZI7_OTOGA
OG0000002	sp|Q9NZP2|OR6C2_HUMAN	tr|H0XR92|H0XR92_OTOGA, tr|H0XX10|H0XX10_OTOGA, tr|H0XLC3|H0XLC3_OTOGA
OG0000002	sp|A6NDL8|O6C68_HUMAN	tr|H0Y1H9|H0Y1H9_OTOGA, tr|H0XK65|H0XK65_OTOGA, tr|H0XPP6|H0XPP6_OTOGA, tr|H0XTV0|H0XTV0_OTOGA, tr|H0XQZ0|H0XQZ0_OTOGA, tr|H0XX56|H0XX56_OTOGA, tr|H0XN83|H0XN83_OTOGA, tr|H0XZU8|H0XZU8_OTOGA, tr|H0XT91|H0XT91_OTOGA, tr|H0XGJ9|H0XGJ9_OTOGA, tr|H0XU43|H0XU43_OTOGA, tr|H0Y0F2|H0Y0F2_OTOGA
OG0000002	sp|A6NM76|O6C76_HUMAN	tr|H0WXK5|H0WXK5_OTOGA
OG0000002	sp|A6NJZ3|O6C65_HUMAN	tr|H0XX84|H0XX84_OTOGA
OG0000002	sp|Q8NGE1|OR6C4_HUMAN	tr|H0XQV9|H0XQV9_OTOGA, tr|H0Y0T0|H0Y0T0_OTOGA
OG0000002	sp|Q8NGE2|O2AP1_HUMAN	tr|H0WYZ5|H0WYZ5_OTOGA
OG0000002	sp|A6NL08|O6C75_HUMAN	tr|H0XXI6|H0XXI6_OTOGA
OG0000002	sp|Q96RD1|OR6C1_HUMAN	tr|H0XYJ8|H0XYJ8_OTOGA
OG0000002	sp|Q9NZP0|OR6C3_HUMAN	tr|H0XRF7|H0XRF7_OTOGA, tr|H0XW32|H0XW32_OTOGA, tr|H0XS55|H0XS55_OTOGA
OG0000002	sp|A6NIJ9|O6C70_HUMAN	tr|H0WK87|H0WK87_OTOGA
OG0000002	sp|A6NF89|OR6C6_HUMAN	tr|H0WSK0|H0WSK0_OTOGA, tr|H0X0K7|H0X0K7_OTOGA, tr|H0XAV8|H0XAV8_OTOGA
OG0000004	sp|O95371|OR2C1_HUMAN	tr|H0Y026|H0Y026_OTOGA
OG0000004	sp|P58173|OR2B6_HUMAN	tr|H0XPN9|H0XPN9_OTOGA
OG0000004	sp|Q9GZK3|OR2B2_HUMAN	tr|H0XPL6|H0XPL6_OTOGA
OG0000004	sp|O76000|OR2B3_HUMAN	tr|H0X4A7|H0X4A7_OTOGA
OG0000004	sp|Q5JQS5|OR2BB_HUMAN	tr|H0Y1B8|H0Y1B8_OTOGA, tr|H0XRX8|H0XRX8_OTOGA, tr|H0XY79|H0XY79_OTOGA, tr|H0XMV2|H0XMV2_OTOGA, tr|H0XP78|H0XP78_OTOGA, tr|H0XU82|H0XU82_OTOGA, tr|H0XWI3|H0XWI3_OTOGA
