Orthogroup	Mus_musculus	Ursus_maritimus
OG0000006	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A8M1EYK1|A0A8M1EYK1_URSMA
OG0000006	sp|Q80W31|ZN569_MOUSE	tr|A0A8M1G1V8|A0A8M1G1V8_URSMA, tr|A0A8M1FSI0|A0A8M1FSI0_URSMA, tr|A0A384C546|A0A384C546_URSMA, tr|A0A8M1FY21|A0A8M1FY21_URSMA, tr|A0A8M1G0K2|A0A8M1G0K2_URSMA, tr|A0A384BK28|A0A384BK28_URSMA, tr|A0A384C3R9|A0A384C3R9_URSMA, tr|A0A384DI98|A0A384DI98_URSMA, tr|A0A8M1GC82|A0A8M1GC82_URSMA, tr|A0A8M1FWD4|A0A8M1FWD4_URSMA, tr|A0A384DT32|A0A384DT32_URSMA, tr|A0A384C7C3|A0A384C7C3_URSMA, tr|A0A8M1G798|A0A8M1G798_URSMA, tr|A0A384DRI5|A0A384DRI5_URSMA, tr|A0A384DQP6|A0A384DQP6_URSMA, tr|A0A384D7T4|A0A384D7T4_URSMA
OG0000006	sp|P17141|ZFP37_MOUSE	tr|A0A384CA43|A0A384CA43_URSMA, tr|A0A8M1G8V8|A0A8M1G8V8_URSMA, tr|A0A384DGT5|A0A384DGT5_URSMA
OG0000006	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A8M1GIM9|A0A8M1GIM9_URSMA
OG0000006	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A8M1GFB1|A0A8M1GFB1_URSMA
OG0000006	sp|B2RXC5|ZN382_MOUSE	tr|A0A384DTN9|A0A384DTN9_URSMA, tr|A0A384DTP3|A0A384DTP3_URSMA
OG0000006	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A384CQ19|A0A384CQ19_URSMA
OG0000006	sp|Q8BQC8|RBAK_MOUSE	tr|A0A384CNX7|A0A384CNX7_URSMA
OG0000006	tr|Q640N4|Q640N4_MOUSE	tr|A0A384CJ58|A0A384CJ58_URSMA, tr|A0A8M1FFJ9|A0A8M1FFJ9_URSMA, tr|A0A384BZ37|A0A384BZ37_URSMA, tr|A0A384DSL7|A0A384DSL7_URSMA, tr|A0A384C087|A0A384C087_URSMA, tr|A0A384DSQ5|A0A384DSQ5_URSMA, tr|A0A384BP64|A0A384BP64_URSMA, tr|A0A384BZ31|A0A384BZ31_URSMA
OG0000011	tr|Q5R1H8|Q5R1H8_MOUSE, tr|A0A075B641|A0A075B641_MOUSE, tr|A0A075B633|A0A075B633_MOUSE, tr|A0A075B616|A0A075B616_MOUSE, tr|A0A0B4J1N7|A0A0B4J1N7_MOUSE, tr|A0A075B612|A0A075B612_MOUSE, tr|A0A075B636|A0A075B636_MOUSE, tr|A0A075B619|A0A075B619_MOUSE, tr|A0A075B607|A0A075B607_MOUSE, tr|A0A0G2JF94|A0A0G2JF94_MOUSE, tr|A0A075B6A1|A0A075B6A1_MOUSE, tr|A0A0B4J1K4|A0A0B4J1K4_MOUSE, tr|Q5R1I8|Q5R1I8_MOUSE, tr|A0A075B654|A0A075B654_MOUSE, tr|A0A075B6D8|A0A075B6D8_MOUSE, tr|A0A075B614|A0A075B614_MOUSE, tr|A0A075B622|A0A075B622_MOUSE, tr|A0A075B642|A0A075B642_MOUSE, tr|A0A075B5Z7|A0A075B5Z7_MOUSE, tr|A0A075B652|A0A075B652_MOUSE, tr|Q5R1F6|Q5R1F6_MOUSE, tr|Q5R1I1|Q5R1I1_MOUSE, sp|P01739|TVA2_MOUSE, tr|A0A075B620|A0A075B620_MOUSE, tr|Q5R1H9|Q5R1H9_MOUSE, tr|A0A075B6C1|A0A075B6C1_MOUSE, tr|A0A0G2JEV5|A0A0G2JEV5_MOUSE, tr|Q5R1I3|Q5R1I3_MOUSE, tr|A0A075B6D1|A0A075B6D1_MOUSE, tr|A0A0B4J1N1|A0A0B4J1N1_MOUSE, tr|A0A0G2JFX6|A0A0G2JFX6_MOUSE, tr|A0A075B604|A0A075B604_MOUSE, tr|A0A087WRX6|A0A087WRX6_MOUSE, tr|A0A0G2JG17|A0A0G2JG17_MOUSE, tr|A0A0B4J1J9|A0A0B4J1J9_MOUSE, tr|A0A087WRQ3|A0A087WRQ3_MOUSE, tr|A0A075B661|A0A075B661_MOUSE, tr|A0A075B658|A0A075B658_MOUSE, tr|Q5R1A4|Q5R1A4_MOUSE, tr|A0A0G2JGQ7|A0A0G2JGQ7_MOUSE, tr|A0A075B650|A0A075B650_MOUSE, tr|A0A075B608|A0A075B608_MOUSE, tr|A0A075B646|A0A075B646_MOUSE, tr|A0A075B653|A0A075B653_MOUSE, tr|A0A075B634|A0A075B634_MOUSE, tr|A0A075B617|A0A075B617_MOUSE	tr|A0A8M1GBF3|A0A8M1GBF3_URSMA
OG0000012	tr|Q7TMN8|Q7TMN8_MOUSE	tr|A0A384DD55|A0A384DD55_URSMA
OG0000012	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A384DQW6|A0A384DQW6_URSMA
OG0000012	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A384DTR5|A0A384DTR5_URSMA, tr|A0A384DQN6|A0A384DQN6_URSMA, tr|A0A384DQN8|A0A384DQN8_URSMA, tr|A0A384BXA5|A0A384BXA5_URSMA, tr|A0A8M1G260|A0A8M1G260_URSMA, tr|A0A384DTN1|A0A384DTN1_URSMA, tr|A0A384DU86|A0A384DU86_URSMA, tr|A0A8M1G1Q7|A0A8M1G1Q7_URSMA, tr|A0A384DU83|A0A384DU83_URSMA
OG0000012	sp|P10755|ZFP14_MOUSE	tr|A0A8M1G2I2|A0A8M1G2I2_URSMA
OG0000012	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A384DQP1|A0A384DQP1_URSMA, tr|A0A452V5F7|A0A452V5F7_URSMA
OG0000012	sp|Q3V080|ZN583_MOUSE	tr|A0A384DMB8|A0A384DMB8_URSMA
OG0000012	tr|Q5U406|Q5U406_MOUSE	tr|A0A8M1G220|A0A8M1G220_URSMA, tr|A0A8M1G216|A0A8M1G216_URSMA
OG0000016	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A384C909|A0A384C909_URSMA, tr|A0A384DRW9|A0A384DRW9_URSMA, tr|A0A384C8V4|A0A384C8V4_URSMA, tr|A0A384C8N3|A0A384C8N3_URSMA, tr|A0A384DRN8|A0A384DRN8_URSMA, tr|A0A384DSN0|A0A384DSN0_URSMA, tr|A0A8M1H1T4|A0A8M1H1T4_URSMA, tr|A0A384BI23|A0A384BI23_URSMA, tr|A0A384DRZ7|A0A384DRZ7_URSMA, tr|A0A384DP91|A0A384DP91_URSMA, tr|A0A384BI14|A0A384BI14_URSMA, tr|A0A384DRW6|A0A384DRW6_URSMA, tr|A0A8M1GZD1|A0A8M1GZD1_URSMA, tr|A0A384DJ42|A0A384DJ42_URSMA, tr|A0A384DT89|A0A384DT89_URSMA, tr|A0A384DLT9|A0A384DLT9_URSMA, tr|A0A384DT83|A0A384DT83_URSMA, tr|A0A384DJ67|A0A384DJ67_URSMA, tr|A0A384DRU2|A0A384DRU2_URSMA, tr|A0A384DT73|A0A384DT73_URSMA, tr|A0A384BII6|A0A384BII6_URSMA, tr|A0A384BH60|A0A384BH60_URSMA, tr|A0A384BI89|A0A384BI89_URSMA, tr|A0A384DU08|A0A384DU08_URSMA, tr|A0A384DTE3|A0A384DTE3_URSMA, tr|A0A384DU04|A0A384DU04_URSMA, tr|A0A384BHC0|A0A384BHC0_URSMA, tr|A0A384DU12|A0A384DU12_URSMA, tr|A0A8M1GYK6|A0A8M1GYK6_URSMA, tr|A0A384DRV5|A0A384DRV5_URSMA, tr|A0A384DS27|A0A384DS27_URSMA, tr|A0A384DSQ1|A0A384DSQ1_URSMA, tr|A0A384DRW0|A0A384DRW0_URSMA, tr|A0A384DSN3|A0A384DSN3_URSMA, tr|A0A384DTD9|A0A384DTD9_URSMA, tr|A0A384C934|A0A384C934_URSMA, tr|A0A384C9V2|A0A384C9V2_URSMA, tr|A0A384DMY9|A0A384DMY9_URSMA, tr|A0A384DU00|A0A384DU00_URSMA
OG0000023	tr|Q78F42|Q78F42_MOUSE	tr|A0A384BHY8|A0A384BHY8_URSMA
