Orthogroup	Homo_sapiens	Balaenoptera_musculus
OG0000000	sp|Q8NGF0|O52B6_HUMAN	tr|A0A8B8Y5E2|A0A8B8Y5E2_BALMU
OG0000000	sp|Q8NGK2|O52B4_HUMAN	tr|A0A8B8Y5T8|A0A8B8Y5T8_BALMU
OG0000000	sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|Q8NH61|O51F2_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8TCB6|O51E1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A8C0E417|A0A8C0E417_BALMU
OG0000000	sp|Q8NGK3|O52K2_HUMAN, sp|Q8NGK4|O52K1_HUMAN	tr|A0A8B8Y4H1|A0A8B8Y4H1_BALMU
OG0000000	sp|Q8NH60|O52J3_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NH55|O52E5_HUMAN	tr|A0A8B8Y4H5|A0A8B8Y4H5_BALMU
OG0000001	sp|Q8NGG2|OR5T2_HUMAN	tr|A0A8B8Y4L8|A0A8B8Y4L8_BALMU
OG0000001	sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q8NGG7|OR8A1_HUMAN	tr|A0A8B8Y732|A0A8B8Y732_BALMU
OG0000001	sp|Q8WZ84|OR8D1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8NGM9|OR8D4_HUMAN	tr|A0A8B8Y1P3|A0A8B8Y1P3_BALMU
OG0000003	sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01602|KV105_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06315|KV502_HUMAN, sp|P06312|KV401_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01615|KVD28_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN	tr|A0A8B8ZAB2|A0A8B8ZAB2_BALMU
OG0000004	sp|Q8NGR6|OR1B1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P34982|OR1D2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|O14581|OR7AH_HUMAN, sp|O76100|OR7AA_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|Q6IFN5|O7E24_HUMAN	tr|A0A8B8XR80|A0A8B8XR80_BALMU
