Orthogroup	Homo_sapiens	Sarcophilus_harrisii
OG0000000	sp|Q7Z2F6|KRBX5_HUMAN, sp|Q14586|ZN267_HUMAN	tr|G3W6L6|G3W6L6_SARHA, tr|A0A7N4PK86|A0A7N4PK86_SARHA, tr|A0A7N4NPC7|A0A7N4NPC7_SARHA, tr|A0A7N4NUZ4|A0A7N4NUZ4_SARHA, tr|G3VJ15|G3VJ15_SARHA, tr|A0A7N4V5X7|A0A7N4V5X7_SARHA, tr|A0A7N4NWK1|A0A7N4NWK1_SARHA, tr|A0A7N4V4R8|A0A7N4V4R8_SARHA, tr|A0A7N4NKZ1|A0A7N4NKZ1_SARHA, tr|G3VKM8|G3VKM8_SARHA, tr|G3VLT6|G3VLT6_SARHA, tr|G3VRG9|G3VRG9_SARHA, tr|G3WRJ9|G3WRJ9_SARHA, tr|G3VEC1|G3VEC1_SARHA, tr|A0A7N4Q1Q4|A0A7N4Q1Q4_SARHA, tr|G3VII9|G3VII9_SARHA, tr|A0A7N4V502|A0A7N4V502_SARHA, tr|A0A7N4NKV7|A0A7N4NKV7_SARHA, tr|G3VEL2|G3VEL2_SARHA, tr|A0A7N4NKX1|A0A7N4NKX1_SARHA, tr|A0A7N4V0B1|A0A7N4V0B1_SARHA, tr|A0A7N4PVG7|A0A7N4PVG7_SARHA, tr|A0A7N4UZK7|A0A7N4UZK7_SARHA, tr|A0A7N4PX15|A0A7N4PX15_SARHA, tr|A0A7N4PUV5|A0A7N4PUV5_SARHA, tr|A0A7N4NPX6|A0A7N4NPX6_SARHA, tr|A0A7N4PTG0|A0A7N4PTG0_SARHA, tr|G3VC99|G3VC99_SARHA, tr|A0A7N4PU76|A0A7N4PU76_SARHA, tr|G3VR34|G3VR34_SARHA, tr|A0A7N4PNA7|A0A7N4PNA7_SARHA, tr|G3VJB2|G3VJB2_SARHA, tr|G3VY76|G3VY76_SARHA, tr|G3X395|G3X395_SARHA, tr|A0A7N4NHQ2|A0A7N4NHQ2_SARHA, tr|G3W164|G3W164_SARHA, tr|A0A7N4P4R7|A0A7N4P4R7_SARHA, tr|G3VIZ9|G3VIZ9_SARHA, tr|G3VKZ9|G3VKZ9_SARHA, tr|A0A7N4PHB6|A0A7N4PHB6_SARHA, tr|G3W2Q5|G3W2Q5_SARHA, tr|A0A7N4NU33|A0A7N4NU33_SARHA, tr|A0A7N4PA40|A0A7N4PA40_SARHA, tr|G3VK86|G3VK86_SARHA, tr|A0A7N4PZ12|A0A7N4PZ12_SARHA, tr|G3W0D3|G3W0D3_SARHA, tr|A0A7N4NJ09|A0A7N4NJ09_SARHA, tr|A0A7N4NMM3|A0A7N4NMM3_SARHA, tr|A0A7N4NMW9|A0A7N4NMW9_SARHA, tr|A0A7N4PTP5|A0A7N4PTP5_SARHA, tr|A0A7N4UYC0|A0A7N4UYC0_SARHA, tr|A0A7N4NW86|A0A7N4NW86_SARHA, tr|A0A7N4PY78|A0A7N4PY78_SARHA, tr|A0A7N4NV89|A0A7N4NV89_SARHA, tr|A0A7N4V729|A0A7N4V729_SARHA, tr|A0A7N4Q050|A0A7N4Q050_SARHA, tr|A0A7N4NZS2|A0A7N4NZS2_SARHA, tr|G3VTA7|G3VTA7_SARHA, tr|A0A7N4NUW0|A0A7N4NUW0_SARHA, tr|G3VCB9|G3VCB9_SARHA, tr|A0A7N4PQF2|A0A7N4PQF2_SARHA, tr|A0A7N4PLV6|A0A7N4PLV6_SARHA, tr|A0A7N4NTL6|A0A7N4NTL6_SARHA, tr|G3VGG2|G3VGG2_SARHA, tr|A0A7N4PL37|A0A7N4PL37_SARHA, tr|A0A7N4Q1B5|A0A7N4Q1B5_SARHA, tr|A0A7N4NPY7|A0A7N4NPY7_SARHA, tr|A0A7N4NVP8|A0A7N4NVP8_SARHA, tr|A0A7N4PZD7|A0A7N4PZD7_SARHA, tr|G3VQM4|G3VQM4_SARHA, tr|G3W9M3|G3W9M3_SARHA, tr|A0A7N4NT82|A0A7N4NT82_SARHA, tr|A0A7N4NM30|A0A7N4NM30_SARHA, tr|A0A7N4NQU3|A0A7N4NQU3_SARHA, tr|A0A7N4NK84|A0A7N4NK84_SARHA, tr|A0A7N4PRY3|A0A7N4PRY3_SARHA, tr|A0A7N4PXJ5|A0A7N4PXJ5_SARHA, tr|A0A7N4P3Z9|A0A7N4P3Z9_SARHA, tr|A0A7N4UYA0|A0A7N4UYA0_SARHA, tr|G3VBV4|G3VBV4_SARHA, tr|A0A7N4PKR9|A0A7N4PKR9_SARHA, tr|A0A7N4NXD1|A0A7N4NXD1_SARHA, tr|A0A7N4PXJ3|A0A7N4PXJ3_SARHA, tr|A0A7N4PUD3|A0A7N4PUD3_SARHA, tr|A0A7N4PCZ8|A0A7N4PCZ8_SARHA, tr|A0A7N4NZ55|A0A7N4NZ55_SARHA, tr|A0A7N4PVJ6|A0A7N4PVJ6_SARHA, tr|A0A7N4NI17|A0A7N4NI17_SARHA, tr|A0A7N4PCK8|A0A7N4PCK8_SARHA, tr|G3VLG1|G3VLG1_SARHA, tr|A0A7N4NHL0|A0A7N4NHL0_SARHA, tr|G3VCD3|G3VCD3_SARHA, tr|G3VCE1|G3VCE1_SARHA, tr|A0A7N4NKS5|A0A7N4NKS5_SARHA, tr|A0A7N4Q056|A0A7N4Q056_SARHA, tr|A0A7N4PM40|A0A7N4PM40_SARHA, tr|G3VA45|G3VA45_SARHA, tr|A0A7N4NUT4|A0A7N4NUT4_SARHA, tr|A0A7N4P2H4|A0A7N4P2H4_SARHA, tr|G3VN16|G3VN16_SARHA, tr|G3VG86|G3VG86_SARHA, tr|A0A7N4NH71|A0A7N4NH71_SARHA, tr|A0A7N4PZZ5|A0A7N4PZZ5_SARHA, tr|G3VFY8|G3VFY8_SARHA, tr|A0A7N4P4D1|A0A7N4P4D1_SARHA, tr|A0A7N4PL44|A0A7N4PL44_SARHA, tr|A0A7N4P960|A0A7N4P960_SARHA, tr|A0A7N4NTW7|A0A7N4NTW7_SARHA, tr|G3VMA0|G3VMA0_SARHA, tr|G3VHR0|G3VHR0_SARHA, tr|A0A7N4PWL3|A0A7N4PWL3_SARHA, tr|A0A7N4PBG5|A0A7N4PBG5_SARHA, tr|A0A7N4PTN8|A0A7N4PTN8_SARHA, tr|A0A7N4V691|A0A7N4V691_SARHA, tr|G3VNJ1|G3VNJ1_SARHA, tr|G3VJL2|G3VJL2_SARHA, tr|G3VCZ6|G3VCZ6_SARHA, tr|A0A7N4P0U9|A0A7N4P0U9_SARHA, tr|A0A7N4NR64|A0A7N4NR64_SARHA, tr|A0A7N4NVH7|A0A7N4NVH7_SARHA, tr|A0A7N4UX56|A0A7N4UX56_SARHA, tr|A0A7N4P4V8|A0A7N4P4V8_SARHA, tr|A0A7N4PMX8|A0A7N4PMX8_SARHA, tr|G3VH91|G3VH91_SARHA, tr|A0A7N4P6C8|A0A7N4P6C8_SARHA, tr|A0A7N4PF16|A0A7N4PF16_SARHA, tr|G3VAK4|G3VAK4_SARHA, tr|A0A7N4PPZ4|A0A7N4PPZ4_SARHA, tr|G3WA59|G3WA59_SARHA, tr|G3VUP6|G3VUP6_SARHA, tr|A0A7N4P7A4|A0A7N4P7A4_SARHA, tr|A0A7N4V0L7|A0A7N4V0L7_SARHA, tr|A0A7N4PSZ0|A0A7N4PSZ0_SARHA, tr|A0A7N4V2Y9|A0A7N4V2Y9_SARHA, tr|A0A7N4UXJ7|A0A7N4UXJ7_SARHA, tr|A0A7N4NVZ1|A0A7N4NVZ1_SARHA, tr|G3VNE3|G3VNE3_SARHA, tr|A0A7N4P6S1|A0A7N4P6S1_SARHA, tr|G3W379|G3W379_SARHA, tr|G3W409|G3W409_SARHA, tr|A0A7N4PRT8|A0A7N4PRT8_SARHA, tr|A0A7N4PDM7|A0A7N4PDM7_SARHA, tr|A0A7N4PY04|A0A7N4PY04_SARHA, tr|A0A7N4PFV5|A0A7N4PFV5_SARHA, tr|A0A7N4NHK7|A0A7N4NHK7_SARHA, tr|A0A7N4NGM8|A0A7N4NGM8_SARHA, tr|A0A7N4PJH9|A0A7N4PJH9_SARHA, tr|A0A7N4NLC8|A0A7N4NLC8_SARHA, tr|A0A7N4NJV4|A0A7N4NJV4_SARHA, tr|G3VTT5|G3VTT5_SARHA, tr|G3VDE9|G3VDE9_SARHA, tr|A0A7N4PFV8|A0A7N4PFV8_SARHA, tr|A0A7N4NVW6|A0A7N4NVW6_SARHA, tr|A0A7N4V5W4|A0A7N4V5W4_SARHA, tr|A0A7N4NRB7|A0A7N4NRB7_SARHA
OG0000001	sp|Q9H606|PRORY_HUMAN	tr|A0A7N4P4T6|A0A7N4P4T6_SARHA, tr|A0A7N4PC40|A0A7N4PC40_SARHA, tr|A0A7N4PK93|A0A7N4PK93_SARHA, tr|A0A7N4PDX1|A0A7N4PDX1_SARHA, tr|A0A7N4V833|A0A7N4V833_SARHA
OG0000001	sp|O00370|LORF2_HUMAN	tr|A0A7N4PTD9|A0A7N4PTD9_SARHA, tr|A0A7N4PGR2|A0A7N4PGR2_SARHA, tr|A0A7N4UYB8|A0A7N4UYB8_SARHA, tr|A0A7N4PTW9|A0A7N4PTW9_SARHA, tr|A0A7N4P7T1|A0A7N4P7T1_SARHA, tr|A0A7N4NZN9|A0A7N4NZN9_SARHA, tr|A0A7N4P9P6|A0A7N4P9P6_SARHA, tr|A0A7N4PPY0|A0A7N4PPY0_SARHA, tr|A0A7N4PRR0|A0A7N4PRR0_SARHA, tr|A0A7N4PBV4|A0A7N4PBV4_SARHA, tr|A0A7N4PW62|A0A7N4PW62_SARHA, tr|A0A7N4PXJ0|A0A7N4PXJ0_SARHA, tr|A0A7N4UZ44|A0A7N4UZ44_SARHA, tr|A0A7N4NFB9|A0A7N4NFB9_SARHA, tr|A0A7N4NUU7|A0A7N4NUU7_SARHA, tr|A0A7N4PWG7|A0A7N4PWG7_SARHA, tr|A0A7N4P8T4|A0A7N4P8T4_SARHA, tr|A0A7N4PIB7|A0A7N4PIB7_SARHA, tr|A0A7N4PXU2|A0A7N4PXU2_SARHA, tr|A0A7N4PJU1|A0A7N4PJU1_SARHA, tr|A0A7N4PAN2|A0A7N4PAN2_SARHA, tr|A0A7N4P258|A0A7N4P258_SARHA, tr|A0A7N4P038|A0A7N4P038_SARHA, tr|A0A7N4NHQ7|A0A7N4NHQ7_SARHA, tr|A0A7N4NNK6|A0A7N4NNK6_SARHA, tr|A0A7N4PKT2|A0A7N4PKT2_SARHA, tr|A0A7N4UYV8|A0A7N4UYV8_SARHA, tr|A0A7N4P3A5|A0A7N4P3A5_SARHA, tr|A0A7N4PPU8|A0A7N4PPU8_SARHA, tr|A0A7N4PBZ5|A0A7N4PBZ5_SARHA, tr|A0A7N4P2P4|A0A7N4P2P4_SARHA, tr|A0A7N4UXQ0|A0A7N4UXQ0_SARHA, tr|A0A7N4V683|A0A7N4V683_SARHA, tr|A0A7N4NT65|A0A7N4NT65_SARHA, tr|A0A7N4NFZ6|A0A7N4NFZ6_SARHA, tr|A0A7N4NMW4|A0A7N4NMW4_SARHA, tr|A0A7N4P8R2|A0A7N4P8R2_SARHA, tr|A0A7N4PQ68|A0A7N4PQ68_SARHA, tr|A0A7N4PYT0|A0A7N4PYT0_SARHA, tr|A0A7N4Q242|A0A7N4Q242_SARHA, tr|A0A7N4NTE6|A0A7N4NTE6_SARHA, tr|A0A7N4PF73|A0A7N4PF73_SARHA, tr|A0A7N4NPC8|A0A7N4NPC8_SARHA, tr|A0A7N4PJU6|A0A7N4PJU6_SARHA, tr|A0A7N4NLF8|A0A7N4NLF8_SARHA, tr|A0A7N4P6U0|A0A7N4P6U0_SARHA, tr|A0A7N4P0S5|A0A7N4P0S5_SARHA, tr|A0A7N4PAA4|A0A7N4PAA4_SARHA, tr|A0A7N4V364|A0A7N4V364_SARHA, tr|A0A7N4PGH3|A0A7N4PGH3_SARHA, tr|A0A7N4PKL5|A0A7N4PKL5_SARHA, tr|A0A7N4P174|A0A7N4P174_SARHA, tr|A0A7N4PZG2|A0A7N4PZG2_SARHA, tr|A0A7N4NPJ3|A0A7N4NPJ3_SARHA, tr|A0A7N4PLE5|A0A7N4PLE5_SARHA, tr|A0A7N4NQ49|A0A7N4NQ49_SARHA, tr|A0A7N4PQR3|A0A7N4PQR3_SARHA, tr|A0A7N4PVF9|A0A7N4PVF9_SARHA, tr|A0A7N4NGP6|A0A7N4NGP6_SARHA, tr|A0A7N4P5T3|A0A7N4P5T3_SARHA, tr|A0A7N4PY19|A0A7N4PY19_SARHA, tr|A0A7N4NTY1|A0A7N4NTY1_SARHA, tr|A0A7N4NTS2|A0A7N4NTS2_SARHA, tr|A0A7N4PGW6|A0A7N4PGW6_SARHA, tr|A0A7N4V6C5|A0A7N4V6C5_SARHA, tr|A0A7N4V783|A0A7N4V783_SARHA, tr|A0A7N4V262|A0A7N4V262_SARHA, tr|A0A7N4NNA5|A0A7N4NNA5_SARHA, tr|A0A7N4V4B7|A0A7N4V4B7_SARHA, tr|A0A7N4NWT3|A0A7N4NWT3_SARHA, tr|A0A7N4PPA5|A0A7N4PPA5_SARHA, tr|A0A7N4UZH3|A0A7N4UZH3_SARHA, tr|A0A7N4PHI1|A0A7N4PHI1_SARHA, tr|A0A7N4PAS6|A0A7N4PAS6_SARHA, tr|A0A7N4PKU9|A0A7N4PKU9_SARHA, tr|A0A7N4PMU4|A0A7N4PMU4_SARHA, tr|A0A7N4UX96|A0A7N4UX96_SARHA, tr|A0A7N4UXC9|A0A7N4UXC9_SARHA, tr|A0A7N4PEF5|A0A7N4PEF5_SARHA, tr|A0A7N4PV93|A0A7N4PV93_SARHA, tr|A0A7N4NJZ8|A0A7N4NJZ8_SARHA, tr|A0A7N4PNC0|A0A7N4PNC0_SARHA, tr|A0A7N4PQD6|A0A7N4PQD6_SARHA, tr|A0A7N4NUX8|A0A7N4NUX8_SARHA, tr|A0A7N4V4U9|A0A7N4V4U9_SARHA, tr|A0A7N4P3R8|A0A7N4P3R8_SARHA, tr|A0A7N4PJ87|A0A7N4PJ87_SARHA, tr|A0A7N4PSN4|A0A7N4PSN4_SARHA, tr|A0A7N4P9S1|A0A7N4P9S1_SARHA, tr|A0A7N4PD15|A0A7N4PD15_SARHA, tr|A0A7N4P7L9|A0A7N4P7L9_SARHA, tr|A0A7N4NFW4|A0A7N4NFW4_SARHA, tr|A0A7N4NI27|A0A7N4NI27_SARHA, tr|A0A7N4PAC2|A0A7N4PAC2_SARHA, tr|A0A7N4NGQ1|A0A7N4NGQ1_SARHA, tr|A0A7N4NI84|A0A7N4NI84_SARHA, tr|A0A7N4V3V2|A0A7N4V3V2_SARHA, tr|A0A7N4PF02|A0A7N4PF02_SARHA, tr|A0A7N4UZ25|A0A7N4UZ25_SARHA, tr|A0A7N4V789|A0A7N4V789_SARHA, tr|A0A7N4PQ05|A0A7N4PQ05_SARHA, tr|A0A7N4PUX9|A0A7N4PUX9_SARHA, tr|A0A7N4P7Z2|A0A7N4P7Z2_SARHA, tr|A0A7N4NH82|A0A7N4NH82_SARHA, tr|A0A7N4PFF0|A0A7N4PFF0_SARHA, tr|A0A7N4PXV3|A0A7N4PXV3_SARHA, tr|A0A7N4NZP7|A0A7N4NZP7_SARHA, tr|A0A7N4Q1P8|A0A7N4Q1P8_SARHA, tr|A0A7N4NZG7|A0A7N4NZG7_SARHA, tr|A0A7N4NQP1|A0A7N4NQP1_SARHA, tr|A0A7N4NSS4|A0A7N4NSS4_SARHA, tr|A0A7N4NJ22|A0A7N4NJ22_SARHA, tr|A0A7N4NJC1|A0A7N4NJC1_SARHA, tr|A0A7N4UZ13|A0A7N4UZ13_SARHA, tr|A0A7N4NX26|A0A7N4NX26_SARHA, tr|A0A7N4PQK3|A0A7N4PQK3_SARHA
OG0000002	sp|Q6ZN57|ZFP2_HUMAN	tr|G3X2K8|G3X2K8_SARHA
OG0000002	sp|P15622|ZN250_HUMAN	tr|G3VKJ0|G3VKJ0_SARHA, tr|A0A7N4NR75|A0A7N4NR75_SARHA, tr|A0A7N4PC36|A0A7N4PC36_SARHA, tr|A0A7N4P542|A0A7N4P542_SARHA, tr|A0A7N4V596|A0A7N4V596_SARHA, tr|A0A7N4V3N5|A0A7N4V3N5_SARHA
OG0000002	sp|P17036|ZNF3_HUMAN	tr|G3VK13|G3VK13_SARHA, tr|A0A7N4P693|A0A7N4P693_SARHA, tr|G3VDZ8|G3VDZ8_SARHA, tr|G3VPV4|G3VPV4_SARHA, tr|G3VM61|G3VM61_SARHA, tr|A0A7N4NZH7|A0A7N4NZH7_SARHA, tr|G3WEV5|G3WEV5_SARHA
OG0000002	sp|Q9BSG1|ZNF2_HUMAN	tr|A0A7N4PZF4|A0A7N4PZF4_SARHA, tr|G3WCQ6|G3WCQ6_SARHA, tr|G3VHG0|G3VHG0_SARHA, tr|G3WE44|G3WE44_SARHA, tr|A0A7N4PHA0|A0A7N4PHA0_SARHA, tr|A0A7N4PHR7|A0A7N4PHR7_SARHA, tr|A0A7N4NI38|A0A7N4NI38_SARHA, tr|A0A7N4PGR5|A0A7N4PGR5_SARHA, tr|A0A7N4V032|A0A7N4V032_SARHA
OG0000002	sp|Q8TF39|ZN483_HUMAN	tr|A0A7N4Q0X1|A0A7N4Q0X1_SARHA, tr|A0A7N4NSE0|A0A7N4NSE0_SARHA, tr|A0A7N4PFL3|A0A7N4PFL3_SARHA, tr|A0A7N4NLR5|A0A7N4NLR5_SARHA, tr|A0A7N4V5H0|A0A7N4V5H0_SARHA, tr|A0A7N4Q1N5|A0A7N4Q1N5_SARHA, tr|G3VRP8|G3VRP8_SARHA, tr|A0A7N4P861|A0A7N4P861_SARHA, tr|G3VQ12|G3VQ12_SARHA, tr|A0A7N4PZQ4|A0A7N4PZQ4_SARHA, tr|A0A7N4NSB7|A0A7N4NSB7_SARHA, tr|A0A7N4PXU7|A0A7N4PXU7_SARHA, tr|A0A7N4Q185|A0A7N4Q185_SARHA, tr|A0A7N4PN20|A0A7N4PN20_SARHA, tr|A0A7N4P6F5|A0A7N4P6F5_SARHA
OG0000003	sp|Q8NH59|O51Q1_HUMAN	tr|G3WF85|G3WF85_SARHA, tr|G3WF05|G3WF05_SARHA
OG0000003	sp|Q9H339|O51B5_HUMAN	tr|G3WFM5|G3WFM5_SARHA, tr|G3VFR3|G3VFR3_SARHA, tr|G3VBR6|G3VBR6_SARHA, tr|G3WFD7|G3WFD7_SARHA
