Orthogroup	Mus_musculus	Fukomys_damarensis
OG0000003	tr|Q8VFF6|Q8VFF6_MOUSE	tr|A0A091DEC2|A0A091DEC2_FUKDA, tr|A0A091DDW0|A0A091DDW0_FUKDA, tr|A0A091DEB6|A0A091DEB6_FUKDA, tr|A0A091D6R7|A0A091D6R7_FUKDA, tr|A0A091DJ07|A0A091DJ07_FUKDA, tr|A0A091D3M0|A0A091D3M0_FUKDA, tr|A0A091DGS7|A0A091DGS7_FUKDA, tr|A0A091D384|A0A091D384_FUKDA, tr|A0A091E4A4|A0A091E4A4_FUKDA, tr|A0A091E0N5|A0A091E0N5_FUKDA, tr|A0A091CLF2|A0A091CLF2_FUKDA
OG0000003	tr|Q7TRF8|Q7TRF8_MOUSE	tr|A0A091CPY2|A0A091CPY2_FUKDA, tr|A0A091DS53|A0A091DS53_FUKDA, tr|A0A091DSR8|A0A091DSR8_FUKDA, tr|A0A091CPN7|A0A091CPN7_FUKDA, tr|A0A091E2U4|A0A091E2U4_FUKDA, tr|A0A091DJ01|A0A091DJ01_FUKDA, tr|A0A091CTH8|A0A091CTH8_FUKDA, tr|A0A091DY16|A0A091DY16_FUKDA, tr|A0A091DIZ5|A0A091DIZ5_FUKDA, tr|A0A091EM08|A0A091EM08_FUKDA, tr|A0A091DHD7|A0A091DHD7_FUKDA, tr|A0A091D1I6|A0A091D1I6_FUKDA, tr|A0A091E265|A0A091E265_FUKDA, tr|A0A091DHD2|A0A091DHD2_FUKDA, tr|A0A091DEP0|A0A091DEP0_FUKDA, tr|A0A091EMH4|A0A091EMH4_FUKDA, tr|A0A091DUR6|A0A091DUR6_FUKDA, tr|A0A091CNK4|A0A091CNK4_FUKDA, tr|A0A091E2G7|A0A091E2G7_FUKDA, tr|A0A091EI81|A0A091EI81_FUKDA, tr|A0A091E5V2|A0A091E5V2_FUKDA, tr|A0A091D9S8|A0A091D9S8_FUKDA, tr|A0A091DXJ2|A0A091DXJ2_FUKDA, tr|A0A091CX55|A0A091CX55_FUKDA, tr|A0A091CU59|A0A091CU59_FUKDA, tr|A0A091EMP6|A0A091EMP6_FUKDA, tr|A0A091DU69|A0A091DU69_FUKDA, tr|A0A091DMI7|A0A091DMI7_FUKDA, tr|A0A091D4C8|A0A091D4C8_FUKDA, tr|A0A091CQK9|A0A091CQK9_FUKDA, tr|A0A091CPP5|A0A091CPP5_FUKDA, tr|A0A091CVA1|A0A091CVA1_FUKDA, tr|A0A091DPG6|A0A091DPG6_FUKDA, tr|A0A091CNL1|A0A091CNL1_FUKDA, tr|A0A091E293|A0A091E293_FUKDA, tr|A0A091DJN4|A0A091DJN4_FUKDA, tr|A0A091DGS0|A0A091DGS0_FUKDA, tr|A0A091DNI4|A0A091DNI4_FUKDA, tr|A0A091CLD7|A0A091CLD7_FUKDA, tr|A0A091CRV3|A0A091CRV3_FUKDA, tr|A0A091CW43|A0A091CW43_FUKDA, tr|A0A091D9U7|A0A091D9U7_FUKDA, tr|A0A091E0F7|A0A091E0F7_FUKDA, tr|A0A091CSH1|A0A091CSH1_FUKDA, tr|A0A091D544|A0A091D544_FUKDA, tr|A0A091DC74|A0A091DC74_FUKDA, tr|A0A091E5V7|A0A091E5V7_FUKDA, tr|A0A091E5N1|A0A091E5N1_FUKDA, tr|A0A091CLE7|A0A091CLE7_FUKDA, tr|A0A091CNL8|A0A091CNL8_FUKDA
OG0000017	sp|Q8BZ89|ZN322_MOUSE	tr|A0A091DUD1|A0A091DUD1_FUKDA, tr|A0A091D6D6|A0A091D6D6_FUKDA, tr|A0A091DET3|A0A091DET3_FUKDA, tr|A0A091DXF7|A0A091DXF7_FUKDA, tr|A0A091CVB2|A0A091CVB2_FUKDA, tr|A0A091CR11|A0A091CR11_FUKDA, tr|A0A091D5Q7|A0A091D5Q7_FUKDA, tr|A0A091E6I1|A0A091E6I1_FUKDA, tr|A0A091DL43|A0A091DL43_FUKDA, tr|A0A091DGD1|A0A091DGD1_FUKDA, tr|A0A091DZJ0|A0A091DZJ0_FUKDA, tr|A0A091DHN8|A0A091DHN8_FUKDA, tr|A0A091DL50|A0A091DL50_FUKDA, tr|A0A091DZH2|A0A091DZH2_FUKDA, tr|A0A091D9X8|A0A091D9X8_FUKDA, tr|A0A091DEK5|A0A091DEK5_FUKDA, tr|A0A091CJD6|A0A091CJD6_FUKDA, tr|A0A091E4U1|A0A091E4U1_FUKDA, tr|A0A091DJD3|A0A091DJD3_FUKDA, tr|A0A091DVS3|A0A091DVS3_FUKDA, tr|A0A091DUB9|A0A091DUB9_FUKDA, tr|A0A091DLN9|A0A091DLN9_FUKDA, tr|A0A091DPK2|A0A091DPK2_FUKDA, tr|A0A091D3G6|A0A091D3G6_FUKDA, tr|A0A091DQ74|A0A091DQ74_FUKDA, tr|A0A091DHV1|A0A091DHV1_FUKDA, tr|A0A091E4K1|A0A091E4K1_FUKDA, tr|A0A091EPA4|A0A091EPA4_FUKDA, tr|A0A091E2D6|A0A091E2D6_FUKDA, tr|A0A091DCE9|A0A091DCE9_FUKDA, tr|A0A091DZ97|A0A091DZ97_FUKDA, tr|A0A091DZG4|A0A091DZG4_FUKDA, tr|A0A091E1W0|A0A091E1W0_FUKDA, tr|A0A091E7S0|A0A091E7S0_FUKDA, tr|A0A091DGC4|A0A091DGC4_FUKDA, tr|A0A091D722|A0A091D722_FUKDA, tr|A0A091CNU4|A0A091CNU4_FUKDA, tr|A0A091DBS3|A0A091DBS3_FUKDA
OG0000023	tr|A0A075B5J7|A0A075B5J7_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE	tr|A0A091D7G2|A0A091D7G2_FUKDA, tr|A0A091EN96|A0A091EN96_FUKDA, tr|A0A091E331|A0A091E331_FUKDA, tr|A0A091DYC7|A0A091DYC7_FUKDA
OG0000023	tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|A0A091EG85|A0A091EG85_FUKDA, tr|A0A091CUV7|A0A091CUV7_FUKDA, tr|A0A091DDJ2|A0A091DDJ2_FUKDA, tr|A0A091DVD9|A0A091DVD9_FUKDA, tr|A0A091E3K0|A0A091E3K0_FUKDA, tr|A0A091DDJ6|A0A091DDJ6_FUKDA, tr|A0A091DYE5|A0A091DYE5_FUKDA, tr|A0A091DYD8|A0A091DYD8_FUKDA, tr|A0A091DBW1|A0A091DBW1_FUKDA, tr|A0A091E344|A0A091E344_FUKDA, tr|A0A091CWF5|A0A091CWF5_FUKDA, tr|A0A091DW44|A0A091DW44_FUKDA, tr|A0A091D7G8|A0A091D7G8_FUKDA, tr|A0A091D4K3|A0A091D4K3_FUKDA, tr|A0A091D9S5|A0A091D9S5_FUKDA, tr|A0A091D954|A0A091D954_FUKDA, tr|A0A091D4J7|A0A091D4J7_FUKDA, tr|A0A091DQQ3|A0A091DQQ3_FUKDA, tr|A0A091DW38|A0A091DW38_FUKDA, tr|A0A091D4J2|A0A091D4J2_FUKDA, tr|A0A091E1C8|A0A091E1C8_FUKDA, tr|A0A091E1C1|A0A091E1C1_FUKDA, tr|A0A091E0H1|A0A091E0H1_FUKDA, tr|A0A091DQN0|A0A091DQN0_FUKDA, tr|A0A091E351|A0A091E351_FUKDA, tr|A0A091DVD3|A0A091DVD3_FUKDA, tr|A0A091CVC5|A0A091CVC5_FUKDA
OG0000028	tr|Q8VF69|Q8VF69_MOUSE	tr|A0A091E234|A0A091E234_FUKDA, tr|A0A091E4A9|A0A091E4A9_FUKDA, tr|A0A091E239|A0A091E239_FUKDA, tr|A0A091DZ65|A0A091DZ65_FUKDA, tr|A0A091E244|A0A091E244_FUKDA, tr|A0A091DZ54|A0A091DZ54_FUKDA, tr|A0A091CPT2|A0A091CPT2_FUKDA, tr|A0A091CPU3|A0A091CPU3_FUKDA, tr|A0A091CMK3|A0A091CMK3_FUKDA, tr|A0A091DBA9|A0A091DBA9_FUKDA, tr|A0A091D7T7|A0A091D7T7_FUKDA, tr|A0A091EJ33|A0A091EJ33_FUKDA, tr|A0A091E7A7|A0A091E7A7_FUKDA, tr|A0A091CQV5|A0A091CQV5_FUKDA, tr|A0A091CQV8|A0A091CQV8_FUKDA, tr|A0A091EP05|A0A091EP05_FUKDA, tr|A0A091DYZ2|A0A091DYZ2_FUKDA, tr|A0A091CMJ8|A0A091CMJ8_FUKDA, tr|A0A091DZ59|A0A091DZ59_FUKDA, tr|A0A091CRU7|A0A091CRU7_FUKDA, tr|A0A091E3V9|A0A091E3V9_FUKDA, tr|A0A091E4B3|A0A091E4B3_FUKDA, tr|A0A091E4B8|A0A091E4B8_FUKDA, tr|A0A091EP14|A0A091EP14_FUKDA, tr|A0A091EP10|A0A091EP10_FUKDA, tr|A0A091DBB7|A0A091DBB7_FUKDA, tr|A0A091DWQ2|A0A091DWQ2_FUKDA, tr|A0A091DYI3|A0A091DYI3_FUKDA, tr|A0A091DTP9|A0A091DTP9_FUKDA, tr|A0A091DYI7|A0A091DYI7_FUKDA
OG0000030	tr|A2AVY0|A2AVY0_MOUSE	tr|A0A091CVL3|A0A091CVL3_FUKDA, tr|A0A091DG63|A0A091DG63_FUKDA, tr|A0A091CRB4|A0A091CRB4_FUKDA, tr|A0A091DUE0|A0A091DUE0_FUKDA, tr|A0A091CUQ8|A0A091CUQ8_FUKDA, tr|A0A091DP32|A0A091DP32_FUKDA, tr|A0A091DG59|A0A091DG59_FUKDA, tr|A0A091CVK8|A0A091CVK8_FUKDA, tr|A0A091EEU3|A0A091EEU3_FUKDA, tr|A0A091DG55|A0A091DG55_FUKDA, tr|A0A091CTM3|A0A091CTM3_FUKDA, tr|A0A091CTM6|A0A091CTM6_FUKDA, tr|A0A091CVL0|A0A091CVL0_FUKDA, tr|A0A091CRB2|A0A091CRB2_FUKDA, tr|A0A091E323|A0A091E323_FUKDA, tr|A0A091CUR2|A0A091CUR2_FUKDA, tr|A0A091CTM0|A0A091CTM0_FUKDA, tr|A0A091DG71|A0A091DG71_FUKDA, tr|A0A091CUR5|A0A091CUR5_FUKDA, tr|A0A091CRC1|A0A091CRC1_FUKDA, tr|A0A091CVL5|A0A091CVL5_FUKDA, tr|A0A091CTN7|A0A091CTN7_FUKDA, tr|A0A091DG50|A0A091DG50_FUKDA, tr|A0A091CTN1|A0A091CTN1_FUKDA, tr|A0A091DG66|A0A091DG66_FUKDA, tr|A0A091CVL8|A0A091CVL8_FUKDA, tr|A0A091CTN4|A0A091CTN4_FUKDA, tr|A0A091CRC4|A0A091CRC4_FUKDA, tr|A0A091CUR8|A0A091CUR8_FUKDA
OG0000031	sp|Q7TQA8|TR136_MOUSE, sp|Q7M713|TR116_MOUSE, sp|Q7M711|TR113_MOUSE, sp|Q9JKA3|TR103_MOUSE, sp|Q7TQA4|TR140_MOUSE, sp|Q7M715|TR117_MOUSE, sp|Q7M707|TR109_MOUSE, sp|Q7M709|TR129_MOUSE, tr|Q7M719|Q7M719_MOUSE, sp|Q7M710|TR125_MOUSE, sp|P59528|TR123_MOUSE, sp|Q7M712|TR110_MOUSE, sp|Q7M722|TR114_MOUSE, sp|Q9JKT4|TR105_MOUSE, sp|Q7M723|TR104_MOUSE, sp|Q7M725|TR107_MOUSE, sp|Q7M724|TR106_MOUSE, tr|D3YU55|D3YU55_MOUSE, sp|P59530|TA2R7_MOUSE, tr|Q7M708|Q7M708_MOUSE, sp|Q7TQA5|T2R39_MOUSE, sp|Q7TQB8|T2R40_MOUSE, sp|Q9JKT2|TR119_MOUSE, sp|Q9JKT3|TA2R4_MOUSE, sp|Q7M717|TR102_MOUSE, sp|Q7M718|TR124_MOUSE, sp|Q7M720|T2R13_MOUSE, sp|Q7M721|TR120_MOUSE	tr|A0A091DQA1|A0A091DQA1_FUKDA
OG0000032	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A091DCC9|A0A091DCC9_FUKDA, tr|A0A091DVC2|A0A091DVC2_FUKDA
OG0000032	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A091E8G0|A0A091E8G0_FUKDA, tr|A0A091E189|A0A091E189_FUKDA, tr|A0A091DPP3|A0A091DPP3_FUKDA, tr|A0A091EN79|A0A091EN79_FUKDA, tr|A0A091DLT6|A0A091DLT6_FUKDA, tr|A0A091E751|A0A091E751_FUKDA, tr|A0A091D1J0|A0A091D1J0_FUKDA, tr|A0A091EN74|A0A091EN74_FUKDA, tr|A0A091DTZ6|A0A091DTZ6_FUKDA, tr|A0A091DY97|A0A091DY97_FUKDA, tr|A0A091E303|A0A091E303_FUKDA, tr|A0A091E309|A0A091E309_FUKDA, tr|A0A091E178|A0A091E178_FUKDA, tr|A0A091DWI0|A0A091DWI0_FUKDA, tr|A0A091E3F6|A0A091E3F6_FUKDA, tr|A0A091DYA4|A0A091DYA4_FUKDA, tr|A0A091E725|A0A091E725_FUKDA, tr|A0A091E3F1|A0A091E3F1_FUKDA, tr|A0A091D1C6|A0A091D1C6_FUKDA, tr|A0A091D9D9|A0A091D9D9_FUKDA, tr|A0A091E269|A0A091E269_FUKDA, tr|A0A091EIX1|A0A091EIX1_FUKDA, tr|A0A091E3W5|A0A091E3W5_FUKDA, tr|A0A091D784|A0A091D784_FUKDA
