Orthogroup	Homo_sapiens	Bos_mutus
OG0000000	sp|O00370|LORF2_HUMAN	tr|L8IR43|L8IR43_9CETA
OG0000000	sp|Q9H606|PRORY_HUMAN	tr|L8HQW4|L8HQW4_9CETA, tr|L8J3T2|L8J3T2_9CETA, tr|L8HXH6|L8HXH6_9CETA, tr|L8IHL6|L8IHL6_9CETA, tr|L8IR15|L8IR15_9CETA, tr|L8J0J9|L8J0J9_9CETA, tr|L8IP32|L8IP32_9CETA, tr|L8IWL4|L8IWL4_9CETA, tr|L8HYF0|L8HYF0_9CETA, tr|L8IJD5|L8IJD5_9CETA, tr|L8IEM9|L8IEM9_9CETA, tr|L8I127|L8I127_9CETA, tr|L8IPB1|L8IPB1_9CETA, tr|L8ISQ1|L8ISQ1_9CETA, tr|L8HLM1|L8HLM1_9CETA, tr|L8IHD5|L8IHD5_9CETA, tr|L8J2G7|L8J2G7_9CETA, tr|L8I263|L8I263_9CETA, tr|L8HWV4|L8HWV4_9CETA, tr|L8I0W3|L8I0W3_9CETA, tr|L8HXW8|L8HXW8_9CETA, tr|L8IHM0|L8IHM0_9CETA, tr|L8HVH9|L8HVH9_9CETA, tr|L8HXM1|L8HXM1_9CETA, tr|L8HVI4|L8HVI4_9CETA, tr|L8HYZ1|L8HYZ1_9CETA, tr|L8IP89|L8IP89_9CETA, tr|L8IY10|L8IY10_9CETA, tr|L8HTG5|L8HTG5_9CETA, tr|L8HLR6|L8HLR6_9CETA, tr|L8IUP7|L8IUP7_9CETA, tr|L8IGD8|L8IGD8_9CETA, tr|L8ING3|L8ING3_9CETA, tr|L8IBU7|L8IBU7_9CETA, tr|L8HVW3|L8HVW3_9CETA, tr|L8IP51|L8IP51_9CETA, tr|L8IVW9|L8IVW9_9CETA, tr|L8IVL4|L8IVL4_9CETA, tr|L8IYU2|L8IYU2_9CETA, tr|L8HWQ6|L8HWQ6_9CETA, tr|L8IRL8|L8IRL8_9CETA, tr|L8IRW9|L8IRW9_9CETA, tr|L8I1Z5|L8I1Z5_9CETA, tr|L8IG40|L8IG40_9CETA, tr|L8I8Z8|L8I8Z8_9CETA, tr|L8J1Z5|L8J1Z5_9CETA, tr|L8I5R9|L8I5R9_9CETA, tr|L8HZ58|L8HZ58_9CETA, tr|L8ICB1|L8ICB1_9CETA, tr|L8IWI1|L8IWI1_9CETA, tr|L8IGX2|L8IGX2_9CETA, tr|L8IUG0|L8IUG0_9CETA, tr|L8J5S5|L8J5S5_9CETA, tr|L8IDL7|L8IDL7_9CETA, tr|L8IVL5|L8IVL5_9CETA, tr|L8IJF2|L8IJF2_9CETA, tr|L8IZS6|L8IZS6_9CETA, tr|L8ITJ9|L8ITJ9_9CETA, tr|L8I204|L8I204_9CETA, tr|L8I9U6|L8I9U6_9CETA, tr|L8IR44|L8IR44_9CETA, tr|L8I5D7|L8I5D7_9CETA, tr|L8IMH5|L8IMH5_9CETA, tr|L8IMK4|L8IMK4_9CETA, tr|L8IPK7|L8IPK7_9CETA, tr|L8I6T7|L8I6T7_9CETA, tr|L8IYM1|L8IYM1_9CETA, tr|L8HXU7|L8HXU7_9CETA, tr|L8HZ24|L8HZ24_9CETA, tr|L8IBH5|L8IBH5_9CETA, tr|L8IY64|L8IY64_9CETA, tr|L8IPK0|L8IPK0_9CETA, tr|L8IPL3|L8IPL3_9CETA, tr|L8IP56|L8IP56_9CETA, tr|L8I2W8|L8I2W8_9CETA, tr|L8IKF7|L8IKF7_9CETA, tr|L8IVU3|L8IVU3_9CETA, tr|L8IYJ7|L8IYJ7_9CETA, tr|L8INQ7|L8INQ7_9CETA, tr|L8HRZ0|L8HRZ0_9CETA, tr|L8IRX1|L8IRX1_9CETA, tr|L8IE98|L8IE98_9CETA, tr|L8IE75|L8IE75_9CETA, tr|L8I540|L8I540_9CETA, tr|L8IZ29|L8IZ29_9CETA, tr|L8I4R8|L8I4R8_9CETA, tr|L8IWE6|L8IWE6_9CETA, tr|L8IFT5|L8IFT5_9CETA, tr|L8IUF5|L8IUF5_9CETA, tr|L8I3G0|L8I3G0_9CETA, tr|L8IUG4|L8IUG4_9CETA, tr|L8IX22|L8IX22_9CETA, tr|L8IVN9|L8IVN9_9CETA, tr|L8IVY1|L8IVY1_9CETA
OG0000001	sp|Q6IFN5|O7E24_HUMAN	tr|L8HPR1|L8HPR1_9CETA, tr|L8HJT1|L8HJT1_9CETA, tr|L8IA75|L8IA75_9CETA, tr|L8HZ09|L8HZ09_9CETA, tr|L8IB51|L8IB51_9CETA, tr|L8HQA7|L8HQA7_9CETA, tr|L8I8C5|L8I8C5_9CETA, tr|L8I0C3|L8I0C3_9CETA, tr|L8I893|L8I893_9CETA, tr|L8HMD2|L8HMD2_9CETA, tr|L8J1Q5|L8J1Q5_9CETA, tr|L8J0E7|L8J0E7_9CETA, tr|L8HWE4|L8HWE4_9CETA, tr|L8HXK9|L8HXK9_9CETA, tr|L8I7P5|L8I7P5_9CETA, tr|L8HXY9|L8HXY9_9CETA, tr|L8HNU9|L8HNU9_9CETA, tr|L8I1A3|L8I1A3_9CETA, tr|L8I401|L8I401_9CETA, tr|L8IE00|L8IE00_9CETA, tr|L8IB15|L8IB15_9CETA, tr|L8ITI6|L8ITI6_9CETA, tr|L8ISP5|L8ISP5_9CETA, tr|L8HU02|L8HU02_9CETA, tr|L8I2C3|L8I2C3_9CETA, tr|L8I4Q4|L8I4Q4_9CETA, tr|L8HME8|L8HME8_9CETA, tr|L8I7J1|L8I7J1_9CETA, tr|L8I0L1|L8I0L1_9CETA, tr|L8HZ30|L8HZ30_9CETA, tr|L8HLE0|L8HLE0_9CETA, tr|L8IQ72|L8IQ72_9CETA, tr|L8HSH8|L8HSH8_9CETA, tr|L8IPI5|L8IPI5_9CETA, tr|L8IA68|L8IA68_9CETA, tr|L8HPN8|L8HPN8_9CETA, tr|L8I2X5|L8I2X5_9CETA, tr|L8J4K5|L8J4K5_9CETA, tr|L8I1H7|L8I1H7_9CETA, tr|L8HXX4|L8HXX4_9CETA, tr|L8HM55|L8HM55_9CETA, tr|L8HNY2|L8HNY2_9CETA, tr|L8I0K6|L8I0K6_9CETA, tr|L8HML1|L8HML1_9CETA, tr|L8HUY0|L8HUY0_9CETA, tr|L8J0Y6|L8J0Y6_9CETA, tr|L8J427|L8J427_9CETA, tr|L8I1E1|L8I1E1_9CETA, tr|L8IQZ6|L8IQZ6_9CETA, tr|L8J2A5|L8J2A5_9CETA, tr|L8HZ04|L8HZ04_9CETA, tr|L8HX51|L8HX51_9CETA, tr|L8HYA1|L8HYA1_9CETA, tr|L8I243|L8I243_9CETA, tr|L8HXY2|L8HXY2_9CETA, tr|L8HM56|L8HM56_9CETA, tr|L8HL67|L8HL67_9CETA, tr|L8J5B5|L8J5B5_9CETA, tr|L8HW84|L8HW84_9CETA, tr|L8I192|L8I192_9CETA, tr|L8I0L2|L8I0L2_9CETA, tr|L8I590|L8I590_9CETA, tr|L8HPH4|L8HPH4_9CETA, tr|L8HRS2|L8HRS2_9CETA, tr|L8HRR6|L8HRR6_9CETA, tr|L8HSM3|L8HSM3_9CETA, tr|L8HSP1|L8HSP1_9CETA, tr|L8HU93|L8HU93_9CETA, tr|L8HSM9|L8HSM9_9CETA, tr|L8HQ89|L8HQ89_9CETA, tr|L8HNZ2|L8HNZ2_9CETA, tr|L8HQ63|L8HQ63_9CETA, tr|L8HU96|L8HU96_9CETA, tr|L8HNS7|L8HNS7_9CETA, tr|L8HT74|L8HT74_9CETA, tr|L8HVY5|L8HVY5_9CETA, tr|L8HQ84|L8HQ84_9CETA, tr|L8HML2|L8HML2_9CETA, tr|L8HQF6|L8HQF6_9CETA, tr|L8IK06|L8IK06_9CETA, tr|L8IH01|L8IH01_9CETA, tr|L8IK11|L8IK11_9CETA, tr|L8IIW3|L8IIW3_9CETA, tr|L8IIV8|L8IIV8_9CETA, tr|L8IH07|L8IH07_9CETA, tr|L8IG24|L8IG24_9CETA, tr|L8IGR0|L8IGR0_9CETA
OG0000003	sp|Q8NH59|O51Q1_HUMAN	tr|L8HYF5|L8HYF5_9CETA, tr|L8HXB5|L8HXB5_9CETA
OG0000003	sp|Q8NH61|O51F2_HUMAN	tr|L8HPD7|L8HPD7_9CETA, tr|L8HPX8|L8HPX8_9CETA
OG0000003	sp|A6NGY5|O51F1_HUMAN	tr|L8I2G6|L8I2G6_9CETA, tr|L8I689|L8I689_9CETA, tr|L8HZW7|L8HZW7_9CETA, tr|L8I936|L8I936_9CETA
OG0000003	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|L8I5E3|L8I5E3_9CETA, tr|L8HL08|L8HL08_9CETA, tr|L8HN47|L8HN47_9CETA, tr|L8I1N3|L8I1N3_9CETA, tr|L8I6F1|L8I6F1_9CETA, tr|L8HKC6|L8HKC6_9CETA, tr|L8HKW3|L8HKW3_9CETA, tr|L8HLJ0|L8HLJ0_9CETA
OG0000003	sp|Q9H344|O51I2_HUMAN	tr|L8HWK4|L8HWK4_9CETA, tr|L8HYV1|L8HYV1_9CETA
OG0000003	sp|Q9H343|O51I1_HUMAN	tr|L8HLS5|L8HLS5_9CETA, tr|L8HJU2|L8HJU2_9CETA
OG0000003	sp|Q9H342|O51J1_HUMAN	tr|L8HY58|L8HY58_9CETA, tr|L8I0R8|L8I0R8_9CETA, tr|L8HZZ1|L8HZZ1_9CETA
