Orthogroup	Homo_sapiens	Pan_troglodytes
OG0000000	sp|Q96N38|ZN714_HUMAN, sp|Q8NE65|ZN738_HUMAN, sp|Q9H8G1|ZN430_HUMAN, sp|Q8IYN0|ZN100_HUMAN, sp|Q8TF32|ZN431_HUMAN, sp|Q6ZR52|ZN493_HUMAN, sp|A6NK75|ZNF98_HUMAN, sp|Q9P255|ZN492_HUMAN, sp|P0DKX0|ZN728_HUMAN, sp|O43345|ZN208_HUMAN, sp|Q8N7Q3|ZN676_HUMAN, sp|Q05481|ZNF91_HUMAN, sp|O75437|ZN254_HUMAN, sp|A6NNF4|ZN726_HUMAN, sp|Q6ZMV8|ZN730_HUMAN, sp|Q8NEM1|ZN680_HUMAN, sp|A6NN14|ZN729_HUMAN, sp|A8MXY4|ZNF99_HUMAN, sp|Q14593|ZN273_HUMAN, sp|P0DPD5|ZN723_HUMAN, sp|Q03936|ZNF92_HUMAN, sp|P17019|ZN708_HUMAN, sp|A8MTY0|ZN724_HUMAN, sp|Q8TD23|ZN675_HUMAN, sp|Q96N22|ZN681_HUMAN, sp|P17038|ZNF43_HUMAN, sp|Q9Y2Q1|ZN257_HUMAN, sp|Q86V71|ZN429_HUMAN, sp|Q9UII5|ZN107_HUMAN, sp|P52744|ZN138_HUMAN, sp|Q03923|ZNF85_HUMAN, sp|Q6ZN08|ZNF66_HUMAN, sp|P35789|ZNF93_HUMAN, sp|O75373|ZN737_HUMAN, sp|Q68DY1|ZN626_HUMAN, sp|O75346|ZN253_HUMAN, sp|Q5JVG8|ZN506_HUMAN, sp|Q96H40|ZN486_HUMAN, sp|Q03938|ZNF90_HUMAN	tr|A0A2J8LSC7|A0A2J8LSC7_PANTR
OG0000001	sp|P0DP02|HVC33_HUMAN	tr|A0A2I3SCH7|A0A2I3SCH7_PANTR
OG0000001	sp|A0A0B4J1V6|HV373_HUMAN	tr|A0A2I3RQH5|A0A2I3RQH5_PANTR
OG0000001	sp|A0A0B4J1Y9|HV372_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN	tr|A0A2I3SFN3|A0A2I3SFN3_PANTR
OG0000001	sp|A0A0B4J1V0|HV315_HUMAN	tr|A0A2I3TR85|A0A2I3TR85_PANTR
OG0000003	sp|Q8NH42|OR4KD_HUMAN	tr|A0A2J8JHF2|A0A2J8JHF2_PANTR
OG0000003	sp|Q8NGD5|OR4KE_HUMAN, sp|Q8NH05|OR4Q3_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGD0|OR4M1_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|Q8IXE1|OR4N5_HUMAN	tr|A0A2J8JHH6|A0A2J8JHH6_PANTR
OG0000003	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2J8JHD7|A0A2J8JHD7_PANTR
OG0000003	sp|Q8NGB9|OR4F6_HUMAN	tr|H2QA62|H2QA62_PANTR
OG0000003	sp|Q8NGB8|O4F15_HUMAN	tr|H2QA61|H2QA61_PANTR
OG0000003	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A2I3RXH5|A0A2I3RXH5_PANTR
OG0000003	sp|Q8NGC6|OR4KH_HUMAN	tr|H2Q7V5|H2Q7V5_PANTR
OG0000003	sp|Q8NGD4|OR4K1_HUMAN	tr|H2Q7V2|H2Q7V2_PANTR
OG0000004	sp|P58173|OR2B6_HUMAN	tr|H2QSJ4|H2QSJ4_PANTR
OG0000004	sp|O76000|OR2B3_HUMAN	tr|H2QSK9|H2QSK9_PANTR
OG0000004	sp|Q8NGZ4|OR2G3_HUMAN	tr|H2R7Y2|H2R7Y2_PANTR
OG0000004	sp|Q8NGZ5|OR2G2_HUMAN, sp|Q5TZ20|OR2G6_HUMAN	tr|A0A2I3SSI7|A0A2I3SSI7_PANTR
OG0000004	sp|O95371|OR2C1_HUMAN, sp|Q8N628|OR2C3_HUMAN	tr|A0A2J8KNS4|A0A2J8KNS4_PANTR
OG0000004	sp|A6NFC9|OR2W5_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN	tr|H2QSK8|H2QSK8_PANTR
OG0000004	sp|O76001|OR2J3_HUMAN	tr|A0A2J8NWV7|A0A2J8NWV7_PANTR
OG0000004	sp|Q9GZK6|OR2J1_HUMAN	tr|A0A2J8NWV9|A0A2J8NWV9_PANTR
OG0000004	sp|O76002|OR2J2_HUMAN	tr|A0A2J8NWU9|A0A2J8NWU9_PANTR
OG0000004	sp|P59922|OR2B8_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN	tr|H2R536|H2R536_PANTR
OG0000007	tr|A0A0B4J2B8|A0A0B4J2B8_HUMAN, tr|A0A087WYE8|A0A087WYE8_HUMAN	tr|H2R8J1|H2R8J1_PANTR
OG0000007	tr|A0A0J9YW62|A0A0J9YW62_HUMAN, sp|A0A0A0MS14|HV145_HUMAN	tr|A0A2I3RCM2|A0A2I3RCM2_PANTR
OG0000007	sp|A0A0C4DH29|HV103_HUMAN, sp|A0A0C4DH39|HV158_HUMAN, sp|A0A0C4DH31|HV118_HUMAN, tr|A0A075B7D0|A0A075B7D0_HUMAN, sp|P23083|HV102_HUMAN, sp|P0DP01|HV108_HUMAN	tr|A0A2I3TTY6|A0A2I3TTY6_PANTR, tr|A0A2I3SIT8|A0A2I3SIT8_PANTR, tr|A0A2I3T0N2|A0A2I3T0N2_PANTR
OG0000007	sp|A0A0C4DH33|HV124_HUMAN, sp|A0A0G2JMI3|HV692_HUMAN	tr|A0A2I3T3P0|A0A2I3T3P0_PANTR
OG0000007	sp|A0A0B4J2H0|HV69D_HUMAN, sp|P01742|HV169_HUMAN	tr|A0A2I3TM71|A0A2I3TM71_PANTR, tr|A0A2I3SUC8|A0A2I3SUC8_PANTR
OG0000009	sp|A6NLX3|SPDE4_HUMAN, sp|Q495Y7|SPDE7_HUMAN, sp|A6NNV3|SPD16_HUMAN, sp|A6NJR5|SPDL3_HUMAN, sp|Q8NFV5|SPDE1_HUMAN, sp|A6NIY4|SPDE5_HUMAN, sp|A6NHP3|SPE2B_HUMAN, sp|Q495Y8|SPDE2_HUMAN, sp|P0CI01|SPDE6_HUMAN, sp|A0A494C086|SPD21_HUMAN, sp|P0DV79|SPD18_HUMAN, sp|A6NKU9|SPDE3_HUMAN, sp|P0DUX1|SPD12_HUMAN, sp|P0DUD2|SPD17_HUMAN, sp|P0DUD1|SPD8_HUMAN, sp|A0A494C191|SPD9_HUMAN, sp|P0DTA3|SPD11_HUMAN, sp|P0DUX0|SPD10_HUMAN, sp|P0DUD3|SPD14_HUMAN, sp|A0A494C0Z2|SPD13_HUMAN, sp|P0DUD4|SPD15_HUMAN	tr|H2QC87|H2QC87_PANTR
OG0000014	tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN, sp|Q8NGT9|OR2A1_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN	tr|H2RDG0|H2RDG0_PANTR
OG0000014	sp|Q96R48|OR2A5_HUMAN	tr|A0A2J8QUK8|A0A2J8QUK8_PANTR
OG0000014	tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN	tr|H2REL0|H2REL0_PANTR
OG0000014	tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, sp|Q96R47|O2A14_HUMAN	tr|H2RG11|H2RG11_PANTR
OG0000014	sp|Q8NGT7|O2A12_HUMAN	tr|A0A2J8QUL1|A0A2J8QUL1_PANTR
OG0000015	sp|Q8NGE2|O2AP1_HUMAN	tr|H2Q657|H2Q657_PANTR
