Orthogroup	Homo_sapiens	Saimiri_boliviensis_boliviensis
OG0000000	sp|Q96R08|OR5BC_HUMAN	tr|A0A2K6UQI3|A0A2K6UQI3_SAIBB
OG0000000	sp|Q8NGF4|O5AP2_HUMAN	tr|A0A2K6V457|A0A2K6V457_SAIBB
OG0000000	sp|Q8N127|O5AS1_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGK9|OR5DG_HUMAN	tr|A0A2K6S9Z1|A0A2K6S9Z1_SAIBB
OG0000000	sp|Q8NGG2|OR5T2_HUMAN	tr|A0A2K6T3N7|A0A2K6T3N7_SAIBB
OG0000000	sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN	tr|A0A2K6UNH3|A0A2K6UNH3_SAIBB
OG0000000	sp|Q8NGC0|O5AU1_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN	tr|A0A2K6ULA0|A0A2K6ULA0_SAIBB
OG0000000	sp|O95221|OR5F1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN	tr|A0A2K6TRR6|A0A2K6TRR6_SAIBB
OG0000000	sp|Q8NH85|OR5R1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N1|OR8U8_HUMAN	tr|A0A2K6UBZ1|A0A2K6UBZ1_SAIBB
OG0000000	sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN	tr|A0A2K6SAQ9|A0A2K6SAQ9_SAIBB
OG0000000	sp|Q8NGP8|OR5M1_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP4|OR5M3_HUMAN	tr|A0A2K6TN47|A0A2K6TN47_SAIBB
