Orthogroup	Mus_musculus	Nyctereutes_procyonoides
OG0000000	sp|P10400|POL1_MOUSE	tr|A0A811YIW0|A0A811YIW0_NYCPR, tr|A0A811XTN6|A0A811XTN6_NYCPR, tr|A0A811ZCP5|A0A811ZCP5_NYCPR, tr|A0A811YH44|A0A811YH44_NYCPR, tr|A0A811Y3X0|A0A811Y3X0_NYCPR, tr|A0A811ZXP2|A0A811ZXP2_NYCPR, tr|A0A811YDT5|A0A811YDT5_NYCPR, tr|A0A811ZEI6|A0A811ZEI6_NYCPR, tr|A0A811ZXM6|A0A811ZXM6_NYCPR, tr|A0A811Z1P6|A0A811Z1P6_NYCPR, tr|A0A811YT43|A0A811YT43_NYCPR, tr|A0A811Y5L7|A0A811Y5L7_NYCPR
OG0000000	tr|A0A087WRM1|A0A087WRM1_MOUSE	tr|A0A811YFH7|A0A811YFH7_NYCPR, tr|A0A811YRF7|A0A811YRF7_NYCPR, tr|A0A811YMT5|A0A811YMT5_NYCPR, tr|A0A811Z998|A0A811Z998_NYCPR, tr|A0A811YPM5|A0A811YPM5_NYCPR, tr|A0A811ZTA4|A0A811ZTA4_NYCPR, tr|A0A811Z7E8|A0A811Z7E8_NYCPR, tr|A0A811YUE5|A0A811YUE5_NYCPR, tr|A0A811YRJ2|A0A811YRJ2_NYCPR, tr|A0A811YX40|A0A811YX40_NYCPR, tr|A0A811ZQX3|A0A811ZQX3_NYCPR, tr|A0A811Y550|A0A811Y550_NYCPR, tr|A0A811YE55|A0A811YE55_NYCPR, tr|A0A811XRZ1|A0A811XRZ1_NYCPR, tr|A0A811Y4F5|A0A811Y4F5_NYCPR, tr|A0A811YG57|A0A811YG57_NYCPR, tr|A0A811YYA4|A0A811YYA4_NYCPR, tr|A0A811ZZM1|A0A811ZZM1_NYCPR, tr|A0A811ZK64|A0A811ZK64_NYCPR, tr|A0A811ZM12|A0A811ZM12_NYCPR, tr|A0A811ZCR6|A0A811ZCR6_NYCPR, tr|A0A811YG86|A0A811YG86_NYCPR, tr|A0A811ZXQ6|A0A811ZXQ6_NYCPR, tr|A0A811YKD2|A0A811YKD2_NYCPR, tr|A0A811Z4Q9|A0A811Z4Q9_NYCPR, tr|A0A811Z438|A0A811Z438_NYCPR, tr|A0A811ZYH7|A0A811ZYH7_NYCPR, tr|A0A811Y9C6|A0A811Y9C6_NYCPR, tr|A0A811Y0W0|A0A811Y0W0_NYCPR, tr|A0A811ZW94|A0A811ZW94_NYCPR, tr|A0A811ZSW9|A0A811ZSW9_NYCPR, tr|A0A811Z2U9|A0A811Z2U9_NYCPR, tr|A0A811XZK5|A0A811XZK5_NYCPR, tr|A0A811ZPS9|A0A811ZPS9_NYCPR, tr|A0A811YKL6|A0A811YKL6_NYCPR, tr|A0A811YRX5|A0A811YRX5_NYCPR, tr|A0A811ZXU1|A0A811ZXU1_NYCPR, tr|A0A811YKS7|A0A811YKS7_NYCPR, tr|A0A811YNC1|A0A811YNC1_NYCPR, tr|A0A811Y6H3|A0A811Y6H3_NYCPR, tr|A0A811Y7X3|A0A811Y7X3_NYCPR, tr|A0A811ZSQ6|A0A811ZSQ6_NYCPR, tr|A0A811ZQA4|A0A811ZQA4_NYCPR, tr|A0A811YUS6|A0A811YUS6_NYCPR, tr|A0A811YU59|A0A811YU59_NYCPR, tr|A0A811YLU2|A0A811YLU2_NYCPR, tr|A0A811XVR0|A0A811XVR0_NYCPR, tr|A0A811YLF3|A0A811YLF3_NYCPR, tr|A0A811YEK1|A0A811YEK1_NYCPR, tr|A0A811XTM6|A0A811XTM6_NYCPR, tr|A0A811XV65|A0A811XV65_NYCPR, tr|A0A811Z1Q9|A0A811Z1Q9_NYCPR, tr|A0A811ZS17|A0A811ZS17_NYCPR, tr|A0A811Y0N7|A0A811Y0N7_NYCPR, tr|A0A811ZZ46|A0A811ZZ46_NYCPR, tr|A0A811YM54|A0A811YM54_NYCPR, tr|A0A811Y6D5|A0A811Y6D5_NYCPR, tr|A0A811Y6W1|A0A811Y6W1_NYCPR, tr|A0A811XXL4|A0A811XXL4_NYCPR, tr|A0A811YIB7|A0A811YIB7_NYCPR, tr|A0A811YJZ6|A0A811YJZ6_NYCPR, tr|A0A811Z608|A0A811Z608_NYCPR, tr|A0A811ZPJ5|A0A811ZPJ5_NYCPR, tr|A0A811YK56|A0A811YK56_NYCPR, tr|A0A811ZTI0|A0A811ZTI0_NYCPR, tr|A0A811Y3M9|A0A811Y3M9_NYCPR, tr|A0A811YXH0|A0A811YXH0_NYCPR, tr|A0A811Z3C8|A0A811Z3C8_NYCPR, tr|A0A811YX21|A0A811YX21_NYCPR, tr|A0A811XZF8|A0A811XZF8_NYCPR, tr|A0A811ZJT8|A0A811ZJT8_NYCPR, tr|A0A811Z0R8|A0A811Z0R8_NYCPR, tr|A0A811ZX56|A0A811ZX56_NYCPR, tr|A0A811YQL4|A0A811YQL4_NYCPR, tr|A0A811YYU9|A0A811YYU9_NYCPR, tr|A0A811YJ56|A0A811YJ56_NYCPR, tr|A0A812A001|A0A812A001_NYCPR, tr|A0A811Y5P9|A0A811Y5P9_NYCPR, tr|A0A811Y9Q7|A0A811Y9Q7_NYCPR, tr|A0A811YRX2|A0A811YRX2_NYCPR, tr|A0A811ZY60|A0A811ZY60_NYCPR, tr|A0A811ZHH9|A0A811ZHH9_NYCPR, tr|A0A811YKJ8|A0A811YKJ8_NYCPR, tr|A0A811ZSC0|A0A811ZSC0_NYCPR, tr|A0A811ZT61|A0A811ZT61_NYCPR, tr|A0A811ZIH9|A0A811ZIH9_NYCPR, tr|A0A811YPD8|A0A811YPD8_NYCPR, tr|A0A811ZPS0|A0A811ZPS0_NYCPR, tr|A0A811YWJ8|A0A811YWJ8_NYCPR, tr|A0A811YGW9|A0A811YGW9_NYCPR, tr|A0A811Z5S3|A0A811Z5S3_NYCPR, tr|A0A811YS85|A0A811YS85_NYCPR, tr|A0A811YIE0|A0A811YIE0_NYCPR, tr|A0A811ZMJ2|A0A811ZMJ2_NYCPR, tr|A0A811YHV1|A0A811YHV1_NYCPR, tr|A0A811ZHZ5|A0A811ZHZ5_NYCPR, tr|A0A811Y4G7|A0A811Y4G7_NYCPR, tr|A0A811ZT25|A0A811ZT25_NYCPR, tr|A0A811Y2U8|A0A811Y2U8_NYCPR, tr|A0A811ZSW3|A0A811ZSW3_NYCPR, tr|A0A811YML7|A0A811YML7_NYCPR, tr|A0A811XV06|A0A811XV06_NYCPR, tr|A0A811YPP0|A0A811YPP0_NYCPR, tr|A0A811Y8R2|A0A811Y8R2_NYCPR, tr|A0A811YJI4|A0A811YJI4_NYCPR, tr|A0A811YH50|A0A811YH50_NYCPR, tr|A0A811YMT7|A0A811YMT7_NYCPR, tr|A0A811ZYT3|A0A811ZYT3_NYCPR, tr|A0A811YH74|A0A811YH74_NYCPR, tr|A0A811ZWP0|A0A811ZWP0_NYCPR, tr|A0A811YFE2|A0A811YFE2_NYCPR, tr|A0A811XT01|A0A811XT01_NYCPR, tr|A0A811ZJ69|A0A811ZJ69_NYCPR, tr|A0A811Z6Q6|A0A811Z6Q6_NYCPR, tr|A0A811YFI4|A0A811YFI4_NYCPR, tr|A0A811ZG59|A0A811ZG59_NYCPR, tr|A0A811YQ66|A0A811YQ66_NYCPR, tr|A0A811ZCL2|A0A811ZCL2_NYCPR, tr|A0A811ZQH1|A0A811ZQH1_NYCPR, tr|A0A811Z1D7|A0A811Z1D7_NYCPR, tr|A0A811Z6L4|A0A811Z6L4_NYCPR, tr|A0A811XUN1|A0A811XUN1_NYCPR, tr|A0A811YN53|A0A811YN53_NYCPR, tr|A0A811YI76|A0A811YI76_NYCPR, tr|A0A811ZCK1|A0A811ZCK1_NYCPR, tr|A0A811ZVR7|A0A811ZVR7_NYCPR, tr|A0A811XY19|A0A811XY19_NYCPR, tr|A0A811YVS4|A0A811YVS4_NYCPR, tr|A0A811ZC10|A0A811ZC10_NYCPR, tr|A0A811Z0I7|A0A811Z0I7_NYCPR, tr|A0A811XWH6|A0A811XWH6_NYCPR, tr|A0A811YHC7|A0A811YHC7_NYCPR, tr|A0A811YT29|A0A811YT29_NYCPR, tr|A0A811Z0G6|A0A811Z0G6_NYCPR, tr|A0A811YKZ5|A0A811YKZ5_NYCPR, tr|A0A811XYT1|A0A811XYT1_NYCPR, tr|A0A811YX42|A0A811YX42_NYCPR, tr|A0A811YGY9|A0A811YGY9_NYCPR, tr|A0A811YWX2|A0A811YWX2_NYCPR, tr|A0A811ZTB6|A0A811ZTB6_NYCPR, tr|A0A811ZX47|A0A811ZX47_NYCPR, tr|A0A811YWQ1|A0A811YWQ1_NYCPR, tr|A0A811XW62|A0A811XW62_NYCPR, tr|A0A811ZEE9|A0A811ZEE9_NYCPR, tr|A0A811Y7Z3|A0A811Y7Z3_NYCPR, tr|A0A811Z3U0|A0A811Z3U0_NYCPR, tr|A0A811ZVA8|A0A811ZVA8_NYCPR, tr|A0A811YPX2|A0A811YPX2_NYCPR, tr|A0A811YWV3|A0A811YWV3_NYCPR, tr|A0A811Y192|A0A811Y192_NYCPR, tr|A0A811ZRP4|A0A811ZRP4_NYCPR, tr|A0A811YLJ0|A0A811YLJ0_NYCPR, tr|A0A811ZRW7|A0A811ZRW7_NYCPR, tr|A0A811YWU6|A0A811YWU6_NYCPR, tr|A0A811ZKL8|A0A811ZKL8_NYCPR, tr|A0A811ZB71|A0A811ZB71_NYCPR, tr|A0A811YDN7|A0A811YDN7_NYCPR, tr|A0A811YEX8|A0A811YEX8_NYCPR, tr|A0A811YZP6|A0A811YZP6_NYCPR, tr|A0A811YAP9|A0A811YAP9_NYCPR, tr|A0A811YYV5|A0A811YYV5_NYCPR, tr|A0A811Y2V5|A0A811Y2V5_NYCPR, tr|A0A811YRX8|A0A811YRX8_NYCPR, tr|A0A811Z1N5|A0A811Z1N5_NYCPR, tr|A0A811YI77|A0A811YI77_NYCPR, tr|A0A811ZLR2|A0A811ZLR2_NYCPR, tr|A0A811ZNH7|A0A811ZNH7_NYCPR, tr|A0A811Z8B6|A0A811Z8B6_NYCPR, tr|A0A811YYY2|A0A811YYY2_NYCPR, tr|A0A811ZKD9|A0A811ZKD9_NYCPR, tr|A0A811Y3P6|A0A811Y3P6_NYCPR, tr|A0A811XSV5|A0A811XSV5_NYCPR, tr|A0A811YMM6|A0A811YMM6_NYCPR, tr|A0A811ZTM2|A0A811ZTM2_NYCPR, tr|A0A811ZP55|A0A811ZP55_NYCPR, tr|A0A811ZNG1|A0A811ZNG1_NYCPR, tr|A0A811YGJ6|A0A811YGJ6_NYCPR
OG0000001	tr|E9Q8I6|E9Q8I6_MOUSE, tr|K7N731|K7N731_MOUSE, tr|A0A494BA35|A0A494BA35_MOUSE, tr|W4VSP5|W4VSP5_MOUSE, tr|Q9EPT1|Q9EPT1_MOUSE, tr|Q8R2C0|Q8R2C0_MOUSE, tr|G3X9U3|G3X9U3_MOUSE, tr|Q8R2B9|Q8R2B9_MOUSE, tr|Q9EPS9|Q9EPS9_MOUSE, tr|Q8R2B8|Q8R2B8_MOUSE, tr|Q9EPS7|Q9EPS7_MOUSE, tr|G3UW31|G3UW31_MOUSE, tr|L7N275|L7N275_MOUSE, tr|K7N6T9|K7N6T9_MOUSE, tr|K7N6W9|K7N6W9_MOUSE, tr|Q9EPS6|Q9EPS6_MOUSE, tr|G3UW71|G3UW71_MOUSE, tr|E9PXM3|E9PXM3_MOUSE, tr|K7N6B6|K7N6B6_MOUSE, tr|A0A087WR36|A0A087WR36_MOUSE, tr|E9Q8V7|E9Q8V7_MOUSE, tr|E9PYW5|E9PYW5_MOUSE, tr|Q9EPS4|Q9EPS4_MOUSE, tr|K7N6B8|K7N6B8_MOUSE, tr|L7N2C8|L7N2C8_MOUSE, tr|D3YTW8|D3YTW8_MOUSE, tr|L7N226|L7N226_MOUSE, tr|K7N6B7|K7N6B7_MOUSE, tr|K7N6J4|K7N6J4_MOUSE, tr|Q8K3N5|Q8K3N5_MOUSE, tr|B9EK86|B9EK86_MOUSE, tr|Q0P547|Q0P547_MOUSE, tr|Q3KNP5|Q3KNP5_MOUSE, tr|Q8R2B4|Q8R2B4_MOUSE, tr|Q8R2B6|Q8R2B6_MOUSE, tr|K7N6U0|K7N6U0_MOUSE, tr|K7N6X3|K7N6X3_MOUSE, tr|E9Q346|E9Q346_MOUSE, tr|L7N2A6|L7N2A6_MOUSE, tr|G3UY48|G3UY48_MOUSE, tr|E9Q069|E9Q069_MOUSE, tr|E9Q8L6|E9Q8L6_MOUSE, tr|K9J7G0|K9J7G0_MOUSE, tr|L7N2B4|L7N2B4_MOUSE, tr|L7N293|L7N293_MOUSE, tr|E9Q9N3|E9Q9N3_MOUSE, tr|E9PUW9|E9PUW9_MOUSE, tr|D3YTY1|D3YTY1_MOUSE, tr|E9PZR7|E9PZR7_MOUSE, tr|E9PW18|E9PW18_MOUSE, tr|D3YTY2|D3YTY2_MOUSE, tr|K9J7G4|K9J7G4_MOUSE, tr|L7N273|L7N273_MOUSE, tr|K9J7H2|K9J7H2_MOUSE, tr|D3YTX4|D3YTX4_MOUSE, tr|Q9EPS5|Q9EPS5_MOUSE, tr|L7N227|L7N227_MOUSE, tr|L7N270|L7N270_MOUSE, tr|K7N6J5|K7N6J5_MOUSE, tr|K7N6J2|K7N6J2_MOUSE, tr|K7N6J6|K7N6J6_MOUSE, tr|K7N6X7|K7N6X7_MOUSE, tr|K7N6Y3|K7N6Y3_MOUSE, tr|L7N288|L7N288_MOUSE, tr|D3YTX5|D3YTX5_MOUSE, tr|K7N726|K7N726_MOUSE, tr|K7N701|K7N701_MOUSE, tr|K9J7G6|K9J7G6_MOUSE, tr|E9Q4H3|E9Q4H3_MOUSE, tr|D3YZG3|D3YZG3_MOUSE, tr|G3UWI8|G3UWI8_MOUSE, tr|E9PWL6|E9PWL6_MOUSE, tr|E9Q365|E9Q365_MOUSE, tr|G3UY92|G3UY92_MOUSE, tr|K9J7F4|K9J7F4_MOUSE, tr|E9QA94|E9QA94_MOUSE, tr|K9J7G2|K9J7G2_MOUSE, tr|L7N2C9|L7N2C9_MOUSE, tr|K9J7G9|K9J7G9_MOUSE	tr|A0A811ZUH5|A0A811ZUH5_NYCPR
OG0000002	tr|D3Z288|D3Z288_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|L7N267|L7N267_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|F7D043|F7D043_MOUSE, tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE, tr|A0A1B0GT64|A0A1B0GT64_MOUSE, tr|Q0P5U5|Q0P5U5_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|L7N248|L7N248_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|Q9D308|Q9D308_MOUSE, tr|J3QPX0|J3QPX0_MOUSE, tr|K7N769|K7N769_MOUSE, tr|L7N208|L7N208_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|A2ARR8|A2ARR8_MOUSE, tr|F6T2D2|F6T2D2_MOUSE, tr|A0A571BEN2|A0A571BEN2_MOUSE, tr|A2ARR7|A2ARR7_MOUSE, tr|A2AHM2|A2AHM2_MOUSE, tr|E9Q9W0|E9Q9W0_MOUSE, tr|Q08BU3|Q08BU3_MOUSE, tr|A2BE20|A2BE20_MOUSE, tr|A2ART2|A2ART2_MOUSE, tr|A2BFG8|A2BFG8_MOUSE, tr|A2ARW8|A2ARW8_MOUSE, tr|A2BG91|A2BG91_MOUSE, tr|A2ART0|A2ART0_MOUSE, tr|A2ART4|A2ART4_MOUSE, tr|A2BFU4|A2BFU4_MOUSE, tr|A2AW67|A2AW67_MOUSE, tr|A2AW66|A2AW66_MOUSE, tr|A2ARR6|A2ARR6_MOUSE, tr|A2ARV7|A2ARV7_MOUSE, tr|A2ARX0|A2ARX0_MOUSE, tr|A2AW65|A2AW65_MOUSE, tr|F7CWA7|F7CWA7_MOUSE, tr|A2ARW3|A2ARW3_MOUSE, tr|A2AQA0|A2AQA0_MOUSE, tr|A2ANU7|A2ANU7_MOUSE, sp|Q8BZW4|ZN120_MOUSE, tr|A2AQA1|A2AQA1_MOUSE, tr|A2AU83|A2AU83_MOUSE, tr|F6ZS36|F6ZS36_MOUSE	tr|A0A811ZAA8|A0A811ZAA8_NYCPR
OG0000005	tr|B1AUV6|B1AUV6_MOUSE, tr|Q8C4L8|Q8C4L8_MOUSE	tr|A0A811Y967|A0A811Y967_NYCPR
OG0000005	tr|B1AUV7|B1AUV7_MOUSE, tr|Q3UTC0|Q3UTC0_MOUSE, tr|B1AUV4|B1AUV4_MOUSE, tr|L7MTS5|L7MTS5_MOUSE, tr|Q810Y9|Q810Y9_MOUSE, tr|A2A958|A2A958_MOUSE, tr|A2A8N2|A2A8N2_MOUSE, tr|L7N1Y3|L7N1Y3_MOUSE, sp|E9Q5G7|OOG1_MOUSE, tr|A2AGW7|A2AGW7_MOUSE, sp|Q7TPX8|OOG2_MOUSE, tr|A2A8N0|A2A8N0_MOUSE, tr|A2AGW6|A2AGW6_MOUSE, tr|Q4VAD2|Q4VAD2_MOUSE, sp|Q3UWY1|OOG3_MOUSE, tr|Q4G0C7|Q4G0C7_MOUSE, tr|Q3UX49|Q3UX49_MOUSE, tr|A2ASJ3|A2ASJ3_MOUSE, tr|Q7TPY4|Q7TPY4_MOUSE, tr|A2AGW5|A2AGW5_MOUSE, tr|A2A8M8|A2A8M8_MOUSE, tr|A2AGW8|A2AGW8_MOUSE, tr|L7MU96|L7MU96_MOUSE, tr|A2ASJ1|A2ASJ1_MOUSE, sp|Q810Y8|PRAL7_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|J3QK78|J3QK78_MOUSE, tr|J3QN52|J3QN52_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|Q8C6S1|Q8C6S1_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|L7N456|L7N456_MOUSE, tr|L7N277|L7N277_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|Q8CE24|Q8CE24_MOUSE, tr|B1ARV5|B1ARV5_MOUSE, tr|A2ASI9|A2ASI9_MOUSE, tr|Q4FZF9|Q4FZF9_MOUSE, tr|Q66JY9|Q66JY9_MOUSE, tr|A2ASJ0|A2ASJ0_MOUSE, tr|Q9D2F1|Q9D2F1_MOUSE, tr|B1ARV6|B1ARV6_MOUSE, sp|Q99MW3|PRAL1_MOUSE	tr|A0A811YFL3|A0A811YFL3_NYCPR
OG0000006	sp|G3X9G7|ZN809_MOUSE	tr|A0A811YZA9|A0A811YZA9_NYCPR
OG0000006	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A811ZQK1|A0A811ZQK1_NYCPR, tr|A0A811XWH9|A0A811XWH9_NYCPR, tr|A0A811Z5Z0|A0A811Z5Z0_NYCPR
OG0000006	sp|Q8BQC8|RBAK_MOUSE	tr|A0A811Z495|A0A811Z495_NYCPR
OG0000006	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A811Z5F0|A0A811Z5F0_NYCPR
