Orthogroup	Homo_sapiens	Propithecus_coquereli
OG0000000	sp|O95221|OR5F1_HUMAN	tr|A0A2K6G171|A0A2K6G171_PROCO
OG0000000	sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|P0C617|O5AL1_HUMAN	tr|A0A2K6G3V3|A0A2K6G3V3_PROCO
OG0000000	sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q8NGM9|OR8D4_HUMAN	tr|A0A2K6FG06|A0A2K6FG06_PROCO
OG0000000	sp|Q8NGP9|O5AR1_HUMAN, sp|A6NL26|OR5BL_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R09|OR5B2_HUMAN	tr|A0A2K6GT78|A0A2K6GT78_PROCO
OG0000000	sp|Q8NGQ5|OR9Q1_HUMAN, sp|Q8NGE9|OR9Q2_HUMAN, sp|Q8NGQ6|OR9I1_HUMAN, sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NGF4|O5AP2_HUMAN	tr|A0A2K6GIW9|A0A2K6GIW9_PROCO
OG0000002	sp|Q8NH56|O52N5_HUMAN	tr|A0A2K6GWK0|A0A2K6GWK0_PROCO
OG0000002	sp|Q8NH57|O52P1_HUMAN	tr|A0A2K6GA42|A0A2K6GA42_PROCO
OG0000002	sp|Q8NGK1|O51G1_HUMAN	tr|A0A2K6ELM3|A0A2K6ELM3_PROCO
OG0000002	sp|Q9H341|O51M1_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|Q8NH61|O51F2_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN	tr|A0A2K6GM10|A0A2K6GM10_PROCO
OG0000003	sp|O60431|OR1I1_HUMAN	tr|A0A2K6FF67|A0A2K6FF67_PROCO
OG0000003	sp|Q8NHA8|OR1FC_HUMAN	tr|A0A2K6EJ45|A0A2K6EJ45_PROCO
OG0000003	sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|P30953|OR1E1_HUMAN, sp|P47887|OR1E2_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, sp|Q8NGR3|OR1K1_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NH93|OR1L3_HUMAN	tr|A0A2K6EPK5|A0A2K6EPK5_PROCO
OG0000004	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|A0A2K6F5I1|A0A2K6F5I1_PROCO
OG0000004	sp|Q15615|OR4D1_HUMAN, sp|P58180|OR4D2_HUMAN	tr|A0A2K6FFN0|A0A2K6FFN0_PROCO
OG0000004	sp|Q8NGJ1|OR4D6_HUMAN, sp|Q8NGI6|OR4DA_HUMAN, sp|Q8NGI4|OR4DB_HUMAN, sp|Q8NGE8|OR4D9_HUMAN	tr|A0A2K6FU35|A0A2K6FU35_PROCO
OG0000004	sp|Q8NGD0|OR4M1_HUMAN, sp|A0A0X1KG70|ORM2B_HUMAN, sp|Q8NGB6|OR4M2_HUMAN, sp|Q8IXE1|OR4N5_HUMAN, tr|A0A0G2JNH3|A0A0G2JNH3_HUMAN, sp|A0A096LPK9|ORN4C_HUMAN, sp|Q8N0Y3|OR4N4_HUMAN, sp|Q8NGD1|OR4N2_HUMAN, sp|P0C623|OR4Q2_HUMAN	tr|A0A2K6GHU6|A0A2K6GHU6_PROCO
OG0000004	sp|Q96R72|OR4K3_HUMAN, sp|Q8NGD2|OR4K2_HUMAN	tr|A0A2K6FYD0|A0A2K6FYD0_PROCO
OG0000008	sp|O43869|OR2T1_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN	tr|A0A2K6FSU1|A0A2K6FSU1_PROCO
OG0000009	sp|Q08379|GOGA2_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A6NN73|GOG8C_HUMAN	tr|A0A2K6F121|A0A2K6F121_PROCO
OG0000010	sp|P59534|T2R39_HUMAN, sp|P59535|T2R40_HUMAN, sp|Q9NYW5|TA2R4_HUMAN, sp|Q9NYW2|TA2R8_HUMAN, sp|Q9NYW1|TA2R9_HUMAN, sp|Q9NYW3|TA2R7_HUMAN, sp|Q9NYV8|T2R14_HUMAN, sp|P59539|T2R45_HUMAN, sp|P59537|T2R43_HUMAN, sp|P59538|T2R31_HUMAN, sp|P59540|T2R46_HUMAN, sp|P59541|T2R30_HUMAN, sp|P0DTE0|T2R36_HUMAN, sp|P59543|T2R20_HUMAN, sp|P0DSN6|T2R33_HUMAN, sp|P59542|T2R19_HUMAN, sp|P59544|T2R50_HUMAN, sp|Q9NYV9|T2R13_HUMAN, sp|Q7RTR8|T2R42_HUMAN, sp|Q9NYW0|T2R10_HUMAN, sp|Q9NYW6|TA2R3_HUMAN, sp|P59533|T2R38_HUMAN, sp|Q9NYW7|TA2R1_HUMAN, sp|Q9NYW4|TA2R5_HUMAN, sp|Q9NYV7|T2R16_HUMAN, sp|P59536|T2R41_HUMAN, sp|P59551|T2R60_HUMAN	tr|A0A2K6ELM5|A0A2K6ELM5_PROCO
OG0000011	sp|Q9H7L2|KI3X1_HUMAN, sp|Q99706|KI2L4_HUMAN, sp|Q8NHK3|KI2LB_HUMAN, sp|Q8N109|KI2LA_HUMAN, sp|P43628|KI2L3_HUMAN, tr|A0A2R8YCY7|A0A2R8YCY7_HUMAN, tr|A0A1W2PRS3|A0A1W2PRS3_HUMAN, tr|A0A5F9ZH88|A0A5F9ZH88_HUMAN, tr|A0A1W2PQF6|A0A1W2PQF6_HUMAN, tr|A0A5F9Z9Y6|A0A5F9Z9Y6_HUMAN, sp|Q14954|KI2S1_HUMAN, tr|A0A1W2PQM1|A0A1W2PQM1_HUMAN, sp|P43632|KI2S4_HUMAN, sp|Q14952|KI2S3_HUMAN, sp|Q14953|KI2S5_HUMAN, sp|P43631|KI2S2_HUMAN, tr|A0A0G2JNF4|A0A0G2JNF4_HUMAN, sp|P43627|KI2L2_HUMAN, tr|A0A5K1VDZ0|A0A5K1VDZ0_HUMAN, sp|P43626|KI2L1_HUMAN, tr|A0A191URJ7|A0A191URJ7_HUMAN, sp|P43630|KI3L2_HUMAN, sp|Q14943|KI3S1_HUMAN, sp|P43629|KI3L1_HUMAN, sp|Q8N743|KI3L3_HUMAN, tr|A0A0G2JN01|A0A0G2JN01_HUMAN, tr|A0A0G2JMM0|A0A0G2JMM0_HUMAN	tr|A0A2K6ELL3|A0A2K6ELL3_PROCO
OG0000016	sp|P0C0S8|H2A1_HUMAN	tr|A0A2K6ESE3|A0A2K6ESE3_PROCO
OG0000016	sp|Q7L7L0|H2A3_HUMAN	tr|A0A2K6EVD1|A0A2K6EVD1_PROCO
OG0000016	sp|Q93077|H2A1C_HUMAN	tr|A0A2K6ENH7|A0A2K6ENH7_PROCO
OG0000016	sp|P04908|H2A1B_HUMAN	tr|A0A2K6GP19|A0A2K6GP19_PROCO
OG0000016	sp|P20671|H2A1D_HUMAN	tr|A0A2K6EVR7|A0A2K6EVR7_PROCO, tr|A0A2K6GNR9|A0A2K6GNR9_PROCO, tr|A0A2K6EHV1|A0A2K6EHV1_PROCO
OG0000016	sp|Q6FI13|H2A2A_HUMAN	tr|A0A2K6EQ94|A0A2K6EQ94_PROCO
