Orthogroup	Mus_musculus	Balaenoptera_physalus
OG0000004	tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE	tr|A0A643CGB9|A0A643CGB9_BALPH
OG0000004	tr|E9Q542|E9Q542_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VG26|Q8VG26_MOUSE, tr|Q8VGW2|Q8VGW2_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|E9Q549|E9Q549_MOUSE, tr|Q8VG79|Q8VG79_MOUSE, tr|Q8VH00|Q8VH00_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q7TRP4|Q7TRP4_MOUSE, tr|Q8VGU9|Q8VGU9_MOUSE, tr|Q7TRP5|Q7TRP5_MOUSE, tr|Q8VGV6|Q8VGV6_MOUSE, tr|Q7TRU8|Q7TRU8_MOUSE, tr|Q8VGV5|Q8VGV5_MOUSE, tr|Q8VGX3|Q8VGX3_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|A0A1L1SVG7|A0A1L1SVG7_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|K7N6B2|K7N6B2_MOUSE, tr|E9PV96|E9PV96_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE, tr|E9PYY2|E9PYY2_MOUSE, tr|Q8VG01|Q8VG01_MOUSE, tr|Q7TRR2|Q7TRR2_MOUSE, tr|L7N224|L7N224_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VG78|Q8VG78_MOUSE	tr|A0A643CAS9|A0A643CAS9_BALPH
OG0000006	tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|Q8VFC4|Q8VFC4_MOUSE, tr|Q8VGU3|Q8VGU3_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE, tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VEV5|Q8VEV5_MOUSE, tr|Q8VFU4|Q8VFU4_MOUSE, tr|Q7TRH2|Q7TRH2_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, sp|Q8VFK1|O1009_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|Q7TR95|Q7TR95_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VFL9|O1086_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, sp|Q60880|OL141_MOUSE, tr|Q7TR59|Q7TR59_MOUSE	tr|A0A6A1Q2N4|A0A6A1Q2N4_BALPH
OG0000007	tr|Q8VFG2|Q8VFG2_MOUSE	tr|A0A6A1Q5B8|A0A6A1Q5B8_BALPH
OG0000007	sp|P23275|OLF15_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|L7N475|L7N475_MOUSE	tr|A0A6A1Q6B7|A0A6A1Q6B7_BALPH
OG0000007	tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE	tr|A0A6A1Q3W4|A0A6A1Q3W4_BALPH
OG0000008	sp|Q91VN1|ZNF24_MOUSE	tr|A0A643CD64|A0A643CD64_BALPH
OG0000008	sp|Q07231|ZSC21_MOUSE	tr|A0A643CEW0|A0A643CEW0_BALPH
OG0000008	sp|Q9Z1D8|ZKSC5_MOUSE	tr|A0A6A1Q966|A0A6A1Q966_BALPH, tr|A0A643CF35|A0A643CF35_BALPH
OG0000008	tr|Q5SZT6|Q5SZT6_MOUSE, sp|Q91VW9|ZKSC3_MOUSE	tr|A0A6A1Q6T6|A0A6A1Q6T6_BALPH
