Orthogroup	Homo_sapiens	Ictidomys_tridecemlineatus
OG0000002	sp|Q8NGV0|OR2Y1_HUMAN	tr|I3MYH9|I3MYH9_ICTTR, tr|A0A287DDG8|A0A287DDG8_ICTTR, tr|I3MUQ4|I3MUQ4_ICTTR, tr|I3MZF5|I3MZF5_ICTTR, tr|I3NGG6|I3NGG6_ICTTR, tr|I3N526|I3N526_ICTTR, tr|I3NAI3|I3NAI3_ICTTR, tr|I3N7B7|I3N7B7_ICTTR, tr|I3N0F7|I3N0F7_ICTTR, tr|I3N2U9|I3N2U9_ICTTR, tr|I3MST5|I3MST5_ICTTR, tr|I3N5Y6|I3N5Y6_ICTTR, tr|I3NGX1|I3NGX1_ICTTR, tr|I3N7Q7|I3N7Q7_ICTTR, tr|I3NDC4|I3NDC4_ICTTR, tr|I3MB53|I3MB53_ICTTR, tr|I3N205|I3N205_ICTTR, tr|I3NC49|I3NC49_ICTTR, tr|I3N862|I3N862_ICTTR, tr|A0A287CVN2|A0A287CVN2_ICTTR, tr|I3MS48|I3MS48_ICTTR, tr|I3MT71|I3MT71_ICTTR, tr|I3NE66|I3NE66_ICTTR, tr|I3N8E0|I3N8E0_ICTTR, tr|I3N1T8|I3N1T8_ICTTR, tr|I3ND97|I3ND97_ICTTR, tr|I3N0T3|I3N0T3_ICTTR, tr|I3NDN2|I3NDN2_ICTTR, tr|I3N8M0|I3N8M0_ICTTR, tr|I3MYQ5|I3MYQ5_ICTTR, tr|I3NC72|I3NC72_ICTTR, tr|I3N119|I3N119_ICTTR, tr|I3NCC1|I3NCC1_ICTTR, tr|A0A287CS78|A0A287CS78_ICTTR, tr|I3MXV6|I3MXV6_ICTTR, tr|I3N0R9|I3N0R9_ICTTR, tr|I3MTE2|I3MTE2_ICTTR, tr|I3N3V5|I3N3V5_ICTTR, tr|I3MY49|I3MY49_ICTTR, tr|A0A287D616|A0A287D616_ICTTR, tr|A0A287DAU7|A0A287DAU7_ICTTR
OG0000003	sp|Q8NGD2|OR4K2_HUMAN	tr|I3N920|I3N920_ICTTR, tr|I3N4S1|I3N4S1_ICTTR
OG0000003	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A287CYA7|A0A287CYA7_ICTTR
OG0000003	sp|Q8NGB8|O4F15_HUMAN	tr|I3M466|I3M466_ICTTR, tr|A0A287CZ43|A0A287CZ43_ICTTR, tr|A0A287DCU5|A0A287DCU5_ICTTR
OG0000003	sp|Q6IEY1|OR4F3_HUMAN, sp|O95013|O4F21_HUMAN	tr|I3MUN0|I3MUN0_ICTTR, tr|I3MT12|I3MT12_ICTTR, tr|I3MV20|I3MV20_ICTTR, tr|A0A287D183|A0A287D183_ICTTR
OG0000003	sp|Q8NH05|OR4Q3_HUMAN	tr|I3MZ93|I3MZ93_ICTTR, tr|I3MVP7|I3MVP7_ICTTR, tr|I3MRT9|I3MRT9_ICTTR, tr|I3N2X6|I3N2X6_ICTTR, tr|I3MUL6|I3MUL6_ICTTR, tr|A0A287D1A3|A0A287D1A3_ICTTR, tr|I3MSR5|I3MSR5_ICTTR, tr|I3N510|I3N510_ICTTR, tr|A0A287DDU3|A0A287DDU3_ICTTR, tr|I3MGI1|I3MGI1_ICTTR, tr|I3N7S9|I3N7S9_ICTTR, tr|I3MS73|I3MS73_ICTTR
OG0000004	sp|A0A0A0MRZ8|KVD11_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01619|KV320_HUMAN, sp|P06312|KV401_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|P06315|KV502_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01602|KV105_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN	tr|I3MN52|I3MN52_ICTTR
OG0000007	sp|Q9H344|O51I2_HUMAN	tr|I3MWN2|I3MWN2_ICTTR
OG0000007	sp|Q8TCB6|O51E1_HUMAN	tr|I3N628|I3N628_ICTTR, tr|I3MSG1|I3MSG1_ICTTR, tr|A0A287D5I6|A0A287D5I6_ICTTR, tr|I3MMD4|I3MMD4_ICTTR
OG0000007	sp|Q9H342|O51J1_HUMAN	tr|I3NG14|I3NG14_ICTTR, tr|I3NB14|I3NB14_ICTTR
OG0000007	sp|Q8NGK0|O51G2_HUMAN	tr|I3NCL5|I3NCL5_ICTTR
OG0000007	sp|Q8NGK1|O51G1_HUMAN	tr|I3N6N8|I3N6N8_ICTTR
OG0000007	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|I3NG06|I3NG06_ICTTR
OG0000007	sp|A6NGY5|O51F1_HUMAN	tr|I3N3Z4|I3N3Z4_ICTTR
OG0000007	sp|Q8NH61|O51F2_HUMAN	tr|I3N7S0|I3N7S0_ICTTR
OG0000007	sp|Q8NH59|O51Q1_HUMAN	tr|I3N202|I3N202_ICTTR
OG0000007	sp|Q9H2C8|O51V1_HUMAN	tr|I3MVD4|I3MVD4_ICTTR, tr|A0A287DGJ2|A0A287DGJ2_ICTTR, tr|A0A287DCL1|A0A287DCL1_ICTTR
OG0000007	sp|Q9H341|O51M1_HUMAN	tr|I3NGE8|I3NGE8_ICTTR
OG0000008	sp|Q15935|ZNF77_HUMAN, sp|Q68EA5|ZNF57_HUMAN, sp|Q8NEP9|ZN555_HUMAN, sp|Q9HAH1|ZN556_HUMAN, sp|Q96I27|ZN625_HUMAN, sp|Q8N8L2|ZN491_HUMAN, sp|O60384|ZN861_HUMAN, sp|Q15973|ZN124_HUMAN, sp|Q8TBZ8|ZN564_HUMAN, sp|Q9ULM2|ZN490_HUMAN, sp|P17017|ZNF14_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q8IZC7|ZN101_HUMAN, sp|Q9H7R0|ZN442_HUMAN, sp|Q8TA94|ZN563_HUMAN, sp|Q96GE5|ZN799_HUMAN, sp|Q9Y2A4|ZN443_HUMAN, sp|P15621|ZNF44_HUMAN, sp|P16415|ZN823_HUMAN, sp|Q8N8Z8|ZN441_HUMAN, sp|Q7L945|ZN627_HUMAN, sp|P52737|ZN136_HUMAN, sp|C9JN71|ZN878_HUMAN, sp|P17024|ZNF20_HUMAN, sp|Q8N7K0|ZN433_HUMAN, sp|Q08AG5|ZN844_HUMAN, sp|Q8NDP4|ZN439_HUMAN, sp|Q8IYI8|ZN440_HUMAN, sp|Q0D2J5|ZN763_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q9UC07|ZNF69_HUMAN	tr|A0A287D1W8|A0A287D1W8_ICTTR
OG0000010	sp|Q8NEK5|ZN548_HUMAN	tr|A0A287DBK3|A0A287DBK3_ICTTR
OG0000010	sp|Q9HCX3|ZN304_HUMAN	tr|I3N1U8|I3N1U8_ICTTR
OG0000010	sp|Q9BWM5|ZN416_HUMAN	tr|A0A287D3V5|A0A287D3V5_ICTTR
OG0000010	sp|Q3SY52|ZIK1_HUMAN	tr|A0A287D447|A0A287D447_ICTTR
OG0000010	sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q13398|ZN211_HUMAN	tr|A0A287D203|A0A287D203_ICTTR
OG0000010	sp|Q6P9A3|ZN549_HUMAN	tr|A0A287D6Q1|A0A287D6Q1_ICTTR
OG0000010	sp|P52740|ZN132_HUMAN, sp|P52741|ZN134_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|Q68DY9|ZN772_HUMAN	tr|A0A287D1W7|A0A287D1W7_ICTTR
OG0000011	sp|Q8NGG7|OR8A1_HUMAN	tr|I3N5R4|I3N5R4_ICTTR
OG0000011	sp|Q8NGM9|OR8D4_HUMAN	tr|I3MX91|I3MX91_ICTTR, tr|I3MX07|I3MX07_ICTTR, tr|I3N4V0|I3N4V0_ICTTR, tr|I3MZN3|I3MZN3_ICTTR, tr|I3ND14|I3ND14_ICTTR, tr|I3N6V8|I3N6V8_ICTTR, tr|A0A287DBZ2|A0A287DBZ2_ICTTR, tr|I3NDC3|I3NDC3_ICTTR, tr|A0A287D4G5|A0A287D4G5_ICTTR, tr|I3MY96|I3MY96_ICTTR, tr|I3NGH5|I3NGH5_ICTTR, tr|I3N2U2|I3N2U2_ICTTR, tr|A0A287D010|A0A287D010_ICTTR, tr|I3NFQ3|I3NFQ3_ICTTR, tr|I3MBF3|I3MBF3_ICTTR, tr|I3MM29|I3MM29_ICTTR, tr|I3N1H3|I3N1H3_ICTTR, tr|I3MSD3|I3MSD3_ICTTR, tr|I3NAD2|I3NAD2_ICTTR, tr|I3MSQ8|I3MSQ8_ICTTR, tr|I3MAK4|I3MAK4_ICTTR, tr|I3NBC9|I3NBC9_ICTTR, tr|I3NDN4|I3NDN4_ICTTR, tr|I3N6W5|I3N6W5_ICTTR, tr|A0A287D3G1|A0A287D3G1_ICTTR, tr|A0A287D6Q4|A0A287D6Q4_ICTTR, tr|I3NFZ0|I3NFZ0_ICTTR, tr|I3N302|I3N302_ICTTR, tr|I3NGP8|I3NGP8_ICTTR
OG0000012	sp|Q08379|GOGA2_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|H3BV12|GOG8Q_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|A6NCC3|GOG8O_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|H0YKK7|GG6LS_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|A6NI86|GG6LA_HUMAN	tr|I3MJ76|I3MJ76_ICTTR
OG0000013	sp|Q969W8|ZN566_HUMAN	tr|I3MTV1|I3MTV1_ICTTR
OG0000013	sp|Q96NG8|ZN582_HUMAN	tr|I3LYM6|I3LYM6_ICTTR
OG0000013	sp|Q8NA42|ZN383_HUMAN	tr|I3NEV1|I3NEV1_ICTTR
OG0000013	sp|Q3KNS6|ZN829_HUMAN	tr|A0A287CRS3|A0A287CRS3_ICTTR
OG0000013	sp|Q9Y2G7|ZFP30_HUMAN	tr|I3M6I4|I3M6I4_ICTTR
OG0000013	sp|Q8N141|ZFP82_HUMAN	tr|I3N9E4|I3N9E4_ICTTR
OG0000013	sp|Q9HCL3|ZFP14_HUMAN	tr|I3NAU1|I3NAU1_ICTTR
OG0000013	sp|Q8TAQ5|ZN420_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q494X3|ZN404_HUMAN, sp|Q6P280|ZN529_HUMAN, sp|Q8N7M2|ZN283_HUMAN	tr|A0A287D8C9|A0A287D8C9_ICTTR
OG0000013	sp|O75290|Z780A_HUMAN, sp|Q9Y6R6|Z780B_HUMAN, sp|Q8NDQ6|ZN540_HUMAN, sp|Q86UE3|ZN546_HUMAN	tr|A0A287CUY6|A0A287CUY6_ICTTR
