Orthogroup	Mus_musculus	Loxodonta_africana
OG0000000	tr|A2AVY0|A2AVY0_MOUSE	tr|G3UGJ8|G3UGJ8_LOXAF, tr|G3U1U1|G3U1U1_LOXAF, tr|G3UIX5|G3UIX5_LOXAF, tr|G3U718|G3U718_LOXAF, tr|G3UC61|G3UC61_LOXAF
OG0000000	tr|A2AVX9|A2AVX9_MOUSE	tr|G3UL36|G3UL36_LOXAF, tr|G3U043|G3U043_LOXAF, tr|G3TVR7|G3TVR7_LOXAF, tr|G3UMH9|G3UMH9_LOXAF, tr|G3UFL1|G3UFL1_LOXAF, tr|G3TZ26|G3TZ26_LOXAF, tr|G3UB40|G3UB40_LOXAF, tr|G3UGP4|G3UGP4_LOXAF, tr|G3TRR1|G3TRR1_LOXAF, tr|G3UCI5|G3UCI5_LOXAF, tr|G3TWX1|G3TWX1_LOXAF, tr|G3SNE7|G3SNE7_LOXAF, tr|G3TX15|G3TX15_LOXAF, tr|G3UF83|G3UF83_LOXAF, tr|G3UKK1|G3UKK1_LOXAF, tr|G3TVA8|G3TVA8_LOXAF, tr|G3TNW0|G3TNW0_LOXAF, tr|G3UL86|G3UL86_LOXAF, tr|G3U8N3|G3U8N3_LOXAF, tr|G3UN26|G3UN26_LOXAF, tr|G3UCY8|G3UCY8_LOXAF, tr|G3UHX4|G3UHX4_LOXAF, tr|G3UEH4|G3UEH4_LOXAF, tr|G3UNM5|G3UNM5_LOXAF, tr|G3U7W7|G3U7W7_LOXAF, tr|G3UFU9|G3UFU9_LOXAF, tr|G3TSG7|G3TSG7_LOXAF, tr|G3U8I8|G3U8I8_LOXAF, tr|G3TSJ3|G3TSJ3_LOXAF, tr|G3UEZ7|G3UEZ7_LOXAF, tr|G3ULC3|G3ULC3_LOXAF, tr|G3TUV7|G3TUV7_LOXAF, tr|G3UF24|G3UF24_LOXAF, tr|G3TTT6|G3TTT6_LOXAF, tr|G3TPI5|G3TPI5_LOXAF, tr|G3UKC3|G3UKC3_LOXAF, tr|G3UMZ4|G3UMZ4_LOXAF, tr|G3UDI9|G3UDI9_LOXAF, tr|G3UE82|G3UE82_LOXAF, tr|G3UGW0|G3UGW0_LOXAF, tr|G3UK45|G3UK45_LOXAF, tr|G3UGF0|G3UGF0_LOXAF, tr|G3UFP4|G3UFP4_LOXAF, tr|G3UBX9|G3UBX9_LOXAF, tr|G3UAP5|G3UAP5_LOXAF, tr|G3UH61|G3UH61_LOXAF, tr|G3ULY2|G3ULY2_LOXAF, tr|G3UH98|G3UH98_LOXAF, tr|G3UJ03|G3UJ03_LOXAF, tr|G3UJH2|G3UJH2_LOXAF, tr|G3TRG0|G3TRG0_LOXAF, tr|G3UCR0|G3UCR0_LOXAF, tr|G3U5C9|G3U5C9_LOXAF, tr|G3U704|G3U704_LOXAF, tr|G3U639|G3U639_LOXAF, tr|G3UD82|G3UD82_LOXAF, tr|G3UF72|G3UF72_LOXAF, tr|G3U247|G3U247_LOXAF, tr|G3UEU6|G3UEU6_LOXAF, tr|G3TS04|G3TS04_LOXAF, tr|G3TSU0|G3TSU0_LOXAF, tr|G3UJD4|G3UJD4_LOXAF, tr|G3U4S4|G3U4S4_LOXAF, tr|G3TY26|G3TY26_LOXAF, tr|G3UIT6|G3UIT6_LOXAF, tr|G3U4P6|G3U4P6_LOXAF, tr|G3TXV9|G3TXV9_LOXAF, tr|G3ULQ1|G3ULQ1_LOXAF, tr|G3U193|G3U193_LOXAF, tr|G3UB72|G3UB72_LOXAF, tr|G3TZY5|G3TZY5_LOXAF, tr|G3UKL9|G3UKL9_LOXAF, tr|G3UFU4|G3UFU4_LOXAF, tr|G3UKL5|G3UKL5_LOXAF, tr|G3TT59|G3TT59_LOXAF, tr|G3UAV4|G3UAV4_LOXAF, tr|G3UDY9|G3UDY9_LOXAF, tr|G3TZH6|G3TZH6_LOXAF, tr|G3U285|G3U285_LOXAF, tr|G3U6W6|G3U6W6_LOXAF, tr|G3U7Z2|G3U7Z2_LOXAF, tr|G3UFN8|G3UFN8_LOXAF, tr|G3TR96|G3TR96_LOXAF, tr|G3TWH2|G3TWH2_LOXAF, tr|G3TX23|G3TX23_LOXAF, tr|G3UKT9|G3UKT9_LOXAF, tr|G3UAT8|G3UAT8_LOXAF, tr|G3UF73|G3UF73_LOXAF, tr|G3TVD1|G3TVD1_LOXAF, tr|G3TRZ9|G3TRZ9_LOXAF, tr|G3U4W7|G3U4W7_LOXAF, tr|G3UAY7|G3UAY7_LOXAF, tr|G3UDB4|G3UDB4_LOXAF
OG0000003	tr|A0A0A6YWI9|A0A0A6YWI9_MOUSE, tr|A0A075B5W6|A0A075B5W6_MOUSE, tr|A0A075B5X3|A0A075B5X3_MOUSE, sp|P03980|HVM48_MOUSE, sp|P01754|HVM10_MOUSE, sp|P06328|HVM49_MOUSE, sp|P01753|HVM09_MOUSE, tr|A0A075B5W3|A0A075B5W3_MOUSE, sp|P01748|HVM04_MOUSE, sp|P01750|HVM06_MOUSE, tr|A0A075B5Y1|A0A075B5Y1_MOUSE, tr|A0A075B5W2|A0A075B5W2_MOUSE, sp|P01749|HVM05_MOUSE, tr|A0A075B5X0|A0A075B5X0_MOUSE, tr|A0A075B5X7|A0A075B5X7_MOUSE, tr|A0A075B5W1|A0A075B5W1_MOUSE, tr|A0A075B5Y3|A0A075B5Y3_MOUSE, tr|A0A075B5Y2|A0A075B5Y2_MOUSE, sp|P06327|HVM52_MOUSE, tr|A0A075B5Y6|A0A075B5Y6_MOUSE, tr|A0A075B5V5|A0A075B5V5_MOUSE, tr|A0A075B5V2|A0A075B5V2_MOUSE, tr|A0A075B5U7|A0A075B5U7_MOUSE, tr|A0A075B5V0|A0A075B5V0_MOUSE, tr|A0A075B5U4|A0A075B5U4_MOUSE, tr|A0A075B5V3|A0A075B5V3_MOUSE, sp|P01745|HVM01_MOUSE, sp|P01747|HVM03_MOUSE, sp|P06329|HVM50_MOUSE, sp|P06330|HVM51_MOUSE, sp|P01757|HVM13_MOUSE, sp|P01756|HVM12_MOUSE, tr|A0A075B5V1|A0A075B5V1_MOUSE, tr|A0A075B5V7|A0A075B5V7_MOUSE, tr|A0A075B5V6|A0A075B5V6_MOUSE, tr|A0A075B5U1|A0A075B5U1_MOUSE, tr|A0A075B5U9|A0A075B5U9_MOUSE, tr|A0A075B5V8|A0A075B5V8_MOUSE, sp|P01759|HVM15_MOUSE, tr|A0A075B5X6|A0A075B5X6_MOUSE, tr|A0A075B5V4|A0A075B5V4_MOUSE, tr|A0A075B5U6|A0A075B5U6_MOUSE, tr|A0A075B5U5|A0A075B5U5_MOUSE, sp|P01758|HVM14_MOUSE, tr|A0A075B5Y4|A0A075B5Y4_MOUSE, tr|A0A0A6YXA5|A0A0A6YXA5_MOUSE, tr|A0A0A6YVW3|A0A0A6YVW3_MOUSE, tr|A0A075B5X5|A0A075B5X5_MOUSE, tr|A0A075B5X2|A0A075B5X2_MOUSE, tr|A0A075B5T7|A0A075B5T7_MOUSE, tr|A0A075B5T4|A0A075B5T4_MOUSE, tr|A0A075B5W9|A0A075B5W9_MOUSE, sp|P01746|HVM02_MOUSE, tr|A0A075B5W5|A0A075B5W5_MOUSE, tr|A0A075B5T9|A0A075B5T9_MOUSE, tr|A0A075B5V9|A0A075B5V9_MOUSE, tr|A0A075B5T5|A0A075B5T5_MOUSE, tr|A0A075B5U0|A0A075B5U0_MOUSE, tr|A0A075B680|A0A075B680_MOUSE, tr|A0A075B674|A0A075B674_MOUSE, tr|A0A0B4J1M0|A0A0B4J1M0_MOUSE, tr|A0A0B4J1N0|A0A0B4J1N0_MOUSE, tr|A0A0B4J1J7|A0A0B4J1J7_MOUSE, tr|A0A075B5W7|A0A075B5W7_MOUSE	tr|G3U0R6|G3U0R6_LOXAF, tr|G3UDU5|G3UDU5_LOXAF
OG0000006	tr|A2ATA0|A2ATA0_MOUSE	tr|G3UM92|G3UM92_LOXAF, tr|G3TPH2|G3TPH2_LOXAF, tr|G3U139|G3U139_LOXAF, tr|G3U057|G3U057_LOXAF, tr|G3U104|G3U104_LOXAF, tr|G3TZ85|G3TZ85_LOXAF, tr|G3U9P2|G3U9P2_LOXAF, tr|G3TRJ1|G3TRJ1_LOXAF, tr|G3UCZ1|G3UCZ1_LOXAF, tr|G3U1P1|G3U1P1_LOXAF, tr|G3U2J3|G3U2J3_LOXAF, tr|G3U3V8|G3U3V8_LOXAF, tr|G3U1T2|G3U1T2_LOXAF, tr|G3U4C0|G3U4C0_LOXAF, tr|G3TWK8|G3TWK8_LOXAF, tr|G3TSF0|G3TSF0_LOXAF, tr|G3U454|G3U454_LOXAF, tr|G3TVF8|G3TVF8_LOXAF, tr|G3TX13|G3TX13_LOXAF, tr|G3UGG9|G3UGG9_LOXAF, tr|G3UCW8|G3UCW8_LOXAF, tr|G3U4Q1|G3U4Q1_LOXAF, tr|G3U859|G3U859_LOXAF, tr|G3SQ85|G3SQ85_LOXAF, tr|G3UH11|G3UH11_LOXAF, tr|G3U731|G3U731_LOXAF, tr|G3U3K8|G3U3K8_LOXAF, tr|G3U2I2|G3U2I2_LOXAF, tr|G3U8C1|G3U8C1_LOXAF, tr|G3TU32|G3TU32_LOXAF, tr|G3TVM6|G3TVM6_LOXAF, tr|G3UFN1|G3UFN1_LOXAF, tr|G3UGN9|G3UGN9_LOXAF, tr|G3U4E8|G3U4E8_LOXAF, tr|G3U9C9|G3U9C9_LOXAF, tr|G3U8F4|G3U8F4_LOXAF, tr|G3U7A4|G3U7A4_LOXAF, tr|G3U195|G3U195_LOXAF, tr|G3TXJ4|G3TXJ4_LOXAF, tr|G3UGL6|G3UGL6_LOXAF, tr|G3UIC5|G3UIC5_LOXAF, tr|G3UBT1|G3UBT1_LOXAF, tr|G3TVU8|G3TVU8_LOXAF, tr|G3U705|G3U705_LOXAF, tr|G3UIL5|G3UIL5_LOXAF, tr|G3TRB7|G3TRB7_LOXAF, tr|G3U5G3|G3U5G3_LOXAF, tr|G3UGK1|G3UGK1_LOXAF, tr|G3U3B0|G3U3B0_LOXAF, tr|G3UHM0|G3UHM0_LOXAF, tr|G3UNM1|G3UNM1_LOXAF
OG0000010	tr|Q7TRL9|Q7TRL9_MOUSE	tr|G3UA15|G3UA15_LOXAF, tr|G3UFV3|G3UFV3_LOXAF, tr|G3U3I1|G3U3I1_LOXAF, tr|G3UFT0|G3UFT0_LOXAF
OG0000010	tr|Q8VFT6|Q8VFT6_MOUSE	tr|G3U1U8|G3U1U8_LOXAF, tr|G3TUS3|G3TUS3_LOXAF, tr|G3ULB1|G3ULB1_LOXAF, tr|G3ULT0|G3ULT0_LOXAF, tr|G3U1H8|G3U1H8_LOXAF, tr|G3TV78|G3TV78_LOXAF, tr|G3U8K0|G3U8K0_LOXAF, tr|G3U4X8|G3U4X8_LOXAF, tr|G3U5V2|G3U5V2_LOXAF, tr|G3U9W1|G3U9W1_LOXAF, tr|G3U871|G3U871_LOXAF, tr|G3UDM0|G3UDM0_LOXAF, tr|G3TXP0|G3TXP0_LOXAF, tr|G3TXB6|G3TXB6_LOXAF, tr|G3UL17|G3UL17_LOXAF, tr|G3UE37|G3UE37_LOXAF, tr|G3TV08|G3TV08_LOXAF, tr|G3UCB3|G3UCB3_LOXAF, tr|G3TZ14|G3TZ14_LOXAF, tr|G3UKL6|G3UKL6_LOXAF, tr|G3TSY6|G3TSY6_LOXAF, tr|G3UKB4|G3UKB4_LOXAF, tr|G3U254|G3U254_LOXAF, tr|G3UKE1|G3UKE1_LOXAF, tr|G3TUY6|G3TUY6_LOXAF, tr|G3UFN3|G3UFN3_LOXAF, tr|G3U725|G3U725_LOXAF, tr|G3U9W7|G3U9W7_LOXAF, tr|G3U813|G3U813_LOXAF, tr|G3U3V3|G3U3V3_LOXAF, tr|G3TUB5|G3TUB5_LOXAF, tr|G3TWT4|G3TWT4_LOXAF, tr|G3U6U0|G3U6U0_LOXAF, tr|G3U231|G3U231_LOXAF, tr|G3U6P3|G3U6P3_LOXAF, tr|G5E7E2|G5E7E2_LOXAF, tr|G3UIQ1|G3UIQ1_LOXAF, tr|G3TWE3|G3TWE3_LOXAF, tr|G3U0G9|G3U0G9_LOXAF, tr|G3UA91|G3UA91_LOXAF
OG0000013	tr|Q99PA7|Q99PA7_MOUSE	tr|G3U0U3|G3U0U3_LOXAF, tr|G3SR28|G3SR28_LOXAF, tr|G3TT99|G3TT99_LOXAF, tr|G3TD67|G3TD67_LOXAF, tr|G3TPU9|G3TPU9_LOXAF, tr|G3SXS1|G3SXS1_LOXAF, tr|G3UBR1|G3UBR1_LOXAF, tr|G3U2D3|G3U2D3_LOXAF, tr|G3UNC4|G3UNC4_LOXAF
OG0000013	sp|Q9CWV4|MAGBG_MOUSE	tr|G3UBG2|G3UBG2_LOXAF, tr|G3ULM2|G3ULM2_LOXAF, tr|G3UJT9|G3UJT9_LOXAF, tr|G3UJP0|G3UJP0_LOXAF, tr|G3U0M3|G3U0M3_LOXAF, tr|G3SL55|G3SL55_LOXAF
OG0000013	sp|Q8BQR7|MAGBI_MOUSE	tr|G3U4C1|G3U4C1_LOXAF, tr|G3T6D9|G3T6D9_LOXAF, tr|G3U3F5|G3U3F5_LOXAF, tr|G3UKF8|G3UKF8_LOXAF, tr|G3U232|G3U232_LOXAF, tr|G3TT54|G3TT54_LOXAF, tr|G3U6J0|G3U6J0_LOXAF, tr|G3UF02|G3UF02_LOXAF, tr|G3UDT0|G3UDT0_LOXAF, tr|G3TSF4|G3TSF4_LOXAF, tr|G3UEZ9|G3UEZ9_LOXAF, tr|G3U5N0|G3U5N0_LOXAF, tr|G3TYU5|G3TYU5_LOXAF, tr|G3TPB2|G3TPB2_LOXAF, tr|G3TZ51|G3TZ51_LOXAF, tr|G3TPN0|G3TPN0_LOXAF, tr|G3TTV1|G3TTV1_LOXAF, tr|G3U5G8|G3U5G8_LOXAF, tr|G3UF74|G3UF74_LOXAF, tr|G3TPV8|G3TPV8_LOXAF, tr|G3UDL5|G3UDL5_LOXAF, tr|G3U8R1|G3U8R1_LOXAF, tr|G3UN76|G3UN76_LOXAF, tr|G3UG14|G3UG14_LOXAF, tr|G3TP91|G3TP91_LOXAF, tr|G3U9P3|G3U9P3_LOXAF
OG0000020	tr|Q7TNK4|Q7TNK4_MOUSE	tr|G3TR17|G3TR17_LOXAF, tr|G3UG54|G3UG54_LOXAF
