Orthogroup	Mus_musculus	Lipotes_vexillifer
OG0000000	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A340XC22|A0A340XC22_LIPVE
OG0000000	tr|Q640N4|Q640N4_MOUSE	tr|A0A340WMW4|A0A340WMW4_LIPVE, tr|A0A340XP77|A0A340XP77_LIPVE, tr|A0A340Y2E0|A0A340Y2E0_LIPVE, tr|A0A340XSB4|A0A340XSB4_LIPVE
OG0000000	sp|B2RXC5|ZN382_MOUSE	tr|A0A340WET6|A0A340WET6_LIPVE, tr|A0A340WMS5|A0A340WMS5_LIPVE, tr|A0A340YGB1|A0A340YGB1_LIPVE, tr|A0A340YGD4|A0A340YGD4_LIPVE
OG0000000	sp|Q61967|ZFP90_MOUSE	tr|A0A340Y812|A0A340Y812_LIPVE, tr|A0A340WSS7|A0A340WSS7_LIPVE
OG0000000	sp|Q0VAW7|ZN112_MOUSE	tr|A0A340XET9|A0A340XET9_LIPVE, tr|A0A340XB12|A0A340XB12_LIPVE, tr|A0A340XAM8|A0A340XAM8_LIPVE, tr|A0A340XHY0|A0A340XHY0_LIPVE, tr|A0A340XH73|A0A340XH73_LIPVE, tr|A0A340XHL0|A0A340XHL0_LIPVE, tr|A0A340XHX5|A0A340XHX5_LIPVE
OG0000000	sp|P17141|ZFP37_MOUSE	tr|A0A340WZM2|A0A340WZM2_LIPVE, tr|A0A340YDN1|A0A340YDN1_LIPVE, tr|A0A340YGV5|A0A340YGV5_LIPVE, tr|A0A340WA18|A0A340WA18_LIPVE, tr|A0A340XTH1|A0A340XTH1_LIPVE, tr|A0A340XZM4|A0A340XZM4_LIPVE, tr|A0A340YDN3|A0A340YDN3_LIPVE, tr|A0A340XKX2|A0A340XKX2_LIPVE, tr|A0A340XL46|A0A340XL46_LIPVE, tr|A0A340X7N2|A0A340X7N2_LIPVE, tr|A0A340X605|A0A340X605_LIPVE, tr|A0A340YGW0|A0A340YGW0_LIPVE, tr|A0A340WB90|A0A340WB90_LIPVE, tr|A0A340WRW8|A0A340WRW8_LIPVE
OG0000000	tr|Q8C0Q5|Q8C0Q5_MOUSE	tr|A0A340YDV7|A0A340YDV7_LIPVE, tr|A0A340WN63|A0A340WN63_LIPVE, tr|A0A340WLM2|A0A340WLM2_LIPVE, tr|A0A340XL28|A0A340XL28_LIPVE, tr|A0A340YBC3|A0A340YBC3_LIPVE, tr|A0A340XNT8|A0A340XNT8_LIPVE, tr|A0A340X5C3|A0A340X5C3_LIPVE, tr|A0A340XKR3|A0A340XKR3_LIPVE, tr|A0A340XQ99|A0A340XQ99_LIPVE, tr|A0A340XPE1|A0A340XPE1_LIPVE
OG0000000	sp|A2A761|ZFP69_MOUSE	tr|A0A340YFR2|A0A340YFR2_LIPVE, tr|A0A340X5E4|A0A340X5E4_LIPVE, tr|A0A340WI87|A0A340WI87_LIPVE, tr|A0A340X928|A0A340X928_LIPVE, tr|A0A340XV11|A0A340XV11_LIPVE, tr|A0A340X6E9|A0A340X6E9_LIPVE, tr|A0A340X0V4|A0A340X0V4_LIPVE, tr|A0A340X9L3|A0A340X9L3_LIPVE, tr|A0A340X3T7|A0A340X3T7_LIPVE, tr|A0A340WXN5|A0A340WXN5_LIPVE
OG0000000	sp|Q6P560|ZN182_MOUSE	tr|A0A340YBN1|A0A340YBN1_LIPVE, tr|A0A340YI54|A0A340YI54_LIPVE, tr|A0A340YIA9|A0A340YIA9_LIPVE, tr|A0A340WQ41|A0A340WQ41_LIPVE
OG0000012	tr|Q8VFG3|Q8VFG3_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, sp|Q60890|OLF11_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE	tr|A0A340WQP9|A0A340WQP9_LIPVE
