Orthogroup	Mus_musculus	Microcebus_murinus
OG0000002	sp|A2A761|ZFP69_MOUSE	tr|A0A8B7EB44|A0A8B7EB44_MICMU, tr|A0A8C5XCH3|A0A8C5XCH3_MICMU
OG0000002	sp|Q80W31|ZN569_MOUSE	tr|A0A8C5XMY1|A0A8C5XMY1_MICMU, tr|A0A8B7GBJ6|A0A8B7GBJ6_MICMU, tr|A0A8C5UQ09|A0A8C5UQ09_MICMU, tr|A0A8B7H4C3|A0A8B7H4C3_MICMU
OG0000002	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A8B7FZK8|A0A8B7FZK8_MICMU, tr|A0A8C5VK40|A0A8C5VK40_MICMU, tr|A0A8B7WUX4|A0A8B7WUX4_MICMU, tr|A0A8C5VKT4|A0A8C5VKT4_MICMU, tr|A0A8C5V7S4|A0A8C5V7S4_MICMU, tr|A0A8C5W2G8|A0A8C5W2G8_MICMU, tr|A0A8B7F5U8|A0A8B7F5U8_MICMU, tr|A0A8B7F5U7|A0A8B7F5U7_MICMU, tr|A0A8C5VJ32|A0A8C5VJ32_MICMU
OG0000002	sp|B2RXC5|ZN382_MOUSE	tr|A0A8B7H2D1|A0A8B7H2D1_MICMU
OG0000002	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A8B7WUN3|A0A8B7WUN3_MICMU
OG0000002	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A8C5VPM6|A0A8C5VPM6_MICMU
OG0000002	tr|Q640N4|Q640N4_MOUSE	tr|A0A8C5W1B3|A0A8C5W1B3_MICMU, tr|A0A8B7HLG0|A0A8B7HLG0_MICMU, tr|A0A8C5VM14|A0A8C5VM14_MICMU, tr|A0A8C5Y104|A0A8C5Y104_MICMU, tr|A0A8B7HC48|A0A8B7HC48_MICMU
OG0000002	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8C5XM15|A0A8C5XM15_MICMU
OG0000002	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8B7FZ49|A0A8B7FZ49_MICMU
OG0000002	sp|P17141|ZFP37_MOUSE	tr|A0A8B7H476|A0A8B7H476_MICMU, tr|A0A8B7H295|A0A8B7H295_MICMU, tr|A0A8C5W5P9|A0A8C5W5P9_MICMU, tr|A0A8B7WZA3|A0A8B7WZA3_MICMU, tr|A0A8C5XCU0|A0A8C5XCU0_MICMU, tr|A0A8C6ECT5|A0A8C6ECT5_MICMU, tr|A0A8C5VD47|A0A8C5VD47_MICMU, tr|A0A8C5XMX8|A0A8C5XMX8_MICMU, tr|A0A8C5VA81|A0A8C5VA81_MICMU, tr|A0A8C5Y379|A0A8C5Y379_MICMU
OG0000002	sp|Q7TSH9|ZN184_MOUSE	tr|A0A8B7FW76|A0A8B7FW76_MICMU, tr|A0A8C5XDK2|A0A8C5XDK2_MICMU, tr|A0A8B7ESY1|A0A8B7ESY1_MICMU
OG0000004	tr|Q7TS30|Q7TS30_MOUSE	tr|A0A8C6EJY8|A0A8C6EJY8_MICMU
OG0000004	tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE	tr|A0A8C5V5X0|A0A8C5V5X0_MICMU
OG0000004	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A8C6EF98|A0A8C6EF98_MICMU
OG0000004	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A8C5YB84|A0A8C5YB84_MICMU
OG0000005	sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TR58|Q7TR58_MOUSE, tr|Q8VF35|Q8VF35_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, sp|Q8VF76|OL998_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, sp|Q60894|OLF12_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q8VET1|Q8VET1_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE	tr|A0A8C5V3M2|A0A8C5V3M2_MICMU
OG0000007	tr|Q8VH17|Q8VH17_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, sp|Q8VBV9|O51E2_MOUSE, tr|Q8VGZ7|Q8VGZ7_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|F8VQ01|F8VQ01_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE	tr|A0A8B7HX91|A0A8B7HX91_MICMU
OG0000008	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A8C5W0E2|A0A8C5W0E2_MICMU
OG0000008	tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE	tr|A0A8C5VP82|A0A8C5VP82_MICMU
OG0000008	tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A8C5XWH6|A0A8C5XWH6_MICMU
