Orthogroup	Homo_sapiens	Carlito_syrichta
OG0000000	sp|Q49A33|Z876P_HUMAN	tr|A0A3Q0DLX1|A0A3Q0DLX1_CARSF, tr|A0A3Q0DL32|A0A3Q0DL32_CARSF, tr|A0A3Q0DSQ8|A0A3Q0DSQ8_CARSF, tr|A0A3Q0DME6|A0A3Q0DME6_CARSF
OG0000000	sp|P52743|ZN137_HUMAN	tr|A0A3Q0DH76|A0A3Q0DH76_CARSF, tr|A0A3Q0DR39|A0A3Q0DR39_CARSF, tr|A0A3Q0DTM0|A0A3Q0DTM0_CARSF, tr|A0A3Q0DM75|A0A3Q0DM75_CARSF
OG0000000	sp|Q6ZRF7|ZN818_HUMAN	tr|A0A1U7UKV5|A0A1U7UKV5_CARSF, tr|A0A1U7T4F2|A0A1U7T4F2_CARSF, tr|A0A1U7TKM4|A0A1U7TKM4_CARSF, tr|A0A1U7T230|A0A1U7T230_CARSF, tr|A0A3Q0DPN1|A0A3Q0DPN1_CARSF, tr|A0A3Q0DZ31|A0A3Q0DZ31_CARSF, tr|A0A1U7TC97|A0A1U7TC97_CARSF, tr|A0A3Q0DKT6|A0A3Q0DKT6_CARSF, tr|A0A1U7U5V3|A0A1U7U5V3_CARSF, tr|A0A1U7US17|A0A1U7US17_CARSF, tr|A0A1U7V5L6|A0A1U7V5L6_CARSF, tr|A0A3Q0DRW6|A0A3Q0DRW6_CARSF, tr|A0A3Q0DRU1|A0A3Q0DRU1_CARSF, tr|A0A3Q0DMK2|A0A3Q0DMK2_CARSF, tr|A0A3Q0DTM3|A0A3Q0DTM3_CARSF, tr|A0A3Q0ED39|A0A3Q0ED39_CARSF, tr|A0A3Q0DTD5|A0A3Q0DTD5_CARSF, tr|A0A3Q0EBD0|A0A3Q0EBD0_CARSF, tr|A0A3Q0DY14|A0A3Q0DY14_CARSF, tr|A0A3Q0EEZ1|A0A3Q0EEZ1_CARSF, tr|A0A3Q0DHV1|A0A3Q0DHV1_CARSF, tr|A0A3Q0DKS9|A0A3Q0DKS9_CARSF, tr|A0A3Q0DV99|A0A3Q0DV99_CARSF, tr|A0A1U7SXR0|A0A1U7SXR0_CARSF, tr|A0A3Q0E258|A0A3Q0E258_CARSF, tr|A0A3Q0E6P9|A0A3Q0E6P9_CARSF, tr|A0A1U7SXB4|A0A1U7SXB4_CARSF, tr|A0A3Q0E2X7|A0A3Q0E2X7_CARSF, tr|A0A3Q0DZQ7|A0A3Q0DZQ7_CARSF, tr|A0A3Q0DJ92|A0A3Q0DJ92_CARSF, tr|A0A3Q0ECV2|A0A3Q0ECV2_CARSF, tr|A0A3Q0EG87|A0A3Q0EG87_CARSF, tr|A0A3Q0DRX9|A0A3Q0DRX9_CARSF, tr|A0A1U7UEK9|A0A1U7UEK9_CARSF, tr|A0A1U7UFV7|A0A1U7UFV7_CARSF, tr|A0A3Q0EEF3|A0A3Q0EEF3_CARSF, tr|A0A3Q0EI63|A0A3Q0EI63_CARSF, tr|A0A3Q0EJZ7|A0A3Q0EJZ7_CARSF, tr|A0A3Q0EEE9|A0A3Q0EEE9_CARSF, tr|A0A3Q0DR75|A0A3Q0DR75_CARSF, tr|A0A3Q0EFW7|A0A3Q0EFW7_CARSF, tr|A0A3Q0DJS3|A0A3Q0DJS3_CARSF, tr|A0A3Q0EI58|A0A3Q0EI58_CARSF, tr|A0A3Q0DJW0|A0A3Q0DJW0_CARSF, tr|A0A3Q0EG86|A0A3Q0EG86_CARSF, tr|A0A1U7TX45|A0A1U7TX45_CARSF, tr|A0A3Q0DX63|A0A3Q0DX63_CARSF, tr|A0A3Q0DMP2|A0A3Q0DMP2_CARSF, tr|A0A3Q0E9T9|A0A3Q0E9T9_CARSF, tr|A0A3Q0EGU1|A0A3Q0EGU1_CARSF, tr|A0A3Q0EEE3|A0A3Q0EEE3_CARSF, tr|A0A3Q0DQ86|A0A3Q0DQ86_CARSF, tr|A0A3Q0EHW1|A0A3Q0EHW1_CARSF, tr|A0A3Q0E3I3|A0A3Q0E3I3_CARSF, tr|A0A3Q0DVZ7|A0A3Q0DVZ7_CARSF, tr|A0A1U7SS69|A0A1U7SS69_CARSF, tr|A0A1U7TM20|A0A1U7TM20_CARSF, tr|A0A3Q0EGG9|A0A3Q0EGG9_CARSF, tr|A0A3Q0EGQ0|A0A3Q0EGQ0_CARSF, tr|A0A1U7V154|A0A1U7V154_CARSF, tr|A0A3Q0EAP0|A0A3Q0EAP0_CARSF, tr|A0A3Q0ECV7|A0A3Q0ECV7_CARSF, tr|A0A3Q0E3N0|A0A3Q0E3N0_CARSF
OG0000001	sp|Q8IW36|ZN695_HUMAN, sp|O95780|ZN682_HUMAN, sp|P0CB33|ZN735_HUMAN, sp|Q96JC4|ZN479_HUMAN, sp|A0A1W2PQL4|ZN722_HUMAN, sp|A6NP11|ZN716_HUMAN, sp|Q8IYX0|ZN679_HUMAN, sp|Q8IYB9|ZN595_HUMAN, sp|B4DXR9|ZN732_HUMAN, sp|Q15928|ZN141_HUMAN, sp|Q3SXZ3|ZN718_HUMAN, sp|Q8TF20|ZN721_HUMAN, sp|A6NNF4|ZN726_HUMAN, sp|O75437|ZN254_HUMAN, sp|Q05481|ZNF91_HUMAN, sp|O43345|ZN208_HUMAN, sp|P0DKX0|ZN728_HUMAN, sp|Q8N7Q3|ZN676_HUMAN, sp|Q9P255|ZN492_HUMAN, sp|Q96N38|ZN714_HUMAN, sp|Q6ZR52|ZN493_HUMAN, sp|A6NK75|ZNF98_HUMAN, sp|Q03936|ZNF92_HUMAN, sp|A6NN14|ZN729_HUMAN, sp|A8MXY4|ZNF99_HUMAN, sp|Q8NEM1|ZN680_HUMAN, sp|Q8IYN0|ZN100_HUMAN, sp|Q8TF32|ZN431_HUMAN, sp|Q8NE65|ZN738_HUMAN, sp|Q9H8G1|ZN430_HUMAN, sp|Q6ZMV8|ZN730_HUMAN, sp|P0DPD5|ZN723_HUMAN, sp|Q14593|ZN273_HUMAN, sp|A8MTY0|ZN724_HUMAN, sp|P17019|ZN708_HUMAN, sp|Q86V71|ZN429_HUMAN, sp|Q8TD23|ZN675_HUMAN, sp|P17038|ZNF43_HUMAN, sp|Q96N22|ZN681_HUMAN, sp|Q9Y2Q1|ZN257_HUMAN, sp|Q9UII5|ZN107_HUMAN, sp|Q03924|ZN117_HUMAN, sp|P52744|ZN138_HUMAN, sp|Q03923|ZNF85_HUMAN, sp|Q68DY1|ZN626_HUMAN, sp|Q03938|ZNF90_HUMAN, sp|Q5JVG8|ZN506_HUMAN, sp|O75346|ZN253_HUMAN, sp|Q6ZN08|ZNF66_HUMAN, sp|P35789|ZNF93_HUMAN, sp|O75373|ZN737_HUMAN, sp|Q96H40|ZN486_HUMAN	tr|A0A3Q0E480|A0A3Q0E480_CARSF
OG0000002	sp|Q8NH64|O51A7_HUMAN	tr|A0A1U7TSP6|A0A1U7TSP6_CARSF
OG0000002	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A1U7TG01|A0A1U7TG01_CARSF
OG0000002	sp|Q8NGK1|O51G1_HUMAN	tr|A0A1U7TK41|A0A1U7TK41_CARSF
OG0000002	sp|Q8NGK0|O51G2_HUMAN	tr|A0A1U7TUK1|A0A1U7TUK1_CARSF
OG0000002	sp|Q8NH61|O51F2_HUMAN	tr|A0A1U7UKK7|A0A1U7UKK7_CARSF
OG0000002	sp|A6NGY5|O51F1_HUMAN	tr|A0A1U7U2B3|A0A1U7U2B3_CARSF, tr|A0A1U7U8I2|A0A1U7U8I2_CARSF
