Orthogroup	Mus_musculus	Vombatus_ursinus
OG0000000	tr|Q8C0E6|Q8C0E6_MOUSE	tr|A0A4X2K929|A0A4X2K929_VOMUR
OG0000000	sp|Q61967|ZFP90_MOUSE	tr|A0A4X2K1E3|A0A4X2K1E3_VOMUR, tr|A0A4X2KMZ0|A0A4X2KMZ0_VOMUR, tr|A0A4X2LN99|A0A4X2LN99_VOMUR, tr|A0A4X2KN10|A0A4X2KN10_VOMUR, tr|A0A4X2L9Z5|A0A4X2L9Z5_VOMUR, tr|A0A4X2LZ19|A0A4X2LZ19_VOMUR, tr|A0A4X2LHJ3|A0A4X2LHJ3_VOMUR, tr|A0A4X2LC58|A0A4X2LC58_VOMUR
OG0000000	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A4X2LA62|A0A4X2LA62_VOMUR, tr|A0A4X2LCT4|A0A4X2LCT4_VOMUR, tr|A0A4X2LI23|A0A4X2LI23_VOMUR, tr|A0A4X2LJK9|A0A4X2LJK9_VOMUR, tr|A0A4X2JN30|A0A4X2JN30_VOMUR, tr|A0A4X2JTZ2|A0A4X2JTZ2_VOMUR, tr|A0A4X2KFI3|A0A4X2KFI3_VOMUR, tr|A0A4X2L6I6|A0A4X2L6I6_VOMUR, tr|A0A4X2KFE0|A0A4X2KFE0_VOMUR, tr|A0A4X2KS83|A0A4X2KS83_VOMUR, tr|A0A4X2M6X2|A0A4X2M6X2_VOMUR, tr|A0A4X2M6V8|A0A4X2M6V8_VOMUR, tr|A0A4X2L797|A0A4X2L797_VOMUR
OG0000000	tr|Q9CZP3|Q9CZP3_MOUSE	tr|A0A4X2JZ37|A0A4X2JZ37_VOMUR, tr|A0A4X2K6R4|A0A4X2K6R4_VOMUR, tr|A0A4X2JZ45|A0A4X2JZ45_VOMUR, tr|A0A4X2JQ43|A0A4X2JQ43_VOMUR, tr|A0A4X2JWK2|A0A4X2JWK2_VOMUR, tr|A0A4X2LDZ8|A0A4X2LDZ8_VOMUR, tr|A0A4X2K9E6|A0A4X2K9E6_VOMUR, tr|A0A4X2JM25|A0A4X2JM25_VOMUR, tr|A0A4X2KNC6|A0A4X2KNC6_VOMUR, tr|A0A4X2MEA5|A0A4X2MEA5_VOMUR
OG0000000	sp|P08042|ZFP1_MOUSE	tr|A0A4X2LEN3|A0A4X2LEN3_VOMUR, tr|A0A4X2M3P3|A0A4X2M3P3_VOMUR, tr|A0A4X2LZJ9|A0A4X2LZJ9_VOMUR, tr|A0A4X2LZK4|A0A4X2LZK4_VOMUR, tr|A0A4X2LC69|A0A4X2LC69_VOMUR, tr|A0A4X2M7Y9|A0A4X2M7Y9_VOMUR
OG0000004	tr|I6L890|I6L890_MOUSE	tr|A0A4X2JT99|A0A4X2JT99_VOMUR
OG0000004	sp|Q8CF60|ZN263_MOUSE	tr|A0A4X2JSZ3|A0A4X2JSZ3_VOMUR
OG0000004	tr|Q8C879|Q8C879_MOUSE	tr|A0A4X2JT16|A0A4X2JT16_VOMUR
OG0000004	sp|Q91VN1|ZNF24_MOUSE	tr|A0A4X2L7W3|A0A4X2L7W3_VOMUR, tr|A0A4X2LBP1|A0A4X2LBP1_VOMUR, tr|A0A4X2LG85|A0A4X2LG85_VOMUR, tr|A0A4X2K0L2|A0A4X2K0L2_VOMUR, tr|A0A4X2L7X7|A0A4X2L7X7_VOMUR, tr|A0A4X2LGY4|A0A4X2LGY4_VOMUR
OG0000004	tr|Q8BSL0|Q8BSL0_MOUSE	tr|A0A4X2LGX9|A0A4X2LGX9_VOMUR, tr|A0A4X2L7B7|A0A4X2L7B7_VOMUR
OG0000016	tr|Q7TMN8|Q7TMN8_MOUSE	tr|A0A4X2JTX7|A0A4X2JTX7_VOMUR, tr|A0A4X2L6W5|A0A4X2L6W5_VOMUR, tr|A0A4X2JM29|A0A4X2JM29_VOMUR, tr|A0A4X2LS18|A0A4X2LS18_VOMUR, tr|A0A4X2KIQ7|A0A4X2KIQ7_VOMUR, tr|A0A4X2KBJ9|A0A4X2KBJ9_VOMUR, tr|A0A4X2L1X2|A0A4X2L1X2_VOMUR, tr|A0A4X2LH39|A0A4X2LH39_VOMUR, tr|A0A4X2LI36|A0A4X2LI36_VOMUR, tr|A0A4X2LI58|A0A4X2LI58_VOMUR, tr|A0A4X2KXX0|A0A4X2KXX0_VOMUR, tr|A0A4X2L1V7|A0A4X2L1V7_VOMUR, tr|A0A4X2L3W3|A0A4X2L3W3_VOMUR, tr|A0A4X2L5Y4|A0A4X2L5Y4_VOMUR, tr|A0A4X2L0L0|A0A4X2L0L0_VOMUR, tr|A0A4X2JW59|A0A4X2JW59_VOMUR, tr|A0A4X2K3I3|A0A4X2K3I3_VOMUR, tr|A0A4X2JW33|A0A4X2JW33_VOMUR, tr|A0A4X2K3L5|A0A4X2K3L5_VOMUR, tr|A0A4X2K3I5|A0A4X2K3I5_VOMUR, tr|A0A4X2K129|A0A4X2K129_VOMUR, tr|A0A4X2LDT5|A0A4X2LDT5_VOMUR, tr|A0A4X2JR43|A0A4X2JR43_VOMUR, tr|A0A4X2KSQ5|A0A4X2KSQ5_VOMUR, tr|A0A4X2LC96|A0A4X2LC96_VOMUR, tr|A0A4X2JWF7|A0A4X2JWF7_VOMUR, tr|A0A4X2JPE5|A0A4X2JPE5_VOMUR, tr|A0A4X2LZL4|A0A4X2LZL4_VOMUR, tr|A0A4X2L9K3|A0A4X2L9K3_VOMUR, tr|A0A4X2LTQ2|A0A4X2LTQ2_VOMUR, tr|A0A4X2KVL1|A0A4X2KVL1_VOMUR, tr|A0A4X2KL00|A0A4X2KL00_VOMUR, tr|A0A4X2LQ81|A0A4X2LQ81_VOMUR, tr|A0A4X2LP75|A0A4X2LP75_VOMUR, tr|A0A4X2L2W2|A0A4X2L2W2_VOMUR, tr|A0A4X2LBD8|A0A4X2LBD8_VOMUR, tr|A0A4X2LML5|A0A4X2LML5_VOMUR, tr|A0A4X2LJP2|A0A4X2LJP2_VOMUR
OG0000019	tr|A2AV11|A2AV11_MOUSE, tr|Q8VG58|Q8VG58_MOUSE	tr|A0A4X2LK43|A0A4X2LK43_VOMUR, tr|A0A4X2LL01|A0A4X2LL01_VOMUR, tr|A0A4X2KGZ7|A0A4X2KGZ7_VOMUR, tr|A0A4X2LER9|A0A4X2LER9_VOMUR, tr|A0A4X2LJZ1|A0A4X2LJZ1_VOMUR, tr|A0A4X2LK10|A0A4X2LK10_VOMUR, tr|A0A4X2LJN5|A0A4X2LJN5_VOMUR, tr|A0A4X2LN45|A0A4X2LN45_VOMUR, tr|A0A4X2LJQ5|A0A4X2LJQ5_VOMUR, tr|A0A4X2LF33|A0A4X2LF33_VOMUR, tr|A0A4X2LL21|A0A4X2LL21_VOMUR, tr|A0A4X2LKC5|A0A4X2LKC5_VOMUR, tr|A0A4X2LET5|A0A4X2LET5_VOMUR, tr|A0A4X2L3V5|A0A4X2L3V5_VOMUR, tr|A0A4X2LEW1|A0A4X2LEW1_VOMUR, tr|A0A4X2LNQ4|A0A4X2LNQ4_VOMUR, tr|A0A4X2KX51|A0A4X2KX51_VOMUR, tr|A0A4X2KX35|A0A4X2KX35_VOMUR, tr|A0A4X2LLA6|A0A4X2LLA6_VOMUR, tr|A0A4X2LEZ2|A0A4X2LEZ2_VOMUR, tr|A0A4X2LCA6|A0A4X2LCA6_VOMUR, tr|A0A4X2LKB7|A0A4X2LKB7_VOMUR, tr|A0A4X2LF54|A0A4X2LF54_VOMUR, tr|A0A4X2KX40|A0A4X2KX40_VOMUR, tr|A0A4X2LER1|A0A4X2LER1_VOMUR, tr|A0A4X2LK26|A0A4X2LK26_VOMUR, tr|A0A4X2L3S3|A0A4X2L3S3_VOMUR, tr|A0A4X2LE47|A0A4X2LE47_VOMUR, tr|A0A4X2LJQ0|A0A4X2LJQ0_VOMUR, tr|A0A4X2LKM0|A0A4X2LKM0_VOMUR, tr|A0A4X2LBK3|A0A4X2LBK3_VOMUR, tr|A0A4X2LBI3|A0A4X2LBI3_VOMUR, tr|A0A4X2LJM3|A0A4X2LJM3_VOMUR, tr|A0A4X2LKC7|A0A4X2LKC7_VOMUR
OG0000022	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A4X2KGQ6|A0A4X2KGQ6_VOMUR
OG0000022	tr|E9Q0Z1|E9Q0Z1_MOUSE	tr|A0A4X2KLR8|A0A4X2KLR8_VOMUR, tr|A0A4X2KG88|A0A4X2KG88_VOMUR, tr|A0A4X2KM39|A0A4X2KM39_VOMUR, tr|A0A4X2KH18|A0A4X2KH18_VOMUR, tr|A0A4X2KPT0|A0A4X2KPT0_VOMUR, tr|A0A4X2KGD3|A0A4X2KGD3_VOMUR, tr|A0A4X2KP39|A0A4X2KP39_VOMUR, tr|A0A4X2KLH9|A0A4X2KLH9_VOMUR, tr|A0A4X2JWU3|A0A4X2JWU3_VOMUR, tr|A0A4X2KPY2|A0A4X2KPY2_VOMUR, tr|A0A4X2KPX7|A0A4X2KPX7_VOMUR, tr|A0A4X2KH36|A0A4X2KH36_VOMUR, tr|A0A4X2KPV3|A0A4X2KPV3_VOMUR, tr|A0A4X2JX11|A0A4X2JX11_VOMUR, tr|A0A4X2JWV3|A0A4X2JWV3_VOMUR, tr|A0A4X2JX13|A0A4X2JX13_VOMUR, tr|A0A4X2JWZ2|A0A4X2JWZ2_VOMUR, tr|A0A4X2LXQ7|A0A4X2LXQ7_VOMUR, tr|A0A4X2M5N2|A0A4X2M5N2_VOMUR, tr|A0A4X2M0J8|A0A4X2M0J8_VOMUR, tr|A0A4X2M0J3|A0A4X2M0J3_VOMUR, tr|A0A4X2M8Q8|A0A4X2M8Q8_VOMUR, tr|A0A4X2M0K4|A0A4X2M0K4_VOMUR, tr|A0A4X2KN73|A0A4X2KN73_VOMUR, tr|A0A4X2JSX5|A0A4X2JSX5_VOMUR, tr|A0A4X2JSX7|A0A4X2JSX7_VOMUR, tr|A0A4X2K370|A0A4X2K370_VOMUR, tr|A0A4X2JSW7|A0A4X2JSW7_VOMUR, tr|A0A4X2M0I7|A0A4X2M0I7_VOMUR, tr|A0A4X2LPS5|A0A4X2LPS5_VOMUR
OG0000024	tr|A0A075B5S4|A0A075B5S4_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, sp|P01823|HVM47_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, sp|P18531|HVM60_MOUSE, sp|P01822|HVM46_MOUSE, sp|P18532|HVM61_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, tr|A0A075B5T1|A0A075B5T1_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, sp|P01820|HVM44_MOUSE, sp|P01819|HVM43_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, tr|A0A075B696|A0A075B696_MOUSE	tr|A0A4X2LA57|A0A4X2LA57_VOMUR
OG0000029	tr|Q9QZ18|Q9QZ18_MOUSE	tr|A0A4X2LMI8|A0A4X2LMI8_VOMUR
OG0000029	tr|Q8VF43|Q8VF43_MOUSE	tr|A0A4X2JVS6|A0A4X2JVS6_VOMUR, tr|A0A4X2K7R9|A0A4X2K7R9_VOMUR, tr|A0A4X2K7U3|A0A4X2K7U3_VOMUR, tr|A0A4X2KFD6|A0A4X2KFD6_VOMUR
OG0000029	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|A0A4X2LMP1|A0A4X2LMP1_VOMUR
OG0000029	tr|Q8VG87|Q8VG87_MOUSE	tr|A0A4X2K313|A0A4X2K313_VOMUR, tr|A0A4X2KXF2|A0A4X2KXF2_VOMUR, tr|A0A4X2LAQ0|A0A4X2LAQ0_VOMUR, tr|A0A4X2M8V1|A0A4X2M8V1_VOMUR, tr|A0A4X2JQD5|A0A4X2JQD5_VOMUR
OG0000029	tr|Q7TS19|Q7TS19_MOUSE	tr|A0A4X2LAY4|A0A4X2LAY4_VOMUR, tr|A0A4X2LAX0|A0A4X2LAX0_VOMUR, tr|A0A4X2LJ05|A0A4X2LJ05_VOMUR, tr|A0A4X2LIY2|A0A4X2LIY2_VOMUR, tr|A0A4X2LAX6|A0A4X2LAX6_VOMUR, tr|A0A4X2LAX9|A0A4X2LAX9_VOMUR
OG0000029	tr|A2AM35|A2AM35_MOUSE	tr|A0A4X2LJV8|A0A4X2LJV8_VOMUR, tr|A0A4X2KSR9|A0A4X2KSR9_VOMUR
OG0000032	tr|Q8VFE2|Q8VFE2_MOUSE	tr|A0A4X2JTS0|A0A4X2JTS0_VOMUR
