Orthogroup	Homo_sapiens	Mandrillus_leucophaeus
OG0000000	sp|Q8NH64|O51A7_HUMAN	tr|A0A2K6AJA4|A0A2K6AJA4_MANLE
OG0000000	sp|Q8NGK2|O52B4_HUMAN	tr|A0A2K5ZHW6|A0A2K5ZHW6_MANLE
OG0000000	sp|Q96RD2|O52B2_HUMAN, sp|Q8NGJ2|O52H1_HUMAN	tr|A0A2K5XIB3|A0A2K5XIB3_MANLE
OG0000000	sp|Q9H346|O52D1_HUMAN	tr|A0A2K6A133|A0A2K6A133_MANLE
OG0000000	sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NH55|O52E5_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q8NH60|O52J3_HUMAN	tr|A0A2K5YRN6|A0A2K5YRN6_MANLE
OG0000000	sp|Q8TCB6|O51E1_HUMAN, sp|Q8NGF3|O51D1_HUMAN, sp|Q9H255|O51E2_HUMAN	tr|A0A2K5XHY9|A0A2K5XHY9_MANLE
OG0000000	sp|Q8NGK1|O51G1_HUMAN	tr|A0A2K5YPI4|A0A2K5YPI4_MANLE
OG0000000	sp|Q9H340|O51B6_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN	tr|A0A2K5XCS9|A0A2K5XCS9_MANLE
OG0000000	tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NH61|O51F2_HUMAN	tr|A0A2K5ZG50|A0A2K5ZG50_MANLE
OG0000000	sp|Q9H344|O51I2_HUMAN, sp|Q9H343|O51I1_HUMAN	tr|A0A2K5YTW6|A0A2K5YTW6_MANLE
OG0000001	sp|Q13606|OR5I1_HUMAN	tr|A0A2K5XL72|A0A2K5XL72_MANLE
OG0000001	sp|A6NL26|OR5BL_HUMAN	tr|A0A2K5XSI1|A0A2K5XSI1_MANLE
OG0000001	sp|Q96R09|OR5B2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN	tr|A0A2K5XKY6|A0A2K5XKY6_MANLE
OG0000001	sp|Q8N127|O5AS1_HUMAN, sp|Q8NGC0|O5AU1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN	tr|A0A2K5ZPY9|A0A2K5ZPY9_MANLE
OG0000001	sp|Q8NH87|OR9G1_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN, sp|Q8NGG5|OR8K1_HUMAN	tr|A0A2K5XF69|A0A2K5XF69_MANLE
OG0000003	sp|O95780|ZN682_HUMAN	tr|A0A2K5ZA45|A0A2K5ZA45_MANLE
OG0000003	sp|O75346|ZN253_HUMAN	tr|A0A2K5Z784|A0A2K5Z784_MANLE, tr|A0A2K5XET6|A0A2K5XET6_MANLE, tr|A0A2K5Z2M8|A0A2K5Z2M8_MANLE, tr|A0A2K5YBB3|A0A2K5YBB3_MANLE, tr|A0A2K5ZFH9|A0A2K5ZFH9_MANLE, tr|A0A2K6A3M2|A0A2K6A3M2_MANLE, tr|A0A2K5ZAP5|A0A2K5ZAP5_MANLE, tr|A0A2K6AB31|A0A2K6AB31_MANLE, tr|A0A2K5XKQ3|A0A2K5XKQ3_MANLE, tr|A0A2K5XC20|A0A2K5XC20_MANLE, tr|A0A2K5ZNW3|A0A2K5ZNW3_MANLE, tr|A0A2K5XE57|A0A2K5XE57_MANLE, tr|A0A2K5Z580|A0A2K5Z580_MANLE, tr|A0A2K5YG57|A0A2K5YG57_MANLE, tr|A0A2K5XAH2|A0A2K5XAH2_MANLE, tr|A0A2K5YHX8|A0A2K5YHX8_MANLE, tr|A0A2K5ZBJ0|A0A2K5ZBJ0_MANLE, tr|A0A2K5Z9M0|A0A2K5Z9M0_MANLE, tr|A0A2K5XF27|A0A2K5XF27_MANLE, tr|A0A2K6AA19|A0A2K6AA19_MANLE, tr|A0A2K5ZUH5|A0A2K5ZUH5_MANLE, tr|A0A2K5ZEU7|A0A2K5ZEU7_MANLE, tr|A0A2K5ZCW2|A0A2K5ZCW2_MANLE, tr|A0A2K5YGH0|A0A2K5YGH0_MANLE, tr|A0A2K5YI52|A0A2K5YI52_MANLE, tr|A0A2K5XGF7|A0A2K5XGF7_MANLE, tr|A0A2K5Z2J6|A0A2K5Z2J6_MANLE, tr|A0A2K5YPD3|A0A2K5YPD3_MANLE, tr|A0A2K5YLF0|A0A2K5YLF0_MANLE, tr|A0A2K5Y7Q5|A0A2K5Y7Q5_MANLE, tr|A0A2K5ZP88|A0A2K5ZP88_MANLE, tr|A0A2K5XTX8|A0A2K5XTX8_MANLE, tr|A0A2K5Z2K3|A0A2K5Z2K3_MANLE, tr|A0A2K5YNA2|A0A2K5YNA2_MANLE, tr|A0A2K6ADH3|A0A2K6ADH3_MANLE, tr|A0A2K6A4V8|A0A2K6A4V8_MANLE, tr|A0A2K5Z1D8|A0A2K5Z1D8_MANLE, tr|A0A2K5ZTY7|A0A2K5ZTY7_MANLE
OG0000004	sp|Q8NH06|OR1P1_HUMAN	tr|A0A2K5XD18|A0A2K5XD18_MANLE
OG0000004	sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN	tr|A0A2K5YFG1|A0A2K5YFG1_MANLE
OG0000004	sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN	tr|A0A2K5XYZ9|A0A2K5XYZ9_MANLE
OG0000006	sp|Q8NHB1|OR2V1_HUMAN	tr|A0A2K5YYS8|A0A2K5YYS8_MANLE
OG0000006	sp|Q96R27|OR2M4_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q96R28|OR2M2_HUMAN	tr|A0A2K5XTV9|A0A2K5XTV9_MANLE
OG0000006	sp|Q6IF00|OR2T2_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN	tr|A0A2K5XDU1|A0A2K5XDU1_MANLE
OG0000007	sp|Q8N7X4|MAGB6_HUMAN	tr|A0A2K5XW76|A0A2K5XW76_MANLE
OG0000007	sp|P43361|MAGA8_HUMAN	tr|A0A2K5YLR8|A0A2K5YLR8_MANLE
OG0000007	sp|P43358|MAGA4_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43359|MAGA5_HUMAN, sp|P43355|MAGA1_HUMAN	tr|A0A2K5YXB8|A0A2K5YXB8_MANLE
OG0000007	sp|P43363|MAGAA_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|Q8TD91|MAGC3_HUMAN	tr|A0A2K5YKU5|A0A2K5YKU5_MANLE
OG0000007	sp|O15479|MAGB2_HUMAN, sp|P43366|MAGB1_HUMAN, sp|O15481|MAGB4_HUMAN	tr|A0A2K5ZC56|A0A2K5ZC56_MANLE
OG0000008	sp|A6NMZ5|O4C45_HUMAN	tr|A0A2K5Y6S1|A0A2K5Y6S1_MANLE
OG0000008	sp|Q8NGF8|OR4B1_HUMAN	tr|A0A2K5XF50|A0A2K5XF50_MANLE
OG0000008	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A2K5XXU0|A0A2K5XXU0_MANLE
OG0000008	sp|Q8NH49|OR4X1_HUMAN	tr|A0A2K5ZKE1|A0A2K5ZKE1_MANLE
OG0000008	sp|Q8NGL7|OR4P4_HUMAN, sp|Q8NGB4|OR4S1_HUMAN, sp|Q8NH73|OR4S2_HUMAN	tr|A0A2K5XGM8|A0A2K5XGM8_MANLE
OG0000008	sp|Q8NGL6|O4A15_HUMAN, sp|Q8NGN8|OR4A4_HUMAN, sp|Q6IF82|O4A47_HUMAN, sp|Q8NH70|O4A16_HUMAN, sp|Q8NH83|OR4A5_HUMAN, sp|P0C604|OR4A8_HUMAN	tr|A0A2K5XAE4|A0A2K5XAE4_MANLE
OG0000009	sp|A6NJZ3|O6C65_HUMAN	tr|A0A2K5ZAZ4|A0A2K5ZAZ4_MANLE
OG0000009	sp|A6NCV1|O6C74_HUMAN	tr|A0A2K5XL17|A0A2K5XL17_MANLE
OG0000009	sp|A6NDL8|O6C68_HUMAN, sp|Q9NZP2|OR6C2_HUMAN	tr|A0A2K5XWQ7|A0A2K5XWQ7_MANLE
OG0000009	sp|A6NL08|O6C75_HUMAN	tr|A0A2K5XNV2|A0A2K5XNV2_MANLE
OG0000009	sp|Q96RD1|OR6C1_HUMAN, sp|Q9NZP0|OR6C3_HUMAN	tr|A0A2K5ZBT5|A0A2K5ZBT5_MANLE
OG0000009	sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NH40|OR6S1_HUMAN, sp|Q8NGZ6|OR6F1_HUMAN, sp|Q8NH79|OR6X1_HUMAN, sp|Q8NGT5|OR9A2_HUMAN, sp|Q8NGU2|OR9A4_HUMAN, sp|Q8NGU1|OR9A1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN, sp|Q8NGE2|O2AP1_HUMAN, sp|Q8NGE1|OR6C4_HUMAN	tr|A0A2K5XN35|A0A2K5XN35_MANLE
OG0000011	sp|Q6S8J7|POTEA_HUMAN	tr|A0A2K5YCK5|A0A2K5YCK5_MANLE
OG0000011	sp|A5A3E0|POTEF_HUMAN, sp|P60709|ACTB_HUMAN, sp|P63267|ACTH_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|P68032|ACTC_HUMAN, sp|Q9BYD9|ACTT3_HUMAN, sp|Q8TC94|ACTL9_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|P63261|ACTG_HUMAN, sp|Q9BYX7|ACTBM_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|Q6S5H5|POTEG_HUMAN, sp|A6NI47|POTEM_HUMAN, sp|Q6S545|POTEH_HUMAN, sp|B2RU33|POTEC_HUMAN, sp|Q86YR6|POTED_HUMAN, sp|H3BUK9|POTB2_HUMAN, sp|A0A0A6YYL3|POTEB_HUMAN, sp|A0JP26|POTB3_HUMAN	tr|A0A2K5ZVC9|A0A2K5ZVC9_MANLE
OG0000014	sp|O95918|OR2H2_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95371|OR2C1_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|Q8NGU4|OR2I1_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|Q7Z3T1|OR2W3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|Q9Y3N9|OR2W1_HUMAN, sp|O76001|OR2J3_HUMAN, sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|Q8N628|OR2C3_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|O76000|OR2B3_HUMAN, sp|Q9H210|OR2D2_HUMAN, sp|Q8NGH3|OR2D3_HUMAN, sp|A6NFC9|OR2W5_HUMAN	tr|A0A2K5YFN5|A0A2K5YFN5_MANLE
OG0000015	sp|P30954|O10J1_HUMAN	tr|A0A2K5Y5A6|A0A2K5Y5A6_MANLE
OG0000015	sp|Q8NGX3|O10T2_HUMAN, sp|Q8NGX6|O10R2_HUMAN	tr|A0A2K5XVC1|A0A2K5XVC1_MANLE
OG0000015	sp|Q8NGX5|O10K1_HUMAN, sp|Q6IF99|O10K2_HUMAN, sp|Q8NGY0|O10X1_HUMAN, sp|Q8NGA6|O10H5_HUMAN, sp|Q9Y4A9|O10H1_HUMAN, sp|O60403|O10H2_HUMAN, sp|Q8NGA5|O10H4_HUMAN, sp|O60404|O10H3_HUMAN	tr|A0A2K5YCJ1|A0A2K5YCJ1_MANLE
OG0000015	sp|P0C629|O10J4_HUMAN, sp|Q5JRS4|O10J3_HUMAN	tr|A0A2K5YZF1|A0A2K5YZF1_MANLE
OG0000015	sp|Q8NGY7|O10J6_HUMAN, sp|Q8NHC4|O10J5_HUMAN	tr|A0A2K5Y2T9|A0A2K5Y2T9_MANLE
OG0000017	sp|Q99853|FOXB1_HUMAN	tr|A0A2K5ZC12|A0A2K5ZC12_MANLE
OG0000017	sp|Q5VYV0|FOXB2_HUMAN, sp|Q6VB84|FX4L3_HUMAN, sp|Q3SYB3|FX4L6_HUMAN, sp|Q5VV16|FX4L5_HUMAN, sp|Q8WXT5|FX4L4_HUMAN, sp|Q12950|FOXD4_HUMAN, sp|Q9NU39|FX4L1_HUMAN, sp|O60548|FOXD2_HUMAN, sp|Q16676|FOXD1_HUMAN, sp|Q9UJU5|FOXD3_HUMAN, sp|O00358|FOXE1_HUMAN, sp|Q13461|FOXE3_HUMAN, sp|O43638|FOXS1_HUMAN, sp|Q6ZQN5|FOXI2_HUMAN, sp|Q9C009|FOXQ1_HUMAN, sp|Q12946|FOXF1_HUMAN, sp|Q12947|FOXF2_HUMAN, sp|P58012|FOXL2_HUMAN, sp|A0A1W2PRP0|FOXL3_HUMAN, sp|Q12952|FOXL1_HUMAN	tr|A0A2K5XRU4|A0A2K5XRU4_MANLE
OG0000018	sp|P15880|RS2_HUMAN	tr|A0A2K5ZMC5|A0A2K5ZMC5_MANLE, tr|A0A2K5ZRQ3|A0A2K5ZRQ3_MANLE, tr|A0A2K5Y5L7|A0A2K5Y5L7_MANLE, tr|A0A2K5Z4P7|A0A2K5Z4P7_MANLE, tr|A0A2K6AK15|A0A2K6AK15_MANLE, tr|A0A2K5YTP1|A0A2K5YTP1_MANLE, tr|A0A2K5YLF3|A0A2K5YLF3_MANLE, tr|A0A2K5Z287|A0A2K5Z287_MANLE, tr|A0A2K5XJI3|A0A2K5XJI3_MANLE, tr|A0A2K5ZPR7|A0A2K5ZPR7_MANLE, tr|A0A2K6AIA6|A0A2K6AIA6_MANLE, tr|A0A2K5XMX0|A0A2K5XMX0_MANLE, tr|A0A2K5X9X4|A0A2K5X9X4_MANLE, tr|A0A2K5XRB3|A0A2K5XRB3_MANLE, tr|A0A2K5Y5X3|A0A2K5Y5X3_MANLE, tr|A0A2K5XAE7|A0A2K5XAE7_MANLE, tr|A0A2K5ZFX8|A0A2K5ZFX8_MANLE, tr|A0A2K5YIY2|A0A2K5YIY2_MANLE, tr|A0A2K6AH71|A0A2K6AH71_MANLE, tr|A0A2K5ZU45|A0A2K5ZU45_MANLE, tr|A0A2K6A4G0|A0A2K6A4G0_MANLE, tr|A0A2K6AJN1|A0A2K6AJN1_MANLE
