Orthogroup	Homo_sapiens	Sapajus_apella
OG0000003	sp|Q8NH63|O51H1_HUMAN	tr|A0A6J3EQM8|A0A6J3EQM8_SAPAP
OG0000003	sp|Q9H344|O51I2_HUMAN	tr|A0A6J3EQQ5|A0A6J3EQQ5_SAPAP
OG0000003	sp|Q9H343|O51I1_HUMAN	tr|A0A6J3EWD6|A0A6J3EWD6_SAPAP, tr|A0A6J3ES38|A0A6J3ES38_SAPAP, tr|A0A6J3EVK5|A0A6J3EVK5_SAPAP
OG0000003	sp|Q8NH61|O51F2_HUMAN	tr|A0A6J3EWB7|A0A6J3EWB7_SAPAP
OG0000003	sp|A6NGY5|O51F1_HUMAN	tr|A0A6J3EVZ7|A0A6J3EVZ7_SAPAP
OG0000003	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A6J3ERZ5|A0A6J3ERZ5_SAPAP, tr|A0A6J3EVC5|A0A6J3EVC5_SAPAP, tr|A0A6J3EVI3|A0A6J3EVI3_SAPAP, tr|A0A6J3EP58|A0A6J3EP58_SAPAP
OG0000003	sp|Q9H341|O51M1_HUMAN	tr|A0A6J3EVK1|A0A6J3EVK1_SAPAP
OG0000003	sp|Q8NGK1|O51G1_HUMAN	tr|A0A6J3EVI9|A0A6J3EVI9_SAPAP
OG0000003	sp|Q8NGK0|O51G2_HUMAN	tr|A0A6J3ES09|A0A6J3ES09_SAPAP
OG0000003	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A6J3EQN8|A0A6J3EQN8_SAPAP
OG0000003	sp|Q9H2C8|O51V1_HUMAN	tr|A0A6J3EQP3|A0A6J3EQP3_SAPAP, tr|A0A6J3EVD1|A0A6J3EVD1_SAPAP, tr|A0A6J3EUQ6|A0A6J3EUQ6_SAPAP
OG0000004	sp|Q8NGB2|OR4C5_HUMAN	tr|A0A6J3I7S2|A0A6J3I7S2_SAPAP
OG0000004	sp|A6NMZ5|O4C45_HUMAN	tr|A0A6J3I6Z1|A0A6J3I6Z1_SAPAP
OG0000004	sp|Q8NGP0|OR4CD_HUMAN	tr|A0A6J3I7W6|A0A6J3I7W6_SAPAP
OG0000004	sp|A6NHA9|O4C46_HUMAN	tr|A0A6J3I6Z4|A0A6J3I6Z4_SAPAP
OG0000004	sp|Q96R67|OR4CC_HUMAN	tr|A0A6J3I736|A0A6J3I736_SAPAP, tr|A0A6J3I7N3|A0A6J3I7N3_SAPAP
OG0000004	sp|Q8NGF9|OR4X2_HUMAN	tr|A0A6J3I6Z6|A0A6J3I6Z6_SAPAP
OG0000004	sp|Q8NH73|OR4S2_HUMAN	tr|A0A6J3GGQ6|A0A6J3GGQ6_SAPAP, tr|A0A6J3I8P3|A0A6J3I8P3_SAPAP
OG0000004	sp|Q6IEV9|OR4CB_HUMAN	tr|A0A6J3I7V6|A0A6J3I7V6_SAPAP
OG0000004	sp|Q8NGL9|OR4CG_HUMAN	tr|A0A6J3I732|A0A6J3I732_SAPAP, tr|A0A6J3I6Y4|A0A6J3I6Y4_SAPAP
OG0000004	sp|Q8NGL6|O4A15_HUMAN	tr|A0A6J3I8U0|A0A6J3I8U0_SAPAP
OG0000004	sp|P0C604|OR4A8_HUMAN	tr|A0A6J3I8P8|A0A6J3I8P8_SAPAP
OG0000004	sp|Q8NH83|OR4A5_HUMAN	tr|A0A6J3I6Y9|A0A6J3I6Y9_SAPAP, tr|A0A6J3I7W1|A0A6J3I7W1_SAPAP
OG0000004	sp|Q8NH70|O4A16_HUMAN	tr|A0A6J3I7M9|A0A6J3I7M9_SAPAP, tr|A0A6J3I7M5|A0A6J3I7M5_SAPAP
OG0000004	sp|Q8NGM1|OR4CF_HUMAN, sp|Q8NH37|OR4C3_HUMAN	tr|A0A6J3I7X1|A0A6J3I7X1_SAPAP
OG0000004	sp|Q8NH72|OR4C6_HUMAN	tr|A0A6J3I729|A0A6J3I729_SAPAP, tr|A0A6J3I6X6|A0A6J3I6X6_SAPAP
