Orthogroup	Mus_musculus	Marmota_marmota_marmota
OG0000001	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A8C6EQA9|A0A8C6EQA9_MARMA
OG0000001	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8C5Z4A5|A0A8C5Z4A5_MARMA
OG0000001	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8C6EQR8|A0A8C6EQR8_MARMA
OG0000001	sp|Q3V080|ZN583_MOUSE	tr|A0A8C5YKB3|A0A8C5YKB3_MARMA, tr|A0A8C5ZHH3|A0A8C5ZHH3_MARMA
OG0000001	tr|Q5U406|Q5U406_MOUSE	tr|A0A8C5YVV0|A0A8C5YVV0_MARMA
OG0000001	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8C5YTI0|A0A8C5YTI0_MARMA
OG0000001	sp|Q60585|ZFP30_MOUSE	tr|A0A8C6ENX1|A0A8C6ENX1_MARMA
OG0000001	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8C6ENY2|A0A8C6ENY2_MARMA
OG0000001	tr|A0A1D5RMC2|A0A1D5RMC2_MOUSE	tr|A0A8C5YSJ9|A0A8C5YSJ9_MARMA, tr|A0A8C5Z378|A0A8C5Z378_MARMA, tr|A0A8C5YXP7|A0A8C5YXP7_MARMA, tr|A0A8C5Z2A6|A0A8C5Z2A6_MARMA, tr|A0A8C6ESS5|A0A8C6ESS5_MARMA, tr|A0A8C5ZGD2|A0A8C5ZGD2_MARMA, tr|A0A8C5ZEH8|A0A8C5ZEH8_MARMA, tr|A0A8C6EYE1|A0A8C6EYE1_MARMA, tr|A0A8C5Z684|A0A8C5Z684_MARMA, tr|A0A8C6ETQ0|A0A8C6ETQ0_MARMA
OG0000001	tr|Q3TFZ4|Q3TFZ4_MOUSE	tr|A0A8C5YJK1|A0A8C5YJK1_MARMA, tr|A0A8C5YZE0|A0A8C5YZE0_MARMA, tr|A0A8C6EV33|A0A8C6EV33_MARMA, tr|A0A8C5ZNV3|A0A8C5ZNV3_MARMA, tr|A0A8C5YXN6|A0A8C5YXN6_MARMA, tr|A0A8C5YWQ7|A0A8C5YWQ7_MARMA, tr|A0A8C5YVC5|A0A8C5YVC5_MARMA, tr|A0A8C6EMJ4|A0A8C6EMJ4_MARMA, tr|A0A8C5ZPL0|A0A8C5ZPL0_MARMA, tr|A0A8C5ZP57|A0A8C5ZP57_MARMA, tr|A0A8C5Z6C4|A0A8C5Z6C4_MARMA, tr|A0A8C6EPC5|A0A8C6EPC5_MARMA, tr|A0A8C5ZS74|A0A8C5ZS74_MARMA, tr|A0A8C5YVE2|A0A8C5YVE2_MARMA, tr|A0A8C5YUI2|A0A8C5YUI2_MARMA, tr|A0A8C5Z2R4|A0A8C5Z2R4_MARMA, tr|A0A8C5Z231|A0A8C5Z231_MARMA, tr|A0A8C5Z4P9|A0A8C5Z4P9_MARMA
