Orthogroup	Homo_sapiens	Chinchilla_lanigera
OG0000001	sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN	tr|A0A8C2YV37|A0A8C2YV37_CHILA
OG0000001	sp|Q8NH50|OR8K5_HUMAN, sp|Q8NH51|OR8K3_HUMAN	tr|A0A8C2V1V1|A0A8C2V1V1_CHILA
OG0000001	sp|Q8NGG5|OR8K1_HUMAN	tr|A0A8C2YS18|A0A8C2YS18_CHILA
OG0000001	sp|Q8NGR4|OR5C1_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8NGJ0|OR5A1_HUMAN, sp|P0C626|OR5G3_HUMAN	tr|A0A8C2VEA4|A0A8C2VEA4_CHILA
OG0000001	sp|Q9NZP5|O5AC2_HUMAN, sp|P0C628|O5AC1_HUMAN, sp|P0DN80|OR5H8_HUMAN, sp|Q8NGV7|OR5H2_HUMAN, sp|Q8NGV6|OR5H6_HUMAN, sp|A6NHG9|O5H14_HUMAN, sp|A6NKK0|OR5H1_HUMAN, sp|A6NDH6|O5H15_HUMAN, sp|A6NET4|OR5K3_HUMAN, sp|A6NMS3|OR5K4_HUMAN, sp|Q8NHB7|OR5K1_HUMAN, sp|Q8NHB8|OR5K2_HUMAN	tr|A0A8C2W603|A0A8C2W603_CHILA
OG0000002	sp|Q9H342|O51J1_HUMAN	tr|A0A8C2WDQ0|A0A8C2WDQ0_CHILA, tr|A0A8C2W6D1|A0A8C2W6D1_CHILA, tr|A0A8C2W6I9|A0A8C2W6I9_CHILA
OG0000002	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8C2W6P2|A0A8C2W6P2_CHILA
OG0000002	sp|Q8NH61|O51F2_HUMAN	tr|A0A8C2W978|A0A8C2W978_CHILA
OG0000002	sp|A6NGY5|O51F1_HUMAN	tr|A0A8C2W2L9|A0A8C2W2L9_CHILA
OG0000002	sp|Q8NH59|O51Q1_HUMAN	tr|A0A8C2WEX0|A0A8C2WEX0_CHILA
OG0000002	sp|Q9H2C8|O51V1_HUMAN	tr|A0A8C2YV96|A0A8C2YV96_CHILA, tr|A0A8C2WBA8|A0A8C2WBA8_CHILA, tr|A0A8C2W6E7|A0A8C2W6E7_CHILA, tr|A0A8C2WAY4|A0A8C2WAY4_CHILA, tr|A0A8C2W6D0|A0A8C2W6D0_CHILA, tr|A0A8C2W6G8|A0A8C2W6G8_CHILA, tr|A0A8C2W1W6|A0A8C2W1W6_CHILA
OG0000002	sp|Q8NH63|O51H1_HUMAN	tr|A0A8C2YUQ2|A0A8C2YUQ2_CHILA, tr|A0A8C2W6B1|A0A8C2W6B1_CHILA, tr|A0A8C2YV97|A0A8C2YV97_CHILA, tr|A0A8C2WAX7|A0A8C2WAX7_CHILA, tr|A0A8C2WF13|A0A8C2WF13_CHILA, tr|A0A8C2YV88|A0A8C2YV88_CHILA, tr|A0A8C2VZC9|A0A8C2VZC9_CHILA
OG0000003	tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP03|HVC05_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P01763|HV348_HUMAN, sp|P01780|HV307_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, sp|P01762|HV311_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN	tr|A0A8C2UR39|A0A8C2UR39_CHILA
