Orthogroup	Homo_sapiens	Delphinapterus_leucas
OG0000000	sp|Q8NGI8|O5AN1_HUMAN	tr|A0A7F8KFM9|A0A7F8KFM9_DELLE
OG0000000	sp|Q8NGQ6|OR9I1_HUMAN, sp|Q8NH18|OR5J2_HUMAN, sp|Q8NH69|OR5W2_HUMAN, sp|Q8NGG3|OR5T3_HUMAN, sp|Q8NG75|OR5T1_HUMAN, sp|Q8NGG2|OR5T2_HUMAN, sp|Q8NGF4|O5AP2_HUMAN, sp|Q8N127|O5AS1_HUMAN, sp|P0C626|OR5G3_HUMAN, sp|Q13606|OR5I1_HUMAN, sp|Q8NGL0|OR5L2_HUMAN, sp|Q8NGL2|OR5L1_HUMAN, sp|Q8NGK9|OR5DG_HUMAN, sp|Q8NGL1|OR5DI_HUMAN, sp|Q8NGL3|OR5DE_HUMAN, tr|A0A2R8Y4L6|A0A2R8Y4L6_HUMAN, sp|Q8NGL4|OR5DD_HUMAN, sp|Q8NGP9|O5AR1_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R09|OR5B2_HUMAN, sp|A6NL26|OR5BL_HUMAN	tr|A0A2Y9MJT2|A0A2Y9MJT2_DELLE
OG0000000	sp|Q9UGF7|O12D3_HUMAN, sp|P58182|O12D2_HUMAN, sp|P0DN82|O12D1_HUMAN, sp|P47881|OR3A1_HUMAN, sp|P47893|OR3A2_HUMAN, sp|P47883|OR3A4_HUMAN, sp|Q8NGR1|O13A1_HUMAN, sp|Q8NGZ3|O13G1_HUMAN, sp|A6ND48|O14I1_HUMAN, sp|Q9UGF5|O14J1_HUMAN, sp|Q8NHC5|O14AG_HUMAN, sp|Q8NGZ2|O14K1_HUMAN, sp|Q8NH90|O5AK2_HUMAN, sp|Q8NH89|O5AK3_HUMAN, sp|Q8N146|OR8H3_HUMAN, sp|Q8N162|OR8H2_HUMAN, sp|Q8NGG4|OR8H1_HUMAN, sp|Q8N0Y5|OR8I2_HUMAN, sp|O95221|OR5F1_HUMAN, sp|Q8NGP4|OR5M3_HUMAN, sp|Q8NGP3|OR5M9_HUMAN, sp|Q8NGP6|OR5M8_HUMAN, sp|Q6IEU7|OR5MA_HUMAN, sp|Q8NGP8|OR5M1_HUMAN, sp|Q96RB7|OR5MB_HUMAN, sp|P0C617|O5AL1_HUMAN, sp|P0C7N1|OR8U8_HUMAN, sp|Q8NH10|OR8U1_HUMAN, sp|P0C7N5|OR8U9_HUMAN, sp|Q8NH85|OR5R1_HUMAN, sp|Q8NGP2|OR8J1_HUMAN, sp|Q8NGG0|OR8J3_HUMAN, sp|Q8NGG1|OR8J2_HUMAN, sp|Q8NGG5|OR8K1_HUMAN, sp|Q8NH51|OR8K3_HUMAN, sp|Q8NH50|OR8K5_HUMAN	tr|A0A2Y9N5W2|A0A2Y9N5W2_DELLE
OG0000000	sp|Q8NGM9|OR8D4_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q8NGG6|OR8BC_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q8NGC0|O5AU1_HUMAN	tr|A0A7F8KEX7|A0A7F8KEX7_DELLE
OG0000002	sp|Q8NH55|O52E5_HUMAN	tr|A0A2Y9MD55|A0A2Y9MD55_DELLE
OG0000002	sp|Q8NGJ4|O52E2_HUMAN, sp|Q8NGJ3|O52E1_HUMAN, sp|Q8NGH9|O52E4_HUMAN, sp|Q96RD3|O52E6_HUMAN, sp|Q6IFG1|O52E8_HUMAN, sp|Q8NH60|O52J3_HUMAN, sp|Q9H346|O52D1_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q8NGF0|O52B6_HUMAN, sp|Q8NGK2|O52B4_HUMAN, sp|Q96RD2|O52B2_HUMAN, sp|Q8NGJ2|O52H1_HUMAN, sp|Q8NGF1|O52R1_HUMAN, sp|Q9H2C5|O52A5_HUMAN, sp|A6NMU1|O52A4_HUMAN, sp|Q9UKL2|O52A1_HUMAN, sp|Q8NGI2|O52N4_HUMAN, sp|Q8NH56|O52N5_HUMAN, sp|Q8NGI0|O52N2_HUMAN, sp|Q8NH53|O52N1_HUMAN, sp|Q8NGH6|O52L2_HUMAN, sp|Q8NGH7|O52L1_HUMAN, sp|Q8NH57|O52P1_HUMAN, sp|Q8NH67|O52I2_HUMAN, sp|Q8NGK6|O52I1_HUMAN, sp|Q8NGK4|O52K1_HUMAN, sp|Q8NGK3|O52K2_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN, sp|Q9H341|O51M1_HUMAN, sp|A6NGY5|O51F1_HUMAN, sp|Q8NGJ9|O51T1_HUMAN, sp|Q8NH61|O51F2_HUMAN, tr|A0A3B3IT45|A0A3B3IT45_HUMAN, sp|Q8NH59|O51Q1_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NH64|O51A7_HUMAN, sp|Q9H344|O51I2_HUMAN, sp|Q9H343|O51I1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q8NGJ8|O51S1_HUMAN, sp|Q8NGJ5|O51L1_HUMAN, sp|Q8NGK1|O51G1_HUMAN, sp|Q8NGK0|O51G2_HUMAN, sp|Q9H255|O51E2_HUMAN, sp|Q9H342|O51J1_HUMAN, sp|Q8NGK5|O52M1_HUMAN	tr|A0A2Y9MN30|A0A2Y9MN30_DELLE
OG0000004	sp|O60431|OR1I1_HUMAN, sp|P47884|OR1D4_HUMAN, sp|P58170|OR1D5_HUMAN, sp|P34982|OR1D2_HUMAN, sp|Q8NGR9|OR1N2_HUMAN, sp|P47888|OR3A3_HUMAN, sp|Q8NGR6|OR1B1_HUMAN, tr|A0A286YEU6|A0A286YEU6_HUMAN, sp|Q8NH93|OR1L3_HUMAN, sp|Q8NH94|OR1L1_HUMAN, sp|Q8NGR8|OR1L8_HUMAN, sp|Q8NGR5|OR1L4_HUMAN, sp|Q8NGR2|OR1L6_HUMAN, sp|Q15612|OR1Q1_HUMAN, sp|Q9Y585|OR1A2_HUMAN, sp|Q9P1Q5|OR1A1_HUMAN, sp|Q15619|OR1C1_HUMAN, sp|Q8NHA8|OR1FC_HUMAN, sp|O43749|OR1F1_HUMAN, sp|Q96R84|OR1F2_HUMAN, sp|Q8NGS3|OR1J1_HUMAN, sp|Q8NGS2|OR1J2_HUMAN, sp|Q8NGS1|OR1J4_HUMAN, sp|P47887|OR1E2_HUMAN, sp|P30953|OR1E1_HUMAN, sp|Q8WZA6|OR1E3_HUMAN, sp|Q8NGS0|OR1N1_HUMAN, sp|Q8NH06|OR1P1_HUMAN, sp|Q8NGQ3|OR1S2_HUMAN, sp|Q8NH92|OR1S1_HUMAN, sp|Q8NGA1|OR1M1_HUMAN, sp|P47890|OR1G1_HUMAN, sp|Q8NG98|OR7D4_HUMAN, sp|Q96RA2|OR7D2_HUMAN, sp|Q8NGA2|OR7A2_HUMAN, sp|O76100|OR7AA_HUMAN, sp|O14581|OR7AH_HUMAN, sp|Q15622|OR7A5_HUMAN, sp|Q6IFN5|O7E24_HUMAN, sp|Q8NG95|OR7G3_HUMAN, sp|Q8NG99|OR7G2_HUMAN, sp|Q8NGA0|OR7G1_HUMAN, sp|O60412|OR7C2_HUMAN, sp|O76099|OR7C1_HUMAN	tr|A0A2Y9M4C8|A0A2Y9M4C8_DELLE
OG0000007	sp|Q9HCX3|ZN304_HUMAN	tr|A0A2Y9MN61|A0A2Y9MN61_DELLE, tr|A0A2Y9MNH1|A0A2Y9MNH1_DELLE
OG0000007	sp|Q8TAW3|ZN671_HUMAN	tr|A0A2Y9MTQ0|A0A2Y9MTQ0_DELLE, tr|A0A2Y9MHQ4|A0A2Y9MHQ4_DELLE, tr|A0A2Y9MTK5|A0A2Y9MTK5_DELLE, tr|A0A7F8KA49|A0A7F8KA49_DELLE, tr|A0A7F8K371|A0A7F8K371_DELLE, tr|A0A2Y9MF89|A0A2Y9MF89_DELLE, tr|A0A7F8K8U7|A0A7F8K8U7_DELLE, tr|A0A7F8K7H1|A0A7F8K7H1_DELLE, tr|A0A2Y9ME16|A0A2Y9ME16_DELLE, tr|A0A2Y9ME20|A0A2Y9ME20_DELLE, tr|A0A2Y9ME11|A0A2Y9ME11_DELLE, tr|A0A7F8KD13|A0A7F8KD13_DELLE, tr|A0A7F8K363|A0A7F8K363_DELLE, tr|A0A7F8K8U2|A0A7F8K8U2_DELLE, tr|A0A2Y9MN66|A0A2Y9MN66_DELLE, tr|A0A7F8K360|A0A7F8K360_DELLE, tr|A0A2Y9MNE3|A0A2Y9MNE3_DELLE, tr|A0A2Y9MTQ4|A0A2Y9MTQ4_DELLE, tr|A0A2Y9MHU3|A0A2Y9MHU3_DELLE, tr|A0A7F8K6A0|A0A7F8K6A0_DELLE, tr|A0A7F8K8J8|A0A7F8K8J8_DELLE, tr|A0A2Y9MFD2|A0A2Y9MFD2_DELLE, tr|A0A2Y9MFH9|A0A2Y9MFH9_DELLE, tr|A0A2Y9MND9|A0A2Y9MND9_DELLE, tr|A0A2Y9MTS1|A0A2Y9MTS1_DELLE, tr|A0A2Y9ME42|A0A2Y9ME42_DELLE, tr|A0A2Y9MHP3|A0A2Y9MHP3_DELLE, tr|A0A2Y9ME68|A0A2Y9ME68_DELLE, tr|A0A2Y9MHS3|A0A2Y9MHS3_DELLE, tr|A0A2Y9MTN7|A0A2Y9MTN7_DELLE, tr|A0A7F8K6A6|A0A7F8K6A6_DELLE, tr|A0A7F8KC26|A0A7F8KC26_DELLE
OG0000008	sp|Q8NHB1|OR2V1_HUMAN, sp|Q96R30|OR2V2_HUMAN, sp|Q6IF00|OR2T2_HUMAN, sp|Q8NGX2|O2T35_HUMAN, sp|Q8NH01|O2T11_HUMAN, sp|Q8NHC8|OR2T6_HUMAN, sp|O43869|OR2T1_HUMAN, sp|Q8NH04|O2T27_HUMAN, sp|P0C7T2|OR2T7_HUMAN, sp|Q8NH02|O2T29_HUMAN, sp|Q6IEZ7|OR2T5_HUMAN, sp|Q8NH00|OR2T4_HUMAN, sp|Q8NGZ9|O2T10_HUMAN, sp|Q8NGX1|O2T34_HUMAN, sp|Q8NH03|OR2T3_HUMAN, sp|Q8NGZ0|O2AJ1_HUMAN, sp|Q8NHA4|O2AE1_HUMAN, sp|Q8NG84|O2AK2_HUMAN, sp|Q8NGY9|OR2L8_HUMAN, sp|Q8NG85|OR2L3_HUMAN, sp|Q8NG80|OR2L5_HUMAN, sp|Q8NH16|OR2L2_HUMAN, sp|Q8N349|OR2LD_HUMAN, sp|A6NM03|O2AG2_HUMAN, sp|Q9H205|O2AG1_HUMAN, sp|Q8NG97|OR2Z1_HUMAN, sp|Q8NG81|OR2M7_HUMAN, sp|A3KFT3|OR2M5_HUMAN, sp|Q8NG83|OR2M3_HUMAN, sp|Q96R28|OR2M2_HUMAN, sp|Q96R27|OR2M4_HUMAN, sp|A6NH00|OR2T8_HUMAN, sp|Q8NG77|O2T12_HUMAN, sp|Q8NG76|O2T33_HUMAN	tr|A0A2Y9LXB1|A0A2Y9LXB1_DELLE
