Orthogroup	Mus_musculus	Rhinopithecus_roxellana
OG0000000	tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE	tr|A0A2K6QCZ7|A0A2K6QCZ7_RHIRO
OG0000000	tr|Q8VGP3|Q8VGP3_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|Q7TR16|Q7TR16_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|Q8VG58|Q8VG58_MOUSE	tr|A0A2K6RU95|A0A2K6RU95_RHIRO
OG0000003	tr|Q8VFP4|Q8VFP4_MOUSE	tr|A0A2K6Q9C6|A0A2K6Q9C6_RHIRO
OG0000003	tr|Q8VF16|Q8VF16_MOUSE, tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q7TRY5|Q7TRY5_MOUSE, tr|Q8VGV7|Q8VGV7_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VGK4|Q8VGK4_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, sp|Q60879|OLF3_MOUSE, tr|Q7TRY6|Q7TRY6_MOUSE, tr|Q8VFP8|Q8VFP8_MOUSE, tr|A0A0U1RNF5|A0A0U1RNF5_MOUSE, tr|Q8VEZ7|Q8VEZ7_MOUSE, tr|Q7TRX4|Q7TRX4_MOUSE, tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q8VF79|Q8VF79_MOUSE, tr|Q8VGT3|Q8VGT3_MOUSE, tr|Q5SSP0|Q5SSP0_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE, tr|Q8VGR3|Q8VGR3_MOUSE, tr|Q7TRX6|Q7TRX6_MOUSE, tr|Q7TRX7|Q7TRX7_MOUSE, tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE, tr|Q8VGR5|Q8VGR5_MOUSE, tr|Q8VGR6|Q8VGR6_MOUSE, tr|Q7TRX9|Q7TRX9_MOUSE, tr|E9Q4M1|E9Q4M1_MOUSE, sp|Q8VGI1|OLF1_MOUSE, tr|Q8VGT2|Q8VGT2_MOUSE, tr|Q8VEZ6|Q8VEZ6_MOUSE	tr|A0A2K6N8G9|A0A2K6N8G9_RHIRO
OG0000003	tr|Q8VFA1|Q8VFA1_MOUSE, tr|Q7TRK4|Q7TRK4_MOUSE, tr|Q8VFE1|Q8VFE1_MOUSE, tr|Q8VFD9|Q8VFD9_MOUSE, tr|Q8VFE4|Q8VFE4_MOUSE, tr|Q8VGB9|Q8VGB9_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE, tr|B9EHG2|B9EHG2_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, sp|Q8VFM9|OLF24_MOUSE, tr|A0A1W2P740|A0A1W2P740_MOUSE, tr|Q8VFP5|Q8VFP5_MOUSE, tr|Q8VEU7|Q8VEU7_MOUSE, tr|Q8VGJ8|Q8VGJ8_MOUSE, tr|Q7TQU7|Q7TQU7_MOUSE, tr|Q8VGK0|Q8VGK0_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE, tr|Q7TRX0|Q7TRX0_MOUSE, tr|B1ARL3|B1ARL3_MOUSE	tr|A0A2K6NXT9|A0A2K6NXT9_RHIRO
OG0000005	sp|A2A761|ZFP69_MOUSE	tr|A0A2K6N7S8|A0A2K6N7S8_RHIRO
OG0000005	sp|Q80W31|ZN569_MOUSE	tr|A0A2K6PRH0|A0A2K6PRH0_RHIRO
OG0000005	sp|E9PYI1|ZN568_MOUSE	tr|A0A2K6Q041|A0A2K6Q041_RHIRO
OG0000005	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2K6N7S6|A0A2K6N7S6_RHIRO
OG0000005	sp|Q8BQC8|RBAK_MOUSE	tr|A0A2K6P724|A0A2K6P724_RHIRO
