Orthogroup	Mus_musculus	Mus_spicilegus
OG0000000	sp|P11260|LORF1_MOUSE	tr|A0A8C6HI16|A0A8C6HI16_MUSSI, tr|A0A8C6HY38|A0A8C6HY38_MUSSI, tr|A0A8C6GFA2|A0A8C6GFA2_MUSSI, tr|A0A8C6GCM6|A0A8C6GCM6_MUSSI, tr|A0A8C6I5E4|A0A8C6I5E4_MUSSI, tr|A0A8C6HGS0|A0A8C6HGS0_MUSSI, tr|A0A8C6I4F8|A0A8C6I4F8_MUSSI, tr|A0A8C6GPL2|A0A8C6GPL2_MUSSI, tr|A0A8C6H9Q8|A0A8C6H9Q8_MUSSI, tr|A0A8C6MY69|A0A8C6MY69_MUSSI, tr|A0A8C6HCN8|A0A8C6HCN8_MUSSI, tr|A0A8C6GDB3|A0A8C6GDB3_MUSSI, tr|A0A8C6N1G9|A0A8C6N1G9_MUSSI, tr|A0A8C6IC01|A0A8C6IC01_MUSSI, tr|A0A8C6N467|A0A8C6N467_MUSSI, tr|A0A8C6GHX1|A0A8C6GHX1_MUSSI, tr|A0A8C6MTN9|A0A8C6MTN9_MUSSI, tr|A0A8C6MXI8|A0A8C6MXI8_MUSSI, tr|A0A8C6HP36|A0A8C6HP36_MUSSI, tr|A0A8C6HX64|A0A8C6HX64_MUSSI, tr|A0A8C6GAV3|A0A8C6GAV3_MUSSI, tr|A0A8C6I849|A0A8C6I849_MUSSI, tr|A0A8C6I242|A0A8C6I242_MUSSI, tr|A0A8C6H2F3|A0A8C6H2F3_MUSSI, tr|A0A8C6HZI9|A0A8C6HZI9_MUSSI, tr|A0A8C6IJP3|A0A8C6IJP3_MUSSI, tr|A0A8C6GQH6|A0A8C6GQH6_MUSSI, tr|A0A8C6HVR9|A0A8C6HVR9_MUSSI, tr|A0A8C6HWK7|A0A8C6HWK7_MUSSI, tr|A0A8C6H8W1|A0A8C6H8W1_MUSSI, tr|A0A8C6GQ81|A0A8C6GQ81_MUSSI, tr|A0A8C6G8C8|A0A8C6G8C8_MUSSI, tr|A0A8C6HT12|A0A8C6HT12_MUSSI, tr|A0A8C6GAP5|A0A8C6GAP5_MUSSI, tr|A0A8C6IKF5|A0A8C6IKF5_MUSSI, tr|A0A8C6I0D8|A0A8C6I0D8_MUSSI, tr|A0A8C6HQR2|A0A8C6HQR2_MUSSI, tr|A0A8C6MVG7|A0A8C6MVG7_MUSSI, tr|A0A8C6IJ70|A0A8C6IJ70_MUSSI, tr|A0A8C6HPU9|A0A8C6HPU9_MUSSI, tr|A0A8C6I6D4|A0A8C6I6D4_MUSSI, tr|A0A8C6HMP8|A0A8C6HMP8_MUSSI, tr|A0A8C6GNY8|A0A8C6GNY8_MUSSI, tr|A0A8C6I0G3|A0A8C6I0G3_MUSSI, tr|A0A8C6H5J3|A0A8C6H5J3_MUSSI, tr|A0A8C6HP28|A0A8C6HP28_MUSSI, tr|A0A8C6I5G3|A0A8C6I5G3_MUSSI, tr|A0A8C6H760|A0A8C6H760_MUSSI, tr|A0A8C6I159|A0A8C6I159_MUSSI, tr|A0A8C6GJY5|A0A8C6GJY5_MUSSI, tr|A0A8C6H0I1|A0A8C6H0I1_MUSSI, tr|A0A8C6HUW2|A0A8C6HUW2_MUSSI, tr|A0A8C6G7P9|A0A8C6G7P9_MUSSI, tr|A0A8C6GGH1|A0A8C6GGH1_MUSSI, tr|A0A8C6IH71|A0A8C6IH71_MUSSI, tr|A0A8C6G6S7|A0A8C6G6S7_MUSSI, tr|A0A8C6H6C3|A0A8C6H6C3_MUSSI, tr|A0A8C6HDR1|A0A8C6HDR1_MUSSI, tr|A0A8C6HRU1|A0A8C6HRU1_MUSSI, tr|A0A8C6GZC9|A0A8C6GZC9_MUSSI, tr|A0A8C6G874|A0A8C6G874_MUSSI, tr|A0A8C6I3R2|A0A8C6I3R2_MUSSI, tr|A0A8C6H9E7|A0A8C6H9E7_MUSSI, tr|A0A8C6HW27|A0A8C6HW27_MUSSI, tr|A0A8C6G7V4|A0A8C6G7V4_MUSSI, tr|A0A8C6HX65|A0A8C6HX65_MUSSI, tr|A0A8C6I2I8|A0A8C6I2I8_MUSSI, tr|A0A8C6N4S6|A0A8C6N4S6_MUSSI, tr|A0A8C6IES9|A0A8C6IES9_MUSSI, tr|A0A8C6GWE2|A0A8C6GWE2_MUSSI, tr|A0A8C6IEZ9|A0A8C6IEZ9_MUSSI, tr|A0A8C6G4Q8|A0A8C6G4Q8_MUSSI, tr|A0A8C6GQB3|A0A8C6GQB3_MUSSI, tr|A0A8C6IFL1|A0A8C6IFL1_MUSSI, tr|A0A8C6GSV1|A0A8C6GSV1_MUSSI, tr|A0A8C6GL38|A0A8C6GL38_MUSSI, tr|A0A8C6GCW3|A0A8C6GCW3_MUSSI, tr|A0A8C6G5D0|A0A8C6G5D0_MUSSI, tr|A0A8C6H778|A0A8C6H778_MUSSI, tr|A0A8C6HFJ2|A0A8C6HFJ2_MUSSI, tr|A0A8C6MXF4|A0A8C6MXF4_MUSSI, tr|A0A8C6HAM0|A0A8C6HAM0_MUSSI, tr|A0A8C6HTD9|A0A8C6HTD9_MUSSI, tr|A0A8C6G9D9|A0A8C6G9D9_MUSSI, tr|A0A8C6HM66|A0A8C6HM66_MUSSI, tr|A0A8C6HRC6|A0A8C6HRC6_MUSSI, tr|A0A8C6G9K2|A0A8C6G9K2_MUSSI, tr|A0A8C6G435|A0A8C6G435_MUSSI, tr|A0A8C6IE10|A0A8C6IE10_MUSSI, tr|A0A8C6G5E1|A0A8C6G5E1_MUSSI, tr|A0A8C6HB33|A0A8C6HB33_MUSSI, tr|A0A8C6I1Y4|A0A8C6I1Y4_MUSSI, tr|A0A8C6MUN0|A0A8C6MUN0_MUSSI, tr|A0A8C6HWL3|A0A8C6HWL3_MUSSI, tr|A0A8C6N167|A0A8C6N167_MUSSI, tr|A0A8C6HIE6|A0A8C6HIE6_MUSSI, tr|A0A8C6MPD0|A0A8C6MPD0_MUSSI, tr|A0A8C6IK83|A0A8C6IK83_MUSSI, tr|A0A8C6HWS3|A0A8C6HWS3_MUSSI, tr|A0A8C6GMK9|A0A8C6GMK9_MUSSI, tr|A0A8C6I4Y1|A0A8C6I4Y1_MUSSI, tr|A0A8C6GH53|A0A8C6GH53_MUSSI
OG0000003	tr|L7N465|L7N465_MOUSE, tr|L7N299|L7N299_MOUSE, tr|K7N6X9|K7N6X9_MOUSE, tr|L7N285|L7N285_MOUSE, tr|Q5BKP9|Q5BKP9_MOUSE, tr|K7N724|K7N724_MOUSE, tr|K7N746|K7N746_MOUSE, tr|E9PZM0|E9PZM0_MOUSE, tr|K7N6T8|K7N6T8_MOUSE, tr|M0QWX9|M0QWX9_MOUSE, tr|L7N298|L7N298_MOUSE, tr|E9PZN8|E9PZN8_MOUSE, tr|E9Q9P5|E9Q9P5_MOUSE, tr|K7N735|K7N735_MOUSE, tr|K7N6V4|K7N6V4_MOUSE, tr|D3Z7A4|D3Z7A4_MOUSE, tr|L7N255|L7N255_MOUSE, tr|K7N6G4|K7N6G4_MOUSE, tr|L7N276|L7N276_MOUSE, tr|L7N2A7|L7N2A7_MOUSE, tr|L7N297|L7N297_MOUSE, tr|K7N6U2|K7N6U2_MOUSE, tr|E9Q2A7|E9Q2A7_MOUSE, tr|K7N760|K7N760_MOUSE, tr|E9Q0R1|E9Q0R1_MOUSE, tr|L7N287|L7N287_MOUSE, tr|E9Q2Q1|E9Q2Q1_MOUSE, tr|L7N2D6|L7N2D6_MOUSE, tr|E9PW52|E9PW52_MOUSE, tr|K7N6Y6|K7N6Y6_MOUSE, tr|K7N6V0|K7N6V0_MOUSE, tr|K7N6Y8|K7N6Y8_MOUSE, tr|L7N2A9|L7N2A9_MOUSE, tr|E9QAI8|E9QAI8_MOUSE, tr|L7N219|L7N219_MOUSE, tr|K7N6U3|K7N6U3_MOUSE, tr|K7N692|K7N692_MOUSE, tr|E9PYQ5|E9PYQ5_MOUSE, tr|K7N693|K7N693_MOUSE, tr|L7N2E3|L7N2E3_MOUSE, tr|K7N743|K7N743_MOUSE, tr|K7N6G6|K7N6G6_MOUSE, tr|L7N2E2|L7N2E2_MOUSE, tr|L7N2D2|L7N2D2_MOUSE, tr|L7N2A3|L7N2A3_MOUSE	tr|A0A8C6I3X1|A0A8C6I3X1_MUSSI
OG0000004	tr|L7N267|L7N267_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|L7N248|L7N248_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|K7N769|K7N769_MOUSE, tr|L7N208|L7N208_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE	tr|A0A8C6HNQ9|A0A8C6HNQ9_MUSSI
OG0000007	tr|Q8VEZ6|Q8VEZ6_MOUSE	tr|A0A8C6HV42|A0A8C6HV42_MUSSI
OG0000007	tr|Q8VEZ7|Q8VEZ7_MOUSE	tr|A0A8C6HW57|A0A8C6HW57_MUSSI
OG0000007	tr|Q7TRX4|Q7TRX4_MOUSE	tr|A0A8C6HWA1|A0A8C6HWA1_MUSSI
OG0000007	tr|Q7TRX7|Q7TRX7_MOUSE	tr|A0A8C6N0K0|A0A8C6N0K0_MUSSI
OG0000007	tr|Q8VGR3|Q8VGR3_MOUSE	tr|A0A8C6HW16|A0A8C6HW16_MUSSI
OG0000007	tr|Q7TRX6|Q7TRX6_MOUSE	tr|A0A8C6HW67|A0A8C6HW67_MUSSI
OG0000007	tr|Q8VGR5|Q8VGR5_MOUSE	tr|A0A8C6HV86|A0A8C6HV86_MUSSI
