Orthogroup	Homo_sapiens	Colobus_angolensis_palliatus
OG0000000	sp|Q8NGP9|O5AR1_HUMAN	tr|A0A2K5K5E5|A0A2K5K5E5_COLAP
OG0000000	sp|Q8NGC0|O5AU1_HUMAN, sp|Q8NGM9|OR8D4_HUMAN, sp|Q9GZM6|OR8D2_HUMAN, sp|Q8WZ84|OR8D1_HUMAN, sp|Q8NGG7|OR8A1_HUMAN, sp|P0DMU2|OR83P_HUMAN, sp|Q6IF36|O8G2P_HUMAN, sp|Q8NG78|OR8G5_HUMAN, sp|Q15617|OR8G1_HUMAN, sp|Q96RD0|OR8B2_HUMAN, sp|Q8NGG8|OR8B3_HUMAN, sp|Q96RC9|OR8B4_HUMAN, sp|Q15620|OR8B8_HUMAN, sp|Q8NGG6|OR8BC_HUMAN	tr|A0A2K5H762|A0A2K5H762_COLAP
OG0000000	sp|Q8NH87|OR9G1_HUMAN, sp|P0C7N8|OR9G9_HUMAN, sp|Q8NGQ1|OR9G4_HUMAN	tr|A0A2K5HQF8|A0A2K5HQF8_COLAP
OG0000000	sp|Q96R09|OR5B2_HUMAN, sp|Q8NH48|OR5B3_HUMAN, sp|Q8NGF7|OR5BH_HUMAN, sp|Q96R08|OR5BC_HUMAN, sp|A6NL26|OR5BL_HUMAN	tr|A0A2K5JUH8|A0A2K5JUH8_COLAP
OG0000001	sp|Q8NH61|O51F2_HUMAN	tr|A0A2K5HQV9|A0A2K5HQV9_COLAP
OG0000001	sp|Q9H344|O51I2_HUMAN, sp|Q9H343|O51I1_HUMAN	tr|A0A2K5HBT7|A0A2K5HBT7_COLAP
OG0000001	sp|Q8NGK1|O51G1_HUMAN	tr|A0A2K5I8W9|A0A2K5I8W9_COLAP
OG0000001	sp|Q9H341|O51M1_HUMAN, sp|Q9Y5P0|O51B4_HUMAN, sp|Q9H340|O51B6_HUMAN, sp|Q9Y5P1|O51B2_HUMAN, sp|Q9H339|O51B5_HUMAN, sp|Q9H2C8|O51V1_HUMAN	tr|A0A2K5IM41|A0A2K5IM41_COLAP
OG0000001	sp|Q8NH59|O51Q1_HUMAN, sp|Q8NH63|O51H1_HUMAN, sp|Q8NGJ7|O51A2_HUMAN, sp|Q8NGJ6|O51A4_HUMAN, sp|Q8NH64|O51A7_HUMAN	tr|A0A2K5H6T8|A0A2K5H6T8_COLAP
OG0000001	sp|Q8NGK0|O51G2_HUMAN	tr|A0A2K5HRM8|A0A2K5HRM8_COLAP
OG0000001	sp|Q9H346|O52D1_HUMAN	tr|A0A2K5K8V1|A0A2K5K8V1_COLAP
OG0000001	sp|Q8NGF0|O52B6_HUMAN, sp|P0C646|O52Z1_HUMAN, sp|Q8NGJ2|O52H1_HUMAN, sp|Q8NGK2|O52B4_HUMAN, sp|Q96RD2|O52B2_HUMAN	tr|A0A2K5J460|A0A2K5J460_COLAP
