Orthogroup	Homo_sapiens	Neotoma_lepida
OG0000000	sp|P04406|G3P_HUMAN	tr|A0A1A6HTI1|A0A1A6HTI1_NEOLE, tr|A0A1A6GSD5|A0A1A6GSD5_NEOLE, tr|A0A1A6GCU1|A0A1A6GCU1_NEOLE, tr|A0A1A6GQM8|A0A1A6GQM8_NEOLE, tr|A0A1A6GD27|A0A1A6GD27_NEOLE, tr|A0A1A6GI03|A0A1A6GI03_NEOLE, tr|A0A1A6H772|A0A1A6H772_NEOLE, tr|A0A1A6H1G1|A0A1A6H1G1_NEOLE, tr|A0A1A6H2I1|A0A1A6H2I1_NEOLE, tr|A0A1A6HND3|A0A1A6HND3_NEOLE, tr|A0A1A6GH71|A0A1A6GH71_NEOLE, tr|A0A1A6HHI5|A0A1A6HHI5_NEOLE, tr|A0A1A6GFQ2|A0A1A6GFQ2_NEOLE, tr|A0A1A6GIL8|A0A1A6GIL8_NEOLE, tr|A0A1A6HY39|A0A1A6HY39_NEOLE, tr|A0A1A6GW51|A0A1A6GW51_NEOLE, tr|A0A1A6H918|A0A1A6H918_NEOLE, tr|A0A1A6HXH7|A0A1A6HXH7_NEOLE, tr|A0A1A6H6C6|A0A1A6H6C6_NEOLE, tr|A0A1A6GHR1|A0A1A6GHR1_NEOLE, tr|A0A1A6H0T3|A0A1A6H0T3_NEOLE, tr|A0A1A6GGA5|A0A1A6GGA5_NEOLE, tr|A0A1A6HD79|A0A1A6HD79_NEOLE, tr|A0A1A6HXB3|A0A1A6HXB3_NEOLE, tr|A0A1A6GVF6|A0A1A6GVF6_NEOLE, tr|A0A1A6HZK8|A0A1A6HZK8_NEOLE, tr|A0A1A6GFN5|A0A1A6GFN5_NEOLE, tr|A0A1A6FZ77|A0A1A6FZ77_NEOLE, tr|A0A1A6G601|A0A1A6G601_NEOLE, tr|A0A1A6GRY6|A0A1A6GRY6_NEOLE, tr|A0A1A6GIA8|A0A1A6GIA8_NEOLE, tr|A0A1A6H9L1|A0A1A6H9L1_NEOLE, tr|A0A1A6GWL8|A0A1A6GWL8_NEOLE, tr|A0A1A6G017|A0A1A6G017_NEOLE, tr|A0A1A6GST5|A0A1A6GST5_NEOLE, tr|A0A1A6GBY3|A0A1A6GBY3_NEOLE, tr|A0A1A6FU16|A0A1A6FU16_NEOLE, tr|A0A1A6G001|A0A1A6G001_NEOLE, tr|A0A1A6GCH3|A0A1A6GCH3_NEOLE, tr|A0A1A6HWI0|A0A1A6HWI0_NEOLE, tr|A0A1A6GMH7|A0A1A6GMH7_NEOLE, tr|A0A1A6FXR5|A0A1A6FXR5_NEOLE, tr|A0A1A6GHR9|A0A1A6GHR9_NEOLE, tr|A0A1A6H9I3|A0A1A6H9I3_NEOLE, tr|A0A1A6GDV9|A0A1A6GDV9_NEOLE, tr|A0A1A6H1Z9|A0A1A6H1Z9_NEOLE, tr|A0A1A6GKK9|A0A1A6GKK9_NEOLE, tr|A0A1A6GWZ3|A0A1A6GWZ3_NEOLE, tr|A0A1A6GSG2|A0A1A6GSG2_NEOLE, tr|A0A1A6GH95|A0A1A6GH95_NEOLE, tr|A0A1A6FSG4|A0A1A6FSG4_NEOLE, tr|A0A1A6GP07|A0A1A6GP07_NEOLE, tr|A0A1A6GI21|A0A1A6GI21_NEOLE, tr|A0A1A6GUN7|A0A1A6GUN7_NEOLE, tr|A0A1A6HP22|A0A1A6HP22_NEOLE, tr|A0A1A6GJS3|A0A1A6GJS3_NEOLE, tr|A0A1A6GGD0|A0A1A6GGD0_NEOLE, tr|A0A1A6G3Q7|A0A1A6G3Q7_NEOLE, tr|A0A1A6HUS4|A0A1A6HUS4_NEOLE, tr|A0A1A6HNJ0|A0A1A6HNJ0_NEOLE, tr|A0A1A6H2D0|A0A1A6H2D0_NEOLE, tr|A0A1A6GJ56|A0A1A6GJ56_NEOLE, tr|A0A1A6HRK4|A0A1A6HRK4_NEOLE, tr|A0A1A6FYY3|A0A1A6FYY3_NEOLE, tr|A0A1A6H5V2|A0A1A6H5V2_NEOLE, tr|A0A1A6GUL8|A0A1A6GUL8_NEOLE, tr|A0A1A6GG07|A0A1A6GG07_NEOLE, tr|A0A1A6GE25|A0A1A6GE25_NEOLE, tr|A0A1A6G522|A0A1A6G522_NEOLE, tr|A0A1A6GVC1|A0A1A6GVC1_NEOLE, tr|A0A1A6HMI9|A0A1A6HMI9_NEOLE, tr|A0A1A6HN09|A0A1A6HN09_NEOLE, tr|A0A1A6GLV9|A0A1A6GLV9_NEOLE, tr|A0A1A6GGY7|A0A1A6GGY7_NEOLE, tr|A0A1A6HQQ0|A0A1A6HQQ0_NEOLE, tr|A0A1A6H6N7|A0A1A6H6N7_NEOLE, tr|A0A1A6FZT0|A0A1A6FZT0_NEOLE, tr|A0A1A6FUR0|A0A1A6FUR0_NEOLE, tr|A0A1A6GE88|A0A1A6GE88_NEOLE, tr|A0A1A6HAM3|A0A1A6HAM3_NEOLE, tr|A0A1A6GHX8|A0A1A6GHX8_NEOLE, tr|A0A1A6G0G5|A0A1A6G0G5_NEOLE, tr|A0A1A6H2T5|A0A1A6H2T5_NEOLE, tr|A0A1A6GIX9|A0A1A6GIX9_NEOLE, tr|A0A1A6GGZ1|A0A1A6GGZ1_NEOLE, tr|A0A1A6GLR4|A0A1A6GLR4_NEOLE, tr|A0A1A6HRW6|A0A1A6HRW6_NEOLE, tr|A0A1A6GXU6|A0A1A6GXU6_NEOLE, tr|A0A1A6HDU0|A0A1A6HDU0_NEOLE, tr|A0A1A6G445|A0A1A6G445_NEOLE, tr|A0A1A6GF06|A0A1A6GF06_NEOLE, tr|A0A1A6GT37|A0A1A6GT37_NEOLE, tr|A0A1A6HQE8|A0A1A6HQE8_NEOLE, tr|A0A1A6HF28|A0A1A6HF28_NEOLE, tr|A0A1A6HUU2|A0A1A6HUU2_NEOLE, tr|A0A1A6GV86|A0A1A6GV86_NEOLE, tr|A0A1A6HBX1|A0A1A6HBX1_NEOLE, tr|A0A1A6G3D4|A0A1A6G3D4_NEOLE, tr|A0A1A6G3Q5|A0A1A6G3Q5_NEOLE, tr|A0A1A6GRK2|A0A1A6GRK2_NEOLE, tr|A0A1A6HWP9|A0A1A6HWP9_NEOLE, tr|A0A1A6GNW0|A0A1A6GNW0_NEOLE, tr|A0A1A6GFN6|A0A1A6GFN6_NEOLE, tr|A0A1A6HCY9|A0A1A6HCY9_NEOLE, tr|A0A1A6G1E5|A0A1A6G1E5_NEOLE, tr|A0A1A6GKM1|A0A1A6GKM1_NEOLE, tr|A0A1A6GQ88|A0A1A6GQ88_NEOLE, tr|A0A1A6G0Z5|A0A1A6G0Z5_NEOLE, tr|A0A1A6HCE9|A0A1A6HCE9_NEOLE, tr|A0A1A6HX47|A0A1A6HX47_NEOLE, tr|A0A1A6G0L6|A0A1A6G0L6_NEOLE, tr|A0A1A6GB67|A0A1A6GB67_NEOLE, tr|A0A1A6H4C6|A0A1A6H4C6_NEOLE, tr|A0A1A6FWW1|A0A1A6FWW1_NEOLE, tr|A0A1A6G3N7|A0A1A6G3N7_NEOLE, tr|A0A1A6H4N0|A0A1A6H4N0_NEOLE, tr|A0A1A6GGV2|A0A1A6GGV2_NEOLE, tr|A0A1A6HJ30|A0A1A6HJ30_NEOLE, tr|A0A1A6GUE5|A0A1A6GUE5_NEOLE, tr|A0A1A6HPC3|A0A1A6HPC3_NEOLE, tr|A0A1A6H2E1|A0A1A6H2E1_NEOLE, tr|A0A1A6GUY1|A0A1A6GUY1_NEOLE, tr|A0A1A6HBS7|A0A1A6HBS7_NEOLE, tr|A0A1A6GZQ2|A0A1A6GZQ2_NEOLE, tr|A0A1A6G3G7|A0A1A6G3G7_NEOLE, tr|A0A1A6HNA8|A0A1A6HNA8_NEOLE, tr|A0A1A6H3P2|A0A1A6H3P2_NEOLE, tr|A0A1A6GK98|A0A1A6GK98_NEOLE, tr|A0A1A6HPP1|A0A1A6HPP1_NEOLE, tr|A0A1A6H2D3|A0A1A6H2D3_NEOLE, tr|A0A1A6HZN2|A0A1A6HZN2_NEOLE, tr|A0A1A6HD00|A0A1A6HD00_NEOLE, tr|A0A1A6FXJ0|A0A1A6FXJ0_NEOLE, tr|A0A1A6GEV8|A0A1A6GEV8_NEOLE, tr|A0A1A6HA96|A0A1A6HA96_NEOLE, tr|A0A1A6GVJ1|A0A1A6GVJ1_NEOLE
OG0000002	sp|Q9GZK7|O11A1_HUMAN	tr|A0A1A6HX71|A0A1A6HX71_NEOLE
OG0000002	sp|Q15612|OR1Q1_HUMAN	tr|A0A1A6HMP4|A0A1A6HMP4_NEOLE, tr|A0A1A6HTZ4|A0A1A6HTZ4_NEOLE, tr|A0A1A6GU09|A0A1A6GU09_NEOLE
OG0000002	sp|Q8NHA4|O2AE1_HUMAN	tr|A0A1A6H5F3|A0A1A6H5F3_NEOLE, tr|A0A1A6FV39|A0A1A6FV39_NEOLE, tr|A0A1A6H0H3|A0A1A6H0H3_NEOLE, tr|A0A1A6FWY0|A0A1A6FWY0_NEOLE, tr|A0A1A6H092|A0A1A6H092_NEOLE, tr|A0A1A6HZ28|A0A1A6HZ28_NEOLE, tr|A0A1A6G0N0|A0A1A6G0N0_NEOLE, tr|A0A1A6HFH4|A0A1A6HFH4_NEOLE, tr|A0A1A6HEL3|A0A1A6HEL3_NEOLE, tr|A0A1A6GZ49|A0A1A6GZ49_NEOLE, tr|A0A1A6GH57|A0A1A6GH57_NEOLE, tr|A0A1A6GK49|A0A1A6GK49_NEOLE, tr|A0A1A6H7Q6|A0A1A6H7Q6_NEOLE, tr|A0A1A6FSV8|A0A1A6FSV8_NEOLE, tr|A0A1A6GJA5|A0A1A6GJA5_NEOLE, tr|A0A1A6FVU3|A0A1A6FVU3_NEOLE, tr|A0A1A6H8X9|A0A1A6H8X9_NEOLE, tr|A0A1A6HQI7|A0A1A6HQI7_NEOLE
OG0000002	sp|Q8NGQ1|OR9G4_HUMAN	tr|A0A1A6GZX4|A0A1A6GZX4_NEOLE
OG0000002	sp|P0C617|O5AL1_HUMAN	tr|A0A1A6GPZ1|A0A1A6GPZ1_NEOLE, tr|A0A1A6HUQ3|A0A1A6HUQ3_NEOLE, tr|A0A1A6GUK6|A0A1A6GUK6_NEOLE, tr|A0A1A6HUF2|A0A1A6HUF2_NEOLE, tr|A0A1A6HSK0|A0A1A6HSK0_NEOLE, tr|A0A1A6GC66|A0A1A6GC66_NEOLE, tr|A0A1A6GRC8|A0A1A6GRC8_NEOLE, tr|A0A1A6GNQ2|A0A1A6GNQ2_NEOLE, tr|A0A1A6GRY8|A0A1A6GRY8_NEOLE, tr|A0A1A6GQH6|A0A1A6GQH6_NEOLE, tr|A0A1A6HBG1|A0A1A6HBG1_NEOLE, tr|A0A1A6GWH4|A0A1A6GWH4_NEOLE, tr|A0A1A6GUG0|A0A1A6GUG0_NEOLE, tr|A0A1A6GFJ0|A0A1A6GFJ0_NEOLE, tr|A0A1A6GVK1|A0A1A6GVK1_NEOLE
OG0000002	sp|Q8NH08|O10AC_HUMAN	tr|A0A1A6HXE1|A0A1A6HXE1_NEOLE, tr|A0A1A6HVA6|A0A1A6HVA6_NEOLE, tr|A0A1A6HCS9|A0A1A6HCS9_NEOLE, tr|A0A1A6GKG0|A0A1A6GKG0_NEOLE, tr|A0A1A6HYW9|A0A1A6HYW9_NEOLE, tr|A0A1A6GI31|A0A1A6GI31_NEOLE, tr|A0A1A6HNE6|A0A1A6HNE6_NEOLE, tr|A0A1A6HC06|A0A1A6HC06_NEOLE, tr|A0A1A6H738|A0A1A6H738_NEOLE, tr|A0A1A6G1M0|A0A1A6G1M0_NEOLE, tr|A0A1A6FZD6|A0A1A6FZD6_NEOLE, tr|A0A1A6GMC1|A0A1A6GMC1_NEOLE, tr|A0A1A6HNY6|A0A1A6HNY6_NEOLE, tr|A0A1A6FZF8|A0A1A6FZF8_NEOLE, tr|A0A1A6HQF9|A0A1A6HQF9_NEOLE, tr|A0A1A6G0F5|A0A1A6G0F5_NEOLE, tr|A0A1A6G0B3|A0A1A6G0B3_NEOLE, tr|A0A1A6HJC7|A0A1A6HJC7_NEOLE, tr|A0A1A6I0M8|A0A1A6I0M8_NEOLE, tr|A0A1A6HII3|A0A1A6HII3_NEOLE, tr|A0A1A6FZ92|A0A1A6FZ92_NEOLE, tr|A0A1A6H608|A0A1A6H608_NEOLE, tr|A0A1A6HUE9|A0A1A6HUE9_NEOLE, tr|A0A1A6GU53|A0A1A6GU53_NEOLE, tr|A0A1A6HND1|A0A1A6HND1_NEOLE, tr|A0A1A6GZ31|A0A1A6GZ31_NEOLE, tr|A0A1A6HQN6|A0A1A6HQN6_NEOLE
OG0000003	sp|P62753|RS6_HUMAN	tr|A0A1A6GSU5|A0A1A6GSU5_NEOLE, tr|A0A1A6G2R4|A0A1A6G2R4_NEOLE, tr|A0A1A6HL01|A0A1A6HL01_NEOLE, tr|A0A1A6HCM5|A0A1A6HCM5_NEOLE, tr|A0A1A6GTM0|A0A1A6GTM0_NEOLE, tr|A0A1A6G164|A0A1A6G164_NEOLE, tr|A0A1A6GH58|A0A1A6GH58_NEOLE, tr|A0A1A6GCC0|A0A1A6GCC0_NEOLE, tr|A0A1A6H3W4|A0A1A6H3W4_NEOLE, tr|A0A1A6H8X2|A0A1A6H8X2_NEOLE, tr|A0A1A6FUY7|A0A1A6FUY7_NEOLE, tr|A0A1A6HTW9|A0A1A6HTW9_NEOLE, tr|A0A1A6GLZ9|A0A1A6GLZ9_NEOLE, tr|A0A1A6HIH9|A0A1A6HIH9_NEOLE, tr|A0A1A6GYF4|A0A1A6GYF4_NEOLE, tr|A0A1A6FWM1|A0A1A6FWM1_NEOLE, tr|A0A1A6H4V3|A0A1A6H4V3_NEOLE, tr|A0A1A6HED6|A0A1A6HED6_NEOLE, tr|A0A1A6HQE7|A0A1A6HQE7_NEOLE, tr|A0A1A6H5K9|A0A1A6H5K9_NEOLE, tr|A0A1A6GLH8|A0A1A6GLH8_NEOLE, tr|A0A1A6GNA5|A0A1A6GNA5_NEOLE, tr|A0A1A6GTC3|A0A1A6GTC3_NEOLE, tr|A0A1A6GF86|A0A1A6GF86_NEOLE, tr|A0A1A6GNU5|A0A1A6GNU5_NEOLE, tr|A0A1A6GKV6|A0A1A6GKV6_NEOLE, tr|A0A1A6FX24|A0A1A6FX24_NEOLE, tr|A0A1A6GQR5|A0A1A6GQR5_NEOLE, tr|A0A1A6GDU2|A0A1A6GDU2_NEOLE, tr|A0A1A6HCZ6|A0A1A6HCZ6_NEOLE, tr|A0A1A6GDV5|A0A1A6GDV5_NEOLE, tr|A0A1A6HGS8|A0A1A6HGS8_NEOLE, tr|A0A1A6GV56|A0A1A6GV56_NEOLE, tr|A0A1A6GLV1|A0A1A6GLV1_NEOLE, tr|A0A1A6HF41|A0A1A6HF41_NEOLE, tr|A0A1A6HYN3|A0A1A6HYN3_NEOLE, tr|A0A1A6GRK9|A0A1A6GRK9_NEOLE, tr|A0A1A6FVX1|A0A1A6FVX1_NEOLE, tr|A0A1A6GVL0|A0A1A6GVL0_NEOLE, tr|A0A1A6FWM2|A0A1A6FWM2_NEOLE, tr|A0A1A6HSD8|A0A1A6HSD8_NEOLE, tr|A0A1A6GIQ9|A0A1A6GIQ9_NEOLE, tr|A0A1A6HTJ2|A0A1A6HTJ2_NEOLE, tr|A0A1A6HFY1|A0A1A6HFY1_NEOLE, tr|A0A1A6GMW8|A0A1A6GMW8_NEOLE, tr|A0A1A6HZ13|A0A1A6HZ13_NEOLE, tr|A0A1A6GRC9|A0A1A6GRC9_NEOLE, tr|A0A1A6GUD2|A0A1A6GUD2_NEOLE, tr|A0A1A6FZQ9|A0A1A6FZQ9_NEOLE, tr|A0A1A6FUY0|A0A1A6FUY0_NEOLE, tr|A0A1A6GEL8|A0A1A6GEL8_NEOLE, tr|A0A1A6GJI5|A0A1A6GJI5_NEOLE, tr|A0A1A6G4E1|A0A1A6G4E1_NEOLE, tr|A0A1A6FZQ8|A0A1A6FZQ8_NEOLE, tr|A0A1A6GBR7|A0A1A6GBR7_NEOLE, tr|A0A1A6G2L8|A0A1A6G2L8_NEOLE, tr|A0A1A6FVH6|A0A1A6FVH6_NEOLE
OG0000007	sp|P15880|RS2_HUMAN	tr|A0A1A6H7M4|A0A1A6H7M4_NEOLE, tr|A0A1A6G4D6|A0A1A6G4D6_NEOLE, tr|A0A1A6HMM3|A0A1A6HMM3_NEOLE, tr|A0A1A6GZE9|A0A1A6GZE9_NEOLE, tr|A0A1A6H6K0|A0A1A6H6K0_NEOLE, tr|A0A1A6GSF5|A0A1A6GSF5_NEOLE, tr|A0A1A6H078|A0A1A6H078_NEOLE, tr|A0A1A6H6Z7|A0A1A6H6Z7_NEOLE, tr|A0A1A6FVV1|A0A1A6FVV1_NEOLE, tr|A0A1A6HZ42|A0A1A6HZ42_NEOLE, tr|A0A1A6HUC5|A0A1A6HUC5_NEOLE, tr|A0A1A6GHS1|A0A1A6GHS1_NEOLE, tr|A0A1A6GYX3|A0A1A6GYX3_NEOLE, tr|A0A1A6GZ38|A0A1A6GZ38_NEOLE, tr|A0A1A6FSR5|A0A1A6FSR5_NEOLE, tr|A0A1A6GWK7|A0A1A6GWK7_NEOLE, tr|A0A1A6HZL8|A0A1A6HZL8_NEOLE, tr|A0A1A6GJJ7|A0A1A6GJJ7_NEOLE, tr|A0A1A6GSP5|A0A1A6GSP5_NEOLE, tr|A0A1A6HSK2|A0A1A6HSK2_NEOLE, tr|A0A1A6HJ56|A0A1A6HJ56_NEOLE, tr|A0A1A6HMP8|A0A1A6HMP8_NEOLE, tr|A0A1A6H1P6|A0A1A6H1P6_NEOLE, tr|A0A1A6G1D7|A0A1A6G1D7_NEOLE, tr|A0A1A6GRH3|A0A1A6GRH3_NEOLE, tr|A0A1A6HJM8|A0A1A6HJM8_NEOLE, tr|A0A1A6H1R9|A0A1A6H1R9_NEOLE, tr|A0A1A6HYN4|A0A1A6HYN4_NEOLE, tr|A0A1A6GFB8|A0A1A6GFB8_NEOLE, tr|A0A1A6GR97|A0A1A6GR97_NEOLE, tr|A0A1A6H3J5|A0A1A6H3J5_NEOLE, tr|A0A1A6FU67|A0A1A6FU67_NEOLE, tr|A0A1A6H690|A0A1A6H690_NEOLE, tr|A0A1A6HQV3|A0A1A6HQV3_NEOLE, tr|A0A1A6HNL7|A0A1A6HNL7_NEOLE, tr|A0A1A6HHY2|A0A1A6HHY2_NEOLE, tr|A0A1A6HRY9|A0A1A6HRY9_NEOLE, tr|A0A1A6H307|A0A1A6H307_NEOLE, tr|A0A1A6HQG7|A0A1A6HQG7_NEOLE, tr|A0A1A6H3H8|A0A1A6H3H8_NEOLE, tr|A0A1A6HK03|A0A1A6HK03_NEOLE, tr|A0A1A6GTZ0|A0A1A6GTZ0_NEOLE, tr|A0A1A6H3W5|A0A1A6H3W5_NEOLE, tr|A0A1A6H7T2|A0A1A6H7T2_NEOLE, tr|A0A1A6HLC3|A0A1A6HLC3_NEOLE, tr|A0A1A6HGS0|A0A1A6HGS0_NEOLE, tr|A0A1A6FYI7|A0A1A6FYI7_NEOLE, tr|A0A1A6HLT3|A0A1A6HLT3_NEOLE
OG0000009	sp|O00116|ADAS_HUMAN	tr|A0A1A6HL37|A0A1A6HL37_NEOLE, tr|A0A1A6H694|A0A1A6H694_NEOLE, tr|A0A1A6H528|A0A1A6H528_NEOLE, tr|A0A1A6GM49|A0A1A6GM49_NEOLE, tr|A0A1A6H7G7|A0A1A6H7G7_NEOLE, tr|A0A1A6HJA8|A0A1A6HJA8_NEOLE, tr|A0A1A6GW34|A0A1A6GW34_NEOLE, tr|A0A1A6GWZ4|A0A1A6GWZ4_NEOLE, tr|A0A1A6HYQ4|A0A1A6HYQ4_NEOLE, tr|A0A1A6GNM1|A0A1A6GNM1_NEOLE, tr|A0A1A6GPR9|A0A1A6GPR9_NEOLE, tr|A0A1A6H4A0|A0A1A6H4A0_NEOLE, tr|A0A1A6GBV0|A0A1A6GBV0_NEOLE, tr|A0A1A6HMV7|A0A1A6HMV7_NEOLE, tr|A0A1A6FVS9|A0A1A6FVS9_NEOLE, tr|A0A1A6GBM8|A0A1A6GBM8_NEOLE, tr|A0A1A6GZJ3|A0A1A6GZJ3_NEOLE, tr|A0A1A6G076|A0A1A6G076_NEOLE, tr|A0A1A6H7X9|A0A1A6H7X9_NEOLE, tr|A0A1A6HUH5|A0A1A6HUH5_NEOLE, tr|A0A1A6H029|A0A1A6H029_NEOLE, tr|A0A1A6H8Y7|A0A1A6H8Y7_NEOLE, tr|A0A1A6H4N4|A0A1A6H4N4_NEOLE, tr|A0A1A6HYQ8|A0A1A6HYQ8_NEOLE, tr|A0A1A6HY02|A0A1A6HY02_NEOLE, tr|A0A1A6HYY0|A0A1A6HYY0_NEOLE, tr|A0A1A6GP15|A0A1A6GP15_NEOLE, tr|A0A1A6H7S6|A0A1A6H7S6_NEOLE, tr|A0A1A6FUS7|A0A1A6FUS7_NEOLE, tr|A0A1A6GVJ4|A0A1A6GVJ4_NEOLE, tr|A0A1A6H0H8|A0A1A6H0H8_NEOLE, tr|A0A1A6GQC2|A0A1A6GQC2_NEOLE, tr|A0A1A6GCP8|A0A1A6GCP8_NEOLE, tr|A0A1A6H3A3|A0A1A6H3A3_NEOLE, tr|A0A1A6FZL9|A0A1A6FZL9_NEOLE, tr|A0A1A6GCX4|A0A1A6GCX4_NEOLE, tr|A0A1A6FTF7|A0A1A6FTF7_NEOLE, tr|A0A1A6FUS3|A0A1A6FUS3_NEOLE, tr|A0A1A6GEG2|A0A1A6GEG2_NEOLE, tr|A0A1A6H2A9|A0A1A6H2A9_NEOLE
