Orthogroup	Homo_sapiens	Heterocephalus_glaber
OG0000004	sp|Q15973|ZN124_HUMAN	tr|G5C9A6|G5C9A6_HETGA, tr|G5C1J0|G5C1J0_HETGA, tr|G5ALW4|G5ALW4_HETGA, tr|G5AYK3|G5AYK3_HETGA, tr|G5C0W5|G5C0W5_HETGA, tr|G5C0W7|G5C0W7_HETGA, tr|G5BQ38|G5BQ38_HETGA, tr|G5C888|G5C888_HETGA, tr|G5BRA8|G5BRA8_HETGA, tr|G5BIN0|G5BIN0_HETGA, tr|G5BN36|G5BN36_HETGA, tr|G5C0W6|G5C0W6_HETGA, tr|G5C0W4|G5C0W4_HETGA, tr|G5BI60|G5BI60_HETGA, tr|G5ANF7|G5ANF7_HETGA, tr|G5C0W8|G5C0W8_HETGA, tr|G5BI61|G5BI61_HETGA, tr|G5C0X1|G5C0X1_HETGA, tr|G5BEQ4|G5BEQ4_HETGA, tr|G5B9U6|G5B9U6_HETGA, tr|G5BEV5|G5BEV5_HETGA, tr|G5ARN9|G5ARN9_HETGA, tr|G5BPJ1|G5BPJ1_HETGA, tr|G5C887|G5C887_HETGA, tr|G5C7M0|G5C7M0_HETGA, tr|G5C799|G5C799_HETGA, tr|G5C7U8|G5C7U8_HETGA, tr|G5BP63|G5BP63_HETGA, tr|G5C0F5|G5C0F5_HETGA, tr|G5BT77|G5BT77_HETGA, tr|G5BT76|G5BT76_HETGA, tr|G5C0F6|G5C0F6_HETGA, tr|G5BK82|G5BK82_HETGA, tr|G5BQ34|G5BQ34_HETGA, tr|G5BWB4|G5BWB4_HETGA, tr|G5C7M2|G5C7M2_HETGA, tr|G5C7M1|G5C7M1_HETGA, tr|G5AVU2|G5AVU2_HETGA, tr|G5BJU7|G5BJU7_HETGA, tr|G5BRB0|G5BRB0_HETGA, tr|G5C0X3|G5C0X3_HETGA, tr|G5AK85|G5AK85_HETGA, tr|G5APG2|G5APG2_HETGA, tr|G5CA74|G5CA74_HETGA, tr|G5C2V1|G5C2V1_HETGA, tr|G5BYS1|G5BYS1_HETGA, tr|G5BWV2|G5BWV2_HETGA, tr|G5BIS9|G5BIS9_HETGA, tr|G5BBT5|G5BBT5_HETGA, tr|G5BJ52|G5BJ52_HETGA, tr|G5BNR5|G5BNR5_HETGA, tr|G5C4A2|G5C4A2_HETGA, tr|G5BD93|G5BD93_HETGA
OG0000005	sp|Q8NGL9|OR4CG_HUMAN	tr|G5AK21|G5AK21_HETGA, tr|G5AZD0|G5AZD0_HETGA, tr|G5AWV8|G5AWV8_HETGA, tr|G5AK27|G5AK27_HETGA, tr|G5AK25|G5AK25_HETGA, tr|G5B3F6|G5B3F6_HETGA, tr|G5BK97|G5BK97_HETGA, tr|G5AZD3|G5AZD3_HETGA, tr|G5AZD1|G5AZD1_HETGA, tr|G5AK26|G5AK26_HETGA, tr|G5AZD2|G5AZD2_HETGA, tr|G5AZC6|G5AZC6_HETGA, tr|G5BP58|G5BP58_HETGA, tr|G5BW14|G5BW14_HETGA, tr|G5C1W9|G5C1W9_HETGA, tr|G5AK20|G5AK20_HETGA, tr|G5C278|G5C278_HETGA, tr|G5AWW3|G5AWW3_HETGA, tr|G5B1F1|G5B1F1_HETGA, tr|G5B9Z7|G5B9Z7_HETGA, tr|G5AK19|G5AK19_HETGA, tr|G5AK28|G5AK28_HETGA, tr|G5B1V6|G5B1V6_HETGA, tr|G5BP59|G5BP59_HETGA, tr|G5AZD4|G5AZD4_HETGA, tr|G5AWW2|G5AWW2_HETGA, tr|G5AK18|G5AK18_HETGA, tr|G5B1V5|G5B1V5_HETGA, tr|G5AZC9|G5AZC9_HETGA, tr|G5AWV9|G5AWV9_HETGA, tr|G5BIH6|G5BIH6_HETGA, tr|G5B8E2|G5B8E2_HETGA, tr|G5BP74|G5BP74_HETGA, tr|G5AYC6|G5AYC6_HETGA, tr|G5AXU2|G5AXU2_HETGA, tr|G5BUV9|G5BUV9_HETGA, tr|G5B8E1|G5B8E1_HETGA, tr|G5B1E9|G5B1E9_HETGA, tr|G5BIW8|G5BIW8_HETGA, tr|G5C1U9|G5C1U9_HETGA, tr|G5BIX0|G5BIX0_HETGA, tr|G5B8E3|G5B8E3_HETGA, tr|G5BIX1|G5BIX1_HETGA, tr|G5B9Z8|G5B9Z8_HETGA, tr|G5BIW9|G5BIW9_HETGA, tr|G5B1M2|G5B1M2_HETGA, tr|G5B1M3|G5B1M3_HETGA, tr|G5AWW4|G5AWW4_HETGA, tr|G5C4Z1|G5C4Z1_HETGA, tr|G5AM49|G5AM49_HETGA, tr|G5C1U7|G5C1U7_HETGA, tr|G5AYC7|G5AYC7_HETGA, tr|G5AXU1|G5AXU1_HETGA
OG0000006	sp|P06315|KV502_HUMAN, sp|A0A0C4DH24|KV621_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|P06312|KV401_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06310|KV230_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A075B6R9|KVD24_HUMAN, sp|A0A0C4DH68|KV224_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|A0A075B6S2|KVD29_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|P01614|KVD40_HUMAN, sp|A0A075B6P5|KV228_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|P01597|KV139_HUMAN, sp|P04432|KVD39_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A075B6H8|KVD42_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, sp|P01599|KV117_HUMAN, sp|P01611|KVD12_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P0DP09|KV113_HUMAN	tr|G5CAV9|G5CAV9_HETGA
OG0000009	sp|Q8NH61|O51F2_HUMAN	tr|G5B994|G5B994_HETGA
OG0000009	sp|Q8NGK1|O51G1_HUMAN	tr|G5B9H3|G5B9H3_HETGA
OG0000009	sp|Q9H2C8|O51V1_HUMAN	tr|G5B9I6|G5B9I6_HETGA, tr|G5BS28|G5BS28_HETGA, tr|G5BS30|G5BS30_HETGA, tr|G5BS29|G5BS29_HETGA
OG0000009	sp|Q8NGJ5|O51L1_HUMAN	tr|G5B9H5|G5B9H5_HETGA
OG0000009	sp|Q8NH63|O51H1_HUMAN	tr|G5BS24|G5BS24_HETGA, tr|G5B9I8|G5B9I8_HETGA, tr|G5B9I9|G5B9I9_HETGA, tr|G5B9B7|G5B9B7_HETGA, tr|G5B9B0|G5B9B0_HETGA
OG0000009	sp|Q9H344|O51I2_HUMAN	tr|G5BS43|G5BS43_HETGA
OG0000009	sp|Q9H343|O51I1_HUMAN	tr|G5BS46|G5BS46_HETGA, tr|G5BS45|G5BS45_HETGA, tr|G5BS44|G5BS44_HETGA, tr|G5BS42|G5BS42_HETGA
OG0000009	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|G5B9A0|G5B9A0_HETGA, tr|G5B999|G5B999_HETGA, tr|G5B9A2|G5B9A2_HETGA
OG0000011	sp|Q9H446|RWDD1_HUMAN	tr|G5C0F8|G5C0F8_HETGA, tr|G5BE33|G5BE33_HETGA, tr|G5BWZ8|G5BWZ8_HETGA, tr|G5BWU0|G5BWU0_HETGA, tr|G5B1T6|G5B1T6_HETGA, tr|G5C164|G5C164_HETGA, tr|G5C6B7|G5C6B7_HETGA, tr|G5AVP3|G5AVP3_HETGA, tr|G5BG49|G5BG49_HETGA, tr|G5AY53|G5AY53_HETGA, tr|G5BTX0|G5BTX0_HETGA, tr|G5AWL3|G5AWL3_HETGA, tr|G5BLH9|G5BLH9_HETGA, tr|G5C5H1|G5C5H1_HETGA, tr|G5C280|G5C280_HETGA, tr|G5BGJ8|G5BGJ8_HETGA, tr|G5BTG8|G5BTG8_HETGA, tr|G5BE51|G5BE51_HETGA, tr|G5ATG1|G5ATG1_HETGA, tr|G5AW41|G5AW41_HETGA, tr|G5B659|G5B659_HETGA, tr|G5BA79|G5BA79_HETGA, tr|G5BHG8|G5BHG8_HETGA, tr|G5BA13|G5BA13_HETGA, tr|G5BJD1|G5BJD1_HETGA, tr|G5BIW5|G5BIW5_HETGA, tr|G5BT36|G5BT36_HETGA, tr|G5C549|G5C549_HETGA, tr|G5C3Y9|G5C3Y9_HETGA, tr|G5C7K8|G5C7K8_HETGA, tr|G5BSI6|G5BSI6_HETGA, tr|G5BTZ3|G5BTZ3_HETGA, tr|G5AUH6|G5AUH6_HETGA, tr|G5AX28|G5AX28_HETGA, tr|G5AL11|G5AL11_HETGA, tr|G5BWY8|G5BWY8_HETGA, tr|G5APA2|G5APA2_HETGA
OG0000012	sp|Q8NGG6|OR8BC_HUMAN	tr|G5BAE0|G5BAE0_HETGA, tr|G5BAE1|G5BAE1_HETGA, tr|G5BS90|G5BS90_HETGA, tr|G5BS91|G5BS91_HETGA
OG0000012	sp|Q8NGM9|OR8D4_HUMAN	tr|G5C5A1|G5C5A1_HETGA
OG0000012	sp|Q9GZM6|OR8D2_HUMAN	tr|G5B900|G5B900_HETGA, tr|G5B8Z6|G5B8Z6_HETGA, tr|G5BAD9|G5BAD9_HETGA, tr|G5B8Z7|G5B8Z7_HETGA, tr|G5B901|G5B901_HETGA
OG0000016	sp|A0A0B4J248|TVA11_HUMAN, sp|A0A0B4J238|TVA12_HUMAN, sp|A0A075B6T7|TVA6_HUMAN, sp|A0A0B4J275|TVA17_HUMAN, sp|P0DPF4|TVA35_HUMAN, sp|A0A0B4J276|TVA25_HUMAN, sp|A0A087WT01|TVA27_HUMAN, sp|A0A087WSZ9|TVA30_HUMAN, sp|A0A0B4J273|TVA34_HUMAN, sp|A0A0B4J277|TVA22_HUMAN, sp|A0A0B4J266|TVA41_HUMAN, sp|A0A0B4J263|TVA39_HUMAN, sp|A0A0B4J240|TVA10_HUMAN, sp|A0A0B4J279|TVA21_HUMAN, sp|A0A0B4J272|TVA24_HUMAN, sp|A0A075B6V5|TVA36_HUMAN, sp|A0A075B6U4|TVA7_HUMAN, sp|A0A0B4J274|TVA20_HUMAN, sp|A0A0B4J249|TVA5_HUMAN, sp|A0A0B4J235|TVAM2_HUMAN, sp|A0A0B4J241|TVAM1_HUMAN, sp|P04437|TVA29_HUMAN, sp|A0A075B6W5|TVA23_HUMAN, sp|A0A0B4J245|TVAL1_HUMAN, sp|A0A075B6T6|TVAL2_HUMAN, sp|A0A0B4J271|TVAL3_HUMAN, sp|P01848|TRAC_HUMAN, sp|A0A1B0GX56|TRDV1_HUMAN, sp|A0A0A6YYK7|TVA19_HUMAN, sp|A0A0A6YYC5|TVA14_HUMAN, sp|A0A0B4J264|TV381_HUMAN, sp|A0JD32|TV382_HUMAN, sp|P0DTU3|TRAR2_HUMAN	tr|G5BFR9|G5BFR9_HETGA
OG0000018	sp|Q9HCX3|ZN304_HUMAN	tr|G5C8H9|G5C8H9_HETGA
