Orthogroup	Mus_musculus	Neotoma_lepida
OG0000000	sp|Q64467|G3PT_MOUSE	tr|A0A1A6H2H1|A0A1A6H2H1_NEOLE, tr|A0A1A6HTI1|A0A1A6HTI1_NEOLE, tr|A0A1A6GSD5|A0A1A6GSD5_NEOLE, tr|A0A1A6H1G1|A0A1A6H1G1_NEOLE, tr|A0A1A6H772|A0A1A6H772_NEOLE, tr|A0A1A6GV86|A0A1A6GV86_NEOLE, tr|A0A1A6HBX1|A0A1A6HBX1_NEOLE, tr|A0A1A6GI03|A0A1A6GI03_NEOLE, tr|A0A1A6HUU2|A0A1A6HUU2_NEOLE, tr|A0A1A6GD27|A0A1A6GD27_NEOLE, tr|A0A1A6GQM8|A0A1A6GQM8_NEOLE, tr|A0A1A6GCU1|A0A1A6GCU1_NEOLE, tr|A0A1A6HCE9|A0A1A6HCE9_NEOLE, tr|A0A1A6G0Z5|A0A1A6G0Z5_NEOLE, tr|A0A1A6GQ88|A0A1A6GQ88_NEOLE, tr|A0A1A6HBS7|A0A1A6HBS7_NEOLE, tr|A0A1A6H2T5|A0A1A6H2T5_NEOLE, tr|A0A1A6GVJ1|A0A1A6GVJ1_NEOLE, tr|A0A1A6HA96|A0A1A6HA96_NEOLE, tr|A0A1A6GNW0|A0A1A6GNW0_NEOLE, tr|A0A1A6HWP9|A0A1A6HWP9_NEOLE, tr|A0A1A6GIL8|A0A1A6GIL8_NEOLE, tr|A0A1A6GHR1|A0A1A6GHR1_NEOLE, tr|A0A1A6GW51|A0A1A6GW51_NEOLE, tr|A0A1A6GFQ2|A0A1A6GFQ2_NEOLE, tr|A0A1A6H918|A0A1A6H918_NEOLE, tr|A0A1A6H5V2|A0A1A6H5V2_NEOLE, tr|A0A1A6GGA5|A0A1A6GGA5_NEOLE, tr|A0A1A6H0T3|A0A1A6H0T3_NEOLE, tr|A0A1A6GIA8|A0A1A6GIA8_NEOLE, tr|A0A1A6G601|A0A1A6G601_NEOLE, tr|A0A1A6FZ77|A0A1A6FZ77_NEOLE, tr|A0A1A6H9L1|A0A1A6H9L1_NEOLE, tr|A0A1A6GWL8|A0A1A6GWL8_NEOLE, tr|A0A1A6HZK8|A0A1A6HZK8_NEOLE, tr|A0A1A6GFN5|A0A1A6GFN5_NEOLE, tr|A0A1A6HD79|A0A1A6HD79_NEOLE, tr|A0A1A6HXB3|A0A1A6HXB3_NEOLE, tr|A0A1A6GVF6|A0A1A6GVF6_NEOLE, tr|A0A1A6GMH7|A0A1A6GMH7_NEOLE, tr|A0A1A6GCH3|A0A1A6GCH3_NEOLE, tr|A0A1A6HWI0|A0A1A6HWI0_NEOLE, tr|A0A1A6GST5|A0A1A6GST5_NEOLE, tr|A0A1A6G017|A0A1A6G017_NEOLE, tr|A0A1A6FU16|A0A1A6FU16_NEOLE, tr|A0A1A6GBY3|A0A1A6GBY3_NEOLE, tr|A0A1A6G001|A0A1A6G001_NEOLE, tr|A0A1A6H9I3|A0A1A6H9I3_NEOLE, tr|A0A1A6GHR9|A0A1A6GHR9_NEOLE, tr|A0A1A6GH95|A0A1A6GH95_NEOLE, tr|A0A1A6FSG4|A0A1A6FSG4_NEOLE, tr|A0A1A6GDV9|A0A1A6GDV9_NEOLE, tr|A0A1A6H1Z9|A0A1A6H1Z9_NEOLE, tr|A0A1A6GKK9|A0A1A6GKK9_NEOLE, tr|A0A1A6GSG2|A0A1A6GSG2_NEOLE, tr|A0A1A6GWZ3|A0A1A6GWZ3_NEOLE, tr|A0A1A6GI21|A0A1A6GI21_NEOLE, tr|A0A1A6GP07|A0A1A6GP07_NEOLE, tr|A0A1A6HP22|A0A1A6HP22_NEOLE, tr|A0A1A6GUN7|A0A1A6GUN7_NEOLE, tr|A0A1A6HN09|A0A1A6HN09_NEOLE, tr|A0A1A6GJS3|A0A1A6GJS3_NEOLE, tr|A0A1A6GGD0|A0A1A6GGD0_NEOLE, tr|A0A1A6FXR5|A0A1A6FXR5_NEOLE, tr|A0A1A6HXH7|A0A1A6HXH7_NEOLE, tr|A0A1A6HY39|A0A1A6HY39_NEOLE, tr|A0A1A6HUS4|A0A1A6HUS4_NEOLE, tr|A0A1A6HNJ0|A0A1A6HNJ0_NEOLE, tr|A0A1A6G3Q7|A0A1A6G3Q7_NEOLE, tr|A0A1A6GJ56|A0A1A6GJ56_NEOLE, tr|A0A1A6H2D0|A0A1A6H2D0_NEOLE, tr|A0A1A6HMI9|A0A1A6HMI9_NEOLE, tr|A0A1A6HRK4|A0A1A6HRK4_NEOLE, tr|A0A1A6FZT0|A0A1A6FZT0_NEOLE, tr|A0A1A6H6N7|A0A1A6H6N7_NEOLE, tr|A0A1A6GHX8|A0A1A6GHX8_NEOLE, tr|A0A1A6HAM3|A0A1A6HAM3_NEOLE, tr|A0A1A6GE88|A0A1A6GE88_NEOLE, tr|A0A1A6FUR0|A0A1A6FUR0_NEOLE, tr|A0A1A6FYY3|A0A1A6FYY3_NEOLE, tr|A0A1A6GLV9|A0A1A6GLV9_NEOLE, tr|A0A1A6GLR4|A0A1A6GLR4_NEOLE, tr|A0A1A6GE25|A0A1A6GE25_NEOLE, tr|A0A1A6GG07|A0A1A6GG07_NEOLE, tr|A0A1A6GGY7|A0A1A6GGY7_NEOLE, tr|A0A1A6G522|A0A1A6G522_NEOLE, tr|A0A1A6GVC1|A0A1A6GVC1_NEOLE, tr|A0A1A6H6C6|A0A1A6H6C6_NEOLE, tr|A0A1A6H2I1|A0A1A6H2I1_NEOLE, tr|A0A1A6GGZ1|A0A1A6GGZ1_NEOLE, tr|A0A1A6G0G5|A0A1A6G0G5_NEOLE, tr|A0A1A6GUL8|A0A1A6GUL8_NEOLE, tr|A0A1A6HHI5|A0A1A6HHI5_NEOLE, tr|A0A1A6GH71|A0A1A6GH71_NEOLE, tr|A0A1A6HRW6|A0A1A6HRW6_NEOLE, tr|A0A1A6GT37|A0A1A6GT37_NEOLE, tr|A0A1A6GF06|A0A1A6GF06_NEOLE, tr|A0A1A6HDU0|A0A1A6HDU0_NEOLE, tr|A0A1A6GXU6|A0A1A6GXU6_NEOLE, tr|A0A1A6G445|A0A1A6G445_NEOLE, tr|A0A1A6HPC3|A0A1A6HPC3_NEOLE, tr|A0A1A6GUE5|A0A1A6GUE5_NEOLE, tr|A0A1A6HF28|A0A1A6HF28_NEOLE, tr|A0A1A6HQE8|A0A1A6HQE8_NEOLE, tr|A0A1A6HQQ0|A0A1A6HQQ0_NEOLE, tr|A0A1A6HND3|A0A1A6HND3_NEOLE, tr|A0A1A6GRY6|A0A1A6GRY6_NEOLE, tr|A0A1A6GUY1|A0A1A6GUY1_NEOLE, tr|A0A1A6GIX9|A0A1A6GIX9_NEOLE, tr|A0A1A6H2E1|A0A1A6H2E1_NEOLE, tr|A0A1A6HX47|A0A1A6HX47_NEOLE, tr|A0A1A6G0L6|A0A1A6G0L6_NEOLE, tr|A0A1A6GB67|A0A1A6GB67_NEOLE, tr|A0A1A6FWW1|A0A1A6FWW1_NEOLE, tr|A0A1A6H4C6|A0A1A6H4C6_NEOLE, tr|A0A1A6GFN6|A0A1A6GFN6_NEOLE, tr|A0A1A6HCY9|A0A1A6HCY9_NEOLE, tr|A0A1A6G1E5|A0A1A6G1E5_NEOLE, tr|A0A1A6GKM1|A0A1A6GKM1_NEOLE, tr|A0A1A6GK98|A0A1A6GK98_NEOLE, tr|A0A1A6HPP1|A0A1A6HPP1_NEOLE, tr|A0A1A6HZN2|A0A1A6HZN2_NEOLE, tr|A0A1A6FXJ0|A0A1A6FXJ0_NEOLE, tr|A0A1A6GEV8|A0A1A6GEV8_NEOLE, tr|A0A1A6H3P2|A0A1A6H3P2_NEOLE, tr|A0A1A6HNA8|A0A1A6HNA8_NEOLE, tr|A0A1A6H2D3|A0A1A6H2D3_NEOLE, tr|A0A1A6GZQ2|A0A1A6GZQ2_NEOLE, tr|A0A1A6G3G7|A0A1A6G3G7_NEOLE, tr|A0A1A6G3D4|A0A1A6G3D4_NEOLE, tr|A0A1A6G3Q5|A0A1A6G3Q5_NEOLE, tr|A0A1A6GRK2|A0A1A6GRK2_NEOLE, tr|A0A1A6HD00|A0A1A6HD00_NEOLE, tr|A0A1A6H4N0|A0A1A6H4N0_NEOLE, tr|A0A1A6G3N7|A0A1A6G3N7_NEOLE, tr|A0A1A6HJ30|A0A1A6HJ30_NEOLE, tr|A0A1A6GGV2|A0A1A6GGV2_NEOLE
OG0000002	tr|L7N275|L7N275_MOUSE, tr|G3UW31|G3UW31_MOUSE, tr|Q8R2B9|Q8R2B9_MOUSE, tr|G3X9U3|G3X9U3_MOUSE, tr|W4VSP5|W4VSP5_MOUSE, tr|A0A494BA35|A0A494BA35_MOUSE, tr|Q8R2C0|Q8R2C0_MOUSE, tr|Q9EPT1|Q9EPT1_MOUSE, tr|K7N731|K7N731_MOUSE, tr|Q9EPS9|Q9EPS9_MOUSE, tr|E9Q8I6|E9Q8I6_MOUSE, tr|Q8R2B8|Q8R2B8_MOUSE, tr|Q9EPS7|Q9EPS7_MOUSE, tr|G3UW71|G3UW71_MOUSE, tr|K7N6W9|K7N6W9_MOUSE, tr|K7N6T9|K7N6T9_MOUSE, tr|Q9EPS6|Q9EPS6_MOUSE, tr|K7N6B6|K7N6B6_MOUSE, tr|E9PXM3|E9PXM3_MOUSE, tr|A0A087WR36|A0A087WR36_MOUSE, tr|Q9EPS4|Q9EPS4_MOUSE, tr|E9PYW5|E9PYW5_MOUSE, tr|E9Q8V7|E9Q8V7_MOUSE	tr|A0A1A6HND7|A0A1A6HND7_NEOLE
OG0000002	tr|K7N6X3|K7N6X3_MOUSE, tr|D3YTX5|D3YTX5_MOUSE, tr|K7N6Y3|K7N6Y3_MOUSE, tr|K7N6X7|K7N6X7_MOUSE, tr|K7N6J2|K7N6J2_MOUSE, tr|K7N6J6|K7N6J6_MOUSE, tr|L7N288|L7N288_MOUSE, tr|E9Q4H3|E9Q4H3_MOUSE, tr|E9PWL6|E9PWL6_MOUSE, tr|E9Q365|E9Q365_MOUSE, tr|G3UY92|G3UY92_MOUSE, tr|K9J7F4|K9J7F4_MOUSE, tr|E9QA94|E9QA94_MOUSE, tr|K9J7G9|K9J7G9_MOUSE, tr|K9J7G2|K9J7G2_MOUSE, tr|L7N2C9|L7N2C9_MOUSE, tr|G3UWI8|G3UWI8_MOUSE, tr|D3YZG3|D3YZG3_MOUSE, tr|K9J7G6|K9J7G6_MOUSE, tr|K7N701|K7N701_MOUSE, tr|K7N726|K7N726_MOUSE, tr|K7N6J5|K7N6J5_MOUSE, tr|K7N6U0|K7N6U0_MOUSE, tr|Q9EPS5|Q9EPS5_MOUSE, tr|G3UY48|G3UY48_MOUSE, tr|E9Q069|E9Q069_MOUSE, tr|E9Q8L6|E9Q8L6_MOUSE, tr|E9Q9N3|E9Q9N3_MOUSE, tr|L7N293|L7N293_MOUSE, tr|E9PUW9|E9PUW9_MOUSE, tr|L7N2A6|L7N2A6_MOUSE, tr|L7N2B4|L7N2B4_MOUSE, tr|E9Q346|E9Q346_MOUSE, tr|L7N270|L7N270_MOUSE, tr|E9PZR7|E9PZR7_MOUSE, tr|L7N273|L7N273_MOUSE, tr|K9J7G4|K9J7G4_MOUSE, tr|E9PW18|E9PW18_MOUSE, tr|D3YTY2|D3YTY2_MOUSE, tr|K9J7H2|K9J7H2_MOUSE, tr|D3YTX4|D3YTX4_MOUSE, tr|K9J7G0|K9J7G0_MOUSE, tr|D3YTY1|D3YTY1_MOUSE, tr|L7N227|L7N227_MOUSE, tr|Q3KNP5|Q3KNP5_MOUSE, tr|Q0P547|Q0P547_MOUSE, tr|B9EK86|B9EK86_MOUSE, tr|Q8R2B4|Q8R2B4_MOUSE, tr|Q8R2B6|Q8R2B6_MOUSE, tr|Q8K3N5|Q8K3N5_MOUSE, tr|K7N6J4|K7N6J4_MOUSE, tr|L7N2C8|L7N2C8_MOUSE, tr|D3YTW8|D3YTW8_MOUSE, tr|L7N226|L7N226_MOUSE, tr|K7N6B7|K7N6B7_MOUSE, tr|K7N6B8|K7N6B8_MOUSE	tr|A0A1A6GJT3|A0A1A6GJT3_NEOLE
OG0000004	sp|P62754|RS6_MOUSE	tr|A0A1A6GSU5|A0A1A6GSU5_NEOLE, tr|A0A1A6G2R4|A0A1A6G2R4_NEOLE, tr|A0A1A6HL01|A0A1A6HL01_NEOLE, tr|A0A1A6HCM5|A0A1A6HCM5_NEOLE, tr|A0A1A6G164|A0A1A6G164_NEOLE, tr|A0A1A6GTM0|A0A1A6GTM0_NEOLE, tr|A0A1A6GH58|A0A1A6GH58_NEOLE, tr|A0A1A6GMW8|A0A1A6GMW8_NEOLE, tr|A0A1A6FWM1|A0A1A6FWM1_NEOLE, tr|A0A1A6GYF4|A0A1A6GYF4_NEOLE, tr|A0A1A6GLZ9|A0A1A6GLZ9_NEOLE, tr|A0A1A6GVQ5|A0A1A6GVQ5_NEOLE, tr|A0A1A6GJU7|A0A1A6GJU7_NEOLE, tr|A0A1A6HZ13|A0A1A6HZ13_NEOLE, tr|A0A1A6GRC9|A0A1A6GRC9_NEOLE, tr|A0A1A6GUD2|A0A1A6GUD2_NEOLE, tr|A0A1A6FZQ9|A0A1A6FZQ9_NEOLE, tr|A0A1A6FZQ8|A0A1A6FZQ8_NEOLE, tr|A0A1A6G4E1|A0A1A6G4E1_NEOLE, tr|A0A1A6GBR7|A0A1A6GBR7_NEOLE, tr|A0A1A6G2L8|A0A1A6G2L8_NEOLE, tr|A0A1A6FVH6|A0A1A6FVH6_NEOLE, tr|A0A1A6FUY0|A0A1A6FUY0_NEOLE, tr|A0A1A6GEL8|A0A1A6GEL8_NEOLE, tr|A0A1A6GJI5|A0A1A6GJI5_NEOLE, tr|A0A1A6FU03|A0A1A6FU03_NEOLE, tr|A0A1A6HFY1|A0A1A6HFY1_NEOLE, tr|A0A1A6HIH9|A0A1A6HIH9_NEOLE, tr|A0A1A6GNA5|A0A1A6GNA5_NEOLE, tr|A0A1A6HQE7|A0A1A6HQE7_NEOLE, tr|A0A1A6H5K9|A0A1A6H5K9_NEOLE, tr|A0A1A6HED6|A0A1A6HED6_NEOLE, tr|A0A1A6H4V3|A0A1A6H4V3_NEOLE, tr|A0A1A6GLH8|A0A1A6GLH8_NEOLE, tr|A0A1A6GTC3|A0A1A6GTC3_NEOLE, tr|A0A1A6GF86|A0A1A6GF86_NEOLE, tr|A0A1A6GIQ9|A0A1A6GIQ9_NEOLE, tr|A0A1A6HSD8|A0A1A6HSD8_NEOLE, tr|A0A1A6HTJ2|A0A1A6HTJ2_NEOLE, tr|A0A1A6GNU5|A0A1A6GNU5_NEOLE, tr|A0A1A6HF41|A0A1A6HF41_NEOLE, tr|A0A1A6GLV1|A0A1A6GLV1_NEOLE, tr|A0A1A6GQR5|A0A1A6GQR5_NEOLE, tr|A0A1A6GDU2|A0A1A6GDU2_NEOLE, tr|A0A1A6HCZ6|A0A1A6HCZ6_NEOLE, tr|A0A1A6GDV5|A0A1A6GDV5_NEOLE, tr|A0A1A6HGS8|A0A1A6HGS8_NEOLE, tr|A0A1A6GV56|A0A1A6GV56_NEOLE, tr|A0A1A6FX24|A0A1A6FX24_NEOLE, tr|A0A1A6GKV6|A0A1A6GKV6_NEOLE, tr|A0A1A6FVX1|A0A1A6FVX1_NEOLE, tr|A0A1A6GVL0|A0A1A6GVL0_NEOLE, tr|A0A1A6FWM2|A0A1A6FWM2_NEOLE, tr|A0A1A6HYN3|A0A1A6HYN3_NEOLE, tr|A0A1A6GRK9|A0A1A6GRK9_NEOLE, tr|A0A1A6H3W4|A0A1A6H3W4_NEOLE, tr|A0A1A6GCC0|A0A1A6GCC0_NEOLE, tr|A0A1A6H8X2|A0A1A6H8X2_NEOLE, tr|A0A1A6FUY7|A0A1A6FUY7_NEOLE, tr|A0A1A6HTW9|A0A1A6HTW9_NEOLE
OG0000005	tr|D3Z7A9|D3Z7A9_MOUSE	tr|A0A1A6H3B0|A0A1A6H3B0_NEOLE, tr|A0A1A6FY36|A0A1A6FY36_NEOLE, tr|A0A1A6FTI2|A0A1A6FTI2_NEOLE, tr|A0A1A6HBH4|A0A1A6HBH4_NEOLE, tr|A0A1A6GCE4|A0A1A6GCE4_NEOLE, tr|A0A1A6HMI1|A0A1A6HMI1_NEOLE, tr|A0A1A6GZV0|A0A1A6GZV0_NEOLE, tr|A0A1A6H521|A0A1A6H521_NEOLE, tr|A0A1A6HVN2|A0A1A6HVN2_NEOLE, tr|A0A1A6HIB9|A0A1A6HIB9_NEOLE, tr|A0A1A6FUS1|A0A1A6FUS1_NEOLE, tr|A0A1A6HMY1|A0A1A6HMY1_NEOLE, tr|A0A1A6GPI9|A0A1A6GPI9_NEOLE, tr|A0A1A6H1T4|A0A1A6H1T4_NEOLE, tr|A0A1A6GJ16|A0A1A6GJ16_NEOLE, tr|A0A1A6HHW4|A0A1A6HHW4_NEOLE, tr|A0A1A6HK29|A0A1A6HK29_NEOLE, tr|A0A1A6GDS7|A0A1A6GDS7_NEOLE, tr|A0A1A6GHT3|A0A1A6GHT3_NEOLE, tr|A0A1A6GTR6|A0A1A6GTR6_NEOLE, tr|A0A1A6GKJ7|A0A1A6GKJ7_NEOLE, tr|A0A1A6GNB3|A0A1A6GNB3_NEOLE, tr|A0A1A6HT65|A0A1A6HT65_NEOLE, tr|A0A1A6GDI4|A0A1A6GDI4_NEOLE, tr|A0A1A6GN15|A0A1A6GN15_NEOLE, tr|A0A1A6G0M7|A0A1A6G0M7_NEOLE, tr|A0A1A6GDH1|A0A1A6GDH1_NEOLE, tr|A0A1A6HN58|A0A1A6HN58_NEOLE, tr|A0A1A6GYR3|A0A1A6GYR3_NEOLE, tr|A0A1A6GQN6|A0A1A6GQN6_NEOLE, tr|A0A1A6HW52|A0A1A6HW52_NEOLE, tr|A0A1A6GP83|A0A1A6GP83_NEOLE, tr|A0A1A6H5U0|A0A1A6H5U0_NEOLE, tr|A0A1A6GNY8|A0A1A6GNY8_NEOLE, tr|A0A1A6HUQ5|A0A1A6HUQ5_NEOLE, tr|A0A1A6FUX9|A0A1A6FUX9_NEOLE, tr|A0A1A6GQP2|A0A1A6GQP2_NEOLE, tr|A0A1A6HCJ8|A0A1A6HCJ8_NEOLE, tr|A0A1A6HQ70|A0A1A6HQ70_NEOLE, tr|A0A1A6HC71|A0A1A6HC71_NEOLE, tr|A0A1A6HVC6|A0A1A6HVC6_NEOLE, tr|A0A1A6H3V3|A0A1A6H3V3_NEOLE, tr|A0A1A6H144|A0A1A6H144_NEOLE, tr|A0A1A6H0I2|A0A1A6H0I2_NEOLE, tr|A0A1A6HUP6|A0A1A6HUP6_NEOLE, tr|A0A1A6HWF8|A0A1A6HWF8_NEOLE, tr|A0A1A6HV00|A0A1A6HV00_NEOLE, tr|A0A1A6GRL9|A0A1A6GRL9_NEOLE, tr|A0A1A6H035|A0A1A6H035_NEOLE, tr|A0A1A6GY60|A0A1A6GY60_NEOLE, tr|A0A1A6H2R4|A0A1A6H2R4_NEOLE, tr|A0A1A6HJ65|A0A1A6HJ65_NEOLE, tr|A0A1A6H150|A0A1A6H150_NEOLE, tr|A0A1A6HDN1|A0A1A6HDN1_NEOLE, tr|A0A1A6HFH7|A0A1A6HFH7_NEOLE
OG0000006	tr|A0A075B5X5|A0A075B5X5_MOUSE	tr|A0A1A6GZE4|A0A1A6GZE4_NEOLE, tr|A0A1A6H181|A0A1A6H181_NEOLE, tr|A0A1A6GZL8|A0A1A6GZL8_NEOLE
OG0000006	tr|A0A0B4J1N0|A0A0B4J1N0_MOUSE	tr|A0A1A6HPA1|A0A1A6HPA1_NEOLE, tr|A0A1A6GKM5|A0A1A6GKM5_NEOLE, tr|A0A1A6GJ93|A0A1A6GJ93_NEOLE, tr|A0A1A6GNM0|A0A1A6GNM0_NEOLE, tr|A0A1A6HUK0|A0A1A6HUK0_NEOLE, tr|A0A1A6HV83|A0A1A6HV83_NEOLE
OG0000006	tr|A0A075B5T4|A0A075B5T4_MOUSE	tr|A0A1A6HSP5|A0A1A6HSP5_NEOLE, tr|A0A1A6GE63|A0A1A6GE63_NEOLE
OG0000007	tr|A0A2I3BQH9|A0A2I3BQH9_MOUSE, tr|A0A2I3BQ22|A0A2I3BQ22_MOUSE, tr|Q7TRI6|Q7TRI6_MOUSE, tr|Q8VG33|Q8VG33_MOUSE, tr|Q8VFU5|Q8VFU5_MOUSE, tr|Q8VG27|Q8VG27_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VG45|Q8VG45_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8VGJ0|Q8VGJ0_MOUSE, tr|Q8VGI7|Q8VGI7_MOUSE, tr|Q8VFZ8|Q8VFZ8_MOUSE, tr|Q8VGC2|Q8VGC2_MOUSE, tr|Q8VFH3|Q8VFH3_MOUSE, tr|Q8VFH7|Q8VFH7_MOUSE, tr|F6VS78|F6VS78_MOUSE, tr|Q8VGC5|Q8VGC5_MOUSE, tr|Q8VFH6|Q8VFH6_MOUSE, tr|Q8VEU0|Q8VEU0_MOUSE, tr|Q8VF26|Q8VF26_MOUSE, tr|Q8VGC4|Q8VGC4_MOUSE, tr|Q8K501|Q8K501_MOUSE	tr|A0A1A6GZM1|A0A1A6GZM1_NEOLE
OG0000008	tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE	tr|A0A1A6G0U0|A0A1A6G0U0_NEOLE
