Orthogroup	Homo_sapiens	Equus_asinus_asinus
OG0000000	sp|O00370|LORF2_HUMAN	tr|A0A8C4PV99|A0A8C4PV99_EQUAS, tr|A0A8C4MXV7|A0A8C4MXV7_EQUAS, tr|A0A8C4MFL4|A0A8C4MFL4_EQUAS, tr|A0A8C4MJH8|A0A8C4MJH8_EQUAS, tr|A0A8C4MBS6|A0A8C4MBS6_EQUAS
OG0000000	sp|Q9H606|PRORY_HUMAN	tr|A0A8C4MEK2|A0A8C4MEK2_EQUAS, tr|A0A8C4LRU3|A0A8C4LRU3_EQUAS, tr|A0A8C4L4N0|A0A8C4L4N0_EQUAS, tr|A0A8C4MP62|A0A8C4MP62_EQUAS, tr|A0A8C4PNT7|A0A8C4PNT7_EQUAS, tr|A0A8C4KWM7|A0A8C4KWM7_EQUAS, tr|A0A8C4M6J4|A0A8C4M6J4_EQUAS, tr|A0A8C4PND8|A0A8C4PND8_EQUAS, tr|A0A8C4MQI2|A0A8C4MQI2_EQUAS, tr|A0A8C4LGM1|A0A8C4LGM1_EQUAS, tr|A0A8C4PIT2|A0A8C4PIT2_EQUAS, tr|A0A8C4MYL4|A0A8C4MYL4_EQUAS, tr|A0A8C4M5S2|A0A8C4M5S2_EQUAS, tr|A0A8C4M8J3|A0A8C4M8J3_EQUAS, tr|A0A8C4M1X7|A0A8C4M1X7_EQUAS, tr|A0A8C4PL92|A0A8C4PL92_EQUAS, tr|A0A8C4KWJ5|A0A8C4KWJ5_EQUAS, tr|A0A8C4L947|A0A8C4L947_EQUAS, tr|A0A8C4PKX7|A0A8C4PKX7_EQUAS, tr|A0A8C4N409|A0A8C4N409_EQUAS, tr|A0A8C4MWF6|A0A8C4MWF6_EQUAS, tr|A0A8C4MF81|A0A8C4MF81_EQUAS, tr|A0A8C4M365|A0A8C4M365_EQUAS, tr|A0A8C4MUR3|A0A8C4MUR3_EQUAS, tr|A0A8C4M2K4|A0A8C4M2K4_EQUAS, tr|A0A8C4MEY8|A0A8C4MEY8_EQUAS, tr|A0A8C4LLS0|A0A8C4LLS0_EQUAS, tr|A0A8C4LQP8|A0A8C4LQP8_EQUAS, tr|A0A8C4M6K4|A0A8C4M6K4_EQUAS, tr|A0A8C4PGR8|A0A8C4PGR8_EQUAS, tr|A0A8C4LLK9|A0A8C4LLK9_EQUAS, tr|A0A8C4M6U2|A0A8C4M6U2_EQUAS, tr|A0A8C4LN91|A0A8C4LN91_EQUAS, tr|A0A8C4KZG8|A0A8C4KZG8_EQUAS, tr|A0A8C4PQ02|A0A8C4PQ02_EQUAS, tr|A0A8C4MLJ7|A0A8C4MLJ7_EQUAS, tr|A0A8C4LKQ6|A0A8C4LKQ6_EQUAS, tr|A0A8C4M3I5|A0A8C4M3I5_EQUAS, tr|A0A8C4M983|A0A8C4M983_EQUAS, tr|A0A8C4M7M9|A0A8C4M7M9_EQUAS, tr|A0A8C4N419|A0A8C4N419_EQUAS, tr|A0A8C4M1L4|A0A8C4M1L4_EQUAS, tr|A0A8C4KZ24|A0A8C4KZ24_EQUAS, tr|A0A8C4LMS4|A0A8C4LMS4_EQUAS, tr|A0A8C4MGC6|A0A8C4MGC6_EQUAS, tr|A0A8C4MWR9|A0A8C4MWR9_EQUAS, tr|A0A8C4LVW4|A0A8C4LVW4_EQUAS, tr|A0A8C4LBY5|A0A8C4LBY5_EQUAS, tr|A0A8C4MRK9|A0A8C4MRK9_EQUAS, tr|A0A8C4PTH5|A0A8C4PTH5_EQUAS
OG0000002	sp|Q9H2C8|O51V1_HUMAN	tr|A0A8C4KZA1|A0A8C4KZA1_EQUAS
OG0000002	sp|Q8NGJ5|O51L1_HUMAN	tr|A0A8C4KT19|A0A8C4KT19_EQUAS
OG0000002	sp|Q8NGK0|O51G2_HUMAN	tr|A0A8C4KRK6|A0A8C4KRK6_EQUAS
OG0000002	sp|Q8NGK1|O51G1_HUMAN	tr|A0A8C4KSZ8|A0A8C4KSZ8_EQUAS
OG0000002	sp|Q9H344|O51I2_HUMAN	tr|A0A8C4KYU8|A0A8C4KYU8_EQUAS
OG0000002	sp|Q9H343|O51I1_HUMAN	tr|A0A8C4KT32|A0A8C4KT32_EQUAS, tr|A0A8C4KSZ7|A0A8C4KSZ7_EQUAS, tr|A0A8C4L041|A0A8C4L041_EQUAS, tr|A0A8C4KU96|A0A8C4KU96_EQUAS, tr|A0A8C4KUC4|A0A8C4KUC4_EQUAS
OG0000002	sp|Q8TCB6|O51E1_HUMAN	tr|A0A8C4PFF4|A0A8C4PFF4_EQUAS
OG0000002	sp|Q9H342|O51J1_HUMAN	tr|A0A8C4KS47|A0A8C4KS47_EQUAS
OG0000002	sp|Q9H341|O51M1_HUMAN	tr|A0A8C4PFS2|A0A8C4PFS2_EQUAS
OG0000002	tr|A0A3B3IT45|A0A3B3IT45_HUMAN	tr|A0A8C4PF76|A0A8C4PF76_EQUAS, tr|A0A8C4KSN5|A0A8C4KSN5_EQUAS
OG0000002	sp|A6NGY5|O51F1_HUMAN	tr|A0A8C4KYN4|A0A8C4KYN4_EQUAS, tr|A0A8C4KYQ7|A0A8C4KYQ7_EQUAS
OG0000002	sp|Q8NH61|O51F2_HUMAN	tr|A0A8C4PF83|A0A8C4PF83_EQUAS
OG0000002	sp|Q8NH63|O51H1_HUMAN	tr|A0A8C4PFE9|A0A8C4PFE9_EQUAS, tr|A0A8C4KYZ3|A0A8C4KYZ3_EQUAS, tr|A0A8C4KT68|A0A8C4KT68_EQUAS
OG0000002	sp|Q8NH59|O51Q1_HUMAN	tr|A0A8C4KU89|A0A8C4KU89_EQUAS, tr|A0A8C4PFJ0|A0A8C4PFJ0_EQUAS
OG0000003	sp|Q8NGB9|OR4F6_HUMAN	tr|A0A8C4MGM8|A0A8C4MGM8_EQUAS, tr|A0A8C4MEA6|A0A8C4MEA6_EQUAS, tr|A0A8C4MEQ0|A0A8C4MEQ0_EQUAS
OG0000003	sp|Q8NGB8|O4F15_HUMAN	tr|A0A8C4ML49|A0A8C4ML49_EQUAS, tr|A0A8C4MGS1|A0A8C4MGS1_EQUAS, tr|A0A8C4MDD8|A0A8C4MDD8_EQUAS, tr|A0A8C4MPI9|A0A8C4MPI9_EQUAS, tr|A0A8C4PRW4|A0A8C4PRW4_EQUAS, tr|A0A8C4PRK3|A0A8C4PRK3_EQUAS, tr|A0A8C4MPK8|A0A8C4MPK8_EQUAS, tr|A0A8C4MEJ4|A0A8C4MEJ4_EQUAS, tr|A0A8C4MHC7|A0A8C4MHC7_EQUAS, tr|A0A8C4PRV5|A0A8C4PRV5_EQUAS, tr|A0A8C4MEH7|A0A8C4MEH7_EQUAS, tr|A0A8C4MPE7|A0A8C4MPE7_EQUAS, tr|A0A8C4MG50|A0A8C4MG50_EQUAS, tr|A0A8C4MD55|A0A8C4MD55_EQUAS, tr|A0A8C4MGC2|A0A8C4MGC2_EQUAS, tr|A0A8C4MDY7|A0A8C4MDY7_EQUAS, tr|A0A8C4PRX5|A0A8C4PRX5_EQUAS, tr|A0A8C4ME88|A0A8C4ME88_EQUAS, tr|A0A8C4MPP7|A0A8C4MPP7_EQUAS, tr|A0A8C4MPD7|A0A8C4MPD7_EQUAS, tr|A0A8C4MPM7|A0A8C4MPM7_EQUAS, tr|A0A8C4ME42|A0A8C4ME42_EQUAS, tr|A0A8C4MMU9|A0A8C4MMU9_EQUAS, tr|A0A8C4MHA3|A0A8C4MHA3_EQUAS, tr|A0A8C4MG29|A0A8C4MG29_EQUAS, tr|A0A8C4MEC7|A0A8C4MEC7_EQUAS, tr|A0A8C4MHD7|A0A8C4MHD7_EQUAS, tr|A0A8C4MPD0|A0A8C4MPD0_EQUAS, tr|A0A8C4MEL2|A0A8C4MEL2_EQUAS, tr|A0A8C4MHC0|A0A8C4MHC0_EQUAS, tr|A0A8C4ME62|A0A8C4ME62_EQUAS, tr|A0A8C4MEG8|A0A8C4MEG8_EQUAS, tr|A0A8C4MGX2|A0A8C4MGX2_EQUAS, tr|A0A8C4PRW6|A0A8C4PRW6_EQUAS, tr|A0A8C4PRV3|A0A8C4PRV3_EQUAS, tr|A0A8C4MN06|A0A8C4MN06_EQUAS, tr|A0A8C4PRJ3|A0A8C4PRJ3_EQUAS, tr|A0A8C4ML07|A0A8C4ML07_EQUAS, tr|A0A8C4MD31|A0A8C4MD31_EQUAS, tr|A0A8C4MEF9|A0A8C4MEF9_EQUAS
OG0000004	sp|Q8NGG6|OR8BC_HUMAN	tr|A0A8C4PGE2|A0A8C4PGE2_EQUAS, tr|A0A8C4KXF3|A0A8C4KXF3_EQUAS, tr|A0A8C4KW33|A0A8C4KW33_EQUAS, tr|A0A8C4KXD9|A0A8C4KXD9_EQUAS, tr|A0A8C4L3G7|A0A8C4L3G7_EQUAS, tr|A0A8C4KY19|A0A8C4KY19_EQUAS
OG0000004	sp|Q15620|OR8B8_HUMAN	tr|A0A8C4L1W0|A0A8C4L1W0_EQUAS
OG0000004	sp|Q8NGG7|OR8A1_HUMAN	tr|A0A8C4KZR1|A0A8C4KZR1_EQUAS, tr|A0A8C4KYN7|A0A8C4KYN7_EQUAS, tr|A0A8C4KXL9|A0A8C4KXL9_EQUAS
OG0000004	sp|Q8WZ84|OR8D1_HUMAN	tr|A0A8C4L5Q2|A0A8C4L5Q2_EQUAS
OG0000004	sp|Q9GZM6|OR8D2_HUMAN	tr|A0A8C4KYU0|A0A8C4KYU0_EQUAS
OG0000004	sp|Q96RC9|OR8B4_HUMAN	tr|A0A8C4KXN7|A0A8C4KXN7_EQUAS, tr|A0A8C4PG69|A0A8C4PG69_EQUAS, tr|A0A8C4L5P3|A0A8C4L5P3_EQUAS, tr|A0A8C4L5R3|A0A8C4L5R3_EQUAS, tr|A0A8C4L362|A0A8C4L362_EQUAS, tr|A0A8C4KYS3|A0A8C4KYS3_EQUAS, tr|A0A8C4KW51|A0A8C4KW51_EQUAS, tr|A0A8C4KY38|A0A8C4KY38_EQUAS
OG0000005	sp|Q6IFN5|O7E24_HUMAN	tr|A0A8C4MR97|A0A8C4MR97_EQUAS, tr|A0A8C4MNE4|A0A8C4MNE4_EQUAS, tr|A0A8C4PTL0|A0A8C4PTL0_EQUAS, tr|A0A8C4MZQ4|A0A8C4MZQ4_EQUAS, tr|A0A8C4MYP2|A0A8C4MYP2_EQUAS, tr|A0A8C4MQ44|A0A8C4MQ44_EQUAS, tr|A0A8C4MPA3|A0A8C4MPA3_EQUAS, tr|A0A8C4MRA7|A0A8C4MRA7_EQUAS, tr|A0A8C4MRD2|A0A8C4MRD2_EQUAS, tr|A0A8C4L8J4|A0A8C4L8J4_EQUAS, tr|A0A8C4N224|A0A8C4N224_EQUAS, tr|A0A8C4PTM3|A0A8C4PTM3_EQUAS, tr|A0A8C4MPV3|A0A8C4MPV3_EQUAS, tr|A0A8C4PTZ1|A0A8C4PTZ1_EQUAS, tr|A0A8C4MZS9|A0A8C4MZS9_EQUAS, tr|A0A8C4MRJ5|A0A8C4MRJ5_EQUAS, tr|A0A8C4PTL8|A0A8C4PTL8_EQUAS, tr|A0A8C4KX14|A0A8C4KX14_EQUAS, tr|A0A8C4MSA2|A0A8C4MSA2_EQUAS, tr|A0A8C4MWA3|A0A8C4MWA3_EQUAS, tr|A0A8C4MYS7|A0A8C4MYS7_EQUAS, tr|A0A8C4MPE6|A0A8C4MPE6_EQUAS, tr|A0A8C4L578|A0A8C4L578_EQUAS, tr|A0A8C4MS80|A0A8C4MS80_EQUAS, tr|A0A8C4LPU1|A0A8C4LPU1_EQUAS, tr|A0A8C4MS70|A0A8C4MS70_EQUAS, tr|A0A8C4PTY6|A0A8C4PTY6_EQUAS, tr|A0A8C4LR01|A0A8C4LR01_EQUAS, tr|A0A8C4PTY8|A0A8C4PTY8_EQUAS, tr|A0A8C4PHS3|A0A8C4PHS3_EQUAS, tr|A0A8C4LWF7|A0A8C4LWF7_EQUAS, tr|A0A8C4LSH8|A0A8C4LSH8_EQUAS, tr|A0A8C4MZS1|A0A8C4MZS1_EQUAS, tr|A0A8C4L7T5|A0A8C4L7T5_EQUAS, tr|A0A8C4MPB1|A0A8C4MPB1_EQUAS, tr|A0A8C4MY56|A0A8C4MY56_EQUAS, tr|A0A8C4LTT8|A0A8C4LTT8_EQUAS, tr|A0A8C4LDA0|A0A8C4LDA0_EQUAS, tr|A0A8C4PGU2|A0A8C4PGU2_EQUAS, tr|A0A8C4PGK5|A0A8C4PGK5_EQUAS, tr|A0A8C4KZU2|A0A8C4KZU2_EQUAS
OG0000007	sp|Q5JQS5|OR2BB_HUMAN	tr|A0A8C4MN53|A0A8C4MN53_EQUAS
OG0000007	sp|Q9GZK3|OR2B2_HUMAN	tr|A0A8C4M046|A0A8C4M046_EQUAS
OG0000007	sp|P58173|OR2B6_HUMAN	tr|A0A8C4M5H4|A0A8C4M5H4_EQUAS
OG0000007	sp|O76000|OR2B3_HUMAN	tr|A0A8C4M247|A0A8C4M247_EQUAS
OG0000007	sp|Q9Y3N9|OR2W1_HUMAN	tr|A0A8C4LZM1|A0A8C4LZM1_EQUAS, tr|A0A8C4L0K3|A0A8C4L0K3_EQUAS, tr|A0A8C4L2S2|A0A8C4L2S2_EQUAS, tr|A0A8C4MPR0|A0A8C4MPR0_EQUAS, tr|A0A8C4LYT6|A0A8C4LYT6_EQUAS, tr|A0A8C4PNK0|A0A8C4PNK0_EQUAS, tr|A0A8C4LYF7|A0A8C4LYF7_EQUAS, tr|A0A8C4M5B7|A0A8C4M5B7_EQUAS, tr|A0A8C4LML7|A0A8C4LML7_EQUAS, tr|A0A8C4LWC8|A0A8C4LWC8_EQUAS, tr|A0A8C4PMW9|A0A8C4PMW9_EQUAS, tr|A0A8C4LYA9|A0A8C4LYA9_EQUAS, tr|A0A8C4LB34|A0A8C4LB34_EQUAS, tr|A0A8C4PFF0|A0A8C4PFF0_EQUAS, tr|A0A8C4MGG2|A0A8C4MGG2_EQUAS, tr|A0A8C4PSA8|A0A8C4PSA8_EQUAS, tr|A0A8C4LIH5|A0A8C4LIH5_EQUAS, tr|A0A8C4LLB7|A0A8C4LLB7_EQUAS, tr|A0A8C4LWE5|A0A8C4LWE5_EQUAS, tr|A0A8C4LR08|A0A8C4LR08_EQUAS, tr|A0A8C4LP96|A0A8C4LP96_EQUAS, tr|A0A8C4MTS3|A0A8C4MTS3_EQUAS, tr|A0A8C4MGL5|A0A8C4MGL5_EQUAS, tr|A0A8C4M1J3|A0A8C4M1J3_EQUAS, tr|A0A8C4M7I0|A0A8C4M7I0_EQUAS, tr|A0A8C4M8P8|A0A8C4M8P8_EQUAS, tr|A0A8C4LZJ5|A0A8C4LZJ5_EQUAS, tr|A0A8C4LYD1|A0A8C4LYD1_EQUAS
OG0000008	sp|A0A075B6H8|KVD42_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|P04430|KV116_HUMAN, sp|P01601|KVD16_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, sp|A0A0C4DH72|KV106_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A075B6S5|KV127_HUMAN, sp|P01594|KV133_HUMAN, sp|P01593|KVD33_HUMAN	tr|A0A8C4LB83|A0A8C4LB83_EQUAS
OG0000008	sp|A0A0A0MRZ8|KVD11_HUMAN, sp|P04433|KV311_HUMAN, sp|A0A087WSY6|KVD15_HUMAN, sp|P01624|KV315_HUMAN, sp|P01619|KV320_HUMAN, sp|A0A0C4DH25|KVD20_HUMAN, tr|A0A0C4DH90|A0A0C4DH90_HUMAN, sp|A0A0C4DH55|KVD07_HUMAN, sp|A0A075B6H7|KV37_HUMAN, sp|A0A0C4DH26|KVD41_HUMAN, sp|A0A0A0MT36|KVD21_HUMAN, sp|A0A0C4DH24|KV621_HUMAN	tr|A0A8C4LH23|A0A8C4LH23_EQUAS
OG0000010	sp|P52741|ZN134_HUMAN	tr|A0A8C4PU01|A0A8C4PU01_EQUAS, tr|A0A8C4MYN3|A0A8C4MYN3_EQUAS, tr|A0A8C4PTN3|A0A8C4PTN3_EQUAS, tr|A0A8C4MWG1|A0A8C4MWG1_EQUAS, tr|A0A8C4MQ32|A0A8C4MQ32_EQUAS, tr|A0A8C4MWH7|A0A8C4MWH7_EQUAS, tr|A0A8C4MYZ1|A0A8C4MYZ1_EQUAS, tr|A0A8C4MR10|A0A8C4MR10_EQUAS, tr|A0A8C4N021|A0A8C4N021_EQUAS, tr|A0A8C4MSC8|A0A8C4MSC8_EQUAS, tr|A0A8C4PTM2|A0A8C4PTM2_EQUAS, tr|A0A8C4MS61|A0A8C4MS61_EQUAS, tr|A0A8C4MNL9|A0A8C4MNL9_EQUAS, tr|A0A8C4LSB1|A0A8C4LSB1_EQUAS, tr|A0A8C4MNE9|A0A8C4MNE9_EQUAS, tr|A0A8C4MNJ1|A0A8C4MNJ1_EQUAS, tr|A0A8C4MQ76|A0A8C4MQ76_EQUAS, tr|A0A8C4MPH9|A0A8C4MPH9_EQUAS, tr|A0A8C4PTL2|A0A8C4PTL2_EQUAS, tr|A0A8C4MQ68|A0A8C4MQ68_EQUAS, tr|A0A8C4MRI2|A0A8C4MRI2_EQUAS, tr|A0A8C4MRG7|A0A8C4MRG7_EQUAS, tr|A0A8C4MRL0|A0A8C4MRL0_EQUAS, tr|A0A8C4MYM3|A0A8C4MYM3_EQUAS, tr|A0A8C4MZY6|A0A8C4MZY6_EQUAS, tr|A0A8C4MPW9|A0A8C4MPW9_EQUAS, tr|A0A8C4MPG2|A0A8C4MPG2_EQUAS, tr|A0A8C4MQ03|A0A8C4MQ03_EQUAS, tr|A0A8C4MQB3|A0A8C4MQB3_EQUAS, tr|A0A8C4MYW2|A0A8C4MYW2_EQUAS, tr|A0A8C4MRP4|A0A8C4MRP4_EQUAS
OG0000011	sp|Q08379|GOGA2_HUMAN	tr|A0A8C4MLN5|A0A8C4MLN5_EQUAS
OG0000011	sp|Q9HBQ8|GGA2B_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NI86|GG6LA_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|P0CG33|GOG6D_HUMAN	tr|A0A8C4MJI4|A0A8C4MJI4_EQUAS
