Orthogroup	Mus_musculus	Camelus_dromedarius
OG0000000	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A5N4CF86|A0A5N4CF86_CAMDR, tr|A0A5N4CFP0|A0A5N4CFP0_CAMDR
OG0000000	tr|Q7TSV0|Q7TSV0_MOUSE	tr|A0A5N4DV92|A0A5N4DV92_CAMDR
OG0000000	sp|Q8BGV5|ZNF8_MOUSE	tr|A0A5N4DVE6|A0A5N4DVE6_CAMDR, tr|A0A5N4DRU8|A0A5N4DRU8_CAMDR
OG0000000	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A5N4CXI4|A0A5N4CXI4_CAMDR, tr|A0A5N4CXH6|A0A5N4CXH6_CAMDR
OG0000000	sp|B2RXC5|ZN382_MOUSE	tr|A0A5N4DQJ8|A0A5N4DQJ8_CAMDR, tr|A0A5N4DUP8|A0A5N4DUP8_CAMDR, tr|A0A5N4DUT2|A0A5N4DUT2_CAMDR
OG0000000	tr|Q640N4|Q640N4_MOUSE	tr|A0A5N4C8G1|A0A5N4C8G1_CAMDR, tr|A0A5N4CUU2|A0A5N4CUU2_CAMDR, tr|A0A5N4DIP8|A0A5N4DIP8_CAMDR
OG0000000	sp|Q80W31|ZN569_MOUSE	tr|A0A5N4CUW8|A0A5N4CUW8_CAMDR, tr|A0A5N4DBE9|A0A5N4DBE9_CAMDR, tr|A0A5N4DBA7|A0A5N4DBA7_CAMDR, tr|A0A5N4C8Y7|A0A5N4C8Y7_CAMDR, tr|A0A5N4CCV6|A0A5N4CCV6_CAMDR, tr|A0A5N4D3V0|A0A5N4D3V0_CAMDR, tr|A0A5N4DR96|A0A5N4DR96_CAMDR
OG0000000	tr|O88253|O88253_MOUSE	tr|A0A5N4DRU3|A0A5N4DRU3_CAMDR, tr|A0A5N4DR24|A0A5N4DR24_CAMDR, tr|A0A5N4CKV0|A0A5N4CKV0_CAMDR, tr|A0A5N4DUY2|A0A5N4DUY2_CAMDR
OG0000000	sp|G3X9G7|ZN809_MOUSE	tr|A0A5N4CT46|A0A5N4CT46_CAMDR
OG0000000	tr|Q8C0Q5|Q8C0Q5_MOUSE	tr|A0A5N4CJZ2|A0A5N4CJZ2_CAMDR, tr|A0A5N4CK66|A0A5N4CK66_CAMDR
OG0000000	sp|Q8R1D1|ZN426_MOUSE	tr|A0A5N4CK20|A0A5N4CK20_CAMDR, tr|A0A5N4CJL8|A0A5N4CJL8_CAMDR, tr|A0A5N4CK27|A0A5N4CK27_CAMDR
OG0000000	sp|Q0VAW7|ZN112_MOUSE	tr|A0A5N4C915|A0A5N4C915_CAMDR, tr|A0A5N4CWZ3|A0A5N4CWZ3_CAMDR, tr|A0A5N4DSU8|A0A5N4DSU8_CAMDR
OG0000000	sp|Q7TSH9|ZN184_MOUSE	tr|A0A5N4CR78|A0A5N4CR78_CAMDR
