Orthogroup	Homo_sapiens	Bison_bison_bison
OG0000000	sp|Q6IFN5|O7E24_HUMAN	tr|A0A6P3GK00|A0A6P3GK00_BISBI, tr|A0A6P3GJP2|A0A6P3GJP2_BISBI, tr|A0A6P3GJG2|A0A6P3GJG2_BISBI, tr|A0A6P3G4V8|A0A6P3G4V8_BISBI, tr|A0A6P3GJ59|A0A6P3GJ59_BISBI, tr|A0A6P3GAW9|A0A6P3GAW9_BISBI, tr|A0A6P3GXW0|A0A6P3GXW0_BISBI, tr|A0A6P3HQU4|A0A6P3HQU4_BISBI, tr|A0A6P3IBV0|A0A6P3IBV0_BISBI, tr|A0A6P3IQR8|A0A6P3IQR8_BISBI, tr|A0A6P3IQX5|A0A6P3IQX5_BISBI, tr|A0A6P3IQY2|A0A6P3IQY2_BISBI, tr|A0A6P3J034|A0A6P3J034_BISBI, tr|A0A6P3IWT5|A0A6P3IWT5_BISBI, tr|A0A6P3IQV6|A0A6P3IQV6_BISBI, tr|A0A6P3I8K2|A0A6P3I8K2_BISBI, tr|A0A6P3IQ23|A0A6P3IQ23_BISBI, tr|A0A6P3IQW1|A0A6P3IQW1_BISBI, tr|A0A6P3IYY3|A0A6P3IYY3_BISBI, tr|A0A6P3IQX8|A0A6P3IQX8_BISBI, tr|A0A6P3GX35|A0A6P3GX35_BISBI, tr|A0A6P3GWI9|A0A6P3GWI9_BISBI, tr|A0A6P3IWT1|A0A6P3IWT1_BISBI, tr|A0A6P3IQV1|A0A6P3IQV1_BISBI, tr|A0A6P3J033|A0A6P3J033_BISBI, tr|A0A6P3IGC9|A0A6P3IGC9_BISBI, tr|A0A6P3HB32|A0A6P3HB32_BISBI, tr|A0A6P3IYX7|A0A6P3IYX7_BISBI, tr|A0A6P3GU39|A0A6P3GU39_BISBI, tr|A0A6P3I1U6|A0A6P3I1U6_BISBI, tr|A0A6P3HCR4|A0A6P3HCR4_BISBI, tr|A0A6P3GP11|A0A6P3GP11_BISBI, tr|A0A6P3I130|A0A6P3I130_BISBI, tr|A0A6P3GL15|A0A6P3GL15_BISBI, tr|A0A6P3IZA6|A0A6P3IZA6_BISBI, tr|A0A6P3I1K4|A0A6P3I1K4_BISBI, tr|A0A6P3IYU7|A0A6P3IYU7_BISBI, tr|A0A6P3GVL5|A0A6P3GVL5_BISBI, tr|A0A6P3HXR4|A0A6P3HXR4_BISBI, tr|A0A6P3GVV2|A0A6P3GVV2_BISBI, tr|A0A6P3GXB2|A0A6P3GXB2_BISBI, tr|A0A6P3I023|A0A6P3I023_BISBI, tr|A0A6P3HB69|A0A6P3HB69_BISBI, tr|A0A6P3IPW1|A0A6P3IPW1_BISBI, tr|A0A6P3H1C0|A0A6P3H1C0_BISBI, tr|A0A6P3IWT8|A0A6P3IWT8_BISBI, tr|A0A6P3IWQ3|A0A6P3IWQ3_BISBI, tr|A0A6P3J039|A0A6P3J039_BISBI, tr|A0A6P3IHE3|A0A6P3IHE3_BISBI, tr|A0A6P3IRQ4|A0A6P3IRQ4_BISBI, tr|A0A6P3IP86|A0A6P3IP86_BISBI, tr|A0A6P3IPZ9|A0A6P3IPZ9_BISBI, tr|A0A6P3IPV7|A0A6P3IPV7_BISBI, tr|A0A6P3IRQ9|A0A6P3IRQ9_BISBI, tr|A0A6P3IP91|A0A6P3IP91_BISBI, tr|A0A6P3IHF6|A0A6P3IHF6_BISBI, tr|A0A6P3GAY0|A0A6P3GAY0_BISBI, tr|A0A6P3IHA1|A0A6P3IHA1_BISBI, tr|A0A6P3GAX4|A0A6P3GAX4_BISBI, tr|A0A6P3IHJ5|A0A6P3IHJ5_BISBI, tr|A0A6P3G4W3|A0A6P3G4W3_BISBI, tr|A0A6P3GJG7|A0A6P3GJG7_BISBI, tr|A0A6P3IQ07|A0A6P3IQ07_BISBI, tr|A0A6P3GJ64|A0A6P3GJ64_BISBI, tr|A0A6P3IHK0|A0A6P3IHK0_BISBI, tr|A0A6P3IP98|A0A6P3IP98_BISBI
OG0000001	sp|Q8NH43|OR4L1_HUMAN	tr|A0A6P3HQF7|A0A6P3HQF7_BISBI, tr|A0A6P3G8X7|A0A6P3G8X7_BISBI
OG0000001	sp|Q96R72|OR4K3_HUMAN	tr|A0A6P3J5W0|A0A6P3J5W0_BISBI
OG0000001	sp|Q8NGD2|OR4K2_HUMAN	tr|A0A6P3J081|A0A6P3J081_BISBI, tr|A0A6P3HNM2|A0A6P3HNM2_BISBI
OG0000001	sp|Q8NGD5|OR4KE_HUMAN	tr|A0A6P3HTE5|A0A6P3HTE5_BISBI, tr|A0A6P3IGU2|A0A6P3IGU2_BISBI, tr|A0A6P3IP54|A0A6P3IP54_BISBI, tr|A0A6P3HI16|A0A6P3HI16_BISBI, tr|A0A6P3HVA7|A0A6P3HVA7_BISBI, tr|A0A6P3HJH9|A0A6P3HJH9_BISBI, tr|A0A6P3IGP8|A0A6P3IGP8_BISBI, tr|A0A6P3HTA2|A0A6P3HTA2_BISBI, tr|A0A6P3GVY4|A0A6P3GVY4_BISBI, tr|A0A6P3HV56|A0A6P3HV56_BISBI, tr|A0A6P3J8Y1|A0A6P3J8Y1_BISBI, tr|A0A6P3IP40|A0A6P3IP40_BISBI, tr|A0A6P3IGW3|A0A6P3IGW3_BISBI, tr|A0A6P3GF02|A0A6P3GF02_BISBI, tr|A0A6P3GVN4|A0A6P3GVN4_BISBI, tr|A0A6P3HT65|A0A6P3HT65_BISBI, tr|A0A6P3HI23|A0A6P3HI23_BISBI, tr|A0A6P3HTE9|A0A6P3HTE9_BISBI, tr|A0A6P3GJZ6|A0A6P3GJZ6_BISBI, tr|A0A6P3GV55|A0A6P3GV55_BISBI, tr|A0A6P3GYZ7|A0A6P3GYZ7_BISBI, tr|A0A6P3GK28|A0A6P3GK28_BISBI, tr|A0A6P3I474|A0A6P3I474_BISBI, tr|A0A6P3I4R0|A0A6P3I4R0_BISBI, tr|A0A6P3GVX9|A0A6P3GVX9_BISBI, tr|A0A6P3ICK0|A0A6P3ICK0_BISBI, tr|A0A6P3GFV2|A0A6P3GFV2_BISBI, tr|A0A6P3GM20|A0A6P3GM20_BISBI, tr|A0A6P3IEW1|A0A6P3IEW1_BISBI, tr|A0A6P3GAH0|A0A6P3GAH0_BISBI, tr|A0A6P3IF19|A0A6P3IF19_BISBI, tr|A0A6P3GZE7|A0A6P3GZE7_BISBI, tr|A0A6P3G913|A0A6P3G913_BISBI
OG0000001	sp|Q8NGD3|OR4K5_HUMAN	tr|A0A6P3GYC0|A0A6P3GYC0_BISBI
OG0000001	sp|Q8NH41|OR4KF_HUMAN	tr|A0A6P3GVC0|A0A6P3GVC0_BISBI, tr|A0A6P3GNZ5|A0A6P3GNZ5_BISBI
OG0000001	sp|Q8NGD4|OR4K1_HUMAN	tr|A0A6P3I1J1|A0A6P3I1J1_BISBI, tr|A0A6P3GQB1|A0A6P3GQB1_BISBI
OG0000001	sp|Q8NH42|OR4KD_HUMAN	tr|A0A6P3GN44|A0A6P3GN44_BISBI, tr|A0A6P3GMY8|A0A6P3GMY8_BISBI
OG0000003	sp|Q9H344|O51I2_HUMAN	tr|A0A6P3GKI1|A0A6P3GKI1_BISBI, tr|A0A6P3J069|A0A6P3J069_BISBI
