Orthogroup	Homo_sapiens	Castor_canadensis
OG0000003	sp|Q9GZK4|OR2H1_HUMAN	tr|A0A8B7W3Y3|A0A8B7W3Y3_CASCN
OG0000003	sp|O95918|OR2H2_HUMAN	tr|A0A8B7W3B2|A0A8B7W3B2_CASCN, tr|A0A8C0ZQH5|A0A8C0ZQH5_CASCN, tr|A0A8B7W3E1|A0A8B7W3E1_CASCN, tr|A0A8B7TZP8|A0A8B7TZP8_CASCN, tr|A0A8C0W7L9|A0A8C0W7L9_CASCN, tr|A0A8B7TT46|A0A8B7TT46_CASCN, tr|A0A8B7TTI8|A0A8B7TTI8_CASCN, tr|A0A8B7TT41|A0A8B7TT41_CASCN, tr|A0A8B7TUX7|A0A8B7TUX7_CASCN, tr|A0A8B7UQW3|A0A8B7UQW3_CASCN, tr|A0A8B7TTE5|A0A8B7TTE5_CASCN, tr|A0A8B7US01|A0A8B7US01_CASCN, tr|A0A8B7TSS1|A0A8B7TSS1_CASCN, tr|A0A8B7TQQ0|A0A8B7TQQ0_CASCN, tr|A0A8B7VN81|A0A8B7VN81_CASCN, tr|A0A8B7TT52|A0A8B7TT52_CASCN, tr|A0A8B7WKU8|A0A8B7WKU8_CASCN, tr|A0A8C0W984|A0A8C0W984_CASCN, tr|A0A8B7TVT7|A0A8B7TVT7_CASCN, tr|A0A8B7WK73|A0A8B7WK73_CASCN, tr|A0A8B7THP9|A0A8B7THP9_CASCN, tr|A0A8C0W648|A0A8C0W648_CASCN, tr|A0A8B7TP03|A0A8B7TP03_CASCN, tr|A0A8B7TJG7|A0A8B7TJG7_CASCN, tr|A0A8B7TTJ3|A0A8B7TTJ3_CASCN, tr|A0A8B7TK58|A0A8B7TK58_CASCN, tr|A0A8B7TK62|A0A8B7TK62_CASCN, tr|A0A8C0W8K2|A0A8C0W8K2_CASCN, tr|A0A8B7TGN4|A0A8B7TGN4_CASCN, tr|A0A8B7TIV3|A0A8B7TIV3_CASCN, tr|A0A8B7TKD2|A0A8B7TKD2_CASCN, tr|A0A8B7TGM6|A0A8B7TGM6_CASCN, tr|A0A8B7VQD1|A0A8B7VQD1_CASCN, tr|A0A8B7TIF8|A0A8B7TIF8_CASCN, tr|A0A8B7TQ36|A0A8B7TQ36_CASCN, tr|A0A8C0WQV3|A0A8C0WQV3_CASCN, tr|A0A8B7TS65|A0A8B7TS65_CASCN, tr|A0A8B7TGS5|A0A8B7TGS5_CASCN, tr|A0A8B7VTV7|A0A8B7VTV7_CASCN, tr|A0A8B7TMX8|A0A8B7TMX8_CASCN
OG0000004	sp|A0A075B6I9|LV746_HUMAN, sp|P04211|LV743_HUMAN, sp|A0A075B6I0|LV861_HUMAN, sp|A0A075B6H9|LV469_HUMAN, sp|A0A075B6I1|LV460_HUMAN, sp|A0A075B6K6|LV403_HUMAN, sp|A0A0B4J1Y8|LV949_HUMAN, sp|P12018|VPREB_HUMAN, sp|A0A0A0MRZ9|LV552_HUMAN, sp|A0A075B6J1|LV537_HUMAN, sp|A0A075B6I3|LVK55_HUMAN, sp|A0A0G2JS06|LV539_HUMAN, sp|A0A087WSX0|LV545_HUMAN, sp|A0A075B6I7|LV548_HUMAN, sp|Q99603|TRGV9_HUMAN, sp|A0A075B6L2|TVG11_HUMAN, sp|P01721|LV657_HUMAN, sp|A0A075B6J9|LV218_HUMAN, sp|A0A075B6J2|LV233_HUMAN, sp|P01704|LV214_HUMAN, sp|P01705|LV223_HUMAN, sp|P01706|LV211_HUMAN, sp|P01709|LV208_HUMAN, sp|A0A0B4J1U3|LV136_HUMAN, sp|P01700|LV147_HUMAN, sp|P01699|LV144_HUMAN, sp|P01701|LV151_HUMAN, sp|P01703|LV140_HUMAN, sp|A0A075B6I6|LV150_HUMAN, sp|A0A075B6I4|LVX54_HUMAN, sp|P01714|LV319_HUMAN, sp|A0A0A0MS00|LV332_HUMAN, sp|P01718|LV327_HUMAN, sp|A0A075B6K4|LV310_HUMAN, sp|P01717|LV325_HUMAN, sp|A0A075B6K0|LV316_HUMAN, sp|A0A075B6J6|LV322_HUMAN, sp|P01715|LV301_HUMAN, sp|A0A075B6K5|LV39_HUMAN, sp|P80748|LV321_HUMAN, sp|A0A075B6K2|LV312_HUMAN	tr|A0A8B7WA58|A0A8B7WA58_CASCN
OG0000006	sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN, sp|P0DTE2|HV511_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|P01764|HV323_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, sp|P01772|HV333_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP02|HVC33_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01780|HV307_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, sp|P01762|HV311_HUMAN, tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|A0JD37|TRDV3_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01763|HV348_HUMAN, tr|A0A075B7D8|A0A075B7D8_HUMAN, sp|A0A0B4J1Y9|HV372_HUMAN, sp|A0A0B4J1V6|HV373_HUMAN, sp|A0A0A0MS15|HV349_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN	tr|A0A8B7TR45|A0A8B7TR45_CASCN
OG0000009	sp|Q96RC9|OR8B4_HUMAN	tr|A0A8B7TVC6|A0A8B7TVC6_CASCN, tr|A0A8B7TJ97|A0A8B7TJ97_CASCN, tr|A0A8B7TVR6|A0A8B7TVR6_CASCN, tr|A0A8B7TRL6|A0A8B7TRL6_CASCN, tr|A0A8B7TPD5|A0A8B7TPD5_CASCN, tr|A0A8B7TJM5|A0A8B7TJM5_CASCN, tr|A0A8B7TR15|A0A8B7TR15_CASCN, tr|A0A8C0WFH5|A0A8C0WFH5_CASCN, tr|A0A8B7TRL0|A0A8B7TRL0_CASCN, tr|A0A8B7TLZ9|A0A8B7TLZ9_CASCN, tr|A0A8B7TRJ1|A0A8B7TRJ1_CASCN, tr|A0A8B7TIX0|A0A8B7TIX0_CASCN, tr|A0A8B7TNX7|A0A8B7TNX7_CASCN, tr|A0A8B7TML4|A0A8B7TML4_CASCN, tr|A0A8B7TPR6|A0A8B7TPR6_CASCN, tr|A0A8B7TQ95|A0A8B7TQ95_CASCN, tr|A0A8B7TVQ6|A0A8B7TVQ6_CASCN, tr|A0A8C0W047|A0A8C0W047_CASCN, tr|A0A8B7TRK5|A0A8B7TRK5_CASCN, tr|A0A8B7TPN1|A0A8B7TPN1_CASCN, tr|A0A8B7TUD5|A0A8B7TUD5_CASCN, tr|A0A8B7TUF6|A0A8B7TUF6_CASCN, tr|A0A8B7TMK0|A0A8B7TMK0_CASCN, tr|A0A8B7TUF1|A0A8B7TUF1_CASCN, tr|A0A8B7WHK9|A0A8B7WHK9_CASCN, tr|A0A8B7TMZ1|A0A8B7TMZ1_CASCN, tr|A0A8B7TMY0|A0A8B7TMY0_CASCN, tr|A0A8B7TNX3|A0A8B7TNX3_CASCN, tr|A0A8C0W7I0|A0A8C0W7I0_CASCN, tr|A0A8B7TR07|A0A8B7TR07_CASCN, tr|A0A8B7TR03|A0A8B7TR03_CASCN
OG0000010	sp|Q68DY9|ZN772_HUMAN	tr|A0A8B7TQJ2|A0A8B7TQJ2_CASCN
OG0000010	sp|P17021|ZNF17_HUMAN, sp|O43361|ZN749_HUMAN	tr|A0A8B7WHD4|A0A8B7WHD4_CASCN
OG0000010	sp|Q8IVP9|ZN547_HUMAN, sp|Q8NEK5|ZN548_HUMAN	tr|A0A8B7V189|A0A8B7V189_CASCN
OG0000010	sp|Q6P9A3|ZN549_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q13398|ZN211_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q3SY52|ZIK1_HUMAN, sp|Q7Z340|ZN551_HUMAN	tr|A0A8B7TGS7|A0A8B7TGS7_CASCN
OG0000010	sp|Q3KQV3|ZN792_HUMAN	tr|A0A8B7TRM0|A0A8B7TRM0_CASCN
